idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,0b5c5149218ad3f53596bc3e9e0819033fbff6f4,c0c06bbf5f7b36e9362f5509f9613713a37be35c,f7acf8ed722e8103f6e86262b50df3bcaafabbaa,a parent is the base
2,refs/heads/master,c0c06bbf5f7b36e9362f5509f9613713a37be35c,274a736ddb2e4daafcaa85d04ec190a74d3eb849,d6761cc537910e42dee3e3004a198d3af50d38fa,a parent is the base
3,refs/heads/master,9dd252b97b1959abc730865083c690f06cbf7fb5,95b4f81fec24ea3d4dddd74ec0574e4a7031ecb8,5ac7cbf7de129d0b9cf629627f8f02c58fe4474d,
4,refs/heads/master,95b4f81fec24ea3d4dddd74ec0574e4a7031ecb8,0eaf018871a1e3e8fce25a01357a5524af6c1e4d,ca9e69e65ee535df7907bb0f93f98218ce5345c1,a parent is the base
5,refs/heads/master,d4386fb01bb29abd9776729570e039003e728fd9,f3f220d858879692ff0461234644f6a24f8b8be0,c6c2a167bb432654f1886ac36dc65ef857f15083,
6,refs/heads/master,bf4c9c8bf2c63bc45209ac7c0d13c7dd13091826,a1dc64a1ae69f73e5a8e1930c1764cf32360843c,44feba1a13850fd96480bcb3c73236d68902dbf4,a parent is the base
7,refs/heads/master,b9bf37c27199cb309f63a58a902be3730ba67f07,a392ef24a10e13721a6a04123350a19f17b81a02,95a465b3f6607140536011100231e2af4be9fc04,
8,refs/heads/master,c84a8835f54366e09281432263ee340ba636a34c,fa7f0e6014316fd3d6b53931d15b77e79f1a147f,b939d194ca10af4a751f386186c98346fd96ba95,
9,refs/remotes/origin/hibernate3,c7260c73f58d242b6181dfb05d588bbd0b23d5a1,1ad2803395b57bb2caf6d866f8afc1e8283712c8,00dc759c0edb8defa788bf42ef8888fb40e913a1,
10,refs/remotes/origin/hibernate3,1ad2803395b57bb2caf6d866f8afc1e8283712c8,63d21e9c33f0184b2f72b46067583f3f62396958,21eaf38e222610436268aca88f48feaef0960993,
11,refs/remotes/origin/hibernate3,63d21e9c33f0184b2f72b46067583f3f62396958,c5972fabf00924fd737bb544cc586196e2e076a9,134d68476914b9401b44ed289b013149684d8a9d,
12,refs/remotes/origin/hibernate3,c5972fabf00924fd737bb544cc586196e2e076a9,6da8f4467bc51dc10555fc3e2b033b6b1d6fe381,c793b74f1e51cd8652ca464c1275edad114919bb,
13,refs/remotes/origin/hibernate3,7cff098a0b33d0a3594f95c14ae7a5d48393e5b4,0ab8ed60542815272c79ab15ecc75d285b08d8ba,223607ba80a94d434e591a264bd6b23b660dcaae,
14,refs/remotes/origin/hibernate3,0ab8ed60542815272c79ab15ecc75d285b08d8ba,c95065d7909baaf1ae95ffb3b0d2c0012db108d5,b6200a1700f6d2562bde5bcb73bd1ebf2e461c26,
15,refs/remotes/origin/hibernate3,c95065d7909baaf1ae95ffb3b0d2c0012db108d5,da53551023fd8348a9c1e2f4be17694ccd50e3fb,ee66f980f3f234b4c2997de001a5ed17c0cedf83,
16,refs/remotes/origin/hibernate3,da53551023fd8348a9c1e2f4be17694ccd50e3fb,393c355622cd121e1f1a292f2afad5490603357b,5d921a787382d623ffb8744fb42ded0da7d3e944,
17,refs/remotes/origin/hibernate3,393c355622cd121e1f1a292f2afad5490603357b,3acca52d1af519bd1e79060fc1bca0d4e040fbc1,f3402ee476995f820d0ed87c3d8493906a334811,
18,refs/remotes/origin/hibernate3,3acca52d1af519bd1e79060fc1bca0d4e040fbc1,dd5a800a8bfdda82414f3b56cd474dfaaddc0168,82cfc7d66602e1c884178eedc3fe8da2aa33d356,
