idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,bcc4611450b85a890d67f91a04ce059725b6d43c,4af663feb648313fa55f668a82be490d567dd802,2ddfc93727141fdfcf6deeceaf4366d0c1aec1c6,a parent is the base
2,refs/heads/master,4af663feb648313fa55f668a82be490d567dd802,1d96af189e5a89ba55a863f52e11bf02868011de,11fca0eb0d4659097399b721fcfae9899ac8e0ff,a parent is the base
3,refs/heads/master,1d96af189e5a89ba55a863f52e11bf02868011de,7390d8767248a263091a28e57d518a79d3b96c84,5d5f98470158744fd377ea68bcc91f50783f792f,a parent is the base
4,refs/heads/master,7390d8767248a263091a28e57d518a79d3b96c84,6e69475c0708121b3bf553630c54d0dfd70b9c41,3c964e61b039fb16a793b7876c15af124bf6fc74,
5,refs/heads/master,6e69475c0708121b3bf553630c54d0dfd70b9c41,7deca2169f09a5cc2f3701736396132d5f36f2a2,efc546df9fd453202bbb70de5b7853d304d5c9bd,
6,refs/heads/master,7deca2169f09a5cc2f3701736396132d5f36f2a2,1628bc864e5bd45e8d99a75484adf7d317dada07,22eddd9a0a61f8c44eb2f504762cd811b54344f2,
7,refs/heads/master,1628bc864e5bd45e8d99a75484adf7d317dada07,125c4b4e7026301fac1ac995ebbf3d88f7a4458c,7a431fca0fe2a6868b25787ef705dd0d8f76f10d,a parent is the base
8,refs/heads/master,125c4b4e7026301fac1ac995ebbf3d88f7a4458c,d6f372e7c3df56bb1e8bfa3b44d2abb9cc07a390,b0046e739192c052d2001298cf37b3536127daae,
9,refs/heads/master,9b8f1d8ea3333dd01bcf82f5fd64669f900d70aa,2b9935b13b91393a51f7622f88142fa283698421,d988ccb9b0c7195ed6dbb41580c47aad0f772418,
10,refs/heads/master,5dea4bcdd8e2b9dfe9d8159d9a1b01b3c2fb03a9,310beab753f9ee70dd1056f0b2767f52dc27b6d9,f6eea0d5d4af8d3aa055c6a1d4b6203ebc2ade02,
11,refs/heads/master,310beab753f9ee70dd1056f0b2767f52dc27b6d9,7a6c334ef8ed5c51fd241d041133522b0df17681,46526b2cc0ae10c3848e35ca995fb1e2730c1324,
12,refs/heads/master,7a6c334ef8ed5c51fd241d041133522b0df17681,0af0a96cc08afc841ad539d9dd0bd78052e8e25a,48f455b2b708085efb618bfc104e5cba020cc80e,
13,refs/heads/master,0af0a96cc08afc841ad539d9dd0bd78052e8e25a,ac5fbd65140efb87d504811024566c53ca3db84a,4e5968c10896067fb54fefa066d5c49f0e62c164,a parent is the base
14,refs/heads/master,46526b2cc0ae10c3848e35ca995fb1e2730c1324,e207ff22ce736d646c800fc23c0a47c8ce02b049,1dba958f424f50ca2ebced1545621d854250644a,
15,refs/heads/master,1dba958f424f50ca2ebced1545621d854250644a,ff05bc7c8ac259dedb34ba5cd7ed48c76258719c,dc38c8c4efe87ae295637f13775e46229f1b84ae,
16,refs/heads/master,14cf5ff700096bdec741284cf3e8d88ddd4df5c6,6e09114febcb5d643e8a3358e9c520b560d45fdf,8fd053c6d8b12114b862498303d00a11dba6e896,
17,refs/heads/master,dc38c8c4efe87ae295637f13775e46229f1b84ae,6e09114febcb5d643e8a3358e9c520b560d45fdf,84267afb46e521dc4c3ef2dd17455c6fe9618e02,
18,refs/heads/master,010520b3b21bc326d3ef9d63a92a2c35ab102157,7c5346a87062dfc3020a6e13440317ae475fbfb8,7576b4806546654e061703d23c7ea4c86bc63645,
