idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,193e4cf47657a1749d708a74862ec0dfe4ea173f,a1ef07de7784fa30b030c310c5be86e25293799e,2d7384a930c879ba29b87d3464de2d5807763e4a,a parent is the base
2,refs/heads/master,2d7384a930c879ba29b87d3464de2d5807763e4a,74d8ef7c3c30424fca6af159678edf3c312d0a0b,a1ef07de7784fa30b030c310c5be86e25293799e,
3,refs/heads/master,aced3a99f634e6818a40b0fd4f9ca8b06fb7ef51,e204df7afbd977b6087cc9d7fad893914a590423,0fdaf958b4001ed433c25812e3571b66940fb11b,a parent is the base
4,refs/heads/master,e204df7afbd977b6087cc9d7fad893914a590423,215f070a29cf3e5cc948b15c6e15a9ac20b4b7d6,46c75ec73b84f9467d148490303f22646501fcda,
5,refs/heads/master,215f070a29cf3e5cc948b15c6e15a9ac20b4b7d6,75591b06b395605f97375c7021f03b9b63c1892c,f27509d1a93006dc5524254bc6d3c6e91259bad4,a parent is the base
6,refs/heads/master,46c75ec73b84f9467d148490303f22646501fcda,75591b06b395605f97375c7021f03b9b63c1892c,694ecbb0bf5ba2b969b84dd179b959cfed5a85c2,a parent is the base
7,refs/heads/master,4902b554fc4ff416f11b1b3e0410ede5ce9b7b9a,d54207830ed0dfd99fe745db5c5ead327c249e2b,79270308ab53c20551dfecbdc152b2b8b3c16133,a parent is the base
8,refs/heads/master,28a8f08ed74f8c2082076c5b6cb79eed3a111150,61e31c483e62accafb29de9ffef8186870de57a7,a06cb5f3e874c90489f6d7f96eb22fa2546a2411,
9,refs/heads/master,61e31c483e62accafb29de9ffef8186870de57a7,c7c688f3c31ca1e2089caf907bc69e2a4f6a15eb,116858a22881d21994bd22b61bcc2292a693aabb,
10,refs/heads/master,c7c688f3c31ca1e2089caf907bc69e2a4f6a15eb,00a447c22e92dcbc40838eaee2ac3106d4bc40a2,88cc59f41561d7ff54489cf7c849c8f367009ce5,a parent is the base
11,refs/heads/master,00a447c22e92dcbc40838eaee2ac3106d4bc40a2,a01f8e88d37d1d933bf7d99f1d6257ac59b80bf5,62190572ad5ac9548b142df349dfda0d48e2e192,
12,refs/heads/master,a01f8e88d37d1d933bf7d99f1d6257ac59b80bf5,de8f7ec2723e40adbca47b7c0e2d03b403049adc,b9e16682fe24ca3634242d3a61f18948067a759c,a parent is the base
13,refs/heads/master,3423659f78852e71cd4582b67d6b0f5b5f589fcc,6091771e87af367d0e8c2945a69aaf1294638d31,a747d5a77f10c55b602d14fb455aa7783789012f,a parent is the base
14,refs/heads/master,6091771e87af367d0e8c2945a69aaf1294638d31,0eb062ebd72a60288b7c0c0dd3641c47d69ed1a0,db9e85a1d5e1e52e744dc1be8d13e94643a2eb55,
15,refs/heads/master,db9e85a1d5e1e52e744dc1be8d13e94643a2eb55,40bc46e625d5d4c2f444cc67b3d194300a925a6a,16c6fa5b55a6381d27ae20c63c79ce04180c7475,
16,refs/heads/master,40bc46e625d5d4c2f444cc67b3d194300a925a6a,5c39159f63128060d297d62332f2d9f176bd3160,ca3d8fdf7127eb9856e727d0861ce9dc677fcf65,a parent is the base
17,refs/heads/master,6259f1ec1d8a7156eb18e010862b43eaba824692,bdc83997aa9cc5774b6e10da63e5a5e5331b2632,5c39159f63128060d297d62332f2d9f176bd3160,
18,refs/heads/master,5c39159f63128060d297d62332f2d9f176bd3160,4405f2e2dc8de87865724d68299f28b121d6cd7c,d7ed048d13430cf3aa7985b44c886d1c7c05e8a7,
19,refs/heads/master,4405f2e2dc8de87865724d68299f28b121d6cd7c,0102f2f88e3a279260962cf1c595b88422a5410f,48cd443a7809f1634fca92205529890c6faa0adb,
20,refs/heads/master,0102f2f88e3a279260962cf1c595b88422a5410f,c07162fbb8f72cf6f85d67d8275aaef16398e611,60aceed1f22473a9768a6bff33ed46244172d231,a parent is the base
21,refs/heads/master,aaa8d90b9f05dd3e40aeda2bff79326546f19407,60d7aafa7e953b2809bc77d5c660071301305209,c07162fbb8f72cf6f85d67d8275aaef16398e611,
22,refs/heads/master,f81bb82bc3ca443c0574362a2be9414d22444e44,e5aa203097ff5f71dd302827e0a6bb2fda5b19c0,7b38c721adc80ddeb996ca912ed344f56b22dab1,
23,refs/heads/master,3f154aabed4405845025fc15223b66eb8e2778b5,ce3d27800613b284846cc099f9beb57e2ea99f5b,e5aa203097ff5f71dd302827e0a6bb2fda5b19c0,
24,refs/heads/master,e5aa203097ff5f71dd302827e0a6bb2fda5b19c0,31b0da3df32e1d47397ebad6fcc7aa10f167da18,81167e7ad6116ca1460b0fd3311a8014f3ed3836,
25,refs/heads/master,81167e7ad6116ca1460b0fd3311a8014f3ed3836,816942c8ef767c427336f346e7ed3f49f299bf03,ec56eeef7a9e4f727dbe9ed85c17a57cc56dd82c,a parent is the base
26,refs/heads/master,816942c8ef767c427336f346e7ed3f49f299bf03,6c59e1a1a71a298070832ed045846839bce40b6d,fc2893f29853752b9fd3deec3cafc4218b2a552f,a parent is the base
27,refs/heads/master,6c59e1a1a71a298070832ed045846839bce40b6d,b2343156432601ecf2a3681277227fbd5b0011e6,5066985c46ef999e0ba3b436c0328f886f142337,
28,refs/heads/master,b2343156432601ecf2a3681277227fbd5b0011e6,d79cc1e90e45c41ef176b039a9e6611bdd22631e,31d05deb25281681507897b44c5a62238994ba46,
29,refs/heads/master,d79cc1e90e45c41ef176b039a9e6611bdd22631e,56aa1629b3aa45990e020690488b73e0f1fa936d,bf8e6fcd7a3819f66abe087be5cc8561f2c66ac1,
30,refs/heads/master,56aa1629b3aa45990e020690488b73e0f1fa936d,653f6ffc136615d1da3610b0e1118261193bb40d,cc1ff9b10110de60ea621060c2dae50c94cc08b9,
31,refs/heads/master,653f6ffc136615d1da3610b0e1118261193bb40d,12a3a45cb56d3b7acd1fd63fd5d260a9a614167d,39a203ec0189655921f129e0a93953fec7c071d8,
32,refs/heads/master,12a3a45cb56d3b7acd1fd63fd5d260a9a614167d,674df1c086ef9f08fc823c8236d419e725262ee9,564d987591e1d5decec859ed8cc0a1c7d10d71d4,
33,refs/heads/master,674df1c086ef9f08fc823c8236d419e725262ee9,c32621895eb87e0b64e3b5dec020c2fe1a4e5e4d,13ea0c34a8d57f398c5ddb0649953f9121a4da4e,
34,refs/heads/master,c32621895eb87e0b64e3b5dec020c2fe1a4e5e4d,c1fcea3096c361b3a01cf40eefcd1e36b0a7ce2f,e2301cda0b1ec6ecbd78bc664fc38deaed4e4405,
35,refs/heads/master,c1fcea3096c361b3a01cf40eefcd1e36b0a7ce2f,5501860d87f0e428f42a04eb42b12eb538eb906d,46bdb9c905aea73908d56d85a6e20cee410048e9,
36,refs/heads/master,5501860d87f0e428f42a04eb42b12eb538eb906d,affb734ee25979ea53f426ac5ebd79dc06a18044,d46815645c5c923f778d74ddaaaef0cd0ed5285b,a parent is the base
37,refs/heads/master,c6e24270160a6680513bf35e4ad40fdd4e28eab3,3c77a6f590740c96461b918150133f5f68569a27,9349ab11f922afb9461b0cce2805f386d697886e,
