idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/main,f8008dc3b57fb9495c705cb6d0fb37c0130bbfaf,8f784b864a1f0f8ae8b8f50d8768650ca51548b6,05f86b12b21a83fcc27ad7c34cf07905ea5b1c9c,
2,refs/heads/main,8f784b864a1f0f8ae8b8f50d8768650ca51548b6,e89bd0b2b6e7257272066f402a8532573a1607b3,84dfb12b1748b958999b3abd27739c5b3200a480,a parent is the base
3,refs/heads/main,e89bd0b2b6e7257272066f402a8532573a1607b3,33146088d4bd577ff80e1c9e46e29b0b33cfbd76,d7c279b42e0116f9910d8cff4cbb1f3b8abfa936,
4,refs/heads/main,33146088d4bd577ff80e1c9e46e29b0b33cfbd76,193f1fa01ef16bbf1bafd8b3ce3587705e30e6f3,6dc6999cac364b849e8719cc8de98764520fe6c2,a parent is the base
5,refs/heads/main,193f1fa01ef16bbf1bafd8b3ce3587705e30e6f3,95e466d904f1c1947c95b7a727e6f5a02e6bc233,683d7160f828bf878638b58b5075544fd571ca9b,
6,refs/heads/main,95e466d904f1c1947c95b7a727e6f5a02e6bc233,2cc9190d8c9c44453ed217d66fe4990a3068a7a6,d1e744e86ff84d357a2d95eb75eba1d7f68287b8,a parent is the base
7,refs/heads/main,d53395e821706ac1099aedb538e604720e18d5b6,069f67e72594c1342055f9d8226caddb777e4600,2cc9190d8c9c44453ed217d66fe4990a3068a7a6,
8,refs/heads/main,2cc9190d8c9c44453ed217d66fe4990a3068a7a6,244cc6fd9e7fb5591c26732095c0a4b43bfc0f9e,b38e504609d40754260997aca25e4aa61fcbd294,a parent is the base
9,refs/heads/main,b38e504609d40754260997aca25e4aa61fcbd294,fc1ed5c3ad3418166155997ff06159177a2ee468,244cc6fd9e7fb5591c26732095c0a4b43bfc0f9e,
10,refs/heads/main,244cc6fd9e7fb5591c26732095c0a4b43bfc0f9e,2a3285eb6312292ad64893e3c018e2f7dc0b6981,efeee7992949df4f4a875644872d3d94d607c4ae,
11,refs/heads/main,35bd9d69aa00bebcda894ea1bef268a4d16596fa,420f2a9006c1d66c1d03cc7ba88226396688008d,2a3285eb6312292ad64893e3c018e2f7dc0b6981,
12,refs/heads/main,2a3285eb6312292ad64893e3c018e2f7dc0b6981,0f5ab1ac015e03d58d47ea0201e2552cd95f9727,bb1c47fafe8756cdd985cfb3dac3ffec13615be6,a parent is the base
13,refs/heads/main,5956c8cba22d50f32ace4692abd464df861dd923,aa177ff26df744f273a2baac0aa1875bf4f6fbd8,dcf4a979c233d06e0b5982810cb67a9482a10f7e,a parent is the base
14,refs/heads/main,aa177ff26df744f273a2baac0aa1875bf4f6fbd8,fa18b0ef688865a63c7f16a08eff585e03771222,b63f5df76cccb32ac65d2ae6f73ba9bd76af350c,
15,refs/heads/main,b7ff2928734b236b416cce877f6d501051c64c92,3540af05cf6916399e0d8191d2872d252f4cf804,277713cdd583dd95974497a69d081d2794dbe2e6,a parent is the base
16,refs/heads/main,3540af05cf6916399e0d8191d2872d252f4cf804,92e5fb6f42f4023db2990bc24c6fba4b3627ffbc,256d975cbdff80c25229e587f38f9fe76b2827f8,a parent is the base
17,refs/heads/main,e00a0744fc242b8c085e8dbe4c46e47eb8c12256,6985001d92a73cdaeafc583478794769903328c2,7a97df8695d67daac5b9efa34ce74b57e6b361f6,a parent is the base
18,refs/heads/main,6985001d92a73cdaeafc583478794769903328c2,e1737c90bffd197740f9ed7428bdaaa3530f7292,171f6c35a1ca08bdafb5c75aa2d3c97b99cfb85d,a parent is the base
19,refs/heads/main,dbb4d331931d145b85fabe71a501c4a00125ccc2,4d9d196d0fea1a7a93f7176e2a8d9565978b1132,e1737c90bffd197740f9ed7428bdaaa3530f7292,
20,refs/heads/main,e1737c90bffd197740f9ed7428bdaaa3530f7292,63faac081350e2115729c2f53fb09d74625c5089,604e420d6489d5e8c9e837c6c8e80ebb3179a91f,a parent is the base
21,refs/heads/main,4d9d196d0fea1a7a93f7176e2a8d9565978b1132,ef03dd57bc2929082757784c066c02fa185a1ca4,63faac081350e2115729c2f53fb09d74625c5089,
22,refs/heads/main,63faac081350e2115729c2f53fb09d74625c5089,bf4a4d8fc6d2bece708c0fb9d5abe35377cb5374,f4b951ef02d94ac4946f333a6b4b877e62e60425,a parent is the base
23,refs/heads/main,50375e445784df32046a1927fcf2627aa3d69fab,8a8fa51c449546bacccad0c266280148febddd27,0e99501339d14a8ecac4d0dcb47dc843067609ea,
24,refs/heads/main,0e99501339d14a8ecac4d0dcb47dc843067609ea,af5a4ea40257d0c68a145c5bd3bd5ca20d28837b,749f7f9b39d9f0e60b324daaf8c327882d21ccb5,a parent is the base
25,refs/heads/main,a322a049cd3e8b015b1ec346a661df224952219a,426235f3887e17aa73719c19c72c3f83f1af4cb3,af5a4ea40257d0c68a145c5bd3bd5ca20d28837b,
26,refs/heads/main,af5a4ea40257d0c68a145c5bd3bd5ca20d28837b,f6dbbea1be2c4b5be11bbed50699a44ecf7e11db,a2a33dc3f32417bcd2b18657a292843ad88ad385,a parent is the base
27,refs/heads/main,426235f3887e17aa73719c19c72c3f83f1af4cb3,a01559d74e4ef56bdfdfcadc57c8f72c6b47165d,f6dbbea1be2c4b5be11bbed50699a44ecf7e11db,
28,refs/heads/main,f6dbbea1be2c4b5be11bbed50699a44ecf7e11db,f7b7867df905c438a28e65561cbdbef83fe82140,10ca3c99b196992580ae75f9d2f875dfbe5de20b,a parent is the base
29,refs/heads/main,f7b7867df905c438a28e65561cbdbef83fe82140,23ef34f3de7f7883a546802e5d725529bff25e2d,119c963fe919e1ff99a945bb3d3897883eae5ec6,
30,refs/heads/main,23ef34f3de7f7883a546802e5d725529bff25e2d,0d8ee52c6b2e7f4b61aff023b3cadf936525b9d7,ff94fbde4f945a6aca012d91f60b088d31fe1ebb,a parent is the base
31,refs/heads/main,594be9670a26bd212734bdf55fc7814b2ec32da8,137f248bf4838afc46a26faa00d98277cc477f15,0d8ee52c6b2e7f4b61aff023b3cadf936525b9d7,
