idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,88d25a7edd3d0cbf7f62b19652a5d5ef3c6c6ac5,db76e7ae799d4fbb2cfa3697e7958f2866968fd1,fe5265b710e6b4cdd5029490a7592f4e86c2e957,a parent is the base
2,refs/heads/master,9859fcc3d13d9f42464f5aa3096f10bf510d135f,5ea0b18ee318d96b75c0da98f319389c7041961b,617679f3e3b83c7fb753661c16d2aa8c39b20e61,
3,refs/heads/master,5ea0b18ee318d96b75c0da98f319389c7041961b,3dfcda762f560ee0e5c00f2c3598fc450dd7dfd8,49f96d1b82884d8109d1cd068102aeafe36ebc8e,
4,refs/heads/master,3dfcda762f560ee0e5c00f2c3598fc450dd7dfd8,9f3f33292847ca0838a4a210f4386ea560383c3d,c4e3277d15515456d1e4379d7feb461df7f64fcb,a parent is the base
5,refs/heads/master,9f3f33292847ca0838a4a210f4386ea560383c3d,edc83da004aee3bc16830ccb12982203addf8fb2,c0762c7c4b27fdb7607a450aea47d9283906e3b3,a parent is the base
6,refs/heads/master,edc83da004aee3bc16830ccb12982203addf8fb2,2b7579c14d7f7377e042b0601dd2a28b4e4b2277,6f640429f2ffd5f51bfbee2cf2b76b893137dd06,a parent is the base
7,refs/heads/master,3c7bd5e84c48ea00380e9bb03284b1a08201c26c,481c50c6db360ec71693034b6b9a2c1eb63277d8,7feaf2be8bf28f9e566a255650e74ea8fc7763cd,a parent is the base
8,refs/heads/master,06d0f9422055260e2646d65067173abb17edbe9c,ce33788fc8c139b87d31fb3c03e00d4127126dda,19d95f8d0b9c2b6a73e0a7052a8d5633c3a8a2e5,a parent is the base
9,refs/heads/master,52374fa9b1a4f810a0ea2fb83617b9378a36120b,de807079706019693e456089a102a52c8d8ab8f0,17e6892dc681f10bcc57db6b26d0bc574413050b,a parent is the base
10,refs/heads/master,75c6761c8dfa682cb13910b4f218be8330acc193,85cb7388e44b34d0201d5042bb1a4fdf9b2bf5f7,a0e70e062a82ff30c60cd0e4da1bb7eff5bcaeeb,
11,refs/heads/master,85cb7388e44b34d0201d5042bb1a4fdf9b2bf5f7,69c7e1df2aef0a8a2ada0737f91546c1c7d695dc,2ae6cd9c75999926c074b80d67bed1eb4f6f445e,a parent is the base
12,refs/heads/master,69c7e1df2aef0a8a2ada0737f91546c1c7d695dc,ebe7f3e0c1b9c3656ec113fee3e9e3f5ea4d53f4,27b531ae8c3dab2d2d92f6ac4fdde9d37fdf1950,a parent is the base
13,refs/heads/master,ebe7f3e0c1b9c3656ec113fee3e9e3f5ea4d53f4,513f7c9b82769be8744377a8fdd396867af02c12,7be267e995705e6b792d3c1cf6b7fd9a2cffaad9,a parent is the base
14,refs/heads/master,982241a045b27b4fb53c80d1a89fb1eaf2fb581d,5a7f3d5f61144f07e03e40dfcf543d44435a1313,47c8478aa9bcdba642defa0f6562b6e33842af99,a parent is the base
15,refs/heads/master,5a7f3d5f61144f07e03e40dfcf543d44435a1313,b26b4f817ed105925176fd2d563e0fd63bbe8633,d732310674d11722138692c2a0045ea4e57409c4,
16,refs/heads/master,8e57babbf80f090f2ceef7594a2fdc0eaedc39b0,0bdc5bc1f0c2612b3fb01f1a6768c32f5e8ae657,e8bd475a9f79a32ddd8d7c503b9b70023b40d4ea,a parent is the base
17,refs/heads/master,c7ec932cf764dd909359dde90f7632d18996a549,7158d90e0c1f28ddd7736eabf6181bbbf1dc7bf7,773cbb9a50ab522b994200e5d7fb1658c1901a4f,
18,refs/heads/master,7158d90e0c1f28ddd7736eabf6181bbbf1dc7bf7,b3e43000b4ee657a4cea63c208864ff91e0bb637,57c49f93e37156cfcc8fb1d58d51a6ad1e9fa014,a parent is the base
19,refs/heads/master,b3e43000b4ee657a4cea63c208864ff91e0bb637,50a93da608a704989050d7d36166cd493a09e958,6fe202abad41e2999a74d389e40c886a2b653da0,a parent is the base
20,refs/heads/master,d8d09607f3454a68dca47f51e004b7fe2bdb7a49,c48fee76e559f8e087740a18fd51227be742a8a2,0351ef5c8ee1201b1ce712592fbc4b63736477af,a parent is the base
21,refs/heads/master,037544f31faf4ef147b6dddbfcb9a53654f63f8d,d59fe59eb2dd0f0d4456852955e89f1d9d094659,6b9e6eee5940a10c8f3fa98eef05af1122bf1538,
22,refs/remotes/origin/pull/83,a5a03a1c41a77b26c443585b709eb22bb9aeed90,ac09b3723d9342c1bbe250d87619c3d0c0c44937,4ded2e619a2ba7a04c73b885a08740da6e3aadf1,
