idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,76d55f917987604321211cb8667f3f3aacd39676,069bfccb17d7239e6e5f2222860480012c525fdd,0e194ec7325269b64ba0d525bad3c85161b1aa96,a parent is the base
2,refs/heads/master,069bfccb17d7239e6e5f2222860480012c525fdd,0a2ecae2158573de0afc0ad64716006d8a4f5a51,3d102eb2cf3ab0412d5ce66a933e00f17d766d1d,a parent is the base
3,refs/heads/master,0a2ecae2158573de0afc0ad64716006d8a4f5a51,18d955340525d6494c844c52759134397848f535,d4532ff04867191d52016313276d08a0a6fb3317,a parent is the base
4,refs/heads/master,18d955340525d6494c844c52759134397848f535,5fd793339e61d242788bd96b75d74ab76c68f07c,af6d9c08eb15167d699981b94e9b8825d4878ec9,
5,refs/heads/master,b06dcc209df40a6b8289cea268a1d3b6d0aeb5ac,daa52357648b5fcef61965c6bf883dc47b4da0b1,fbd2143fd16e501c893f233b76fa3eb887c2180f,a parent is the base
6,refs/heads/master,8c11ebfc49d3e992ce8dc07de0812a8b3ff64d9d,d9a83247c9f40a8d46a3fa1245b815158da7c6f1,adc0a867fad269f2982dd259ad5b97ab4815f29a,a parent is the base
7,refs/heads/master,d9a83247c9f40a8d46a3fa1245b815158da7c6f1,8d7b7966055b3bf8f9ee1af2691f49ae11b79a00,96f904da9ea059d1f5c53ca71bbcf529789bc11c,a parent is the base
8,refs/heads/master,74aeaded13a491ce225f60e806b3127ca7562af3,2f684318a4bc1ea04c6816b86454e2019749e708,77515032ea480a615d22373f890cc30e873c1e8b,a parent is the base
9,refs/heads/master,77515032ea480a615d22373f890cc30e873c1e8b,bc29d179ed33441d7d45ab2804aae62f07b9e669,2f684318a4bc1ea04c6816b86454e2019749e708,
10,refs/heads/master,2f684318a4bc1ea04c6816b86454e2019749e708,964d5c7b55dbcf8baa1788939e2c98d1c01f522f,29d4505ad639354cb28d6212cab9999c7f004ecd,a parent is the base
11,refs/heads/master,964d5c7b55dbcf8baa1788939e2c98d1c01f522f,2958bbe1115113ea68b232382e012ed1e9c2bcee,2f41232e47b6c912ca81dfa76db23511bf44b4d5,a parent is the base
12,refs/heads/master,e7a3a546bbada59e9d202d5fe0eb908a63c52a8f,3ab34c7ea91cfc24a7cdfab7d5dfce6548f2b6e3,e427b17b3413eaefa717dc5efd57c1c9e5178e86,a parent is the base
13,refs/heads/master,3ab34c7ea91cfc24a7cdfab7d5dfce6548f2b6e3,8469a7bbdde1e6ca872162c2abddc80c934f52de,ee004d3b321baf7c3cc78076b4c251f41c9e56a4,
14,refs/heads/master,10b16e25e11299879b252f63b38c26f0079f6fd7,1bb5eb72284c0e3c1f21d55a982d7eeac63cf04d,e010437fe8746bfa1a22433b14bc9028c500ab43,a parent is the base
