idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/develop-6.2.x,4520c0f1d130464a4c95a5037a50e6575831bb50,c0da9753cc961463f28b37c3d0a9c9c836999807,4761791d4323cfc6e6d0949d12939c36070d4364,
2,refs/heads/develop-6.2.x,da1638af5644f5cfca1811b0d58275ab1c5eb62b,96ad4552c8b6cd13cce97a4620f4b4165fda1e70,2b7532bfac6d4726f20aceb2bd3dcf2404aa0745,
3,refs/heads/develop-6.2.x,be68f97ef868a26a5f0093aaf65eac5189309b0c,61bdf08eba22dce2e61f4a9cf8ec458a5c14da3f,1bf783ae68d4bb0f5975df21f1766c31cdbb1118,
4,refs/heads/develop-6.2.x,206cfa2bb0d0a7e48e2910b2c0ae77dc5a4897aa,c135e1b096cd355decbc53b234693267a2cac0cf,9a4ec0f2c674a160f9da12eb746310858c725aac,
5,refs/heads/develop-6.2.x,47d1b2ebdc25a48c33a84126026acbf651287afd,6aaf7f0eff1b4c0ae91cf8f26ffe5e11a88ee881,0b84e974b040ca6fc3b6c948ed7a5822e49fc6d1,a parent is the base
6,refs/heads/develop-6.2.x,61d450d44145b826a5638a8f1d6aa3726f676939,5145d1e61417c81ee4969794d1d1f04990cb46f3,faed1584910357f28c1849d73b51aaf2bbf9b22a,
7,refs/heads/develop-6.2.x,4f93a26b1164394b0c45f5905fe3eba374d58364,d7507044590aefd16f029f0d4048bc7c74a472f3,4d947377401a6f76714250bda5500952acd31291,
8,refs/heads/develop-6.2.x,ffcd3d94b6ab27c4c5814f4deafdfb22f32e9cda,c61d7d4ac39f3046da691236f036ecbc34f1f4c3,8453abca8cb4308131d18465ca2b840bfba0b2e3,
9,refs/heads/develop-6.2.x,5bc2eb0c1eebdbedaabf87cf672e74cc43640627,369eb822803cc130e2d2d6db348e9b232bed8f4c,95ee836e28c1bb9f1ed1977406f35d1b8681faec,
10,refs/heads/develop-6.2.x,9f9edb821055c62d1dbb1242aa636665a587c3dd,2e9d9ecc9006cd102ca215147cba41d3140ba8ea,9eadc85b622806b68ba65d795ddde69853c5101f,
11,refs/heads/develop-6.2.x,5b40bb7952919b2b7c6eafadcd9a4f1b1534de70,ed4211a1fbe3db52c52e13e706605763289a8e0d,e8000372ab1e60004e2c029498091ef1b298cba6,
12,refs/heads/develop-6.2.x,4e7ce72802c404eefe2b5c332fcc7ec6527e7a8a,6ac3a34241df00c2f6a013c1f9b4d6097d8d112e,30b24b56090fa969ea2ed5d8c59679dd70d039f9,a parent is the base
13,refs/heads/develop-6.2.x,de078f321c6bd5b000d41f7f3938268f9ee551b4,cca98f876bc0066a9706a66f794aa8073b05c965,25c9b6b7363483a6813506f83d345be221eab032,
14,refs/heads/develop-6.2.x,33008f9a6b12aef7f0695f11830aab1bda561a2c,6c811e83d6eb14a726a0ea04d1c590d2c7e56d3c,9a291f587a161393620087fb57876e17ea051a0d,
15,refs/heads/develop-6.2.x,7e7f1a438c2cbbf0f7b3597cc4eff6363d28daea,8773913489658db061844844892727b5ac61e1e9,7c3a8fe55c23f6304f3e17e5ca70e8568dda96dc,
16,refs/heads/develop-6.2.x,6c53f9f90b92a7d026beb6e36483247e2cd3caa1,18a038f3443a503238e409833dfec9c99f1654f6,3569578dd3bbb18693c103d0549fbb23081b6aba,a parent is the base
17,refs/heads/develop-6.2.x,2a36fe8792fe4b0086588ef80bfa0f427dc2be6e,cbc1056249d39648b47b95c9d1fcc48507b852a9,382d259cdf72213e4151444986f0611fe065fc96,
18,refs/heads/develop-6.2.x,cd08dd4769618c840d50bc86b6698ac9abe6cdf5,80b554c1681c8ab356dc7717333df4b0b3b9286a,d42b87d5d7a78a9539465bd8edaeb6f8751a51ae,
19,refs/heads/develop-6.2.x,9f0fd3c437b426ddd810553d95a034b1898d1963,e3ad4a3ac8f9a72d65c1c1a58987c47410774649,2408652987cde87f4326a7cfa7933539d61bfc9c,
20,refs/heads/develop-6.2.x,fbebda67d3f13b4377a55203e7db06179314edcf,3c5419e506446078bcaa8e41bca154638ddf7ac8,64a940220c8446f7df2db1ef667226ab619c2b5a,
