idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,56eb40e68919920ba7f973b114536e4620788ed5,9bfa023e2de211afa8960e0d54108439a72c3379,95e696bedd0c7d5f5b183791800a3aa271eb232f,
2,refs/heads/master,9bfa023e2de211afa8960e0d54108439a72c3379,54c7feb0308eb8cb34e99631bc23926c90c1a47d,31820a4e4e1551fbe703a8fc68664f8f8f5c1174,a parent is the base
3,refs/heads/master,54c7feb0308eb8cb34e99631bc23926c90c1a47d,cae552c5ed61c75ed7e0a7ce702bf119607f09ad,82c8d7717ca12cb2d2a24ef1858425fbd0b9faa5,
4,refs/heads/master,cae552c5ed61c75ed7e0a7ce702bf119607f09ad,322403da4a4d81669c65e01180128463abd87b46,66b36719c135d5bd5f7419a0cde64a9bc8ee1040,a parent is the base
5,refs/heads/master,322403da4a4d81669c65e01180128463abd87b46,5e2b37ad92fb4b9d3811862b78520ea39e95a04f,3d191b3192bc52db50d78a19c06183c238b77ee2,a parent is the base
6,refs/heads/master,f9b2623b5e6b58c8fca8c219ba3d81c9c2fb922a,309c2ca9b582826c05b7c8db2760a70021e50bbb,2e812bdbaf2066631658b76a28dd65311d7c2502,a parent is the base
7,refs/heads/master,b5146082d647b881ed2600dbd25314f6bbd7bcb6,a0a3ae18fcdf76a2ae708fc16a350df3938d924a,d29a7f0e51487ab82f7be2a4036efe5ebaaf6aab,
8,refs/heads/master,a0a3ae18fcdf76a2ae708fc16a350df3938d924a,bb6607b30f772003422a4e5f943b23a9b22eddaf,48e3f334923989d50b7e42cb5a1063de2d6995a5,
9,refs/heads/master,df82e302001dc53bffe6c73eadb8e8b2d2ee73e7,ee7b5147aebd6355418268cd81b675566b81bdb9,e90c389eca2c2bdbc817287948925411af32ce56,a parent is the base
10,refs/heads/master,5f1ad31005888993ca93522dd2b14f142d2004e3,38590df24c6b4e9bba214261e6d312d6264d1130,ee7b5147aebd6355418268cd81b675566b81bdb9,
11,refs/heads/master,a96e3b4e66c47c409d0f7cde1314272028fdc574,ce08381be20943ddaa55c8789054814bf775aabe,7214573c9f369be3acd6eebf36e298bec846a519,
12,refs/remotes/origin/pull/14,4ecc6000170804f1ce07031d285aad8efaeb4256,dab74114914d8747c1acc2ac757c398e30e70791,4d9325b46bbb4b16f28842be0dfb4295df74c118,
