idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,160b101b12ea8c8e63697cc0526c65dfce47e3a5,7d7421e302f57e8347681991d0cac50b1bce4652,9a4dc68f2d11b4a0ee929e3619241b028e52be85,a parent is the base
2,refs/heads/master,7d7421e302f57e8347681991d0cac50b1bce4652,4493adcf437a639a529c616ac02343f79bb27fab,5acd07f3a91c16c61a84c646f0c53da8b5eb50cc,
3,refs/heads/master,4493adcf437a639a529c616ac02343f79bb27fab,f02339f088d6a9bec76f28aa460baeb848828580,04952bcf8491241be3e02c725bca1099691d9bc8,a parent is the base
4,refs/heads/master,f02339f088d6a9bec76f28aa460baeb848828580,e1f4fdcfc2635254b72e96ad9d918c7fea5c31bd,0a84d45fe98ec05a50fa24008ba2e902c3384c6c,
5,refs/heads/master,e1f4fdcfc2635254b72e96ad9d918c7fea5c31bd,50fa500158bf800995eb4d41225b4b7fa2f6aada,d23a89df5a87777c4849d2a83646a2c5f030c08a,a parent is the base
6,refs/heads/master,50fa500158bf800995eb4d41225b4b7fa2f6aada,c845cfd3951fff3830601d2853362c508fcbcbfe,7e238405e2cca69fb63d69fb87cb8333d150d356,
7,refs/heads/master,c845cfd3951fff3830601d2853362c508fcbcbfe,68e1447e27892551de72620136dd5e888d5af35c,d4c2b2e3e20b77126223fd1a45f2d70ff45ff0fc,a parent is the base
8,refs/heads/master,bbb91881a7c7d3cd0d8f18a41712d50cb2df8482,17ee2e2ea1210429ef51a7e86cd3d05957d2eca5,a2dfabd90fe42345c9d440bf74a04502bb1ed458,a parent is the base
9,refs/heads/master,29bc7cb4fe6fb85bc4dac6eb0164f26449276bf7,1e68a13d23b8a1a4f7275b14a79d9714cd0f2e51,c9c5f183280ee7a98ae552e7bc90418425020105,a parent is the base
10,refs/heads/master,1e68a13d23b8a1a4f7275b14a79d9714cd0f2e51,05800f55cea009fc7fb6452d0698392348d5a630,e4b3d649b771c3b0f061fcbe7067e2a9f1322ef1,a parent is the base
11,refs/heads/master,05800f55cea009fc7fb6452d0698392348d5a630,512202fdc1f7d21fd1715d9a60edaa03f1f1dd82,55b27436646417a3cae98ac9cd3997c6645f15f6,a parent is the base
12,refs/heads/master,512202fdc1f7d21fd1715d9a60edaa03f1f1dd82,c8f28ade3ffe4d80df134b335e5addd49568093a,d418ba12fb36fd7d7b1fafc2503db335fe195977,
13,refs/heads/master,4e02f7c0faafef44f054b074043409ad1f9db304,d47dfe2fc334ed76bbda7eca520553a5289125ca,7d078345ef12cfce84da8729df379be59e4acedd,
14,refs/heads/master,95c4c4ffeeaf387fbbb2b5cc8d6f8258e2c11eaf,f550db119422e1f4d2e2044202f596bdee10882a,5945f9b500634daae29526a2a35c6f4dea12948e,a parent is the base
15,refs/heads/master,f550db119422e1f4d2e2044202f596bdee10882a,787c44c0727e7d7cefcf757ea95f38b53e354b31,85e392b3b67ee10f5450abe04fb12a7466653aef,a parent is the base
16,refs/heads/master,787c44c0727e7d7cefcf757ea95f38b53e354b31,03519bf13031b0e13f2af32030cc372a698607a5,7b61da67fcf82786f2935ad350020aae4b3a2c7e,a parent is the base
17,refs/heads/master,dab5bc593d7cd28a18228c2b4fdc52757088fde6,19e46cf609b8750b1016ed47b859746378f47126,a2bb7450f0fa4346100c437583b6381dacb58c14,
18,refs/heads/master,19e46cf609b8750b1016ed47b859746378f47126,ffc6a18c49ac9ba2c6ae2c0665d6a770ce27abf3,c1ea9637aca0b485a58b3d08c16bbd39b8955121,a parent is the base
19,refs/heads/master,c1ea9637aca0b485a58b3d08c16bbd39b8955121,67087a0062a06609ab8350f16df50900da7edd0a,eaaa230c4deef0fe9050a76b9222057b6f35a159,
20,refs/heads/master,ffc6a18c49ac9ba2c6ae2c0665d6a770ce27abf3,aeec8a6696fe7b554015182d2741faab43672d7a,713c1dd431568aeff34840025045001ac890fdbe,a parent is the base
21,refs/heads/master,53bc74003e7f2e7ae4753c36d17d0c0047506cb1,177c969b80e18d44e67308c53b4cdf51795222a0,3993684f6b69279ebc4057d597e49707799eecfb,
22,refs/heads/master,ca22a26e2b950a5ab432a18b72647e4e268a266e,4ca03b5d644b542a090cfadc1b97b89b99ee1d61,dfd41cf3df0e52ffe12cf634ce433feffbec0402,a parent is the base
23,refs/remotes/origin/pull/14,769e39e7537f8403ec5df28d0d638be5d66f6d7d,5d5dc9bef10603dc1a2995f22e1b2e0452cb8a22,05800f55cea009fc7fb6452d0698392348d5a630,
24,refs/remotes/origin/pull/15,4ac9b564d510cf81b88608ffca1abac72b53c743,20e7055f00ef4a8bf80c66a5d11d2170db6e9f8f,512202fdc1f7d21fd1715d9a60edaa03f1f1dd82,
