idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,608f13f82d7174b6268b8bc582af678f05d2a6c5,181d34ff8c8cc410b3a516c11cd96625d08b5a0c,faf8a316c2700b24b9593f6e0160e7ec2e5e9a36,a parent is the base
2,refs/heads/master,e87e2846dd2473a05a2bac73d2117aa158e138f7,ef9dc566012ddfc1a7c451e12bc2484734eaf037,8c0dccd9aba742cc7f740366380b80e0a5bb95bf,a parent is the base
3,refs/heads/master,d21ff88798f19d362bfca619081014210c60aef5,67bb7eda43b33c8e61f427b3517919e07dc9c8e5,aca98d144c9c4b6225bb0fbd8f102bf8b44a84aa,a parent is the base
4,refs/heads/master,aca98d144c9c4b6225bb0fbd8f102bf8b44a84aa,a72da3d931f5b2fcbdd86966a84665e71d3b38f4,67bb7eda43b33c8e61f427b3517919e07dc9c8e5,
5,refs/heads/master,67bb7eda43b33c8e61f427b3517919e07dc9c8e5,3e822d3325d06e4b2183a4aad3d341540ae0e611,fd6971e9e0fd538715067ab37a559c1ee9368e79,a parent is the base
6,refs/heads/master,a72da3d931f5b2fcbdd86966a84665e71d3b38f4,1368dc76a4c56e2273a792112d8f0184b7f199a3,3e822d3325d06e4b2183a4aad3d341540ae0e611,
7,refs/heads/master,bac15c400f574dfc70fa4dff92d5ce974c7f4e59,17d69d2ec1795517004c38406db80796a5998f00,3e822d3325d06e4b2183a4aad3d341540ae0e611,
8,refs/heads/master,3e822d3325d06e4b2183a4aad3d341540ae0e611,17ba4aac1622eb547a07af751f7acfec8b056a34,9e650a98aa62626296d75542de273115c851f505,a parent is the base
9,refs/heads/master,9e650a98aa62626296d75542de273115c851f505,96895ab8b1f89b253e4410d2ceedbebb7feb1149,17ba4aac1622eb547a07af751f7acfec8b056a34,
10,refs/heads/master,17ba4aac1622eb547a07af751f7acfec8b056a34,46e5a1892423d2271119a05c31c15532eef24111,cbce9fdeb9e58ed5164c7ab80cdc3738120ff6b3,a parent is the base
11,refs/heads/master,46e5a1892423d2271119a05c31c15532eef24111,3f860f5e66b12d517b25c5d747789cd213cb913b,be0c91a4148a48d36099f725df2c695cc012ae2a,a parent is the base
12,refs/heads/master,17d69d2ec1795517004c38406db80796a5998f00,61a6331d03d52d41d68ba8bc028f706a9e075938,3f860f5e66b12d517b25c5d747789cd213cb913b,
13,refs/heads/master,3f860f5e66b12d517b25c5d747789cd213cb913b,a03381ecec581bef7000ae5868c3dc2173f04ac6,364ae5d2d07aa866fe9f8ed8ee333293ea6ea8a4,a parent is the base
14,refs/heads/master,364ae5d2d07aa866fe9f8ed8ee333293ea6ea8a4,37b0957937d624e620c0e87621e02d5f63afcb10,a03381ecec581bef7000ae5868c3dc2173f04ac6,
15,refs/heads/master,61a6331d03d52d41d68ba8bc028f706a9e075938,3f051f1a2d00ba236841cf6c45b162a1571f36f3,a03381ecec581bef7000ae5868c3dc2173f04ac6,
16,refs/heads/master,a03381ecec581bef7000ae5868c3dc2173f04ac6,72f3a843ad7d989743c3d842e464b5975df3d847,d86e5f88d85987c5542f8593606ab06b5267dec7,a parent is the base
17,refs/heads/master,8a422bbfd3f2808548db896e38992002e2981ac9,60c8821f965cc163ad17996311270255d44ce3b1,249cdcf0f38bc61b2dbe3320c581211dfedf2198,
18,refs/heads/master,60c8821f965cc163ad17996311270255d44ce3b1,77306791291d3af2ed6aebfcc318d21ca5470f41,539373c96a9c4ac49aa0fa1147a1a403a4893ab9,a parent is the base
