idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,a0630224067f4be3525b46f6e102641a459515fe,16ef17cf6121a6877c9d14d6f7ee4718ac063caa,ef1e462ad0a804f0cca67f70b68b44f41e9d0f48,a parent is the base
2,refs/heads/master,7ec66aad3a7e8d3cccc93cdcbb4de8e77e510078,cd8284800520f91b99936ae3e99c32c5a5f8e876,de7b95f0cb7fe48234e0c6cc79570c876dea82fe,
3,refs/heads/master,f0c6deb299da2bf703f211031377463d825ea382,89a9967f3231c3e0adf69fbffc45925b64c9b743,97256563b07f41a00a44a70f1a3d44a79d269f94,a parent is the base
4,refs/heads/master,a3bf645f716b3b6f94350695e49df5ed79785188,72641325da0d15efd2555d377800d20840bad7d6,d6f8261c6a891c624174d990eabc9cf7c4828c85,a parent is the base
5,refs/heads/master,72641325da0d15efd2555d377800d20840bad7d6,e190d86d1d319e0a1abe6c14cf38594c89f76fea,7733222ef5c81cc0e4b6141ee076edf43749ff07,
6,refs/heads/master,e190d86d1d319e0a1abe6c14cf38594c89f76fea,6b1074908f4001026ba923ed64960d9f6c7491ec,588f566d68d55ccf5edc27ef82dfca3134babde7,a parent is the base
7,refs/heads/master,757bc910986be514d628069e86562cb8c2c038ad,2f08275d7ed488f3cf103ec4cf867e01a77264cd,23cde01ada1a0259d1f123100e78d8b3364402ae,
8,refs/heads/master,2f08275d7ed488f3cf103ec4cf867e01a77264cd,27eb08bfb81e47cdcdbea45d732ce2e830e20814,22aedbb3556e43bf29ad4a80aa4d826ee2e1574f,
9,refs/heads/master,27eb08bfb81e47cdcdbea45d732ce2e830e20814,a7a08c183a678dac117703c90f890cf12bf62484,1f17e610cc7db5b0b2c4cb8feb4025718dc5ee42,a parent is the base
10,refs/heads/master,c7baea018154097f8276252d2cd137ade6210bf1,a7a08c183a678dac117703c90f890cf12bf62484,0207a60781ddf13b8eca1a6434ff1f6167b2e99a,a parent is the base
11,refs/heads/master,48036350d2935ab96aefd63f008f30584ad6c800,2582f259e8b300ccc193919a59229e94c9825044,df0187e6fd9a0601054b832e1bdd274dfa37bc3b,
12,refs/heads/master,2582f259e8b300ccc193919a59229e94c9825044,1c0c7ed33f670627aba35d1788054d4ae0b88e70,f610cf247fd05613bf095b456ace47e724fcebca,a parent is the base
13,refs/heads/master,24613611add93077aa0153333d5c7f3001567a38,a6e53f178f7efe3577a814443f7a2f5fe7563053,c5492c8f76dceddf4a1b595a7eb108c9ccb6820d,
14,refs/heads/master,a6e53f178f7efe3577a814443f7a2f5fe7563053,1928197cb5ef930edd5c782f42be9e9956bc8a59,2512cf354555a627cb02633983263da73660f04b,a parent is the base
15,refs/heads/master,c7e1fcdd56f5001106dd7b8f87be620a60559e18,c4f339bebf8fc6550b33bca91cba6d820cf5b412,70fcd67e45211eb9151c3c2fd4672122d52265c0,
16,refs/heads/master,1d493fbd3cb33337dce06dedbffa3c7c8e934b61,dad3b57f9ea9818afaffc040d06491e2a796a54d,5c0e4020a98128f46423e67aa6d1e78462a04e8e,
17,refs/heads/master,dad3b57f9ea9818afaffc040d06491e2a796a54d,56011e4a775c087e37b1e449205321b755c37d76,26b4e21accbd9ccf3051cd6dfe5c1c4eb7b6627e,
18,refs/heads/master,89539d94808bd1b79e1e37c099111ba33365812d,ae3a537dcfa86bd9a0588732b7f344b3f3ee7462,4bd5ac04c8303b2225e4bbf4d11a10f50cddd2a3,
19,refs/heads/master,f81985746156870b23c7a3c7e1c704d0d3d09e92,80d3ffb5aafa90992385c17e8338c2cc5def3cec,294b9ed4d82598415e23d9a19241463ded9a2b68,
