idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,5612512362e4050c9fbed5bc10504342375e244f,f829b91e935e1a7e0cf8c082fc82d05f76d74e03,b179478d5c87219822ab4da09053f7bed82ce7de,
2,refs/heads/master,f829b91e935e1a7e0cf8c082fc82d05f76d74e03,cea7f511affb6663858d948df0e5ef33288643c0,87fdbc7c42d364b21140c4970f9446c79377b34a,
3,refs/heads/master,cea7f511affb6663858d948df0e5ef33288643c0,3431b0536e980e42b99abd2ee55a1bb0a7776f58,cc0449b9f904e59141dbf802fd0bf3c2bc5a1ccc,a parent is the base
4,refs/heads/master,3431b0536e980e42b99abd2ee55a1bb0a7776f58,fe69e8e8d7167679558f2f1f9051537238a26f7a,6675a7f6509377c1b71331cecfaaae7a969c31fd,a parent is the base
5,refs/heads/master,580e159fc47d8c146de625e9cfb4d86f4feccb11,ae02f1e35e0632a7d76a2707565fc37948e1b237,dd5ae8efb454550cf3eea573d122dd54862c1940,a parent is the base
6,refs/heads/master,ae02f1e35e0632a7d76a2707565fc37948e1b237,f62f470f313eab637e0a3b4faf31ea5641dbc578,2f2bcae5e895d186d2ebf0648ee682f55c20effe,
7,refs/heads/master,f62f470f313eab637e0a3b4faf31ea5641dbc578,2c631e0869640f6a26521a97dee7187b573ca5c1,157f4c8329a4585b2b04f958a67b104ad83a58df,
8,refs/heads/master,2c631e0869640f6a26521a97dee7187b573ca5c1,a922f01fecc9d1898f23570c10863db6bab26aa9,421f2209a178a66c114ab6e06293a5b508d7cb6c,
9,refs/heads/master,a922f01fecc9d1898f23570c10863db6bab26aa9,6556c4584b069c107603c68fdaed1b44f6bca14c,7518e3b20e752a85ad778bfbd5cf7d1b8b4fc5aa,a parent is the base
10,refs/heads/master,6556c4584b069c107603c68fdaed1b44f6bca14c,4b3ae90b7a57685dfa8fb078b57f1c5dd1496308,fa5d1d232bb22e398f1a6d25cc7f02e1cdf28a8a,
11,refs/heads/master,4b3ae90b7a57685dfa8fb078b57f1c5dd1496308,77d7de561be15e46edc95e6349369fec48a92f76,a93988d7fba157aba8a370354fcbb488e668a76b,a parent is the base
12,refs/heads/master,77d7de561be15e46edc95e6349369fec48a92f76,32611c44f112b70854e7f417df2975210431404b,c9a848775d43780a1eedd63e75de1b53db7c9c4f,
13,refs/heads/master,32611c44f112b70854e7f417df2975210431404b,c8b45ebb0628e0a05f5b62304dd2dd19487d6bcb,1e2224b0c40915a4a268e5babb6b708f8e183db2,a parent is the base
14,refs/heads/master,c8b45ebb0628e0a05f5b62304dd2dd19487d6bcb,96f06e25a076ba443811acd71c17ed38e41aadb5,8f924aa04ce0f38e14870e711da7f2efb037491e,a parent is the base
15,refs/heads/master,96f06e25a076ba443811acd71c17ed38e41aadb5,10ee73eb0938f53c93808391ba2856a0d9dfe783,6820235bf1745bab942a22dbfb42ec58f3094bf0,
16,refs/heads/master,10ee73eb0938f53c93808391ba2856a0d9dfe783,d6a600bf678bfb05fa7912d268dca551bc8e260f,1fbfa00373012a2aa77557949b6ed6a257819856,a parent is the base
17,refs/heads/master,d6a600bf678bfb05fa7912d268dca551bc8e260f,cd112760267564f494cc55949778136405f4fa31,689192326ecb96c383f88105cbaab21850620bb1,
