idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,6247ebacb9556d3615effb2e695eae30361e351e,3bfa49b12983914d893ca7642868cb5b1e680fe2,4fbc076f61cd48204dc942f1b7264ce2d7c36b94,
2,refs/heads/master,3bfa49b12983914d893ca7642868cb5b1e680fe2,6f0c3ee8c7925f40e74c03303e56275a40e33f6a,b888b86beb088fbb4ec904c66349df83dba1514f,
3,refs/heads/master,6f0c3ee8c7925f40e74c03303e56275a40e33f6a,bc1c30f8c2e17bfc0821da7283c7aa2253ad0e89,fbf19d8b0537aafdede6fba0700734dcc2c8b6a2,a parent is the base
4,refs/heads/master,bc1c30f8c2e17bfc0821da7283c7aa2253ad0e89,bd95d0fe6fbd1e415cef34174a75ff58d1a0f118,3240c21228c2e0b7c3ed89c3c01b4577ef4761f2,
5,refs/heads/master,bd95d0fe6fbd1e415cef34174a75ff58d1a0f118,0bcf06395430fc6211de8f6fe37d4f500d04a18b,3f6bcddd8dd2e4f8358cf9670345b65b10410ed3,
6,refs/heads/master,0bcf06395430fc6211de8f6fe37d4f500d04a18b,c68e668a73cc534ecfdc71d6314abc3af911657e,c380fc2dfe8e3411c9403d3efff24afdba2429c3,
7,refs/heads/master,f31832b40c475f2f59e4f16ee2182438f35395e8,e9bff9376f98af4e08b7ecf63aa4fa9a4f5b0378,a1a556e100f45ec47f00d1d33069a08cb0fe761b,a parent is the base
8,refs/heads/master,0767c99bc9872e07e872c3ad342c793c577d285e,f21de30edb688b2f8e472167b9efc02c0ffecd75,e9bff9376f98af4e08b7ecf63aa4fa9a4f5b0378,
9,refs/heads/master,19c283c1914a848e24d9580557b90517ddb3de37,d894ae713304caf36af855a395fb16c6d3d68f89,a7522d118421385beb8d576f6e8c32f4498fe043,
10,refs/heads/master,5d4f226f73b7e0ce5e3dd917055ca2e60178e952,ddc4950286d212dbe84a9d3c74246cc8c7a59164,6c3da3936e6f3824d032657903f56a80105f13d4,a parent is the base
11,refs/heads/master,83b6bce3be7422e6fc775db089a86744926a2528,168aa5ceab46563b24d84ce21061dede0993e255,8730bbd9140a9ecd364904c4e464a0d9bf533284,
12,refs/heads/master,168aa5ceab46563b24d84ce21061dede0993e255,97c8f5be56d9eeacf20641ade9b3207abdf64a11,56f1223038203bc846ecf22fb44dc3f27bc04b92,a parent is the base
13,refs/heads/master,97c8f5be56d9eeacf20641ade9b3207abdf64a11,fcf3b2e10103e3f8efd89eecb57d92401d02e549,e1b94045b5ec48a601df2dc2a8e7312c0e96d771,
14,refs/heads/master,fcf3b2e10103e3f8efd89eecb57d92401d02e549,286c79f61d868096e591b75272b1e4071cd03c23,b8922e98a7bec8e446d68419b9ef226e4e4f74f8,
15,refs/heads/master,286c79f61d868096e591b75272b1e4071cd03c23,bb20b4d2739ed6dd2dd3e23c139aaf2eac9f9c44,3e0e705f08cfc469dfe16d254c68aa762231644e,a parent is the base
