idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/ea,30b5f2a54f7ff0a0cf81ee1d4917ee816dc2546c,3154cf26befb1dac6dbb7d2a9b89d7cf69d4a9b7,0b63584c03c3ac4d8400673a91abb8cba34525d1,a parent is the base
2,refs/heads/ea,7ac4d546a3616fa31e12967d7edbe1877824bc04,67b1b8e6c271b57ea793cde20e2b9f27a788c1fa,70a38eeeaff67a60d10c2de09dc44172b55bfa0f,a parent is the base
3,refs/heads/ea,c99d8ac5ad3c8955335ed97d3711aa71c294f2f9,1e9fbb7987e0e4023c2a715b503980f753422adc,fc67c315f8398dcad18998c5b73613ca3689f837,
4,refs/heads/ea,1e9fbb7987e0e4023c2a715b503980f753422adc,0aeab4a082a9ee658721e58bb9fb8d2297d92a0a,1991b5331d54445f48a3eb96078ffd464b50fbfb,
5,refs/heads/ea,92425829c7ceffbf6fc90bc8c3ca3a2f579a5c04,be240fd7d081c1c2fcd8d1f83632b58aaa8f1cc2,76fdde7269e1a880dd159cb857529165e86306c4,a parent is the base
6,refs/heads/ea,397f9665275fa551c2e316fa380e271aaa717975,f534f9f66df1599652fc2c1f654493b139104c27,f0bafe1a00854598b85d0bc53eea574e1db5af7a,a parent is the base
7,refs/heads/ea,de4331a32369a70caa5edbbf7f5daeeb07e0501d,7321b54dec3c1aec72023535bf2923116acc1f72,8190f70cef35f3e847bce4d44ea43dff2e294308,a parent is the base
8,refs/heads/ea,8190f70cef35f3e847bce4d44ea43dff2e294308,ed6b4a3f84f43f690aef322a70a6c70f29f6dc9d,7321b54dec3c1aec72023535bf2923116acc1f72,
9,refs/heads/ea,ed6b4a3f84f43f690aef322a70a6c70f29f6dc9d,93c387b0dc7330e6e953d77d47c83ab9bb630179,98c16ba92dc917449847d9eca95e7b1f0d8e9010,
10,refs/heads/ea,93c387b0dc7330e6e953d77d47c83ab9bb630179,3faed1fa9a593949d442c64e44db4d400a8787d9,d0745e604b93c47ccc6cbc9d17ab0a6256060fd9,
11,refs/heads/ea,3faed1fa9a593949d442c64e44db4d400a8787d9,44d056d6df85a595e98e494042b0faa124920623,ecc0725c05bfde6d71c56fe090d07ed31b834f17,
12,refs/heads/ea,a4ae8250f19475dec2deb09bec3d1c3053c2500e,56769c0c7dc35a68ab2dd530639aa2e5e6e01b96,2f3ca12a73352d514012a09e0ffb8431506cd229,
13,refs/heads/ea,2f3ca12a73352d514012a09e0ffb8431506cd229,34d2251e9bac9c536daf008884cd98837dde28b3,bd0c9fc4f05ea9d8265120f19d99db88a5d65574,
