idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,251c43fc68e13ba39d90852baa0b6ba38af8c402,9cd4053ded0d18a7f93a43c05141cdba0d79585d,97abb5bf2763baf189e0e5e742471f3f2ccf6228,a parent is the base
2,refs/heads/master,9cd4053ded0d18a7f93a43c05141cdba0d79585d,e9e9ca15808f5117e787ea0f712269a6956d8c56,1189a1239c8f7fce34435bdea556694e9ac8294a,
3,refs/heads/master,e9e9ca15808f5117e787ea0f712269a6956d8c56,5e1002681177c883dc6e4c1d5c0ec2a74be4bba3,a593d6c2b71bcb8f9041d68500eaf004cd888689,a parent is the base
4,refs/heads/master,5e1002681177c883dc6e4c1d5c0ec2a74be4bba3,4f6dfa76689be6af37e0831a5840a5235cbbf9c3,52d6040f0712f97ff2b9afa727eb124352ddf695,
5,refs/heads/master,4f6dfa76689be6af37e0831a5840a5235cbbf9c3,42459dae6a64de2c057f69dfc00132ecf382db1e,981b5756c8e6c32ee598efbd5532709024b2e64e,
6,refs/heads/master,42459dae6a64de2c057f69dfc00132ecf382db1e,2f097bfb549fbd004e9996dc1393d66d71327bcd,6366916c473a28d0581261a7aabb420663fe3527,
7,refs/heads/master,2f097bfb549fbd004e9996dc1393d66d71327bcd,05ddd9631a26005d8b72ef4c2425c7c150ae8e63,12ee5d9f1ea09794a756a421ff57077abce8a502,
8,refs/heads/master,05ddd9631a26005d8b72ef4c2425c7c150ae8e63,c33a0f94e00683df5545844e99dcb5d1e8670997,6b866767ecc71111662dccc2ecc656eda183f19e,
9,refs/heads/master,fe0ebf7fd38ac7e5daf86732583d3d8f439b780d,fde1d42ae2522c899e1883ef0e803392e1aa4fd6,984fc6cc6a8e08b91617c63ae36806b18bf9eca8,a parent is the base
10,refs/heads/master,fde1d42ae2522c899e1883ef0e803392e1aa4fd6,3ef822a6e89b27053d68588d586f9aa1d873a7ac,d624d492d7bd57176c711e326c556b099e7b533a,
11,refs/heads/master,3ef822a6e89b27053d68588d586f9aa1d873a7ac,af10bc10ccf20a4c6dca87fd6e1a999a7f95cb8c,cd51c9e5f2e223ffb33689dfdbb8503e99c12e46,
12,refs/heads/master,af10bc10ccf20a4c6dca87fd6e1a999a7f95cb8c,94d106bbc926e1d28fd5d5457853ee78d798dbc0,81df0d8513649b1c94f97fd8fd7f36aa97d00e3a,a parent is the base
13,refs/heads/master,94d106bbc926e1d28fd5d5457853ee78d798dbc0,57ad19547ed45da31fa303598a22f464d2f0e535,3ed6f14233c8bedc5d4213eb324049ae94bab1a7,
14,refs/heads/master,57ad19547ed45da31fa303598a22f464d2f0e535,309c319519b61e3bedaa925bd5ada67ff51e8391,3da180771845ed4cd4820775751268767edd6f9f,
15,refs/heads/master,309c319519b61e3bedaa925bd5ada67ff51e8391,f826fa79d9df6ba17cf7f65da002836a07179dcf,e1bf1e0f56a385c4f07a5fcc8e0feca4103e7cfc,a parent is the base
16,refs/heads/master,3ed6f14233c8bedc5d4213eb324049ae94bab1a7,fbcd6164d04d4ceb34ae6eae6bafe20ff25ef755,f826fa79d9df6ba17cf7f65da002836a07179dcf,
17,refs/heads/master,3da180771845ed4cd4820775751268767edd6f9f,2fbaf8774aece20938f4ea373876c70372ba8366,f826fa79d9df6ba17cf7f65da002836a07179dcf,
18,refs/heads/master,e1bf1e0f56a385c4f07a5fcc8e0feca4103e7cfc,613f4ceb6c7ab657d4a3ddb64fca734db3b6b8ac,f826fa79d9df6ba17cf7f65da002836a07179dcf,
19,refs/heads/master,445505861f08683e3984ebe22951d6911adc8bc2,6f1735d0c9d701c91cbf76ced9f2ebdd211ab8ed,d8e3efe215d03370603b5f74c2cde7761bda9eec,a parent is the base
20,refs/heads/master,d8e3efe215d03370603b5f74c2cde7761bda9eec,8738dcd19876a92ef2f84746471bd9df055ed0c8,6f1735d0c9d701c91cbf76ced9f2ebdd211ab8ed,
21,refs/heads/master,550890afa7d43199d6ae53532104e4dcfe8e7c87,5562e005e0223b98e3f4673ce2f1ab6c52aab07f,9feccd270a13472de680625597a3099f01d9a86a,
22,refs/heads/master,efd4a65fb534d1167a84351063f5cafac7bf5cd0,02a9224b8c0c48f5273009ceee47a8271bcc1d78,72e4db2240f3acb9580732a7e91d51c6d9fe7ff7,
23,refs/heads/master,02a9224b8c0c48f5273009ceee47a8271bcc1d78,8f121829243eb488421f7b62314a04ade8a8fa25,044a66db174ac6b1eb2c0f625371ba95543b2385,a parent is the base
24,refs/heads/master,259ecba762479756aca2c69c6ad55c118d57ab6b,62dd42d94c6fe268905d61a5259b4d125066280e,2eec95fa5fd9bbf62e26e4d7162871b44b77b3e1,a parent is the base
25,refs/heads/master,62dd42d94c6fe268905d61a5259b4d125066280e,000caffb141f616a8998e8f075c5faa7395334e0,e10a8a784117de9d660a995a3c82f3ceb345bf7d,a parent is the base
26,refs/heads/master,000caffb141f616a8998e8f075c5faa7395334e0,92c9402620f291cc750138ff4f34d2052c9a46e0,67a18feafd41f4d2dadfae5facc6d5143aa19ca0,a parent is the base
