idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/main,28d70261ae5d451bf0d9700d2cc4de51d5ed0d96,403870e8044994d4fc0bc53e6d46f637a39ecd43,f5599a256144b00f7d73533bb6315b0b80d2a69c,
2,refs/heads/main,f5599a256144b00f7d73533bb6315b0b80d2a69c,bdd9c2166ddac65e2823d36cb050b09ed1dd837f,8564f51ccccdcf7949c9836d885b68c590767406,
3,refs/heads/main,eca9958bac87bb493c8247410f61485116c037b0,4e849857fd1a1ce2af08fd7ec37f0d36454f964e,fe854374506eb40d962c012d27037b4e4165aa71,a parent is the base
4,refs/heads/main,f801041733c72d8980c748f51ee155a2f02c69e3,4e849857fd1a1ce2af08fd7ec37f0d36454f964e,90a8d93c1a5ffec742021c5d3be8c4587aa267f9,
5,refs/heads/main,4e849857fd1a1ce2af08fd7ec37f0d36454f964e,1be03477b4749d21c7798c1b65d1ac9249abab4c,b3793963e9edf60c813a2bebb4db902de17bbcd8,a parent is the base
6,refs/heads/main,d3708b7cada945dc5a701a28fca04f1342d0589d,eaf7e75678216a022ad04a100af62bd101ff7c3c,f71e836afbd557221865e640a7d4b47635a4f459,
7,refs/heads/main,eaf7e75678216a022ad04a100af62bd101ff7c3c,6861ce22433e467459d36df74827cdb4653b5e6e,c7dc62dfd2cbb01ad2fa019ab511f26ada858f59,a parent is the base
8,refs/heads/main,7db98cb828534e74d877d7fd92be1dd396f45ae9,e0345d7e641e0cfb654537fb09cbed83704c0e98,0426879eee1b1cd426e0b3abc8d4c3f7e4ab5f1e,
9,refs/heads/main,9d9fd3606a47485202c088f2be6e5d7da5d6d49a,e8f9156f67ae58f0b0a357110e6cfc1b859ba848,360c77d0f36d15652c74b77804c8c076c5c84fa8,
10,refs/heads/main,82cc3d1d6bbf717520639596a2d16dd9d527a48d,bae1ea977e7cf66326a9c93bf4a5977849bd6e8e,3c31ecc953cf63f931672f6a972914f04dd434d7,a parent is the base
11,refs/heads/main,e43cdb50ee6dd3ffdddc8472fcdbcb2eb10d344a,65472612026835a1369620cd469aa18580742463,2818d24457ba98e88e142db68e35b3bf67b1bd5e,
12,refs/remotes/origin/pull/23,3bea9b3a63b974af7134d0152c1ac5a5f29e7ef5,0091a4c69c4c742cf9df2d8c8da829920c989c0f,b872eb01815d68ec1ddb0cf80d16a7962e865ce9,
