idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,90cb13c822d5ecf6bcd3194c1bc2a11cec827626,c357cc1b70523f7f14fceed93bd5a57911d5d3fd,3fcc2eb63b04d5ac3fdf074b9d06113cece6cbda,
2,refs/heads/master,245ce384faeb6561ebabe3df121b8cd01138d3b8,991c1dd9d9841fae567941eead463d803f80095c,3f11cc23173771a2d73de133e2810662cd583754,
3,refs/heads/master,8bac7e41e6145a0dc0b5e315a5d683f54bb67172,a3ec3110f06cca7c0222f5d29d2d5621ae14baec,8e420a131d6b726abafd703d4fcaf060783f828d,
4,refs/heads/master,8e420a131d6b726abafd703d4fcaf060783f828d,1306a399b0bde4d9f12b4fa0f52142b3e022f9b0,b6973f73fa2e5eedc2d5912ba26b9bb6974ab692,a parent is the base
5,refs/heads/master,95ee7c94c9283d1b689cb644a0f21255bd235e5b,b0240a661917adedc2aba69e0043456bdb8d211f,af969abb017fb81c361baaf9da564ad3c0fa36d9,
6,refs/heads/master,193dd71c04047473724935e5939b20c54904b36e,d57277ad187059676557bf5fa4c551ca395a07d0,cc9e5572be463c5e415af98b3c1f5101ec2c6016,a parent is the base
7,refs/heads/master,c9e7e1975c42699f3c336f2ac0e7292cabea3622,d70118c13ab5cebd3a5c5110488c023f4b8a7487,2b1597bd1a48e1769df1a002f3ea6fb8e29faaf0,a parent is the base
8,refs/heads/master,7337041116d88588b5d9f830b5483d5d8b1eee3d,ead66d0c9cbc3060f3f320af1846bcf63501ec61,80364568eb57974d71cf3959273f95a40ddb011f,a parent is the base
9,refs/heads/master,e47d41a310dce9c6f928285a89b7f2cee92d1b74,db4afc2504f9871446e431e980e6357329dda93c,957f0d57c25b3cdc15a305955d692c3b14e5e555,a parent is the base
10,refs/heads/master,db4afc2504f9871446e431e980e6357329dda93c,e9db2cf5f63436a765772c0f1545c73ef958027f,6a52c73d3c0a29a6a7af744ff06bed116e07c0dd,a parent is the base
11,refs/heads/master,ad6f7166438112a734be0de2df5703632b523e97,3e77f6070c2748121e62acf1a6b4d949e3527cf9,a0f5862c447c09031656f36d540c89fae7b5f645,
12,refs/heads/master,3d5279963549da0225a9b574961d145d6f6dcd33,99d7e8fb8cf93cf1d0d4537e9feb100112324778,f69d27b74506b35852dd8ba351a5c115d3edcee2,
13,refs/heads/master,f69d27b74506b35852dd8ba351a5c115d3edcee2,6628c4fa100804bc66fed2c603432dccd24205f3,1b567581b318b7f2084bfac16530873d56765448,a parent is the base
14,refs/heads/master,99d7e8fb8cf93cf1d0d4537e9feb100112324778,d8e125b07439b8f4c916263b9ad0484dda2adc0d,6ca221a4fde87aa6acc1343e3f3271af77535b1b,
15,refs/heads/master,d8e125b07439b8f4c916263b9ad0484dda2adc0d,8abafa4906f96914c3eb05b6cf20338214a791aa,6628c4fa100804bc66fed2c603432dccd24205f3,
16,refs/heads/master,3ab975f8985cbb73cc37ed6dc6ba09bbf96aeef9,7b45cafec006104d16b6d1760b0fcfab48cea606,8eef25d4ba06c3c650562b329155501f6f4d4b73,a parent is the base
17,refs/heads/master,f13d15914f40f49d860acbb2501e31185ed70a41,df94e059ee5d0e67b3353725825e9dfd6cefbebc,50c56a171411cfb9d610e531df5b5abd113785ee,
18,refs/heads/master,39f4eb62753450e21f6a6ca19c23f497ca5e232e,ae3badae908aeb4adfb8b78e35efe20246148b4e,c8a4d09a2b3255af9f89e6d6909aad82bf304799,a parent is the base
19,refs/heads/master,ae3badae908aeb4adfb8b78e35efe20246148b4e,4025c94e6bdc2a7f9458e9b61242f0823d941e58,4ed9b9723fd5451f63647c0a09a71d1b56c06160,
20,refs/heads/master,4ed9b9723fd5451f63647c0a09a71d1b56c06160,1a68f9f66110cfb8eaf5f42d6b91f19e6b95a0b6,8a2dd860698d6a89899b596f80e2b6c3cb62fc58,a parent is the base
21,refs/heads/master,1a68f9f66110cfb8eaf5f42d6b91f19e6b95a0b6,4a32f8afe9dc0b413476561a281d5775abcbd8ef,0e2a39279c484ffac7245c4c9e8dcd566a0fc959,a parent is the base
22,refs/remotes/origin/pull/35,584af5828009d374bfd2504591fb21adb4d4652a,210a98df137ff2cf33df6c9e70e1d19910e7a54d,c68a1a5627c67cf4192df2026d0baceb04d31c05,
23,refs/remotes/origin/pull/35,210a98df137ff2cf33df6c9e70e1d19910e7a54d,c95c64ab03d6e3659b736217b3ee950f4df2baac,96476e2ac8c07c4a5480b229897ab2c2b7a64cf0,
24,refs/remotes/origin/pull/35,c68a1a5627c67cf4192df2026d0baceb04d31c05,c95c64ab03d6e3659b736217b3ee950f4df2baac,96476e2ac8c07c4a5480b229897ab2c2b7a64cf0,
