idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,cad10e44c22ff636db139d143156e51c9456ef21,dfbad21836d4bb4d057f8f43af94e5276b3123e0,b46a66f1c497084adbe9ea2f358254d603bf4b45,
2,refs/heads/master,f5c5f36dec4100dff797b2f774536696d5242df3,ddfe3b4192d446a48b56d5b62fad6b412a678eb9,161bc34cc1301f2211098d92e0bb107583e81775,
3,refs/heads/master,ddfe3b4192d446a48b56d5b62fad6b412a678eb9,dbc1aa0b7c02a80205c9631cd78f2851d9b90db0,3f2751bc359df85117d80d9930473a6e0d1f649d,
4,refs/heads/master,dbc1aa0b7c02a80205c9631cd78f2851d9b90db0,9eb7275002cfa4af2229467f1b2377b9a89d1930,bf2f8a4d82da4d9dc14f1bbae34bbab3df93808c,
5,refs/heads/master,9eb7275002cfa4af2229467f1b2377b9a89d1930,2394534499006cbd83e2fbdb8dcf9e23000e58c4,401ce5f386c88f03a0d88199a2c69e8c741d22f7,
6,refs/heads/master,2394534499006cbd83e2fbdb8dcf9e23000e58c4,3ac4c8b308dc86abc413870fac1b838c5ebc7b60,28e5513d3e319cf86b7201257aab3f039d3d4317,
7,refs/heads/master,891522a21189f7eaa68eedd0cd66cabd0012ab3c,582439fe98ab152029caf22cb9a345b1ec3d78d7,ba555536f3a7f984e74946f2ec23e6acace38e00,a parent is the base
8,refs/heads/master,1c960e8ad5fb109197098d27f3159bc24214bdc6,706d5c0e92a3cee2d3c6146d06865aef35b0ec9c,ade2786750e4a2f2cd9f2ed2ff924881536be041,
9,refs/heads/master,94443c2172c9a5a96d44cf63aa1af10bd431a476,33afcf5c417e2af06a2d30700efcdf490713c161,e49b2e23f4851e1197463706967885dc0a16dba6,
10,refs/heads/master,5cab522c048d7002c943e8c329a5e9f8bd8fe9ee,3d62f2905d6aacb61d926ec8c93864f6609c3219,aa719ef5a2dbd1b43869e9e1b55e191ac17877f2,
11,refs/heads/master,3d62f2905d6aacb61d926ec8c93864f6609c3219,ba8e59ec623a68444a3bd7e6842281c8e8e9502a,66d250c5477fbb93fd2efb8fcd7a7780cd52f518,
12,refs/heads/master,ba8e59ec623a68444a3bd7e6842281c8e8e9502a,24bf1315d1080a282766070e9e2557c96405820b,5d457c68b5e3385945537edfec674b18385ac18c,
13,refs/heads/master,9cbc89c0e5b56f1324323f509f951260ce34cc1b,fb79f05a80fdea212efb23ab1b98c2c77565dd4f,070e9635a6912035a2f4966db0952a6517d4b3cc,
14,refs/heads/master,fb79f05a80fdea212efb23ab1b98c2c77565dd4f,c37a1df13bcbeb41a1437dc9f4e546c208888633,d472933b28b8c88fdc1e104221d07ac8a07e8529,
15,refs/heads/master,c37a1df13bcbeb41a1437dc9f4e546c208888633,0a2f7e00c0c0fe047fc102456888670ece4101bf,a9429dba75c19fafd4666a204f0ee8b28a872d7b,
16,refs/heads/master,0a2f7e00c0c0fe047fc102456888670ece4101bf,568e4870b8ee6b4c387faae76c13794302eb2cf2,17ab530b31d5e485f017fae63b8363c0a1e9e622,
17,refs/heads/master,568e4870b8ee6b4c387faae76c13794302eb2cf2,375aaadf449a9c29a23397875bb42fabc051ca01,ddd9d9511daf7df30fd6909dc3dd638a76cc7405,
18,refs/heads/master,375aaadf449a9c29a23397875bb42fabc051ca01,a75349646eaae16d5c8a8c424eb3e6e6ae01b44a,a02928e18a7e145f3058e3e7fe8415b9be40a7c3,
19,refs/heads/master,ed4df5f51bd1cf4961c596848f4504b13313a6bb,0bb2809b681a5406dd06dfedf21ca73a7af82a98,b99020b9654cfd59bdc2be2327dd8232464af572,
20,refs/heads/master,e279293590e9d10fbd09353bd505e6f97a060c8d,f058e1333921e0446563e5da54b16fbc6552832d,35385af641c110c21c0b6af59835b9370a5d674b,
21,refs/heads/master,f058e1333921e0446563e5da54b16fbc6552832d,6057b5b59bd7a6d5f3e90cf7d8e56c9987b90e65,f5fe6256b74d7f4bd29f584b7feaf4f1aae110a7,
22,refs/heads/master,970ef26a197b568f942a3a2592488b72bdba8140,33c81772e6a7c0b503d1b102bea7b9ded99f9552,e93628edfe7163399bdb8502b08fc2d90423d655,
