idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
2,refs/heads/master,cfbaea3ed7d23420103abd99a8f76227c93a4d49,19546ccaee3be18aa181a6780df91bb03cfc2b71,0323eef6159d8f86dce7c195a44cdbb616a402c5,,False,False,,,,,,False
4,refs/heads/master,71c338d806fb37eafa9eb54580599f735d57652b,63042bed33fd314c82454924ccabebc3734f49d0,387a02dfc8420855c746f0328587adf3b18cb272,,False,False,,,,,,False
9,refs/heads/master,b8830e1694f9de4d88f8b1168f84bc0d7ceb0a25,4065ad7dc7e672ee7f8c2a217758d1670657c599,b9b6446e2db505132b56a9addddf418f07e21d4f,,False,False,,,,,,False
10,refs/heads/master,4065ad7dc7e672ee7f8c2a217758d1670657c599,bb4d927a20e9d48dbeea957066568a2050282817,5d449e221109494fdda21b262070524f24fa40f1,,False,False,,,,,,False
11,refs/heads/master,51ab54f6f0cf9bb19803f9e278c7ca427e42b947,a10301161ade606c299998a63070c2ecfb148410,bae01d4a5195f0b50bef5f59fa557cfb0f9b3a41,,False,False,,,,,,False
12,refs/heads/master,d3906cc39b0d4bea70e8fd16a9831ed89688a9b6,a95a8a1c3ff751fff9b1c30e7a47a080cfe045c4,cd3b3ec46fd7c7cfdd6745447d433b13407e14c6,,False,False,,,,,,False
13,refs/heads/master,cd3b3ec46fd7c7cfdd6745447d433b13407e14c6,62edd7689df134812f2a899df3e150c7b46f9405,adaf2ac14e4f6297415006868bbbe69544bf72ea,,False,False,,,,,,False
15,refs/heads/master,a00e83f37173bd400886462ca823b5aea8466c0e,c15e034d11e18c370cb4c892dbecf88f00268123,9708fa7889689f5a5746c42cc224237b1e60dd63,,False,True,abcd49e5c900d3817e24f074c6f239511600b662e22f6d0568fcbe204716cd1e,Tests_failed,69baf1ee34c379c1e976404db6c667602f4092521ef2858568c96396caccf0fd,Tests_failed,False,False
16,refs/heads/master,c4063e166f6d29f47ddcbcf2d9bfe0fec5854022,8c874e794a6e0d7ea222a2c662717a04f948b351,f9f652c0072a0be40f485e7243b38fa2c5bab674,,False,False,,,,,,False
17,refs/heads/master,55bee0a0b50de5bb20b87c1c37555dfab7dd0e95,0b670e1b679b0b4dd6bd32f88e58cb1e30963a5d,37130832a265f599b8c29592baba076e28183639,,False,False,,,,,,False
18,refs/heads/master,b84f8c4b512b5c65ba4d4149a4b99b2dbda5c864,22603c9474bc0a352c06f260ace2e7d4c389208d,f0b1308aa01db1e997d743e14c441276356addb2,,False,False,,,,,,False
19,refs/heads/master,71302f8d89fc3848017b099193146120be338a1d,3c2990c4919fbcfa8d41dbd9a4a7972a0af8e5f4,118c06691cf0171c5a3f4f48b3ee803dd1387a4a,,False,False,,,,,,False
20,refs/heads/master,25597928aa50c97b8edf7fb972fb66f68378ef29,2e1be7bfeecea9593b7372af7111d51bf916697c,dbebfdaa085045c9ab412ab65280d38a37ad09f2,,False,False,,,,,,False
21,refs/heads/master,3efd0595c140dc23affc8389828caf5d9121711d,64623c5f5726b1dbb1e7d7a1e1ff4f236a38e0f2,d40a7af2dd0c8a444ca9e3517303b14fa9be1b68,,False,False,,,,,,False
