idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_lines,parents pass,right parent test result,right_tree_fingerprint,test merge,sampled for testing
2,refs/heads/master,3702b624883e3c8e1bf06287ab6734e9b050019a,8b33903607a7f6833ffeb44494c45ea4fdde52cf,387696a377b8166f812432678595d3f913cf6132,,False,False,,,True,6,22,,,,False,False
3,refs/heads/master,8b33903607a7f6833ffeb44494c45ea4fdde52cf,b41b61ec13415d5b5df2f16955ca96718a805f94,b2a2ce32eb66dc1463e3294683d0a971ef97460c,,False,False,,,True,5,20,,,,False,False
4,refs/heads/master,b41b61ec13415d5b5df2f16955ca96718a805f94,67cc5a0992980a30ce083a38ab28eb47112eae00,3e8e8e89fbcb948a29eb31f0bf06c19f7796bbc1,,False,False,,,True,5,12,,,,False,False
7,refs/heads/master,ad6456ddf392220ed91b1cecc86bd5801242a02b,40f0e34df0f3d891bd92bd1a34bb27907831546e,38c7ba67a9c4ad448eb672194bcb7af2ce09976a,,False,False,,,True,5,14,,,,False,False
8,refs/heads/master,40f0e34df0f3d891bd92bd1a34bb27907831546e,d11eb73dba96620eb2c947b5a73fc040637d0ddd,f75a7ff07da77bbe8de358434cd5ef99c4bfc3c3,,False,False,,,True,5,10,,,,False,False
10,refs/heads/master,023a712b4609f623e16a018e508c3918850d9596,5166f0e28b05f64002e4f23dee44b5a70dd72a2b,5f194fcde1038e21bc01a45b6da12be5272b8f11,,False,False,,,True,5,14,,,,False,False
11,refs/heads/master,5166f0e28b05f64002e4f23dee44b5a70dd72a2b,2a3d37dbf38debe1fb45246b022eaaca237edcc5,5a40719bfda559ad9bc052eb94c3be2b5b1916e1,,False,False,,,True,4,10,,,,False,False
13,refs/heads/master,fd0a34b2af24104edb7071379e65e2dd7ce22a23,de22b1bdf9d8538534a9534a1b2eb6897369a903,ad287f86bea31b10842e105128440a430d19dc27,,False,False,,,True,7,14,,,,False,False
14,refs/heads/master,64892287652746488ee8a688166503d8cc586e94,dc6073491394f9563d9c6d83f1d683994ec964ad,49da79fa94fb8a7f8f8166afde6ccd0e6df9b650,,False,True,,,True,36,110,,,,False,False
17,refs/heads/master,134c503e91438467da2d924d140505ff25a25418,a2ea203e8569e76522f1fe325a2bd761ab6bc6df,136aad622bc1dcdb79a955d2ac55b46b012b7d49,,False,False,,,True,6,14,,,,False,False
18,refs/heads/master,a2ea203e8569e76522f1fe325a2bd761ab6bc6df,89fd348aa019d90e6bc2894dd594f83401f5b9a5,c93198b065645bb2c0a49e9e3946f2dbe992a162,,False,False,,,True,5,12,,,,False,False
20,refs/heads/master,3179bcf4b77ebf2cfb2021d088ef2bccca511948,a10bc749824f641ad6ff0aa81b0b97375e0dc03b,ecfad8c4b90b576cb48768bf5fed9bb1ef99f41e,,False,False,,,True,4,10,,,,False,False
23,refs/heads/master,954a09019b3e7aaab578305f45fcc7bfc8b86c0c,b1fec7544b0579a1ba36652701273687296984d9,0fa2e157b738be52def622698c2ca44f27b0a78e,,False,False,,,True,4,10,,,,False,False
25,refs/heads/master,ab40dd3a8defe04a738007ce955f518020b9164f,ebc99ffee7e8a6deff4a3a88c32897b43dba7d5a,730d04270cd2d2c48bb03c507b9ee0644def3943,,False,False,,,True,6,30,,,,False,False
32,refs/heads/master,2e00165cbac07db183949e4e5087f98898fcaee9,df04a328f5e367ee75cbb666a2245d4e34e9ecd7,9b528333b8afcae363a1b6b0843b8c59e375ff37,,False,False,,,True,5,12,,,,False,False
39,refs/heads/master,aac34e4292cfeadb1ea690cefc6150fa08dd82b9,07e2d339cea491bae164561e57c98e618a5b65c0,be6189ae3af9c9bcdaf6fe064e0ea1dd3ac38557,,False,False,,,True,6,12,,,,False,False
43,refs/heads/master,794813d54df41448e4f62ea46fede4a771d93445,7576b62ca89d701d001bbcd7240658c605878f44,fde10e03206c303a7feb53b9af9a93a23c27018c,,False,False,,,True,3,14,,,,False,False
44,refs/heads/master,67f0d3677a6f90a5b72cc6dd9129c37d68450497,ccea22ae867574363030b59cb9a5ebb3dba452fc,4afefbec8dc96fc9d7968d915f834e17044f5263,,False,False,,,True,3,11,,,,False,False
45,refs/heads/master,57a56cc01757926f52a5effdaa1745f3b6f6885d,97f37551dd10961d9ce6a5e859d62b08992c13bd,b32ee28ea3ef03a9fc101d566ca882de7f13edcf,,False,False,,,True,3,7,,,,False,False
47,refs/heads/master,36bc9b0a6376652569703f2391d193d481b0c4b5,2973a51cb21c8d1125d37353bc686134a65cc130,161a645d55599264754dd950dda2fc5e65101ab5,,False,False,,,True,6,50,,,,False,False
48,refs/heads/master,2973a51cb21c8d1125d37353bc686134a65cc130,a9d5e434d960f18adf1ca5fee97d38d0300543f1,f0b2ba2e44756c3bd1ff9d5a8c00c5abebf9c9d8,,False,False,,,True,6,48,,,,False,False
49,refs/heads/master,a9d5e434d960f18adf1ca5fee97d38d0300543f1,37fcb8ca56546db88fb27da8e66b441e60a90448,06cf284f9da85f9c9819ab5d80ee9bcf9051253b,,False,True,,,True,39,1328,,,,False,False
50,refs/heads/master,37fcb8ca56546db88fb27da8e66b441e60a90448,0c6d2a09538882ed715d7df72ac4594f85aa93a2,ce1269c33cc785b94294b3c584bfc2f731af4ca8,,False,True,,,True,39,1326,,,,False,False
51,refs/heads/master,0c6d2a09538882ed715d7df72ac4594f85aa93a2,22925931b963e742018acf99fe7c1f11212cc635,fece37647513abfa7bd2e78622ca4714392b21e8,,False,True,,,True,252,39992,,,,False,False
53,refs/heads/master,a510106fc4dc9442da016ddb4d3d6e59606a76ed,a5e27fd7a5a5e3b5b19a03b65dde82a6eb24baf3,e4df5113840f4150d89fc511e51eb0e658bbbff4,,False,True,,,True,37,1294,,,,False,False
54,refs/heads/master,a5e27fd7a5a5e3b5b19a03b65dde82a6eb24baf3,6e1373796112ab83cc8485f5fe6ceb5ab80ed5cf,c73ee4a0814fd33cf355e30a20e16ce7ac42c2a0,,False,False,,,True,5,16,,,,False,False
61,refs/heads/master,be4218e610a00ab2db6a6ac90544adcc237e2ef3,e7b5f9495d3043ae85cd5d1e5e5a78f30c62b031,816cee6af0a0266556769e59e2b6ebb34aa06637,,False,False,,,True,4,7,,,,False,False
63,refs/heads/master,b0ac7f002a33605c3ac4f907cf4a9b521faa6a09,d3a05766cb06770229652844d53188a1aef08d91,579272f3452d8f8b65b05e00308ea8be6169aa6c,,False,False,,,True,7,87,,,,False,False
64,refs/heads/master,2f0b8dc42f01208cce203eb6fd5c0ff606836e1f,0bf31ebbfaa97b48102d4b15fc3bd7c03d58125d,ce9f21a456ad3f778c1ff43da0c3e3259cf1e79b,,False,False,,,True,7,83,,,,False,False
