idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
2,refs/heads/main,453645fc916401235da5ac2712879ff15373bbd9,07d1824f0569c3f24c7743aad31239cedc62c40f,2831a59d4440496f7f3f826cfa2e0ecb14565094,,False,True,True,4,16,False,,,,,,False
5,refs/heads/main,4c5f198d084545f1d78259f26e0b990ad7958181,fdba7ce378b837077a81a70c47b626e9a5c65f8b,3aec83b236c1261e7010015e9c4364ce4306787c,,False,False,True,4,4,False,,,,,,False
6,refs/heads/main,fdba7ce378b837077a81a70c47b626e9a5c65f8b,e10db464579197768718717a74fb1f508c1923bb,b67ff215409f2286080de66d6e93f46916dce907,,False,False,True,4,2,False,,,,,,False
9,refs/heads/main,ddc3136291a468af2dba6dec51328f809d44edb3,914507b0e61d1772a7325fe93b6a78fa205e32eb,deb02e94d302f8bb97a8846bd569464020c41937,,False,False,True,2,4,False,,,,,,False
14,refs/heads/main,93122ad8cb84fda12458664ff68dd3480392e7dc,726e1d9f7417583bd73d1bd91948412b6693f572,b8e7eb9c0fcb653b2c84b3c80845abcd06836e78,,False,True,True,85,916,False,,,,,,False
15,refs/heads/main,726e1d9f7417583bd73d1bd91948412b6693f572,71a431a2e2bcc7e9a3f1c4081a015ccd525230c5,d032cbf49ddf60a84c4060a99d13d9a08624083b,,False,False,True,8,27,False,,,,,,False
19,refs/heads/main,a8cae19b48e2906e7f7c8d6f2a978b2d9ea4d212,9d544a9161b4a09f92393ccf58c5904b4e0c2ec3,7b0c263a1ab21bacc02ad64db61c2cc7b6b53301,,False,False,True,2,4,False,,,,,,False
26,refs/heads/main,c728b364d98704f2879e3f58f1d20c8a322e586c,3c91eea681ec8fce75e33f10ee7ce5bf9cf79b84,4313589e8c05933442e9973ce45aa55b09afb1e5,,False,False,True,7,20,False,,,,,,False
27,refs/heads/main,ec8897ebd6a2742acb6cd417e997dce2c25f8548,70814276d582d718d1927bda1ceee3f2e779a516,cec89eb007f2baaa19f2f8e7d5717885dbe815c6,,False,False,True,10,34,False,,,,,,False
32,refs/heads/main,faa277bca5c5473e5ccd9075739954ff58a2f3e8,5e993aa80dafde7cc6c397b7cee4efb6f85d0936,97298f0097e7c6330942ed4b74c85f615fca9911,,False,False,True,2,4,False,,,,,,False
35,refs/heads/main,9630b6c49757947b4c218710b428dd78e2fc6e49,a56f6c84a988b11577a166964c95e40a14344032,fcebbef24be7f36c9ee6c5e1e7ba32cc9ece76a5,,False,False,True,2,4,False,,,,,,False
36,refs/heads/main,a56f6c84a988b11577a166964c95e40a14344032,7f76d9e9a0555be204fbddf7b5d8b520f91b8504,9271c897d9c5e83495e358395f29e42f75290e81,,False,False,True,6,20,False,,,,,,False
38,refs/heads/main,e57bf2317215f785c0822abbe8d4c2aa85e5f42d,0c3ce1eb7405c3d5268b00faf05618185b29d334,6d3262cf6ffeab4a2949cd1fbd837099f6bb744c,,False,False,True,3,8,False,,,,,,False
