idx,branch_name,merge,left,right,notes,diff contains java file,diff_logs,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
2,refs/heads/master,b2fdb938b98fe0007229d2b97e9ed9a5ad46c827,e7107b3d1b4d4fa10e6c91e0231ea74e80781f20,d3e1496e3b1c1c6638a9b0dcb8fc47ee13bde900,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/e7107b3d1b4d4fa10e6c91e0231ea74e80781f20_d3e1496e3b1c1c6638a9b0dcb8fc47ee13bde900_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/e7107b3d1b4d4fa10e6c91e0231ea74e80781f20_d3e1496e3b1c1c6638a9b0dcb8fc47ee13bde900_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/e7107b3d1b4d4fa10e6c91e0231ea74e80781f20_d3e1496e3b1c1c6638a9b0dcb8fc47ee13bde900_left_right.log'}",False,True,3,2,False,,,,,,False
3,refs/heads/master,f508e9de34cd48292c022568648f283a4bc9cfa0,08155cb672c11daa7bc85cca5c0da15255cb3c2e,0ac3dc2292a088f08ce88529aa94fecf145bea58,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/08155cb672c11daa7bc85cca5c0da15255cb3c2e_0ac3dc2292a088f08ce88529aa94fecf145bea58_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/08155cb672c11daa7bc85cca5c0da15255cb3c2e_0ac3dc2292a088f08ce88529aa94fecf145bea58_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/08155cb672c11daa7bc85cca5c0da15255cb3c2e_0ac3dc2292a088f08ce88529aa94fecf145bea58_left_right.log'}",True,True,7,26,False,,,,,,False
4,refs/heads/master,b6bae6aa6a9b5e15b2a7417cade2ff2ba07a1307,70b4dbd57149f9e6a844249de97211c5b252e680,df83d69dc1e6bbeefbab09cb04f46a15f7d160f1,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/70b4dbd57149f9e6a844249de97211c5b252e680_df83d69dc1e6bbeefbab09cb04f46a15f7d160f1_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/70b4dbd57149f9e6a844249de97211c5b252e680_df83d69dc1e6bbeefbab09cb04f46a15f7d160f1_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/70b4dbd57149f9e6a844249de97211c5b252e680_df83d69dc1e6bbeefbab09cb04f46a15f7d160f1_left_right.log'}",True,True,6,183,False,,,,,,False
5,refs/heads/master,9ac8d60de015217aac0c447c95187457c0a4a4d0,5dddf206d15af6745cd7e2fb19201976fd9a703a,033c7d1c6ad3625ccecc2302f4f646ea41727336,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/5dddf206d15af6745cd7e2fb19201976fd9a703a_033c7d1c6ad3625ccecc2302f4f646ea41727336_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/5dddf206d15af6745cd7e2fb19201976fd9a703a_033c7d1c6ad3625ccecc2302f4f646ea41727336_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/5dddf206d15af6745cd7e2fb19201976fd9a703a_033c7d1c6ad3625ccecc2302f4f646ea41727336_left_right.log'}",True,True,3,93,False,,,,,,False
6,refs/heads/master,9230a7c840b62e62b84c42aa672ba8638f7c4121,8fcff90ae12bef6c33e5859b6737d8f125ea7ed6,4c27d3b2cec86c334691df9dbcbc7d61b051dba6,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/8fcff90ae12bef6c33e5859b6737d8f125ea7ed6_4c27d3b2cec86c334691df9dbcbc7d61b051dba6_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/8fcff90ae12bef6c33e5859b6737d8f125ea7ed6_4c27d3b2cec86c334691df9dbcbc7d61b051dba6_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/8fcff90ae12bef6c33e5859b6737d8f125ea7ed6_4c27d3b2cec86c334691df9dbcbc7d61b051dba6_left_right.log'}",True,True,11,334,False,,,,,,False
7,refs/heads/master,fba9f4ad2a32245c7e0e9425cd17a3d19a07ad4b,b9d0485984d543a86041c8a0299b88589dad2101,7b9c4c1b4f1e3343afed801eb68ce0c8447fdd77,,True,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/b9d0485984d543a86041c8a0299b88589dad2101_7b9c4c1b4f1e3343afed801eb68ce0c8447fdd77_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/b9d0485984d543a86041c8a0299b88589dad2101_7b9c4c1b4f1e3343afed801eb68ce0c8447fdd77_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/b9d0485984d543a86041c8a0299b88589dad2101_7b9c4c1b4f1e3343afed801eb68ce0c8447fdd77_left_right.log'}",True,True,5,92,False,0678432134f007e04a86e4a3b123fb920a38cdc74b35d5139951337e39523840,Tests_failed,c6b3be0b2ac2fe6867a479b5286e9984ed153da3c86b022375881bc9824eeec4,Tests_failed,False,False
8,refs/heads/master,c238c28d8fbb533f451843e168a6976fe6d646d6,9780e9dce26c75fcd4e185842a48a7e44e521524,e36a8486e3085dcb08369142c85b7ae6effe352f,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/9780e9dce26c75fcd4e185842a48a7e44e521524_e36a8486e3085dcb08369142c85b7ae6effe352f_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/9780e9dce26c75fcd4e185842a48a7e44e521524_e36a8486e3085dcb08369142c85b7ae6effe352f_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/9780e9dce26c75fcd4e185842a48a7e44e521524_e36a8486e3085dcb08369142c85b7ae6effe352f_left_right.log'}",True,True,6,38,False,,,,,,False
9,refs/heads/master,e6335e52870b06c2401fea96c77fc6c3a9a1d7fd,87a0763c16394b1bd0f3f4d4b2b6495e1f0608df,33de2755e73f52140a6824ab7bacb3fab227d461,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/87a0763c16394b1bd0f3f4d4b2b6495e1f0608df_33de2755e73f52140a6824ab7bacb3fab227d461_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/87a0763c16394b1bd0f3f4d4b2b6495e1f0608df_33de2755e73f52140a6824ab7bacb3fab227d461_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/87a0763c16394b1bd0f3f4d4b2b6495e1f0608df_33de2755e73f52140a6824ab7bacb3fab227d461_left_right.log'}",True,True,13,439,False,,,,,,False
11,refs/heads/master,912a2dcf536ac5135523186d28c1e7f09e3b078d,dba73fd4bb98b2e57a7b0dc1cecf0243bdf6722e,9f4b77dc8512a9542ee4299f2a092f6ac7aad7b1,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/dba73fd4bb98b2e57a7b0dc1cecf0243bdf6722e_9f4b77dc8512a9542ee4299f2a092f6ac7aad7b1_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/dba73fd4bb98b2e57a7b0dc1cecf0243bdf6722e_9f4b77dc8512a9542ee4299f2a092f6ac7aad7b1_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/dba73fd4bb98b2e57a7b0dc1cecf0243bdf6722e_9f4b77dc8512a9542ee4299f2a092f6ac7aad7b1_left_right.log'}",True,True,10,1018,False,,,,,,False
12,refs/heads/master,d0624e5a9b48c8947c537867af319ab734f494e7,51767950c7a65ea04f857de833d7ae0872ff01e4,14b6f2c87e865f93478b64c8957159caccb15875,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/51767950c7a65ea04f857de833d7ae0872ff01e4_14b6f2c87e865f93478b64c8957159caccb15875_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/51767950c7a65ea04f857de833d7ae0872ff01e4_14b6f2c87e865f93478b64c8957159caccb15875_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/51767950c7a65ea04f857de833d7ae0872ff01e4_14b6f2c87e865f93478b64c8957159caccb15875_left_right.log'}",True,True,8,903,False,,,,,,False
