idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,test merge,union_diff_files,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
2,refs/heads/main,5ad3a9095f8bfe11c2c490bfd107d659da424d69,40a31372596b568b6880a58c44e3f1b4b6b7d7f8,ffac9d802a8a5cae222faa146cceb22bca637614,two initial commits,False,True,True,333,306,35572,Error while retrieving base sha,False,Error while retrieving base sha,,,,,,False
3,refs/heads/main,40a31372596b568b6880a58c44e3f1b4b6b7d7f8,620eac17b107733edaaa64f84c3b1753b0d47478,bbedc7ab1309931ed67ae0fdad75c0c77a369a34,two initial commits,False,True,True,324,296,35245,Error while retrieving base sha,False,Error while retrieving base sha,,,,,,False
4,refs/heads/main,09ea67ea756689af4bafedcea4cd3ffca8352cec,fdd0086178b981d1bd2391d701d67671d6e52cb7,8245b81875e508a049e1c365497cedb549e73ebe,two initial commits,False,True,True,240,253,26307,Error while retrieving base sha,False,Error while retrieving base sha,,,,,,False
5,refs/heads/main,fdd0086178b981d1bd2391d701d67671d6e52cb7,d8592ab969ace387913457adae687782bff7c79e,d496f1a36524eb13641c47f95df8f4293183ff25,two initial commits,False,True,True,227,233,24743,Error while retrieving base sha,False,Error while retrieving base sha,,,,,,False
6,refs/remotes/origin/pull/1013,6bb6a2955901f07b95938b0228ee8b4beb862a08,f020cb5016be9087cc8f33451b1003f6bbecbb12,8f545ddc159e362a577300d8a7aec8dc0340769d,,False,True,True,90,210,834,5,False,90,,,,,,False
7,refs/remotes/origin/pull/1013,e8c978e053f83b6550d4c4102fcd7c99cbb5c8fd,e7eb1160a6246dd879aec61388cc67a24ae818a7,9d20a168dba0481c8cc15326f4079ed7040a7ae3,,True,True,True,488,647,1660,2,True,488,Tests_passed,0ab3b477a2229db3d6a48621d52b0f051bdef817cbebc3531fc948935ba56196,True,Tests_passed,a4c343af08bd19dfae9f98ab6ebeadb4fdac8b86bbea09ca1656ebb6cd24e6ff,True
8,refs/remotes/origin/pull/1061,41a0927d518e63e81652170c2bf1e3949625e970,3bc8eae19c991b3b147d7b1fbd3ca5e25cc71ea3,32cdc75ce38ea8f9dd6398a2690181063760b22d,,True,True,True,66,134,374,2,False,66,Tests_failed,6da09a57775152539c8da5cc2f12f50952be9f1c55d8c755b6ebbabb983c0c03,False,Tests_passed,44f685429de25bc7daba917f7ab805a510d5c220e16b9ea7d723df660209e56f,False
9,refs/remotes/origin/pull/248,07db5b3b9d8d76d6138cdb4f14a00105d9391be0,23883566a18e50a5081e3f03f4bb404828daf1a7,153eba2b1833e37f76c0711564dafd36a1be1fbd,,False,True,True,59,149,1179,2,False,59,,,,,,False
12,refs/remotes/origin/pull/724,5edc6961f8576c72256fe9d28b358dc6e35ff997,dbcbb453a0db7c77cf8cf7a43797d4b9e2d214f7,b65d9a9f8972dca4e392c61a329110a32d3826ce,,True,True,True,437,1583,8291,4,True,437,Tests_passed,29c8903501e26b98c7b7c54ee02b034c3c6bb59aa0fdb3b13ab5e21657d06a62,True,Tests_passed,1496169c6b0ff819f6c459675878b405b429592a0a7889bdf6fafa87a9f8683d,True
13,refs/remotes/origin/pull/737,5afd6c2514fab139336b04922aa90cae6004f5f5,54b1e22352bb2dfe3ab014f091f0df3ea6a6fa6d,4a7d9c5195ed24ba21589f0bd4df119d0fb2d3b0,,False,True,True,433,1543,8113,3,False,435,,,,,,False
14,refs/remotes/origin/pull/747,cd742cbab46c2c628a0482b2a85bd1d9c2c926e1,c2bf1564766df2aa8a4ccf36577e49da20b34ea6,e61c50a4a8a844c0b417a241ba6b09f13534dbf7,,True,True,True,430,1537,8064,2,True,430,Tests_passed,f69b67b67f7accd2d0d77f95ecbb6a5a4bef413dc0d8b0cf7e07ecc45652c6c2,True,Tests_passed,8c410534ba97335b002e95a13dcdb0f5c5acab77ea77a2f98bd3775f086532c2,True
15,refs/remotes/origin/pull/779,d24961249e213c09f8ae6e37f6b615de25925494,48b9dbdecc3a9898876f22b1927ba81da3310df3,ace6a8c5b78796a22b74b219a9bcda6b8a5f05bf,,False,True,True,21,108,619,1,False,21,,,,,,False
16,refs/remotes/origin/pull/791,3818a04a1ca1ddcb98a99a27a216fc022600ffac,e5794972478e4823131bd0d8f1725880cde4601a,27f82fd4d052bbaa081776f855a512e3cd35f100,,False,True,True,63,93,291,1,False,63,,,,,,False
