idx,branch_name,merge,left,right,notes,num_diff_files,num_diff_lines,imports_involved,non_java_involved,diff contains java file,diff_logs,test merge,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
3,refs/heads/master,76dde767b13305d51e464a362ad5136e2d2a6354,c8930214d251e71f3433c9101074f7d5fcd1bd2f,b3bb965a8195a86cd1ecd897e230119f8033e1cb,,3,4,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/j256/simplemagic/c8930214d251e71f3433c9101074f7d5fcd1bd2f_b3bb965a8195a86cd1ecd897e230119f8033e1cb_base_left.log', 'base_right': 'cache/diff_analyzer/logs/j256/simplemagic/c8930214d251e71f3433c9101074f7d5fcd1bd2f_b3bb965a8195a86cd1ecd897e230119f8033e1cb_base_right.log', 'left_right': 'cache/diff_analyzer/logs/j256/simplemagic/c8930214d251e71f3433c9101074f7d5fcd1bd2f_b3bb965a8195a86cd1ecd897e230119f8033e1cb_left_right.log'}",False,,,,,,False
5,refs/heads/master,b3bb965a8195a86cd1ecd897e230119f8033e1cb,360392daf27bb9b75ccde3e320e4b2db42c7284e,50de37cad512eade8f7416ee2e762f0c2d2a49ca,,0,0,False,False,False,"{'base_left': 'cache/diff_analyzer/logs/j256/simplemagic/360392daf27bb9b75ccde3e320e4b2db42c7284e_50de37cad512eade8f7416ee2e762f0c2d2a49ca_base_left.log', 'base_right': 'cache/diff_analyzer/logs/j256/simplemagic/360392daf27bb9b75ccde3e320e4b2db42c7284e_50de37cad512eade8f7416ee2e762f0c2d2a49ca_base_right.log', 'left_right': 'cache/diff_analyzer/logs/j256/simplemagic/360392daf27bb9b75ccde3e320e4b2db42c7284e_50de37cad512eade8f7416ee2e762f0c2d2a49ca_left_right.log'}",False,,,,,,False
10,refs/heads/master,8c81457a6fd8c2b72841d5c199016ab637c56e35,a673161dd269f27452bcedbfb293be0cf9c0a290,862c6faf669d9daa1d84c5ec01f2be4a886f7fe1,,22,243,True,True,True,"{'base_left': 'cache/diff_analyzer/logs/j256/simplemagic/a673161dd269f27452bcedbfb293be0cf9c0a290_862c6faf669d9daa1d84c5ec01f2be4a886f7fe1_base_left.log', 'base_right': 'cache/diff_analyzer/logs/j256/simplemagic/a673161dd269f27452bcedbfb293be0cf9c0a290_862c6faf669d9daa1d84c5ec01f2be4a886f7fe1_base_right.log', 'left_right': 'cache/diff_analyzer/logs/j256/simplemagic/a673161dd269f27452bcedbfb293be0cf9c0a290_862c6faf669d9daa1d84c5ec01f2be4a886f7fe1_left_right.log'}",True,fcd3bd7e6dea130834b4b3abb075ddb4e0931625cfc94dff614a7e2a3f325c6c,Tests_passed,a81fe97a85fba31eb520ef6eb514bbd7f8da8c5bc91cf3c4febaa37d0cb8e236,Tests_passed,True,True
15,refs/heads/master,cbce87c2c36fbb339b442f1aa44b40a559e421b4,19c32f1988f0b119e56f7cbc4103e6fe2803aed2,d18ca8afc5421cc49f843b8eaab675a60d60bf88,,4,3,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/j256/simplemagic/19c32f1988f0b119e56f7cbc4103e6fe2803aed2_d18ca8afc5421cc49f843b8eaab675a60d60bf88_base_left.log', 'base_right': 'cache/diff_analyzer/logs/j256/simplemagic/19c32f1988f0b119e56f7cbc4103e6fe2803aed2_d18ca8afc5421cc49f843b8eaab675a60d60bf88_base_right.log', 'left_right': 'cache/diff_analyzer/logs/j256/simplemagic/19c32f1988f0b119e56f7cbc4103e6fe2803aed2_d18ca8afc5421cc49f843b8eaab675a60d60bf88_left_right.log'}",False,,,,,,False
16,refs/heads/master,20e3602c7ac3a68d70129f3500291600cc0abdb2,6e214a4bf1000454f5e13b1e0821c663e7749fde,962ceacd613b8c30c416d30dd33f648742a83996,,2,0,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/j256/simplemagic/6e214a4bf1000454f5e13b1e0821c663e7749fde_962ceacd613b8c30c416d30dd33f648742a83996_base_left.log', 'base_right': 'cache/diff_analyzer/logs/j256/simplemagic/6e214a4bf1000454f5e13b1e0821c663e7749fde_962ceacd613b8c30c416d30dd33f648742a83996_base_right.log', 'left_right': 'cache/diff_analyzer/logs/j256/simplemagic/6e214a4bf1000454f5e13b1e0821c663e7749fde_962ceacd613b8c30c416d30dd33f648742a83996_left_right.log'}",False,,,,,,False
18,refs/heads/master,e480a9ff918c581fb35ebefffd8ea5943253846f,e583d2cc859e4733067e95f08e2b52c5903156c5,532e6561741038e08ed15d89ff818902610175a5,,3,2,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/j256/simplemagic/e583d2cc859e4733067e95f08e2b52c5903156c5_532e6561741038e08ed15d89ff818902610175a5_base_left.log', 'base_right': 'cache/diff_analyzer/logs/j256/simplemagic/e583d2cc859e4733067e95f08e2b52c5903156c5_532e6561741038e08ed15d89ff818902610175a5_base_right.log', 'left_right': 'cache/diff_analyzer/logs/j256/simplemagic/e583d2cc859e4733067e95f08e2b52c5903156c5_532e6561741038e08ed15d89ff818902610175a5_left_right.log'}",False,,,,,,False
19,refs/heads/master,fe37541e1457452bc352bdd5f864f2013830e060,99f15e244a9d1fb4e5a62f4e92429eb76ef5a93d,75a53802e4f02064dbd81a7ad8e2eecdd58207e9,,3,0,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/j256/simplemagic/99f15e244a9d1fb4e5a62f4e92429eb76ef5a93d_75a53802e4f02064dbd81a7ad8e2eecdd58207e9_base_left.log', 'base_right': 'cache/diff_analyzer/logs/j256/simplemagic/99f15e244a9d1fb4e5a62f4e92429eb76ef5a93d_75a53802e4f02064dbd81a7ad8e2eecdd58207e9_base_right.log', 'left_right': 'cache/diff_analyzer/logs/j256/simplemagic/99f15e244a9d1fb4e5a62f4e92429eb76ef5a93d_75a53802e4f02064dbd81a7ad8e2eecdd58207e9_left_right.log'}",False,,,,,,False
20,refs/heads/master,7d5aa6e91573897e9bcf5eeb0e05b357f392a162,b4627b4386dee4820d7effb112ea9ac819da5d1b,016184823dc1ea8226b195f9c60c17c82c67d222,,9,135,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/j256/simplemagic/b4627b4386dee4820d7effb112ea9ac819da5d1b_016184823dc1ea8226b195f9c60c17c82c67d222_base_left.log', 'base_right': 'cache/diff_analyzer/logs/j256/simplemagic/b4627b4386dee4820d7effb112ea9ac819da5d1b_016184823dc1ea8226b195f9c60c17c82c67d222_base_right.log', 'left_right': 'cache/diff_analyzer/logs/j256/simplemagic/b4627b4386dee4820d7effb112ea9ac819da5d1b_016184823dc1ea8226b195f9c60c17c82c67d222_left_right.log'}",False,,,,,,False
23,refs/heads/master,bb0feb077439e96bb1297ea9887a35ab28996771,c311085bdda2444ed660570b7c43d4a93045d7bf,05f2c6af3ffb74b1934f0ee8d4c0e03dd3b729a2,,35,6,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/j256/simplemagic/c311085bdda2444ed660570b7c43d4a93045d7bf_05f2c6af3ffb74b1934f0ee8d4c0e03dd3b729a2_base_left.log', 'base_right': 'cache/diff_analyzer/logs/j256/simplemagic/c311085bdda2444ed660570b7c43d4a93045d7bf_05f2c6af3ffb74b1934f0ee8d4c0e03dd3b729a2_base_right.log', 'left_right': 'cache/diff_analyzer/logs/j256/simplemagic/c311085bdda2444ed660570b7c43d4a93045d7bf_05f2c6af3ffb74b1934f0ee8d4c0e03dd3b729a2_left_right.log'}",False,,,,,,False
24,refs/remotes/origin/pull/62,a2fee571fbe304efa8981457403471a2504062b4,be23be93333aeb434b823ec988702e9a782e0091,360362b52be76e31d01182abffe73f25e170221d,,26,12,True,True,True,"{'base_left': 'cache/diff_analyzer/logs/j256/simplemagic/be23be93333aeb434b823ec988702e9a782e0091_360362b52be76e31d01182abffe73f25e170221d_base_left.log', 'base_right': 'cache/diff_analyzer/logs/j256/simplemagic/be23be93333aeb434b823ec988702e9a782e0091_360362b52be76e31d01182abffe73f25e170221d_base_right.log', 'left_right': 'cache/diff_analyzer/logs/j256/simplemagic/be23be93333aeb434b823ec988702e9a782e0091_360362b52be76e31d01182abffe73f25e170221d_left_right.log'}",True,d03640f23aeba27e1e1897251a2c6aec7d0c8675284b845a9b3eb9a413eed29d,Tests_passed,0b1abe883085eb51e4bf3615986acb3cb28d1a78a5ad220644e3e714f293c907,Tests_passed,True,True
