idx,branch_name,merge,left,right,notes,diff contains java file,diff_logs,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_lines,parents pass,right parent test result,right_tree_fingerprint,test merge,sampled for testing
1,refs/heads/master,2735c6746ef4d83d6cf587621b6cc1ccd3b5e9ae,e9127228af06d412aa9df52a7c5f91f4b9fecd4e,8ff1ebc0ea198f77b831d31af8c471d17fa806c6,,False,"{'base_left': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/e9127228af06d412aa9df52a7c5f91f4b9fecd4e_8ff1ebc0ea198f77b831d31af8c471d17fa806c6_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/e9127228af06d412aa9df52a7c5f91f4b9fecd4e_8ff1ebc0ea198f77b831d31af8c471d17fa806c6_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/e9127228af06d412aa9df52a7c5f91f4b9fecd4e_8ff1ebc0ea198f77b831d31af8c471d17fa806c6_left_right.log'}",True,,,True,6,31.0,,,,False,False
2,refs/heads/master,94a9c2b94c2df0ec142576a377aa5382782dc554,c1ed6115ae4a524583a543df6b1196db5604e0db,fc88604f448ecaa943659ac3070996e2c922f303,,False,"{'base_left': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/c1ed6115ae4a524583a543df6b1196db5604e0db_fc88604f448ecaa943659ac3070996e2c922f303_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/c1ed6115ae4a524583a543df6b1196db5604e0db_fc88604f448ecaa943659ac3070996e2c922f303_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/c1ed6115ae4a524583a543df6b1196db5604e0db_fc88604f448ecaa943659ac3070996e2c922f303_left_right.log'}",True,,,True,7,60.0,,,,False,False
3,refs/heads/master,fc88604f448ecaa943659ac3070996e2c922f303,81ad0281972630336831f8cc32d51a216c292069,1a84f0ef2210ecf50eb008091cce688554a8cb5e,,False,"{'base_left': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/81ad0281972630336831f8cc32d51a216c292069_1a84f0ef2210ecf50eb008091cce688554a8cb5e_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/81ad0281972630336831f8cc32d51a216c292069_1a84f0ef2210ecf50eb008091cce688554a8cb5e_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/81ad0281972630336831f8cc32d51a216c292069_1a84f0ef2210ecf50eb008091cce688554a8cb5e_left_right.log'}",True,,,True,9,277.0,,,,False,False
4,refs/heads/master,81ad0281972630336831f8cc32d51a216c292069,b4adc8e509b7392ae837ffa496858cb1352db1b2,6937156851a54f12f0ea3c7ea673ecdaf57f2f54,,False,"{'base_left': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/b4adc8e509b7392ae837ffa496858cb1352db1b2_6937156851a54f12f0ea3c7ea673ecdaf57f2f54_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/b4adc8e509b7392ae837ffa496858cb1352db1b2_6937156851a54f12f0ea3c7ea673ecdaf57f2f54_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/b4adc8e509b7392ae837ffa496858cb1352db1b2_6937156851a54f12f0ea3c7ea673ecdaf57f2f54_left_right.log'}",True,,,True,5,59.0,,,,False,False
5,refs/heads/master,521c4ca908c0f22c0c32e73e3fea8ad4bcf394b5,6f4760c788e113d9a016125a421b95e300f06299,9f11694895337febf5044cd3b0ea52291fdbea13,,False,"{'base_left': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/6f4760c788e113d9a016125a421b95e300f06299_9f11694895337febf5044cd3b0ea52291fdbea13_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/6f4760c788e113d9a016125a421b95e300f06299_9f11694895337febf5044cd3b0ea52291fdbea13_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/6f4760c788e113d9a016125a421b95e300f06299_9f11694895337febf5044cd3b0ea52291fdbea13_left_right.log'}",False,,,True,4,2.0,,,,False,False
7,refs/heads/master,96f3e9ffc1450a7b27819ca751a462e1048517d4,2ae1a9c110f059051c1b0792b9e07758827e6e03,9f11694895337febf5044cd3b0ea52291fdbea13,,True,"{'base_left': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/2ae1a9c110f059051c1b0792b9e07758827e6e03_9f11694895337febf5044cd3b0ea52291fdbea13_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/2ae1a9c110f059051c1b0792b9e07758827e6e03_9f11694895337febf5044cd3b0ea52291fdbea13_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/2ae1a9c110f059051c1b0792b9e07758827e6e03_9f11694895337febf5044cd3b0ea52291fdbea13_left_right.log'}",True,Tests_passed,68d1a993b7f806a84c36f6d4abb3a73cfa7c08b6514e2a2e2ca70056ccaf550c,True,6,168.0,True,Tests_passed,d1f9da1d3872811a7f1d539e8f8b7b51a547c537942f86b09b2af12e19e9852b,True,True
9,refs/heads/master,d8669aec197fc51a0e9c2058511ca67a610bcd63,e0c53c820616ef082d6fef276296f25710e03346,8ae475210753d09f4b2fe19b0722d39c06fdc142,,False,"{'base_left': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/e0c53c820616ef082d6fef276296f25710e03346_8ae475210753d09f4b2fe19b0722d39c06fdc142_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/e0c53c820616ef082d6fef276296f25710e03346_8ae475210753d09f4b2fe19b0722d39c06fdc142_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/e0c53c820616ef082d6fef276296f25710e03346_8ae475210753d09f4b2fe19b0722d39c06fdc142_left_right.log'}",False,,,True,5,217.0,,,,False,False
10,refs/heads/master,e0c53c820616ef082d6fef276296f25710e03346,3db9087392f4de4fd2ac154c811678fa6d29465c,78caceac4a3cb76271cbe059c3104dc07f4dfdc9,,False,"{'base_left': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/3db9087392f4de4fd2ac154c811678fa6d29465c_78caceac4a3cb76271cbe059c3104dc07f4dfdc9_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/3db9087392f4de4fd2ac154c811678fa6d29465c_78caceac4a3cb76271cbe059c3104dc07f4dfdc9_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/3db9087392f4de4fd2ac154c811678fa6d29465c_78caceac4a3cb76271cbe059c3104dc07f4dfdc9_left_right.log'}",False,,,True,3,102.0,,,,False,False
11,refs/heads/master,3db9087392f4de4fd2ac154c811678fa6d29465c,0bfd01b19961a6511f71d083a6bb45d76502f196,1ce5e4a41c1b229d07643e0746fdeb91841e7414,,True,"{'base_left': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/0bfd01b19961a6511f71d083a6bb45d76502f196_1ce5e4a41c1b229d07643e0746fdeb91841e7414_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/0bfd01b19961a6511f71d083a6bb45d76502f196_1ce5e4a41c1b229d07643e0746fdeb91841e7414_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/0bfd01b19961a6511f71d083a6bb45d76502f196_1ce5e4a41c1b229d07643e0746fdeb91841e7414_left_right.log'}",False,Tests_passed,2ae40e4ccee6b5f7205b4bd5dcbb255df235604bb28e8df519d41e495299271b,True,5,110.0,True,Tests_passed,fed1d63258b2c38fb9a467c6182291bda1a3ad5cab91d063ba311ba09f434b1a,True,True
12,refs/heads/master,0bfd01b19961a6511f71d083a6bb45d76502f196,1db9494b310e6e5797b94bd1c0f97ecd19a45fff,99ea9c7b38391937cbcfcdd8faebaff5a13a63aa,,False,"{'base_left': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/1db9494b310e6e5797b94bd1c0f97ecd19a45fff_99ea9c7b38391937cbcfcdd8faebaff5a13a63aa_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/1db9494b310e6e5797b94bd1c0f97ecd19a45fff_99ea9c7b38391937cbcfcdd8faebaff5a13a63aa_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jai-imageio/jai-imageio-jpeg2000/1db9494b310e6e5797b94bd1c0f97ecd19a45fff_99ea9c7b38391937cbcfcdd8faebaff5a13a63aa_left_right.log'}",False,,,True,5,10.0,,,,False,False
