idx,branch_name,merge,left,right,notes,num_diff_files,num_diff_lines,imports_involved,non_java_involved,diff contains java file,diff_logs,test merge,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
5,refs/heads/master,e0c646bb7076b52beaa5d8a9c85680d3f8918274,4d65915d97047b438f4f5ded15227d6a8f09f7b6,186e9a39c3d9bcb7d8057d0cb8b03c8dae7d5734,,4,64,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/4d65915d97047b438f4f5ded15227d6a8f09f7b6_186e9a39c3d9bcb7d8057d0cb8b03c8dae7d5734_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/4d65915d97047b438f4f5ded15227d6a8f09f7b6_186e9a39c3d9bcb7d8057d0cb8b03c8dae7d5734_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/4d65915d97047b438f4f5ded15227d6a8f09f7b6_186e9a39c3d9bcb7d8057d0cb8b03c8dae7d5734_left_right.log'}",False,,,,,,False
11,refs/heads/master,80abb850c4786b74d378ac73a82c715203d9eca8,9ed89d40b8c55dd4116bb73aed6d6310791ebd6f,eace7f8692a90a783e9e950970e50866e1b35ca3,,24,18302,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/9ed89d40b8c55dd4116bb73aed6d6310791ebd6f_eace7f8692a90a783e9e950970e50866e1b35ca3_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/9ed89d40b8c55dd4116bb73aed6d6310791ebd6f_eace7f8692a90a783e9e950970e50866e1b35ca3_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/9ed89d40b8c55dd4116bb73aed6d6310791ebd6f_eace7f8692a90a783e9e950970e50866e1b35ca3_left_right.log'}",False,,,,,,False
16,refs/remotes/origin/pull/17,d0966e5c90f0f91f88508a0d32fbc672668ff3d9,0fa4ee3aafa75c51b4ab98ac62f431f09babbfb8,dc2abf3b5d2e4c4001c02e55fae0a47ad1c3a6d4,,12,143,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/0fa4ee3aafa75c51b4ab98ac62f431f09babbfb8_dc2abf3b5d2e4c4001c02e55fae0a47ad1c3a6d4_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/0fa4ee3aafa75c51b4ab98ac62f431f09babbfb8_dc2abf3b5d2e4c4001c02e55fae0a47ad1c3a6d4_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/0fa4ee3aafa75c51b4ab98ac62f431f09babbfb8_dc2abf3b5d2e4c4001c02e55fae0a47ad1c3a6d4_left_right.log'}",False,,,,,,False
17,refs/remotes/origin/pull/17,ebccfd16ca5c9ec70c787b04122c5692f2236fc9,31f634273388dc3a52f94d98b8815a4f4cd657f5,243a3656e12bc363f979be737f993c9c3cd9c7b7,,42,231,True,True,True,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/31f634273388dc3a52f94d98b8815a4f4cd657f5_243a3656e12bc363f979be737f993c9c3cd9c7b7_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/31f634273388dc3a52f94d98b8815a4f4cd657f5_243a3656e12bc363f979be737f993c9c3cd9c7b7_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/31f634273388dc3a52f94d98b8815a4f4cd657f5_243a3656e12bc363f979be737f993c9c3cd9c7b7_left_right.log'}",False,569def65c7719a23c753ab0039753578c3e8c71c0c2ab3da8242aaec3bb1c238,Tests_failed,19a09c9aef79d8abae18fe67629b25a3b76d40e746a7ed786c52c5365f4d9687,Tests_passed,False,False
18,refs/remotes/origin/pull/17,6c0ab3ecf0848b58df901a66f404b9940a42b37d,2dde2f386225499037bb72fa025abfd14847cb61,f7606649398d8100d480d5fb691f9948aa128b98,,12,68,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/2dde2f386225499037bb72fa025abfd14847cb61_f7606649398d8100d480d5fb691f9948aa128b98_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/2dde2f386225499037bb72fa025abfd14847cb61_f7606649398d8100d480d5fb691f9948aa128b98_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/2dde2f386225499037bb72fa025abfd14847cb61_f7606649398d8100d480d5fb691f9948aa128b98_left_right.log'}",False,,,,,,False
19,refs/remotes/origin/pull/17,2dde2f386225499037bb72fa025abfd14847cb61,f75440fa29da71943cb9c1472b88794ed0e65aa6,488de28caf1de99ef90ca86d9167af0ded2e4dc8,,7,65,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/f75440fa29da71943cb9c1472b88794ed0e65aa6_488de28caf1de99ef90ca86d9167af0ded2e4dc8_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/f75440fa29da71943cb9c1472b88794ed0e65aa6_488de28caf1de99ef90ca86d9167af0ded2e4dc8_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/f75440fa29da71943cb9c1472b88794ed0e65aa6_488de28caf1de99ef90ca86d9167af0ded2e4dc8_left_right.log'}",False,,,,,,False
20,refs/remotes/origin/pull/17,f75440fa29da71943cb9c1472b88794ed0e65aa6,cba631ba932748ed8d3f5d3b6d38be0bf7e5e916,c8fc8d24fb30fb8d106e1e1ee3a09d5c539918b2,,5,8,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/cba631ba932748ed8d3f5d3b6d38be0bf7e5e916_c8fc8d24fb30fb8d106e1e1ee3a09d5c539918b2_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/cba631ba932748ed8d3f5d3b6d38be0bf7e5e916_c8fc8d24fb30fb8d106e1e1ee3a09d5c539918b2_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/cba631ba932748ed8d3f5d3b6d38be0bf7e5e916_c8fc8d24fb30fb8d106e1e1ee3a09d5c539918b2_left_right.log'}",False,,,,,,False
21,refs/remotes/origin/pull/24,067129f2aa8a7b5abf379b2e90df65fa379371ab,bd48a51e23b51327dacea88d3a676bf6f3ec65a1,243a3656e12bc363f979be737f993c9c3cd9c7b7,,9,74,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/bd48a51e23b51327dacea88d3a676bf6f3ec65a1_243a3656e12bc363f979be737f993c9c3cd9c7b7_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/bd48a51e23b51327dacea88d3a676bf6f3ec65a1_243a3656e12bc363f979be737f993c9c3cd9c7b7_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/bd48a51e23b51327dacea88d3a676bf6f3ec65a1_243a3656e12bc363f979be737f993c9c3cd9c7b7_left_right.log'}",False,,,,,,False
22,refs/remotes/origin/pull/27,c87bba6630cef7a176313a0cc34bee5d5961df0e,a75dfa769d174904933ffb4438d08535c9da1c21,65ea01f5be678d2a1530276969b379313093763b,,3,7,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/a75dfa769d174904933ffb4438d08535c9da1c21_65ea01f5be678d2a1530276969b379313093763b_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/a75dfa769d174904933ffb4438d08535c9da1c21_65ea01f5be678d2a1530276969b379313093763b_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/a75dfa769d174904933ffb4438d08535c9da1c21_65ea01f5be678d2a1530276969b379313093763b_left_right.log'}",False,,,,,,False
23,refs/remotes/origin/pull/28,6fe4cfc5a15df8b55be8237ac91226392f010b0e,353fe4d9ec1055d6a6dc8232a16916ade74191d0,9f535ef2da595d3b415a79d458137c260a0a6020,,3,7,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/353fe4d9ec1055d6a6dc8232a16916ade74191d0_9f535ef2da595d3b415a79d458137c260a0a6020_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/353fe4d9ec1055d6a6dc8232a16916ade74191d0_9f535ef2da595d3b415a79d458137c260a0a6020_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/global-build-stats-plugin/353fe4d9ec1055d6a6dc8232a16916ade74191d0_9f535ef2da595d3b415a79d458137c260a0a6020_left_right.log'}",False,,,,,,False
