idx,branch_name,merge,left,right,notes,union_diff_files,num_intersecting_files,num_diff_lines,num_diff_hunks,diff contains java file,imports_involved,non_java_involved,num_diff_files,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
1,refs/heads/master,62e63401e3bea385a0373665a96dcc8474783c99,e23b9058e2e7a23247e700e59ae5c2ee9adb1420,c58db405a69e3e0bec25d5591552135b56674b05,,9,1,161,24,False,True,True,9,False,,,,,,False
4,refs/heads/master,2266cfcadd9491cea8c5eea1d7c08116ce35471d,4148ed2bc9f8fe8ea4b1595b905669d39b4dfa40,524b8648461b933e02d7e2a8e7f3cd91f9cc0da5,,5,2,210,29,True,True,True,5,True,Tests_passed,fcaa257aca4e29b23958701e9570b2078ebdafa2a4d44423a64642742a312257,True,Tests_passed,c8c9734bdea9c1796f2906014144d0e6d76f6fd044b8aec1515b9e8c42d04e05,True
5,refs/heads/master,4148ed2bc9f8fe8ea4b1595b905669d39b4dfa40,20bb445c835ea2ab1fd9bf330c26b8eb5fe7194c,e8df01867a880ecb3b2601833adf3332bc14f2c6,,5,1,180,14,False,True,True,5,False,,,,,,False
8,refs/heads/master,425e18bded237e182199fd0623b977a91bb42236,6c47c3ed0771fe1c8bb05bf52fac40b8473d6a51,7d60fbbb3e82112d6bcc2276004279d88a24dcfb,,2,0,9,5,False,True,True,2,False,,,,,,False
10,refs/heads/master,f70885f5bff4d7e422de273d8ab9fb814248266d,e767ede9cd696eb657fc4734ade6a2157677c3c5,6022fea9e24930a40049024755d6301784a4f441,,12,1,384,66,False,True,True,12,False,,,,,,False
11,refs/heads/master,e767ede9cd696eb657fc4734ade6a2157677c3c5,aacf74a29935bb7cddb087dc58cddec8f873dc06,39d000ef07723dcb6a396e320c7dc25cfb28597b,,29,2,1112,98,False,True,True,29,False,,,,,,False
13,refs/heads/master,696645d866ff681be52d083174e587fca73263b5,13dd90104844734fa11a7c7e5fb7fe1bdf50ab7a,58b7b8ad0931c1e731e94664b63ddf01b254b1fb,,27,2,1049,91,False,True,True,27,False,,,,,,False
15,refs/heads/master,6b855a684bfdd1ac6017e676796f19709df2c5cf,0f64d5c29bc18cea7c0acd9d26a608e885573e9b,70d3c22fde3f0702543ed4c9c42b297767ae93c1,,24,1,930,82,False,True,True,24,False,,,,,,False
16,refs/heads/master,7bb445c9c69dc83f3976c48cbb7b184e49c97207,a9e75d562d54847da0c29d8a5e9e9dbfbf466f53,a01bc9927e852bfd96f2e1ef00edc287670803d5,,28,1,696,60,False,True,True,28,False,,,,,,False
21,refs/heads/master,285148a2a3f2cd2295e61452a2549eccc65da592,5a2c965f8927c928d2bfc58dba82b004b29f78cc,437ab56e0f18b3b3060249b4d7f091992dde1925,,10,1,228,28,False,True,True,10,False,,,,,,False
