idx,branch_name,merge,left,right,notes,num_diff_files,num_diff_lines,imports_involved,non_java_involved,diff contains java file,diff_logs,test merge,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
1,refs/heads/master,5b468faa64717ced6022e1a25e468bc49565d784,2156822897b75e06b5bbc3c123a194da7dcb74f8,a7ff82844ff6006ae3a83b0fd21d27dcf1faa609,,3,8,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/khmarbaise/supose/2156822897b75e06b5bbc3c123a194da7dcb74f8_a7ff82844ff6006ae3a83b0fd21d27dcf1faa609_base_left.log', 'base_right': 'cache/diff_analyzer/logs/khmarbaise/supose/2156822897b75e06b5bbc3c123a194da7dcb74f8_a7ff82844ff6006ae3a83b0fd21d27dcf1faa609_base_right.log', 'left_right': 'cache/diff_analyzer/logs/khmarbaise/supose/2156822897b75e06b5bbc3c123a194da7dcb74f8_a7ff82844ff6006ae3a83b0fd21d27dcf1faa609_left_right.log'}",False,,,,,,False
2,refs/heads/master,a7ff82844ff6006ae3a83b0fd21d27dcf1faa609,2eae497d3941075168f4ae42421fdf16ecda4f09,6dd9eeec3ed44d6939e78cdccd215b35e69400e8,,6,16,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/khmarbaise/supose/2eae497d3941075168f4ae42421fdf16ecda4f09_6dd9eeec3ed44d6939e78cdccd215b35e69400e8_base_left.log', 'base_right': 'cache/diff_analyzer/logs/khmarbaise/supose/2eae497d3941075168f4ae42421fdf16ecda4f09_6dd9eeec3ed44d6939e78cdccd215b35e69400e8_base_right.log', 'left_right': 'cache/diff_analyzer/logs/khmarbaise/supose/2eae497d3941075168f4ae42421fdf16ecda4f09_6dd9eeec3ed44d6939e78cdccd215b35e69400e8_left_right.log'}",False,,,,,,False
3,refs/heads/master,67c2817c43efb04990cc4eb44628399744b9dd95,1a990402f320d043a4a9481626b0d15eabb8807a,cda774815004fa6fb171e70daccd3544518858a8,,5,77,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/khmarbaise/supose/1a990402f320d043a4a9481626b0d15eabb8807a_cda774815004fa6fb171e70daccd3544518858a8_base_left.log', 'base_right': 'cache/diff_analyzer/logs/khmarbaise/supose/1a990402f320d043a4a9481626b0d15eabb8807a_cda774815004fa6fb171e70daccd3544518858a8_base_right.log', 'left_right': 'cache/diff_analyzer/logs/khmarbaise/supose/1a990402f320d043a4a9481626b0d15eabb8807a_cda774815004fa6fb171e70daccd3544518858a8_left_right.log'}",False,,,,,,False
4,refs/heads/master,d6ece8140ae7bbd12b12d3debe447e2c89100825,caa21af899c9ac015f6e5422036302f675cab9b1,4a6531eebf14793c2e68e3a38fd45333ef940ed7,,8,319,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/khmarbaise/supose/caa21af899c9ac015f6e5422036302f675cab9b1_4a6531eebf14793c2e68e3a38fd45333ef940ed7_base_left.log', 'base_right': 'cache/diff_analyzer/logs/khmarbaise/supose/caa21af899c9ac015f6e5422036302f675cab9b1_4a6531eebf14793c2e68e3a38fd45333ef940ed7_base_right.log', 'left_right': 'cache/diff_analyzer/logs/khmarbaise/supose/caa21af899c9ac015f6e5422036302f675cab9b1_4a6531eebf14793c2e68e3a38fd45333ef940ed7_left_right.log'}",False,,,,,,False
5,refs/heads/master,d2a2215954014226939e41d684bc65db30861253,e599d5ffd319843ccfee260e3061fb7a5b44d8af,8e190153145405ca9f2b437bc11db8314989e376,,16,357,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/khmarbaise/supose/e599d5ffd319843ccfee260e3061fb7a5b44d8af_8e190153145405ca9f2b437bc11db8314989e376_base_left.log', 'base_right': 'cache/diff_analyzer/logs/khmarbaise/supose/e599d5ffd319843ccfee260e3061fb7a5b44d8af_8e190153145405ca9f2b437bc11db8314989e376_base_right.log', 'left_right': 'cache/diff_analyzer/logs/khmarbaise/supose/e599d5ffd319843ccfee260e3061fb7a5b44d8af_8e190153145405ca9f2b437bc11db8314989e376_left_right.log'}",False,,,,,,False
7,refs/heads/master,9203a72d466e2caa910d6a92c3a3547a6a28914f,91f00fba2173786105ecc6c8257b6902a0b8f985,1d2d132bd544ee3ba22fdd0e77404586617862a0,,159,10860,True,True,True,"{'base_left': 'cache/diff_analyzer/logs/khmarbaise/supose/91f00fba2173786105ecc6c8257b6902a0b8f985_1d2d132bd544ee3ba22fdd0e77404586617862a0_base_left.log', 'base_right': 'cache/diff_analyzer/logs/khmarbaise/supose/91f00fba2173786105ecc6c8257b6902a0b8f985_1d2d132bd544ee3ba22fdd0e77404586617862a0_base_right.log', 'left_right': 'cache/diff_analyzer/logs/khmarbaise/supose/91f00fba2173786105ecc6c8257b6902a0b8f985_1d2d132bd544ee3ba22fdd0e77404586617862a0_left_right.log'}",False,f9a4fb05464c2e26297b164fe620b16d102bf77dc2c72d3e0dfd9ab85df1fb6e,Tests_failed,2264ee1a84abee4d50a53a12605313c4894549adc6bd361025d001569c5c1a38,Tests_failed,False,False
8,refs/heads/master,39969d20c343dbd41f3b50a9979c1ed5340ea9a2,dea5cc400f89367930632cb0e189f80f13ac360c,54df39ece7f357595c19f64ced141c5b4a718bf6,,192,1078,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/khmarbaise/supose/dea5cc400f89367930632cb0e189f80f13ac360c_54df39ece7f357595c19f64ced141c5b4a718bf6_base_left.log', 'base_right': 'cache/diff_analyzer/logs/khmarbaise/supose/dea5cc400f89367930632cb0e189f80f13ac360c_54df39ece7f357595c19f64ced141c5b4a718bf6_base_right.log', 'left_right': 'cache/diff_analyzer/logs/khmarbaise/supose/dea5cc400f89367930632cb0e189f80f13ac360c_54df39ece7f357595c19f64ced141c5b4a718bf6_left_right.log'}",False,,,,,,False
10,refs/heads/master,ca5fe6eaa38aafab52169659126b3ef8fa33975f,63421af58ea8a3dbebd5d34e4a698d3b28a35201,a47e8b9a2c588944dc36f9c6503fba82ed5e13cb,,10,88,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/khmarbaise/supose/63421af58ea8a3dbebd5d34e4a698d3b28a35201_a47e8b9a2c588944dc36f9c6503fba82ed5e13cb_base_left.log', 'base_right': 'cache/diff_analyzer/logs/khmarbaise/supose/63421af58ea8a3dbebd5d34e4a698d3b28a35201_a47e8b9a2c588944dc36f9c6503fba82ed5e13cb_base_right.log', 'left_right': 'cache/diff_analyzer/logs/khmarbaise/supose/63421af58ea8a3dbebd5d34e4a698d3b28a35201_a47e8b9a2c588944dc36f9c6503fba82ed5e13cb_left_right.log'}",False,,,,,,False
13,refs/heads/master,34ff4112ebb09cb9aff6a6f1e091afb14dda403a,f86cf77bcfb6405a7550b7dd272b9c36892f7a2d,a0cac7054d46960e1ef2437739c3eff11ee9dd37,,17,110,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/khmarbaise/supose/f86cf77bcfb6405a7550b7dd272b9c36892f7a2d_a0cac7054d46960e1ef2437739c3eff11ee9dd37_base_left.log', 'base_right': 'cache/diff_analyzer/logs/khmarbaise/supose/f86cf77bcfb6405a7550b7dd272b9c36892f7a2d_a0cac7054d46960e1ef2437739c3eff11ee9dd37_base_right.log', 'left_right': 'cache/diff_analyzer/logs/khmarbaise/supose/f86cf77bcfb6405a7550b7dd272b9c36892f7a2d_a0cac7054d46960e1ef2437739c3eff11ee9dd37_left_right.log'}",False,,,,,,False
15,refs/heads/master,0743dc3d177fca366b92d65ba5c860afc57fdf4a,d80ea32d6d5ceab5d9d06505e12c1cd7124a07cb,8dd5206b2741e6b31dfd54c3467330106d8bfc56,,41,62,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/khmarbaise/supose/d80ea32d6d5ceab5d9d06505e12c1cd7124a07cb_8dd5206b2741e6b31dfd54c3467330106d8bfc56_base_left.log', 'base_right': 'cache/diff_analyzer/logs/khmarbaise/supose/d80ea32d6d5ceab5d9d06505e12c1cd7124a07cb_8dd5206b2741e6b31dfd54c3467330106d8bfc56_base_right.log', 'left_right': 'cache/diff_analyzer/logs/khmarbaise/supose/d80ea32d6d5ceab5d9d06505e12c1cd7124a07cb_8dd5206b2741e6b31dfd54c3467330106d8bfc56_left_right.log'}",False,,,,,,False
