idx,branch_name,merge,left,right,notes,diff contains java file,diff_logs,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
1,refs/heads/master,c00dbad6b60f4b1603f21c91c0db00b6549a2136,679aa38f2c1192d11c67a998691eb4076d5d3e00,97c3bd6aa3948db3fd3f93674cb372ff0f0a8ae9,,False,"{'base_left': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/679aa38f2c1192d11c67a998691eb4076d5d3e00_97c3bd6aa3948db3fd3f93674cb372ff0f0a8ae9_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/679aa38f2c1192d11c67a998691eb4076d5d3e00_97c3bd6aa3948db3fd3f93674cb372ff0f0a8ae9_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/679aa38f2c1192d11c67a998691eb4076d5d3e00_97c3bd6aa3948db3fd3f93674cb372ff0f0a8ae9_left_right.log'}",True,True,30,873,False,,,,,,False
2,refs/heads/master,74216e97e238a443e6a022d530f643a0999782ed,52a1eb8236674a836b227724347d637915ce5814,2f474962da628bdca83b2eb3349aea3ad8a0d75d,,False,"{'base_left': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/52a1eb8236674a836b227724347d637915ce5814_2f474962da628bdca83b2eb3349aea3ad8a0d75d_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/52a1eb8236674a836b227724347d637915ce5814_2f474962da628bdca83b2eb3349aea3ad8a0d75d_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/52a1eb8236674a836b227724347d637915ce5814_2f474962da628bdca83b2eb3349aea3ad8a0d75d_left_right.log'}",True,True,28,1014,False,,,,,,False
3,refs/heads/master,08141e3ff0cb0745087669751ca7bb1dda420632,2d182849dd77ea35c115ffe5dcd40f50b0926247,8b29760539df7c06b6c9a00d0ba5073a870d09f2,,False,"{'base_left': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/2d182849dd77ea35c115ffe5dcd40f50b0926247_8b29760539df7c06b6c9a00d0ba5073a870d09f2_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/2d182849dd77ea35c115ffe5dcd40f50b0926247_8b29760539df7c06b6c9a00d0ba5073a870d09f2_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/2d182849dd77ea35c115ffe5dcd40f50b0926247_8b29760539df7c06b6c9a00d0ba5073a870d09f2_left_right.log'}",False,True,3,12,False,,,,,,False
4,refs/heads/master,e2200a45bddff15d0eefda88c15dc541e25e3568,42b9ed3aac5072fb93077022043499a7017e8b9d,a62917a0cf5cbd39518ec8aa4c3c27f7c812903a,,False,"{'base_left': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/42b9ed3aac5072fb93077022043499a7017e8b9d_a62917a0cf5cbd39518ec8aa4c3c27f7c812903a_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/42b9ed3aac5072fb93077022043499a7017e8b9d_a62917a0cf5cbd39518ec8aa4c3c27f7c812903a_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/42b9ed3aac5072fb93077022043499a7017e8b9d_a62917a0cf5cbd39518ec8aa4c3c27f7c812903a_left_right.log'}",True,True,6,111,False,,,,,,False
5,refs/heads/master,57fd2c5add48fff1c4cb44f0ef549b646f2bf433,559dc2d713931ef018ace5009f52dc9453cef191,dbd3003c777a0157ec2b20ce20fc725017dac8fd,,False,"{'base_left': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/559dc2d713931ef018ace5009f52dc9453cef191_dbd3003c777a0157ec2b20ce20fc725017dac8fd_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/559dc2d713931ef018ace5009f52dc9453cef191_dbd3003c777a0157ec2b20ce20fc725017dac8fd_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/559dc2d713931ef018ace5009f52dc9453cef191_dbd3003c777a0157ec2b20ce20fc725017dac8fd_left_right.log'}",True,True,20,481,False,,,,,,False
6,refs/heads/master,6ad5cac31ad7e374ddf9ea6af0b7d28c8ca8cd1b,095ccee9e5dcfcca309486abc16e2baff5d884f3,a7b0984c04edfeedfadd01e0a4590fc59ecdfdae,,False,"{'base_left': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/095ccee9e5dcfcca309486abc16e2baff5d884f3_a7b0984c04edfeedfadd01e0a4590fc59ecdfdae_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/095ccee9e5dcfcca309486abc16e2baff5d884f3_a7b0984c04edfeedfadd01e0a4590fc59ecdfdae_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/095ccee9e5dcfcca309486abc16e2baff5d884f3_a7b0984c04edfeedfadd01e0a4590fc59ecdfdae_left_right.log'}",True,True,40,993,False,,,,,,False
7,refs/heads/master,6d05582ee139296da53392aac471821b69970c87,545be4f0126c2db4501e9bce0bf8030336cb4586,6b807846401299c80eda6d62fd61c28a3057aef3,,False,"{'base_left': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/545be4f0126c2db4501e9bce0bf8030336cb4586_6b807846401299c80eda6d62fd61c28a3057aef3_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/545be4f0126c2db4501e9bce0bf8030336cb4586_6b807846401299c80eda6d62fd61c28a3057aef3_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/545be4f0126c2db4501e9bce0bf8030336cb4586_6b807846401299c80eda6d62fd61c28a3057aef3_left_right.log'}",True,True,12,157,False,,,,,,False
8,refs/heads/master,83a9b54e0926b1cf513335376710b1eb5a016eb1,4767ba4767f5389cd3bf9140937e6501594487ad,cf99f61f3d622f8744ad49a93eb7b004d094e0e5,,False,"{'base_left': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/4767ba4767f5389cd3bf9140937e6501594487ad_cf99f61f3d622f8744ad49a93eb7b004d094e0e5_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/4767ba4767f5389cd3bf9140937e6501594487ad_cf99f61f3d622f8744ad49a93eb7b004d094e0e5_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/4767ba4767f5389cd3bf9140937e6501594487ad_cf99f61f3d622f8744ad49a93eb7b004d094e0e5_left_right.log'}",True,True,7,126,False,,,,,,False
10,refs/heads/master,6d345e16daa19898c4944a8d9d95b76c7174dbb6,5ddd9ae050fa91f55281e44c49f14f914e42dbdb,5a205f5ed0b9ee67a9557909e37854ca91987f5f,,False,"{'base_left': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/5ddd9ae050fa91f55281e44c49f14f914e42dbdb_5a205f5ed0b9ee67a9557909e37854ca91987f5f_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/5ddd9ae050fa91f55281e44c49f14f914e42dbdb_5a205f5ed0b9ee67a9557909e37854ca91987f5f_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/5ddd9ae050fa91f55281e44c49f14f914e42dbdb_5a205f5ed0b9ee67a9557909e37854ca91987f5f_left_right.log'}",True,True,8,83,False,,,,,,False
11,refs/remotes/origin/pull/12,0f41b7a424cbe1c675c0f400cd3637a8cdc29fbb,217b344be2b5b2edcd5e02d3552e2b037b119b2c,d6eeaa9fcfb6202361dc883a2f198f256cce9b6d,,True,"{'base_left': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/217b344be2b5b2edcd5e02d3552e2b037b119b2c_d6eeaa9fcfb6202361dc883a2f198f256cce9b6d_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/217b344be2b5b2edcd5e02d3552e2b037b119b2c_d6eeaa9fcfb6202361dc883a2f198f256cce9b6d_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/217b344be2b5b2edcd5e02d3552e2b037b119b2c_d6eeaa9fcfb6202361dc883a2f198f256cce9b6d_left_right.log'}",True,True,20,444,False,,Git_checkout_failed,,Git_checkout_failed,False,False
