idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,parents pass,right parent test result,right_tree_fingerprint,test merge,union_diff_files,sampled for testing
2,refs/heads/develop,654323bb7840ed8112e939669532df299454c24b,a512df6bc27857a5bbc120b62645dfcd4ae37f60,1d4652db2701c6a46c85834dd8dfba63b5998ab9,,True,True,Git_checkout_failed,,True,301,2471,18019,2,False,Git_checkout_failed,,False,301,False
5,refs/heads/develop,7739c586c3f3f3603bafc6eb32136a4e1dae8554,3f7d41edd274c434ec5402be39f1d56eaa687eb0,a05c69d88c29478f38bf084ae736e64414221a33,,False,True,,,True,4,6,57,1,,,,False,4,False
6,refs/heads/develop,a05c69d88c29478f38bf084ae736e64414221a33,e8c98f5bfa72adae5666e283fcfde46234972b84,9c688f13e9dc3c6d78263c3522593ab8d4bd9fb0,,True,True,Tests_passed,00d95835fc307de35f6c61680399dbd69a45cf19a4c09eb726a514ab7a4bf2ee,True,263,2289,17369,2,True,Tests_passed,374b7af21ad024236a57134fbfd8eb82abca9e136779afa286f1bb4594c2c617,True,263,True
7,refs/heads/develop,5d44670a09d763d53193894ea9c080c8a4b5c959,f34a31651fbf2264cc6fce7f547ffef9dc91d903,8d906a797be6edfd43b310a3b8c5470a407aa5ae,,False,False,,,True,14,26,153,1,,,,False,14,False
8,refs/heads/develop,e1fd48e86462089ff00266aa866ee93a84b46c34,c070074e969780a9f77e6889fe0cacfaca1c3407,a223ab64a79d0a5edd3146732965fb2def1bc2a6,,True,True,Tests_passed,645a5623f957a0f328a4761bb2ee3fc83850d3159783640f05f7287bd20cf9c6,True,240,1907,12981,4,True,Tests_passed,42793e8a3d0ae9459a053f3b019e3db90dfe10072c7e5ad8ba73e307e49e868f,True,240,True
11,refs/heads/develop,640ee6e3d9668286972b2af2a85346cf0a7beeb1,46e189cef170d309b7371cd5a5e5a433123b2922,25a7b455fff1ae018ce5a26220c89c61b1005706,,False,True,,,True,9,14,82,1,,,,False,9,False
12,refs/heads/develop,f96d48f97c79f90cf800b5841b3d24f4292d5a34,bb70912285c2e10c7a484ac5c28154f55c9f27d5,2eb04f42f13d836c9ef355eb6ce1d3d1ac9d2456,,True,True,Git_checkout_failed,,True,140,858,5226,2,False,Git_checkout_failed,,False,140,False
13,refs/heads/develop,050221df5634b9eecdfd6199ad2d0c13647bc5e8,7edcc2137c788328de04fffbd87abdf2e1d66387,fd3fb98a91807e66132764d6bc1507f14437483d,,False,True,,,True,8,17,63,1,,,,False,8,False
14,refs/heads/develop,83f89c9c12294538ac8ca55d1b58c69501db0a47,8f317ddb7c2518ce16014a8afc5232389c22b525,68c7061b34862186ad8cb1660486871af30939d5,,False,True,,,True,55,161,724,2,,,,False,55,False
17,refs/heads/develop,e7d36d6a6aebe946d28844d2f9a881d174d6860f,b3dc007ff3eca6ac2cff1a6baaaff94ff510cc97,71768f24e606e57dd1347e10b15c9473a09ea4bc,,False,True,,,True,32,108,356,1,,,,False,32,False
20,refs/heads/develop,d93ef1b341f6359c6e15cb8b4a6582eb85c473bf,507607c7c2abe9bc17dcdcd8ca33559706942a3a,a5dd418e61e334deaea564260dea70a3e4498ddb,,True,True,Tests_passed,a1f76e19369ea701b92ec2728a7b9db63bfd778c6ef36bab0d18ece3c0773421,True,20,34,117,2,True,Tests_passed,cd658510ce4731918d6b5d772c89bf2fc6e40eeac447742330cca0f16282af36,True,20,True
21,refs/heads/develop,5d493ca228f5655b8703d224403bad0ec53a33ec,32be7ea808c33369f861491c33672c3f9e75c6c2,6a3e28a7100bf6353dd5ada2d81aa663004d4e22,,False,True,,,True,82,430,2254,0,,,,False,82,False
22,refs/heads/develop,188cb1d88c561f5df56b5c3dd9b1ea5182bdf149,4c9d655aeec7f20f37f547606da06972a8185e95,00a2b423f1fc58cbcb3547501418bf72c419755a,,True,True,Tests_passed,da81f7e912f129ca9efd6b52aba44b7fe10bdbb1f91d6af1ccaa18454aa0d7d5,True,17,48,379,6,True,Tests_passed,a04aa71abbb61b4f80b176cd2d3d778cd1869ca3706fc053768fbe4a3c7dbd29,True,17,True
23,refs/heads/develop,00a2b423f1fc58cbcb3547501418bf72c419755a,202f040bd87dfe5652bb833e91e5889c6f2ea113,b6ca10dc5662668740af3d2e5359e458b8c92cde,,True,True,Git_checkout_failed,,True,70,313,2297,8,False,Git_checkout_failed,,False,70,False
24,refs/heads/develop,32be7ea808c33369f861491c33672c3f9e75c6c2,3468201a00cf38af8349e6c1c1b73b857a097fdd,b5131bb5a60e983da885fa9f0864e56e1a882c99,,False,True,,,True,25,76,698,0,,,,False,25,False
25,refs/heads/develop,3468201a00cf38af8349e6c1c1b73b857a097fdd,f9a836f428ea69215102c24529d42ec860997722,54341682054caaf336b7aee00a8698f496d2fff7,,False,True,,,True,13,31,184,0,,,,False,13,False
26,refs/heads/develop,f9a836f428ea69215102c24529d42ec860997722,c9d2411b0103efab63b8196c64a83dff0a64e7a3,e94afa8bae1aae389a55b6a9da61b9c51ed2355c,,False,True,,,True,66,262,3251,0,,,,False,66,False
28,refs/heads/develop,96292ec84026257253fae7642ee54d482b3c9c9c,81bf8d52939c9b2abaebe106fb93ec29708098f5,2291d0d9b60d6bd420c80d195f5514624634ee34,,False,True,,,True,3,6,17,0,,,,False,3,False
30,refs/heads/develop,0a09b9642aa126afe50d6b386922c732c57fae57,01163333b4df445286008af1806477f999867fde,7b6265731a4a74cb133057b94dfa173db595ca60,,True,True,Tests_passed,11d5c35b3fdc45524f1d93e2f67d8aeecad736b01aae0b5246fab2cbca58c7f1,True,16,32,129,2,True,Tests_passed,13a50ec82718b6eb20f97707e1d06f1503e5ac71e28dd251522cc0ef827febc4,True,16,True
31,refs/heads/develop,bef608ebdc6fffd0d4a034ed0516b47ede19088b,7b63d6b7e023d14b945915f0d4cfb3aaee981e3e,d9061672ca91d027516e8404d054328df1913d61,,True,True,Tests_failed,6eb03fb5625c88e8ec509241090848a44e7d2e332b4106caf7ff39a7071df207,True,7,11,257,2,False,Tests_passed,c0e580724fc2acebf5a781005678d840299b21aee52deec3f64126ea8acaa78c,False,7,False
32,refs/heads/develop,67dc45c2113e649435cc444da6593d0d910ceea2,b8f964bb9409ba6dfcf9cec3eca202302cf9cfcf,f62907aa31af56dbf855535de577fa3b8c2f74cb,,False,True,,,True,3,4,75,1,,,,False,3,False
33,refs/heads/develop,c9d2411b0103efab63b8196c64a83dff0a64e7a3,7bfa7b6a0a6e6d2ffb8109cb288812ad2c9e7f60,13a173af62bcaec0c4d0fba284f5bff6e1013650,,False,True,,,True,20,42,237,0,,,,False,20,False
34,refs/heads/develop,06bb16103413d4881b80cc0ff9741fa706fe5648,21ae674ff6efc41a1559ea814b59d9a6d1ccc69f,da48c654175c721657cb4976389b9768c751f467,,False,True,,,True,13,24,110,1,,,,False,13,False
35,refs/heads/develop,21ae674ff6efc41a1559ea814b59d9a6d1ccc69f,0a60db9cc214533c0d4b058f4ba83ceb225c8187,674f75000d26567e408f47676f820c4ebf9f2648,,False,True,,,True,6,9,20,1,,,,False,6,False
37,refs/heads/develop,8eb58ef27aa2e1575495b7b217a0bb2abca3bffb,2b7b89450f4d9c110dfd2fd54af0d921b00c8a58,297c8824387cddad7d563e7595c26f95173a93b7,,False,True,,,True,5,5,7,1,,,,False,5,False
38,refs/heads/develop,58b2495e699a3eaab1efbcc675a67a7d00dace3b,98b40b73a7b4131f9e4920984f352a44d5cf378e,fef5ac847b58c31e4d32f655bb39f3e44d4df9a6,,False,True,,,True,17,18,2385,1,,,,False,17,False
