idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,parents pass,right parent test result,right_tree_fingerprint,test merge,union_diff_files,sampled for testing
1,refs/heads/master,22327fb7a95f999fd997644b11c1c0a79f1a1fb3,ac8a3d1b3438b7871ec98e036fd8f361ec09a7ca,a8dd77432477b3a8e1b8fcf8cb24ab4653cfffcf,,False,False,,,True,2,10,19,2,,,,False,2,False
2,refs/heads/master,064b4f228ad40a5437396f5631133a8d2cf803ce,88e72daf6bfcc132aa7526b2541f43278d81a80c,4b998903b166c6dd27a70ebb63627e4e7fccc6bf,,False,True,,,True,4,6,265,2,,,,False,5,False
3,refs/heads/master,fcd2c45b189162bdc3d106f0d4664b9170431e6d,f2673fdca83d0575aeeda94dd7a1faadbe4896c7,f92d8f7371737aff240813e65ddc87a207fcebf5,,False,True,,,True,20,29,506,1,,,,False,20,False
4,refs/heads/master,4c8362b876b41558257cf3fad730ab88c64b1b14,9df8ff1b37515454a17f0c43ac6498f7d1183bfe,fb0820cfdf00380cf4f9efed1d861d0be80a3e88,,True,True,Tests_failed,cc2cae359937ffb639cca62ace54d78548a2a9e9b7371976eb34ae4ee68b6043,True,3,18,36,2,False,Tests_failed,a83c68d7aa60c93b575ff25dedc34ff81e1124832b8e44c54f9dc9c5dbc5c427,False,3,False
5,refs/heads/master,4a053cdde0601f28b34a2087070eeca9805844b9,58e432f7e2294aa8d959226c3d7773f3e767bfb5,a67dbc50d855b42d939e52e0c1afb355a1a96075,,False,True,,,True,4,13,114,2,,,,False,4,False
6,refs/heads/master,a67dbc50d855b42d939e52e0c1afb355a1a96075,8ea5f352943d633662732d8093376737fe3af7fd,ac3e9ff3f91c319d897b3ba9c2c365ea0d9ff520,,False,True,,,True,4,12,108,1,,,,False,4,False
7,refs/heads/master,c2f8d6b2570d384d86742c9de63bc8667990d1bc,82face46bfdbdc8b116a89da9f0c7ee3189e0ca2,95d41d3d7b902f80e857d1e61fd27e33f276443b,,True,True,Tests_failed,2b404d78f23f0657f16bae1a73bda2164429482188f1c172a6b33a51d2c877bd,True,4,17,86,3,False,Tests_failed,61f0fb6bc4b833dbf80ced5a58bc91907fdd048b78981ee62398500bad004e4e,False,4,False
8,refs/heads/master,95d41d3d7b902f80e857d1e61fd27e33f276443b,c7fb786b44227f131c411a7a388e2d0ac856448a,d2bf00be14550d768ac82d98d6d04cfb30b02e98,,False,True,,,True,4,7,17,1,,,,False,4,False
9,refs/heads/master,1d287b60312937bdaf8b127f1ad18bd54b78ec17,7ea56045597b735ff2e2f2d22e28e0539dc50dde,9e85b1239f8beea58b799ca4e05c985bd023301d,,True,True,Tests_failed,298b16d5f0c4b70049752a9797a70cedc5cc1adee393b938b761ae2b1d184949,True,6,15,137,2,False,Tests_failed,ee1fcba3035724232fb77c1525881e71e587093616f82c8e11ab0a59cd7a761b,False,6,False
10,refs/heads/master,7989263710dc00fd32c086c42713990b1acc6c8c,53bee8e8a545a4f72376a760b0faba8c3fe8813d,7db29b6da550875b82e9e60dffc26de958a6651c,,False,True,,,True,4,9,34,1,,,,False,4,False
