idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,test merge,union_diff_files,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
1,refs/heads/master,672d776867a565851c52d5c3c10bf893057a8697,ea896012f15d6abea6e6391def9a0001113a1f7a,352c1ab6b75c589fb5140dab282aaf79e55ce673,,False,True,True,255,303,16060,2,False,255,,,,,,False
6,refs/heads/master,82f13e28077312ca5b9d07724eef70a0b7c3b791,d490d4adc4d59496d439a3e3d2f465b4019d1437,dcf6cf594ce3887111921a2d17254f396ed22bd9,,False,True,True,4,13,60,1,False,4,,,,,,False
7,refs/heads/master,dcf6cf594ce3887111921a2d17254f396ed22bd9,fe483fb62091fd53b90d3509830e2d86e0b6d2a8,d2ddaf5873d1b1df294e859226d65505a8045f53,,False,True,True,36,67,184,1,False,36,,,,,,False
9,refs/heads/master,0c6c8168647e69fd0aac414b5d9311ef213c056b,6c887e97a5dbcf286f0c20a95690469afabec3d3,947a8f8dcdd896cfc2c9b8337d593602bd10d090,,False,True,True,32,47,124,2,False,33,,,,,,False
13,refs/heads/master,3fa9e0843f738f8262bc8c5eab5e630b8fcaf0c5,98f2d138bdd806f411d82d817d745a48bd293e20,2061131109b08b9d96806251771fc62cc3549d2b,,False,False,True,15,19,67,1,False,15,,,,,,False
14,refs/heads/master,98f2d138bdd806f411d82d817d745a48bd293e20,73acf7cef7fac10135b1040669076aabe5e97222,782c7d68b22a7dd444b44efea2f24dd156ac370a,,False,False,True,10,12,50,1,False,10,,,,,,False
17,refs/heads/master,0661f280ea77c6afa830b01b58acb9e87b05c558,6c6b273a874d6a6d19a2093ef085345bed152e67,48b4c421825b3e62dfa8992f9b8376af3db6cf68,,False,True,True,4,4,30,1,False,4,,,,,,False
23,refs/heads/master,128e9ada29d720f93d7a1c9937da1f4b088903ef,208d73a94dd42ee0f2363d0fa4272b2814dbe36d,da80bd6885ba638dfb35527a05b9edaf39a44efd,,False,False,True,2,4,12,2,False,2,,,,,,False
24,refs/heads/master,da80bd6885ba638dfb35527a05b9edaf39a44efd,b5f93e2eb194e01e75def8989ed195c4b2d1cf33,f760d9751b69e1bbdbebcaf1e59b0b5246f0b854,,False,True,True,5,14,32,2,False,5,,,,,,False
25,refs/heads/master,aa567230bcafb3bfbe38966bebfec307bb431bbf,90401d669c9f02a00a7bb9cab84cfecbb24ae666,ab0826685a8a67aa2bbbb24c0692609676102738,,False,True,True,6,14,66,1,False,6,,,,,,False
28,refs/heads/master,d7171db3678512fc2a9d473104064c35704ce5b9,0019fc85a599301c7606686904a0a20b0665d437,178ef2e553918e6566a6e1d02253663c79102289,,False,True,True,55,219,2936,3,False,55,,,,,,False
29,refs/heads/master,bab636283a6d1912eade5b0b6fd360a30d19da72,7a9572069cc2531349e42c0839d0e0ff5aefabb6,15122ecde469338fb86624625acc1250b1b13996,,False,True,True,45,203,2235,1,False,45,,,,,,False
30,refs/heads/master,15122ecde469338fb86624625acc1250b1b13996,15fc89869da0ccc06c798bd2c16b4216d162eaea,725739a8eed6f3420a6e7594fa7dd4b15f9e4195,,False,True,True,4,12,45,1,False,4,,,,,,False
33,refs/heads/master,29aeb6c8cf40910e8f0aedb73825b8e3c102dd27,f5a9c7e27ef679fe68a141be65dcbf66bd22c44a,d6442b983e62956ef1dc23e279fd1d7491965805,,False,True,True,72,307,4495,4,False,73,,,,,,False
34,refs/heads/master,4810e17a4bd42f198a3fb5e112909192fc47c1b7,c4a3d750ae6d716471128e178186dfa4b13b7f3d,609f7cfa85143e83f724d74b239523e1e1a9c518,,False,True,True,6,14,129,0,False,6,,,,,,False
36,refs/heads/master,540171a8f54a3ad63fc114ac99b7977aa3e20a28,8afc784a79f8c77c29072d195e04a5c0c3de4f4c,acc3cc75547bbb6262454c044d7796da3edf6718,,False,True,True,11,33,140,1,False,11,,,,,,False
37,refs/heads/master,a581179c2b650561bd1e93dd4d4bb04570ec9d16,0cebfab5acda52e35c1533cf7f8ba83fb312d0b8,671b85ad14a54679fe92fa45a818a6ccd4cd1bb9,,True,True,True,60,257,2565,4,False,61,Tests_failed,f49ead058f22d05185c9f16532ad6669514fa3f025c0f15125758105780b2775,False,Tests_failed,fc38113d73893dcf6cb5ef505369d4f68c3cea101901b40bcf2d618c1a0f5fc8,False
39,refs/heads/master,85f2d719bf63564713f7426611f98853d3d26e5b,811e68433e3a75b317fab33c44f9409f2d0090e8,b061ee1d22a7c6fa2803b737734ab11ab37b4278,,False,False,True,4,14,66,1,False,4,,,,,,False
42,refs/heads/master,0bbbcc166b903b04c98c8ad383a2b450e8bfea77,38d5da80fd468f7bce5bff24479887c697c86259,63ee6134d82393247a8f1eeacc3f80ced8269d2c,,False,False,True,5,6,23,1,False,5,,,,,,False
45,refs/heads/master,7deac76c4730da45e54be0a170f378b2958f5dec,d492c4cdbc6ca4d00d2a5aa5951be6eda0173175,ea5605b690fb21648db69a323fff9ca5acc305bf,,False,True,True,17,111,766,6,False,22,,,,,,False
47,refs/heads/master,b795df5ac0fc3fa3a3d60234ea8ca46278885bbf,fab793739e6c1e7e007c140bf5f3b8e28026d32e,50d7c78ba5ed8646e59763084202bc4dd3b09f53,,False,True,True,34,126,637,2,False,34,,,,,,False
48,refs/heads/master,fab793739e6c1e7e007c140bf5f3b8e28026d32e,cd0ab3eaa54f8dad162aeaf6c863327b173603cb,aaa31f2e659de9fbc88955417fd0ecd2ae5aac38,,False,False,True,4,4,7,2,False,4,,,,,,False
53,refs/heads/master,7e2748521c53ee24843f4bfd11b42a92519aead4,8329f76d13971b94fcf055fca33584541fa392e5,81fbff109644eb0be614d2994f6bce4fefdce9fb,,True,True,True,197,333,4329,12,False,201,Tests_failed,f22e682d68609230064f9b0ae1c5e4dd609695baa68daaa2bc787db93f39b682,False,Tests_failed,81406b3360d74ff30e65406e8c8ad6544e5f547204da6c8fc8f1b5f14cb337dd,False
54,refs/heads/master,ea025e9d4fdaac06524be42bfdf3a0b279f249d9,0065d24f4bff4ca9e868a357fbd4e9143c5fd899,51dafaa7b433fd4e7b69a26e4abcc497714f5faf,,False,True,True,8,14,352,2,False,8,,,,,,False
