idx,branch_name,merge,left,right,notes,union_diff_files,num_intersecting_files,num_diff_lines,num_diff_hunks,diff contains java file,imports_involved,non_java_involved,num_diff_files,test merge,sampled for testing
1,refs/heads/master,ae0a568fd2b10540652250b5566ff87cd728d0f5,ea256b401b5b8028201d61d2a9d900fa30946dfa,8205437f3483b39d60abe8ce4b9580a9c30efdaa,,3,1,6,2,False,False,True,3,False,False
3,refs/remotes/origin/pull/101,9f751f5e4c7a5e25a745a9b7c5280cb5c4b745a3,ad8fc58a60fef4a9c9a9ede187398c067ba42072,c2e6c0983403d78ddc2dcf8fa83987486e28645f,,3,1,23,2,False,False,True,3,False,False
4,refs/remotes/origin/pull/101,c2e6c0983403d78ddc2dcf8fa83987486e28645f,707ee936e8f8e28c32779f40db5757d2403b2636,d53984ed75de1e6500e2d3cacca02fe58121a175,,51,1,2347,362,False,False,True,51,False,False
5,refs/remotes/origin/pull/123,a4ff3aca182b1df4ae7a57eaa5375fbda8e48f50,2234b3fe9944740334c622c71a4eb1b08f27b9de,24036b7b3f8df3445088b85a7b798eb2acf77010,,22,1,1283,40,False,False,True,22,False,False
6,refs/remotes/origin/pull/130,8f7d9287e649768df1b9d29d7094930ccfdf7017,f146244276108b284885b3e646477eb00c35b0a8,bdd28657c65d328130e9e1f9fb991be33ad2b4e2,,24,1,988,104,False,False,True,24,False,False
7,refs/remotes/origin/pull/130,8bb824f8e2792bad0e522c0256602e335ea8b24f,01e0435dbe03c7887fb95cc5d307199ca75de9ad,bd64b3afefcd839b70b52a4d58e1b4c13c84a9e8,,31,8,947,161,False,False,True,31,False,False
8,refs/remotes/origin/pull/137,b3c31fb05d91a5691b404bb78f5d33e986df2288,6dd1d3637693b6faebc9923fe0bb84e420ab3ff7,372f0eaa89333cb91ae6daa3b996310def0f15d4,,6,1,124,21,False,False,True,6,False,False
9,refs/remotes/origin/pull/137,6dd1d3637693b6faebc9923fe0bb84e420ab3ff7,22ebf37d373de3365915de7c55550ea10065730f,7d93361f5a2ad40132713d7f9911d4f7d7b1ce44,,17,1,409,54,False,False,True,17,False,False
10,refs/remotes/origin/pull/139,869f98a077ba0176a80e0802316efd9f1700ec63,33fa077246b870409e887f0350a9fff7d9361e64,0bf1dc6ac937911d3e997452689ba8af88d64063,,8,1,136,27,False,False,True,8,False,False
11,refs/remotes/origin/pull/143,94ccad23e0a13c1743ff44b7dab29a30af3d06b1,e6d096ea50ad85699a7f63731e960c3c2d7ea9a9,848a9eb2168e53008a71ff5671749f5d26013a06,,6,1,30,13,False,False,True,6,False,False
