idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
3,refs/heads/master,0c1194c5443e90b5d61f75603df1c0548328212e,21367d96b021b0785803d5b61c0395aecf1cc8ec,ddffd61e2ebb0f045bed9fabe42957d9e9b6227e,,False,False,,,,,,False
5,refs/heads/master,5e0fa8ca27d69574dfd18124ba1f877fcc8d9ba3,6ddd15e9598f167b2c3015b80bef4c5b0f2abe22,d33c6d2728f200bc1f515ccc4d7d605c7735e89c,,True,True,11e911a534e7271b7c7ad2d0b5d71cf3b9506cade7495dc438320d3ca8596a1e,Tests_passed,754a457984f7571f2771421e01adeb101a73a0fbd9471dc50d355a6307eae918,Tests_passed,True,True
6,refs/heads/master,e244c414169f5a71c8eff0d184233f177f8debb1,8be4cdd27bd27d24735b74cab361eec059928053,4abdbe5f5b601a248eece0b8ef44d7d98912fdb4,,False,False,,,,,,False
7,refs/heads/master,92e27a4166c136ed6e71299a42cb66fb1e1eab12,ff5fde00d411b55abf02e5873f62e951d5a10f40,d6325d1ba793759d82acb9a7fa02781a607d3197,,False,True,ba8bf39e0a30b421d00a3103fb994dea837a01e6a37c23260c13f09ed70828cf,Tests_failed,7c61345bc268f8acb8fa38b51b6db3a8a2d50e108cf62f4f7b35fdb6b5b55dd0,Tests_failed,False,False
8,refs/heads/master,6394d05fa82f2f3cbe19813fd9f53e809486fd15,9004dcf835447fceefa71a599bc545190605956c,a9f8f6544b28db11eeb6df26822f9e1f98a608e4,,False,True,c8f83420c41c7179bc574e2ee83357c642da5ebcfab54d3787f06e0f169aa295,Tests_failed,aa6638954913b81a4d24e071e709bfa57a4531e3c293fc614d09004fd63ff892,Tests_failed,False,False
9,refs/heads/master,baa721b1d9c5ae5c607cdceafdd14c051f4ab170,514fe70d38482bdb4aec63cae30e1eb89977fe25,6b628e27283743f2020f98b9b80aaf0b889129a1,,False,False,,,,,,False
10,refs/heads/master,0076809898ee1ef1330ce41242de492d4d0a6de2,b511ab595ccc81bed5d9daf8ce078e5ce56aa1c4,dbf23fc6adbc1bc80e104b619f9c62ff4688ab8d,,True,True,4b2bde9116dd403a8a389bf6734e535cfeafa29dfa704ee37ad948923d074de9,Tests_passed,d6a7aaa7ce3dfc87e29c2a916469d0a1ec7d18850070fc139bc6e5fde91de778,Tests_passed,True,True
11,refs/heads/master,4edf80354dc90cf4c6cb89e8842c6e8ab336ff71,dd85819791f0ca84607244b53b05a782378fa21a,a3550e6f2493088f12c316d24e0ab2f220fbc73f,,False,False,,,,,,False
12,refs/heads/master,a3550e6f2493088f12c316d24e0ab2f220fbc73f,e1dbf2cd21f51f9837a352f662687987eec21059,36dda5ef987a0484da7298b8734ad4e154265a83,,False,False,,,,,,False
13,refs/heads/master,139ce2e0eacc8d38feb137222b7cc6ceda4bef12,93afc5d8198b0a124a4c76c647a09787541b9da0,9ac9b8ceb124cc6b88fd6e31de8c90d7a599ceaa,,False,False,,,,,,False
14,refs/heads/master,fbee46e30e2c7bddd7009e944854ed56760ee230,cc023ab4e7b3e930c36ac66b10b413368170d5f9,4dcf35224c4f615e9c0a31235ee8a1a80987185c,,False,False,,,,,,False
15,refs/heads/master,916627bfade97cd4a30699cb06654f2fda00008c,de9b7a29d09698e90a22c3715be864c520b7ce5e,36ed3e6b3879c847fc5d593d638d43250ce8b44c,,False,False,,,,,,False
16,refs/heads/master,dc3d1167b3cd7025c0d50635f52b54ebe58ac22f,9ba35cbf0cceddfded8b4049d857ad4d83a2b607,df8551328a675934acacf22fbe288b05588d9198,,False,False,,,,,,False
17,refs/heads/master,ae7db5069d3c6c70ccdf8498fc6de5f7b21df83d,5ffbb348b9659b5de403f9c6c1b7b7750950875e,0dc1442665ba9425a0a83745ab7d14d925e161db,,False,False,,,,,,False
19,refs/heads/master,0dc1442665ba9425a0a83745ab7d14d925e161db,3e5012b61d5700f23c6e5b02abcad462f411390b,f06dc48c3edd6509d337a2661e1ebd0a97afc6c7,,False,False,,,,,,False
20,refs/heads/master,0ddcb8eb1f250f03ccaae6e220819fb0688756d5,ee71c05217b3f022999b91474abe9779c73461f6,c4f6a71a086cd8022971e509b32c89f9c4a9a4cb,,False,False,,,,,,False
21,refs/heads/master,ddf74b9046d9a409cc568996a4d65f42b2d20d43,783d34eced584d3ac4827eb7e23754b47d76ae2c,fe3c0e2b4a6b034680d521bb6d684d50b0382104,,False,False,,,,,,False
23,refs/heads/master,fe3c0e2b4a6b034680d521bb6d684d50b0382104,14a4f4cc6295ddf03beaf1e590f7748bcfbbfad1,7899cdca99b343a488096ef5609ded97bb3680a5,,False,False,,,,,,False
24,refs/heads/master,5c1c02050ab9686e23d7e0a1b0cb312bc5cc6062,8dfb727004283579b31955b219a1d0f36f943a1e,23f391be43b71c319a1bab38d71fc680ded44657,,False,False,,,,,,False
25,refs/heads/master,42c5999fd3ca8d5e97ad43eb7431ad6932ed4bfe,ed4286ad062c89ecc8d09843f77545eb74547bba,04756884f79ec681a8eb3f80209bb2bbe66f37a3,,False,False,,,,,,False
27,refs/heads/master,63f8ae1607329fa51b18f0967a9b3a22d4966036,c4688973d83e58e50e6e7ab11b515e4306e2f2a4,2ee0bdb418a82b5eb4f56c1b4a283230bdc78c90,,False,False,,,,,,False
28,refs/heads/master,3c352f4412446ed819b7b97b3adc6705db3b98ce,ba9db53d94e6458b40ed0e6b618f2870205b12d9,fa460a903da20fce326a18401b7cd97c31aae178,,False,True,019ab19d07895637570d431838eb367dc936b8e07730e23b1d851d46bbd39088,Tests_failed,7a9d9de73d1faed9a2d0123620260a6e5408d35796bcfa9a1b91835e3cf562d5,Tests_failed,False,False
29,refs/heads/master,3f8b25442eb3c1058d90c4338129eb759c0c31ed,fef6bab956d542be9800e93f271f8fccad1b91d4,133b6b542646f59d306e8769fb6d3ce83bdee199,,False,True,bb6ed8ceab58aa94741e8535f8fb7bb233246c4cd505ef1ea8889758c7fc0b79,Tests_failed,8ab4c238332bc1c7647602100733cb9c2f028ed901222048359101d4743e94d7,Tests_failed,False,False
30,refs/heads/master,d2add6705c6755432bb5dfad221f75d365027fab,dd6c9fa99ba3d5920ef6671ab79362f448435cfc,7bd0cacb0410760128e460b7139dd83f2342e672,,False,False,,,,,,False
31,refs/heads/master,dd6c9fa99ba3d5920ef6671ab79362f448435cfc,e6bd209c2751dbf8569e6a93fadd28fd75be521f,90287f12038dcfa28c11af561b0bf2500f7dad01,,False,False,,,,,,False
34,refs/heads/master,e6bd209c2751dbf8569e6a93fadd28fd75be521f,7de37a9ce928cf58affb35790ae5f90e19dc9e62,37b03e6a2cf90285c4b41ce101d6df7e5d780a08,,False,False,,,,,,False
35,refs/heads/master,9b33cd0c73664109a811b6fd6dafb173212ef93c,432bccf5e7bac21a800d2eeef3e2b721db7842b9,a5668ed3a486b753867a145e9cbaec83a997c17a,,False,False,,,,,,False
36,refs/heads/master,f8a77bb9bb5e3cbd0b8cffccb53b82335fd1d32e,59f40e3b8dab0f561c57a57348a67cb8a0b7eb1f,32accdc35cd535b083856cb97520476ee553674d,,False,False,,,,,,False
37,refs/heads/master,174ee9f9dbbb0ac072cf93ea747924a7ec816599,8f676a97466b262673e1fee699068c560bb9b86a,3537db9d2619388071eb8a82c8c5cea2b53e9573,,False,False,,,,,,False
38,refs/heads/master,6d32d4d94a81204a8468a568b0d896618fe7f476,c1fb930b055e0fdf0547e99332fc535e72cdad3a,d3ffb7301957693690351f7462f3db223f58d0fe,two initial commits,False,False,,,,,,False
39,refs/heads/master,d245521394fcc4184d010df008f5902e587d957e,da89e8ce8ccbfa332bfe561cec803238ee1bc526,8cae99f838076b86d34d78090db06124f5929024,two initial commits,False,False,,,,,,False
