idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,test merge,union_diff_files,sampled for testing
4,refs/heads/master,ef3414c1b836b2336081c8c40dadf8586b90f65f,fadb5bb352efc6f2f7ee50e37111de9e1d03ba12,5ba4c4ede75791b9fb75ac0342b2faf85532bd0f,,False,False,True,2,1,340,2,False,2,False
5,refs/heads/master,4fe3ee2151b1a1d67031511235e20ea2fb6d873d,32fbc78edc4bf771130a691c3bb70f88b3f3ae7d,910d617ed65fad5d435045fd8a62df456e6ca6ae,,False,False,True,4,3,357,1,False,4,False
6,refs/heads/master,f2900aa41cfb1fef3eafa17f81afe244d6998027,505ae7ec23ff08ff55de75e9d0ae8a72de317b46,5ca1542ac00f7538815c422f2577561fabcec239,,False,True,True,8,117,1006,2,False,8,False
7,refs/heads/master,1184bd6dab5d871ead4701b885310d10fb0d77ae,e67f6a6510e15d2226323095566c828be8ae544e,f71e43729a48d07fe5be3c07b453837f128ddf73,,False,True,True,9,320,1007,0,False,9,False
8,refs/heads/master,e67f6a6510e15d2226323095566c828be8ae544e,15faa0b0cf93e200f789ef7e81560b0b311ff78b,160e094ec347f152010cefcd7a68f08bfb0719d8,,False,False,True,2,1,2,0,False,2,False
9,refs/heads/master,3bdc51a1bbc703e44adfcea494cf53d35340a4ca,6396db06f226dc2511afd590314efe7cefa8ad53,4bacec7007ecf7a922c4c9302dd32e7caca0f772,,False,False,True,8,193,975,2,False,8,False
11,refs/heads/master,e729335c8fd267e28d0d79838ac21880ed335926,c6b41ca893acec45c2481966f4c935577654bf1a,5a4b072da49c063333b278b4428400b89430bf01,,False,False,True,3,3,42,2,False,3,False
12,refs/heads/master,12d7ebf776aec40e6c561ef4a7454d6db3bcecd9,f1bbab939c955803a841e2868af0e08a7d2bbb65,bcb54aeb1480b55b7bc9e72180b69fe5862e2d35,,False,True,True,8,298,1649,2,False,8,False
13,refs/heads/master,fa9c92edf8f2b106c7e4008060e89505cca21db3,fa070e5f86d4f82f29167931631e4157155b28a3,dd580ee70cebe6b926f0f04289d0a1c5adec4ac1,,False,False,True,2,2,4,0,False,2,False
18,refs/heads/master,78600c576e0184aaafa89d62abd4daf01a6bce36,a46505625a4b41ea2392036925dd28654e60d285,c476f3db793fcd189720988ddf6ded55dfde346b,,False,False,False,0,Error,0,2,False,2,False
19,refs/heads/master,8ed7f5f767bcba22c6083933ee88d487ae727e65,d29665da292e5146fd3db9f81749659c73748689,7881f59cc8ff67d764a1b6da3079949f8c12e877,,False,False,True,2,4,10,0,False,2,False
22,refs/heads/master,ac40eb7e5099210ee7686c6ac4b1ed162c8d0b59,2abee31f7cbc4226401d000387be72ea83717077,01c9426ec0a663d60415c982d9b6d26aa45a09bc,,False,False,True,2,1,14,2,False,2,False
23,refs/heads/master,d743855718025458951f44882bf32647330711f7,d3b00e532fac716142e8914499dcc1a8f7d70885,376eca8c000d60a3d5a1631f7d7dc024968d70e6,,False,False,True,3,51,345,2,False,3,False
24,refs/remotes/origin/pull/33,b1bad2e05fba4ebed735c6e60f139cff90cbe2e7,c39d1b2451f999534bd90a7763faeb796b42cff3,79953e1a6e26e81b64e5ece38f4e15739191a7a2,,False,True,True,10,1432,5409,2,False,10,False
25,refs/remotes/origin/pull/43,77572635e64d981a4b4052471f3a801ef676129b,c0696f5d0a34b1b222622fad0f3ae4b1c38e8ced,59a80b701eb20bb71d40ffc517f1bb1b9e2401ba,,False,True,True,12,525,11883,2,False,12,False
