idx,branch_name,merge,left,right,notes,union_diff_files,num_intersecting_files,num_diff_lines,num_diff_hunks,diff contains java file,imports_involved,non_java_involved,num_diff_files,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
1,refs/heads/main,65a2598048a86da12ce137584da2a558c480e097,117f3de77f8d6a1819b4b6862786194ef712bb64,2dc9a48e2c6250a82e5b19652217a4fb86425dea,,15,1,184,26,False,True,True,15,False,,,,,,False
2,refs/heads/main,117f3de77f8d6a1819b4b6862786194ef712bb64,06c97f7464e77645099db4316bd52ca2998b0983,70468463aaf13617a0f4ef6d97c369ee8271de56,,22,2,535,39,False,True,True,22,False,,,,,,False
4,refs/heads/main,2a3f26d95ef53948077b11f748cd6efefe354304,a4352c5d0093abba7434db46511c46ea9042946c,a1f7906273ca56273f389fa0aaf8de69bf002321,,31,2,1113,57,False,True,True,31,False,,,,,,False
5,refs/heads/main,ba851b8f0fab166708a7c19d3577d0fb88500d50,00981efbab19d7ffe25da9a28984065d7607954d,1ad3cca3339166e5382c114523f2e458c4b497e2,,40,2,708,109,False,True,True,40,False,,,,,,False
6,refs/heads/main,925bc086a7fa9ce1de031bb3f3eb9bf128e9b809,7af4bd352c1e8efacca7142a79f7643e7c250fe8,0c31279f26d6125676b8aa854b99b93f623b0348,,15,1,380,59,False,True,True,15,False,,,,,,False
11,refs/heads/main,bc724a62e4ae78c92c6def41f4a9e9810a5cc50a,d720845bc803fa742b88ffa316294e9642907d78,2ea60be41f612340330c0473f4501edef63c7a85,,8,1,348,40,False,True,True,8,False,,,,,,False
12,refs/heads/main,d720845bc803fa742b88ffa316294e9642907d78,d3f90c7a779148d0a505b9bfdd4640cdec8e1a01,d684cfa61a1d93ed6ffc1b0fdad930e9ddc2347d,,6,1,326,37,False,True,True,6,False,,,,,,False
13,refs/heads/main,d3f90c7a779148d0a505b9bfdd4640cdec8e1a01,c5b3f14cd538a27292bc064e7d59878f95826c7b,de217c817fd40c6be49aa28c016d414b3eb7c558,,8,1,188,32,False,True,True,8,False,,,,,,False
14,refs/heads/main,c5b3f14cd538a27292bc064e7d59878f95826c7b,fcaa46ab04e92baaf6d3e56c33fa28472d647a03,455b5a492d58a4500b3f432897acf2a0c1f81415,,6,1,33,14,False,True,True,6,False,,,,,,False
17,refs/heads/main,b2380a248f7f14fdcede9026f5ca7df14ae30934,9a17c8fb61d835ddb15f69014465f8434dc77c9d,ef55f1b26f4d2ef5ba957accbcc9b97da4471948,,12,1,99,21,False,True,True,12,False,,,,,,False
19,refs/heads/main,74eaa6fb64369af045fb46349eb89648d2917dc0,345f157aadef6c9ae2fed4bacfdebb7eadcfa488,e96509fe7208cb77f2d8168b72e86dd99833d618,,8,1,255,17,False,True,True,8,False,,,,,,False
20,refs/heads/main,373fbd86e069b1abd441b3837e7143aaeb12c340,a80760a4ac1eda1c07c8288a0ba1343a308806e4,6904b9f9cdc011adc8757611952850355b6b008f,,3,1,45,13,False,False,True,3,False,,,,,,False
34,refs/heads/main,2bf72ed95549bda6411c673307cd87d8c4b417b5,51d846bbb6ed94fe8a153fb547cf77b876ef5770,1dca096218152317f495dd2212044ca92930280b,,15,1,219,23,False,True,True,15,False,,,,,,False
35,refs/heads/main,bdde8d14e953058687e11563ece113333aa1f3d0,9df6b18fb051067bc33a356a58a286db7436a039,d3d0f362718dd5e64bbbdb8b9bf9e130039d98f2,,5,2,74,5,True,True,True,5,False,Git_checkout_failed,,False,Git_checkout_failed,,False
37,refs/heads/main,4c8534694f16932c7d798fec66be770e730e307e,421d2108b86ef0557c06b54373a820adf4e83e3c,c08fe0b4652fc21a045fb97a5dfa1c46cd394ea3,,5,1,72,6,False,True,True,5,False,,,,,,False
42,refs/heads/main,0ba793ef710f46ed46c9176a2c272390238a8014,848ca9f11e5a98c70fbf6ce513b2618fbb62b89d,7de2e268d1ef4a292ee4439dc66d6526d6051ff2,,21,2,706,55,True,True,True,21,False,Tests_failed,4f71bc93bd886926894e61b48ba54df68f5e15b2c1d193c510762e2138101176,False,Tests_failed,917c2fa138d5a12931237eb845a38136f1aa62e4c2267598a302bdec99f56ed8,False
44,refs/heads/main,46a607230a5a963818646f2818bd74d6c6f4d8d1,7b5abdfc84efe62d5394c773273c59f1b718bba4,5a6fedc501bfba915a5730fc77e065c028d11df5,,22,1,141,56,False,True,True,22,False,,,,,,False
45,refs/heads/main,fe4ffd8a1461237d242f6297b675ce7d24cf8957,de67a116dccebce42b030d98fd200befc6054d91,517cc5a4c82b2913c5dd360fb7be5d876842858a,,3,1,11,2,False,False,True,3,False,,,,,,False
47,refs/heads/main,87099b3c9ea56f1ac4d7a8c6c17a9051b1f8d93c,f3b104707c91f8548f9d28fbb296d37a47568ecf,a7db7432ea3eb4bd258199894aca26479582e9c1,,33,2,510,76,True,True,True,33,False,Tests_failed,8b100b948c66ee87a75b43af1c442ea7edb035268929c363882783a76acfb4a0,False,Tests_failed,f211489f55bc4a54f78b0b0d88036e6e9dba5a6a32a9f8a71a5f91d1309c06c0,False
48,refs/heads/main,f3b104707c91f8548f9d28fbb296d37a47568ecf,ff2141e17f5bba6eb230f64a0ee2e585d8981e4a,a5bc953d205cc6302834e36dcbaa7eabcd95f91f,,16,16,9,1,True,False,True,2,False,Tests_failed,8b100b948c66ee87a75b43af1c442ea7edb035268929c363882783a76acfb4a0,False,Tests_failed,0eb18aec82661c67fd81b5eed7d5f6d40515a9fec0ac82739bce48afc8aaa33e,False
49,refs/heads/main,2d7ae4828a9633a477ca523b86b818bd7cc2d58b,c89d37f582d7c0aaed89046b79951c4de8d07300,d1840cae419e85392b1a253b3b299d011f702699,,52,8,1530,122,True,True,True,52,False,Tests_passed,6a3753f7553aea2e6a3c94a00ac7725f7bd02133ec6e43640452b0788c9900d5,False,Tests_failed,02c2440bb4fe2844dd7b7563d3bfd3966d6ec12cdfc2af5a682d123c29af8f93,False
51,refs/heads/main,dd7298f9a6a2d93e698324a46f9f0801311b17ce,8346e736144638d8240a357ac4ff87b7063dde14,856ca3de01bb287bc674f65e0312dc0e2a62c7ac,,142,137,1210,244,True,True,True,37,False,Tests_failed,c7818a4393f371a7512928c4d2b2a379071c8d65677290c5528010c15992805b,False,Tests_failed,057556e0d7164bc24638ff5428ebbd08b4120b3ef557f911ee39cd8dbc3790e1,False
57,refs/remotes/origin/gwt/2.7,ea2c832f6834b8eafd91b99cab5d16d926b6b8a3,0a3be018a18245c8c8b43edc5cd065b578db5dcb,89f9231e908b9510da80803e3ee1d5c2ab0abb60,,37,1,1045,136,False,True,True,37,False,,,,,,False
62,refs/remotes/origin/gwt/2.7,581ba65f5b560055d950553d995cc24ca08199ef,12b0a264b5affbf3d1553683ded4d9b715c05beb,5227899435c7225c8fb771935da370907d78badd,,19,1,814,39,False,True,True,19,False,,,,,,False
64,refs/remotes/origin/gwt/2.7,982792e75521327258485cfd3cc7c38b10883457,c735e6b61613538ec2e0fd07494a09bf56acc2ae,5952dc993c3c6b3fbf5d54ed71112075458ef9ec,,13,2,480,40,True,True,True,13,False,Tests_failed,e37f30333ecda5e22bdb29f23677da3270512dfce8d705ea590feb506dd307ba,False,Tests_failed,af2dbae2a986100b0fae1fbd8cee81d4bb92aea495d0ab070a0047a85a422038,False
67,refs/remotes/origin/gwt/2.7,ad8c8f34f0dc319e73ca12684b771f74c8165932,7a16a92d982617690a981e77b877ed6f38b9df54,d36cf097162e9f6f45b4b963d5f80737b81571c2,,7,2,227,22,True,True,True,7,False,Tests_failed,621e7a3c2feca67ed1c6333779a7fe580ec2abf0988d488cf4ba0ef1cba3e19b,False,Tests_failed,ddeff82393ab7c2f0a8bcba17c870a42d2d2e9610009736104b47fc93b391654,False
69,refs/remotes/origin/gwt/2.7,3667b08232501739fc3ba8618f6bdbbf950f1514,1e0e80261de1da9e1d87a9f246a7b6e3fbb66747,cb18551dc704ef6ffb98d55ab6cbcce390ffc767,,9,1,225,11,False,True,True,9,False,,,,,,False
72,refs/remotes/origin/gwt/2.7,7ba89b8bcfa29966edf3582f1dadc7371fb9822e,d651a8c7798b8e690ecb4753270a8d8245c46b52,c3554d1186ddf8003d80ebdca3ebfe68a499c790,,7,1,22,8,False,False,True,7,False,,,,,,False
75,refs/remotes/origin/pull/115,8ede7be2720cdfed3db1f1a397aeb1dd581a2c68,9d64cd81a84b4d71d70713ebac2cd573f76245dc,e31a7f5c759d19c6ccbbcc749f3aa0fb64dd9175,,3,2,25,6,True,True,True,3,False,Tests_failed,79a6e3e6bab84e44a2e7417a0f80d651f7c7ee3a7b84dd43834426e641510bd7,False,Tests_failed,752ed3db3aebdbd4939dfb5ed2271fa279e40ef2610cba1a6f16a064c2165a12,False
76,refs/remotes/origin/pull/115,9d64cd81a84b4d71d70713ebac2cd573f76245dc,98e31c63202f350fcfb7c7981d4520979bd49651,98b64fcbb55758e0240ed3a5b9188e23904ee0fd,,6,2,118,7,False,True,True,5,False,,,,,,False
77,refs/remotes/origin/pull/115,98e31c63202f350fcfb7c7981d4520979bd49651,9c887af51ce128c8cc39d41b9b7d6a4b865d9b39,3f5f7ce8a3127295032bc4025c20c33ec650a79d,,3,1,64,7,False,True,True,3,False,,,,,,False
78,refs/remotes/origin/pull/118,379b9ebb0f8dc730bc118d8b6874b0fb37aa07c2,a925d82e659392c2aad284c5582a8325522f8caf,b212af7be67e0dc08875f8390558580adaa5d1ea,,2,0,1,1,False,False,True,2,False,,,,,,False
