idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_lines,parents pass,right parent test result,right_tree_fingerprint,test merge,sampled for testing
1,refs/heads/master,ebd3b908ea811bcd03b2fab73ace961900da74d9,ca2eea06148ac89c0e4fda0a59e6149e11e41543,8a94b847e210743819bf5db715d3340377a8bfbb,,False,False,,,False,0,0,,,,False,False
2,refs/heads/master,ae9be2f6529dabda48ee264e255c15636dc79832,ad93f0b28b154ea6cbd4901d05f3bedc74a0ec82,0a477071383d87dc1f56ee7a8cebcdff720106ef,,False,True,,,True,6,104,,,,False,False
3,refs/heads/master,ad93f0b28b154ea6cbd4901d05f3bedc74a0ec82,d577051ce5ead53e8c888a9be4624835169cfc68,4b1608ac72f3a55879cc4583143355faf3982981,,True,True,Tests_passed,ecc11d354ac877a3b85318e386e12953880405b21d219f54a7a9bd5172e8e594,True,21,331,True,Tests_passed,02d78e81a6e221767be4ff4f33fc7c29f8c16406a4ff54afc6981d0c7a40c334,True,True
4,refs/heads/master,d577051ce5ead53e8c888a9be4624835169cfc68,9d831e005e1c5b5631002e9f234748fc3ebcaff7,c34b8787a4e650b57151a84639f19374860cb67f,,False,True,,,True,20,295,,,,False,False
5,refs/heads/master,2d2ed0fd180fde9761174a53751e737e61ebaf22,87d09275dc3de47eb89f8d7c45b0f74874121b9a,fbef33f94dff48f54aef1f1bb4d7ede4bfe672fd,,False,True,,,True,10,142,,,,False,False
6,refs/heads/master,0f9e11a4afc81091540a9f0ecc2af7473d434a40,791b0496653adabc30aec01188e0bafc00e02763,e4f6e098cf63053b637a3d6bac62d95e30aaa315,,False,False,,,True,7,22,,,,False,False
7,refs/heads/master,791b0496653adabc30aec01188e0bafc00e02763,361415a4895a76aabb29c015e6400ad554131c49,e35df9cf22184b7900c23db95f644681e0d3fc90,,False,False,,,True,6,14,,,,False,False
8,refs/heads/master,361415a4895a76aabb29c015e6400ad554131c49,39106a7d51ee5cdf1898dfbf58d6c84866bc8ee9,0f9af2e4a583bafe0868c8695b8ea7b64481768c,,False,False,,,True,7,18,,,,False,False
9,refs/heads/master,39106a7d51ee5cdf1898dfbf58d6c84866bc8ee9,a590e1e70a9c8bcb7f2d5bc8105c1496d71be1a2,afb700cd66603c2c9869311f57260138340500fb,,False,False,,,True,6,16,,,,False,False
10,refs/heads/master,a590e1e70a9c8bcb7f2d5bc8105c1496d71be1a2,751e20e4d3bda85a2a9f704b57f4422da26964e8,ccb4993357d4f247de8eaf0dc7016edf6566e071,,False,False,,,True,4,6,,,,False,False
11,refs/heads/master,751e20e4d3bda85a2a9f704b57f4422da26964e8,dfa093473f4bbb76d8bdf37e75c92dc263afa42f,f9b50ab5abc72cbd3279cd7f2e407b648f92e1e6,,False,False,,,True,6,12,,,,False,False
12,refs/heads/master,dfa093473f4bbb76d8bdf37e75c92dc263afa42f,8feecfae3f128fe558753bbda8b370b02c0c4da8,4b066c6da2b7c0f9b15114280c873ca60139741d,,False,False,,,True,5,10,,,,False,False
13,refs/heads/master,8feecfae3f128fe558753bbda8b370b02c0c4da8,13de76a073283507cddd39fe7d2f8b3560470adc,f7b84e90782b70d5c95c4b146f2a7b56e48e1c48,,False,False,,,True,5,8,,,,False,False
14,refs/heads/master,ef67bf26471ecbf0a35b68861eb803644adc49c6,cf28838bbd46d71ecbe7d2db2454542f94fe6aa8,c1242834d4c07d24a441fc3331e191812e22715b,,False,False,,,True,4,46,,,,False,False
15,refs/heads/master,f9b01ba798ae1a0dee9aa0d2b205d58965577016,a8ff36b5975f2c62dce081872d60f2a87895d1a2,a9c740be63cc32d60bae3c33f2e98032e13c74e0,,False,True,,,True,224,1275,,,,False,False
16,refs/heads/master,e00ee3ae13bc5b95dbab86cf644b1c52d8d0b915,fe8919c15882e3614ba5f3ed0c3aa18284151d3e,8c60b55548666d8602413d78df60708bc273942c,,False,True,,,True,36,768,,,,False,False
17,refs/heads/master,fe8919c15882e3614ba5f3ed0c3aa18284151d3e,dccc17cef086c09b00c3483f1fe3c2304924569a,faddbf51ec653d470544d96beb84eaea0e9f577d,,False,True,,,True,35,766,,,,False,False
18,refs/heads/master,dccc17cef086c09b00c3483f1fe3c2304924569a,b37bff8a43d3512590cd4b043fcbaacaaac380c0,b88f7ae468315cfa8b29b4d6e5b03e27026e902c,,False,True,,,True,221,1201,,,,False,False
19,refs/heads/master,b37bff8a43d3512590cd4b043fcbaacaaac380c0,7e491996041980fc6959e068a875f4f812962885,fa467842867ab3046add2e3f2a7c7269c6b5a3dc,,False,True,,,True,34,763,,,,False,False
20,refs/heads/master,97a35d21f3f76e79a1d7937c8b3d9269a12ff6ab,1c5e90ae32f3e70f2f1fb805dfb58e453a4ffcbd,c33a6adae798bd032f3851ef9f1f6683da8d14aa,,False,True,,,True,262,2552,,,,False,False
21,refs/heads/master,52e1fc0d3cb18bd78208a6dfe49ea5ebc5d68305,4e92cb0e604ce4df1b09223dec3dc5a5e7c2ed24,291ea7a7b5ef60436bab0de2ba149711e3f79bb3,,False,True,,,True,262,2548,,,,False,False
22,refs/heads/master,c83239164e9fc715e5ba1f27950efd375d91c577,12f30bb41d10199ac9d6c658fbc9092905feeae0,cb573309aabf292f60e7ef8667b3354481a677d0,,False,True,,,True,261,2510,,,,False,False
23,refs/heads/master,4c21d6756465c434df2da1b7bedb61ad657bb56f,0477ff01465cc734c3f6a72c380cb0b41b11d3d6,2ab43c0de46da6cc68ba178f06369687d1b93b23,,False,True,,,True,97,1861,,,,False,False
25,refs/heads/master,90c29bcf4ab7f671dd24f909892cca2bb6f247c3,c02fdfb2aa95a70b46289e4476159743a84e24f8,de6746327d0f7f6b49c7581debe017d6e14f348e,,False,True,,,True,78,7359,,,,False,False
26,refs/heads/master,be8027828b4e62613b371df6ac83ee9532cdc7be,3729f7aa3f334973094a341544baac904f8cb17f,7ab5b79696686f0e1b633859f1bbf623ff1ab26b,,False,True,,,True,15,217,,,,False,False
27,refs/heads/master,3729f7aa3f334973094a341544baac904f8cb17f,259b6426b32c10e1202681871e80013f1cf27380,8790c2a0be90880d6ecf25e68619e398962481b7,,False,True,,,True,28,667,,,,False,False
28,refs/heads/master,259b6426b32c10e1202681871e80013f1cf27380,cfa32b6fcedd61e16bec58e670077f57fc9c5561,a57c230784eaca85a52ccdd49f78d9f29c36d4b9,,False,True,,,True,27,565,,,,False,False
29,refs/heads/master,48e5f22c555ac7bfc79e44923648209e37765270,d1094351ef4d2b272606cf65333976f9a25e19dd,8dfb71132ce388263f338bdb37c614a72ff007e2,,False,True,,,True,18,328,,,,False,False
30,refs/heads/master,d1094351ef4d2b272606cf65333976f9a25e19dd,660187d13d4242fa75307c0dc23b15d5c1a9db3c,7a7a429886f7f39d729f930194d8f922b5f01383,,False,True,,,True,15,314,,,,False,False
31,refs/heads/master,660187d13d4242fa75307c0dc23b15d5c1a9db3c,2ad68ae7ce5016565d1de635793cc825137f459e,ff771a7b555444c8bd54d68d8250d373ea5fd3a4,,False,True,,,True,7,241,,,,False,False
32,refs/heads/master,7dc06ee6463b921b98f2de9528c1ea74d7666a02,1a29ccd83a311420ee267d0255e1083775e74d2f,aae514efb79a8cf74018f6e254bd3ccad01fe982,,False,True,,,True,9,217,,,,False,False
33,refs/heads/master,aae514efb79a8cf74018f6e254bd3ccad01fe982,b1246e264595c4c185a11214c42ab210f8e63eb6,abea1d59ec4acb88e9696ac6258c4417a47317e2,,True,True,Tests_failed,2b32204fd5c5e5f34880a0905a019ec51463a68eea79b6fe85a5c63d18a61b76,True,26,177,False,Git_checkout_failed,,False,False
34,refs/heads/master,1a29ccd83a311420ee267d0255e1083775e74d2f,19f3b1fcaf872b1e531b6236ed7c13181c80d3fb,abea1d59ec4acb88e9696ac6258c4417a47317e2,,True,True,Git_checkout_failed,,True,29,383,False,Git_checkout_failed,,False,False
35,refs/heads/master,e3d13289486f2de869822ff98c085db9eae1079b,d5d0639c5ff5ddcf7936850c1686229a4c3c3223,96a516cc7b3f472a9692c4905ec71b011655f6d9,,False,True,,,True,16,329,,,,False,False
36,refs/heads/master,abea1d59ec4acb88e9696ac6258c4417a47317e2,93cf62a79a6903b6d1bbb3d487982bf4a7f55971,742f4bc4b0db51b0a95d21f96310da4ff1ef2577,,False,True,,,True,33,290,,,,False,False
37,refs/heads/master,93cf62a79a6903b6d1bbb3d487982bf4a7f55971,96a516cc7b3f472a9692c4905ec71b011655f6d9,b370a876a19ed05d19776136f0ad4b742937ddd5,,True,True,Tests_failed,5ce94418633e2275f0321d40e1b02005a01d0e0413b1878db7af5ab8c3427708,True,27,250,False,Tests_failed,7e63f056000503f74f32727a30b08f0d2376155d6c365c3e26ca5c2e17ef937a,False,False
38,refs/heads/master,48e372b632e8a2f4092c5ad94a1501f4d04e24a1,413d46b0632450ec0c30f5c167d28e672e745c78,6551efa2ce270caee27f7f3b76bd96cf124fab9a,,True,True,Tests_failed,20f7815dcae3f191c6c8dc8a620dadada0c34263715c6f5cd172fe166d034a1b,True,225,934,False,Tests_failed,5a07aa1b29bb10079b5be118acac81bc4c539f46c47303a42812b39ddb55e377,False,False
39,refs/heads/master,413d46b0632450ec0c30f5c167d28e672e745c78,8dfeee4c0f3bb6bbc49704057f511a0ed969b0d5,b2e8fd535692a1928e6768a964c07086e5574f10,,False,True,,,True,9,57,,,,False,False
40,refs/heads/master,9836d5070b00c552f16f06c72444b5ca39a718f3,a9cc048b6cc39741ab5a14e416b9705bad5a3693,359299c36e51c8d6dbe70f8734b13a722daebbf3,,False,True,,,True,219,667,,,,False,False
41,refs/heads/master,6ef7fc0393bad70cc679e9b6878f752b0e4418fb,4d24f323b844e060f142225090b9a737f66e8dfe,359299c36e51c8d6dbe70f8734b13a722daebbf3,,False,True,,,True,219,658,,,,False,False
42,refs/heads/master,359299c36e51c8d6dbe70f8734b13a722daebbf3,995e28a3c2033ddb09d32f1e9dc7214bf833b741,dc486c9e86fe2ecf53bb68f9274822f9365f6a8f,,False,True,,,True,216,685,,,,False,False
43,refs/heads/master,995e28a3c2033ddb09d32f1e9dc7214bf833b741,1862b69aec46a82190017a518d58a6deccbbeb4e,0076b49b8e7581ae418ca6add03758eb79bea90d,,True,True,Tests_failed,13cef32ba35dd666e9247a1d49b8e7e6054ea1a43c6fe7fe37aa6bb92f9a94d9,True,215,680,False,Tests_failed,be7619c509c458d81d356ddd41e659eb3d3b99d90523a23f6492c62c683a7fa5,False,False
44,refs/heads/master,1862b69aec46a82190017a518d58a6deccbbeb4e,a33fc9304e6d9bf863bd96ffb9078c5533f952a3,26810420f37fdcc3927357cd4bc6564274c1f0e8,,True,True,Tests_failed,f83cadf0572db31ebc04068f415e07665bf396f4ec4df2295a907382f49e706d,True,214,659,False,Tests_failed,dc62610eeff29dfd85791719b99cd13af34c0bed8d498a8fb61ab168071b0b09,False,False
45,refs/heads/master,a33fc9304e6d9bf863bd96ffb9078c5533f952a3,d171e1e408d6051a6a377188a8997d8f44e866ca,1d2e8e01e7448ddca3122d59535001d7b9a39e7c,,False,True,,,True,10,29,,,,False,False
46,refs/heads/master,d171e1e408d6051a6a377188a8997d8f44e866ca,e8e0388d344ace1cd4ca2f62444c8502fc2278ef,41b0320316b6ae3b6ee30ff498a6cba054e878f4,,False,True,,,True,8,24,,,,False,False
47,refs/heads/master,e8e0388d344ace1cd4ca2f62444c8502fc2278ef,b6ba5578ad4012fa29b86994b96de9b3ddb9aab8,f839e66b671c9e954d2810730b50e00d6e350572,,True,True,Git_checkout_failed,,True,213,622,False,Git_checkout_failed,,False,False
48,refs/heads/master,f90dda92917e86e67bcd91d4857d2bc07651c6f5,f2a4b367a3e91c56d80512988d3137e0e6e46d77,4a8b5a8a93723ce998fba0284786b9869d74cd4c,,False,True,,,True,210,599,,,,False,False
49,refs/heads/master,4a8b5a8a93723ce998fba0284786b9869d74cd4c,2dd6db95b6e18348a4065d57e84afd445538b156,2d04f510c1526bc5642908bf9c12839ab102c8f6,,True,True,Tests_failed,b968dce17f4b0278d67cf5ed21e3d9b7f0c7b7c09852077d3f7d6a820e56306b,True,205,508,False,Tests_failed,f647231e44775177c99a996d835ba20fd06f82ada004517362d5305346fdf440,False,False
50,refs/heads/master,2dd6db95b6e18348a4065d57e84afd445538b156,eb5c4983ad192a10376421f233deed1d2979bc56,d284c348cbaae18e66308e198b0d4d03e24824cd,,True,True,Tests_failed,f8d742cf84017ddc6d4790725656b19e201036f498d8296333a9fe5205439ce4,True,199,370,False,Tests_failed,6a9b4888b4e2f6a61e1c9c694d6395c8af9ed601ce3c96178dc9c20fea28e708,False,False
51,refs/heads/master,eb5c4983ad192a10376421f233deed1d2979bc56,61936bfcc03428ff6d3710acee7faf14061cbcfb,70b82bb98eac0b8ee3487fa326cb2b7f7848d2ca,,False,False,,,True,197,330,,,,False,False
53,refs/heads/master,3fc6397fd84790caefe24a013133455ec9cd489c,f9ba694e793276b99f3834fe715e893d2445b045,386912e801955a5b9570b89b4b0ca95e5bc5f06e,,False,True,,,True,10,321,,,,False,False
