idx,branch_name,merge,left,right,notes,num_diff_files,num_diff_lines,imports_involved,non_java_involved,diff contains java file,diff_logs,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,test merge,sampled for testing
2,refs/heads/master,ec8a11a438d67b5588598a5f4a8956c33fe89781,2920222a19fda3817edb0e0e814aa4dc42f4b541,776eb3cc50b8e169266591d657f487ed11503aa4,,9,40,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/2920222a19fda3817edb0e0e814aa4dc42f4b541_776eb3cc50b8e169266591d657f487ed11503aa4_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/2920222a19fda3817edb0e0e814aa4dc42f4b541_776eb3cc50b8e169266591d657f487ed11503aa4_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/2920222a19fda3817edb0e0e814aa4dc42f4b541_776eb3cc50b8e169266591d657f487ed11503aa4_left_right.log'}",,,,,,False,False
3,refs/heads/master,2920222a19fda3817edb0e0e814aa4dc42f4b541,ee2877f2209b9fb9a901838755e3e475d0b37044,6178244c16fd82d2062275fe53702e9f345cc32a,,8,38,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/ee2877f2209b9fb9a901838755e3e475d0b37044_6178244c16fd82d2062275fe53702e9f345cc32a_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/ee2877f2209b9fb9a901838755e3e475d0b37044_6178244c16fd82d2062275fe53702e9f345cc32a_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/ee2877f2209b9fb9a901838755e3e475d0b37044_6178244c16fd82d2062275fe53702e9f345cc32a_left_right.log'}",,,,,,False,False
5,refs/heads/master,68fa791e60021902a52c62792948b169c466f6d8,8f3b5d754b620e791d5839dab64d072918ae7b73,06df5ebc964fdcb7ffebd69b52e8804cb2074ecc,,14,159,True,True,True,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/8f3b5d754b620e791d5839dab64d072918ae7b73_06df5ebc964fdcb7ffebd69b52e8804cb2074ecc_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/8f3b5d754b620e791d5839dab64d072918ae7b73_06df5ebc964fdcb7ffebd69b52e8804cb2074ecc_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/8f3b5d754b620e791d5839dab64d072918ae7b73_06df5ebc964fdcb7ffebd69b52e8804cb2074ecc_left_right.log'}",e4bca14a4582b88cf6e24169b244151746528167c2566033b08c90e3dab11d2e,Tests_passed,3458cc5882c6af6103025ef73fdc17d70503186d6131a851e8ca1458b63a239c,Tests_passed,True,True,True
6,refs/heads/master,8f3b5d754b620e791d5839dab64d072918ae7b73,97e0faf7333285cedb340f69c4f7f671b9e7f494,e19edb53641b464903bfd6ec9d99ddc2a33a414f,,14,118,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/97e0faf7333285cedb340f69c4f7f671b9e7f494_e19edb53641b464903bfd6ec9d99ddc2a33a414f_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/97e0faf7333285cedb340f69c4f7f671b9e7f494_e19edb53641b464903bfd6ec9d99ddc2a33a414f_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/97e0faf7333285cedb340f69c4f7f671b9e7f494_e19edb53641b464903bfd6ec9d99ddc2a33a414f_left_right.log'}",,,,,,False,False
7,refs/heads/master,97e0faf7333285cedb340f69c4f7f671b9e7f494,7d8f5aae253fd8ac1dcb93e3c8e18c9de79250cf,147387546589ec13a8132754d9a4a1c0b9a675fe,,4,27,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/7d8f5aae253fd8ac1dcb93e3c8e18c9de79250cf_147387546589ec13a8132754d9a4a1c0b9a675fe_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/7d8f5aae253fd8ac1dcb93e3c8e18c9de79250cf_147387546589ec13a8132754d9a4a1c0b9a675fe_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/7d8f5aae253fd8ac1dcb93e3c8e18c9de79250cf_147387546589ec13a8132754d9a4a1c0b9a675fe_left_right.log'}",,,,,,False,False
8,refs/heads/master,7d8f5aae253fd8ac1dcb93e3c8e18c9de79250cf,80b00963d54e199c3b765abe5d9cc43317cc59d2,6a7f39e892401f32726d551f5282d331ea1cf3b8,,3,22,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/80b00963d54e199c3b765abe5d9cc43317cc59d2_6a7f39e892401f32726d551f5282d331ea1cf3b8_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/80b00963d54e199c3b765abe5d9cc43317cc59d2_6a7f39e892401f32726d551f5282d331ea1cf3b8_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/80b00963d54e199c3b765abe5d9cc43317cc59d2_6a7f39e892401f32726d551f5282d331ea1cf3b8_left_right.log'}",,,,,,False,False
9,refs/heads/master,80b00963d54e199c3b765abe5d9cc43317cc59d2,ef4deead66dd239869d8d59fbe84610d0b058a35,fba0f39fac61bdf919cf945c29a1208471ace73c,,2,2,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/ef4deead66dd239869d8d59fbe84610d0b058a35_fba0f39fac61bdf919cf945c29a1208471ace73c_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/ef4deead66dd239869d8d59fbe84610d0b058a35_fba0f39fac61bdf919cf945c29a1208471ace73c_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/ef4deead66dd239869d8d59fbe84610d0b058a35_fba0f39fac61bdf919cf945c29a1208471ace73c_left_right.log'}",,,,,,False,False
10,refs/heads/master,ef4deead66dd239869d8d59fbe84610d0b058a35,26182d3979ad2544c0226006624f5a6e0b9c506e,931888bf4bc44cc31215af36b79de8881948154c,,2,0,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/26182d3979ad2544c0226006624f5a6e0b9c506e_931888bf4bc44cc31215af36b79de8881948154c_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/26182d3979ad2544c0226006624f5a6e0b9c506e_931888bf4bc44cc31215af36b79de8881948154c_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/26182d3979ad2544c0226006624f5a6e0b9c506e_931888bf4bc44cc31215af36b79de8881948154c_left_right.log'}",,,,,,False,False
12,refs/heads/master,19d56a00207b01ab2853640efd051b6e15e8f987,02a69b7532750acef3099bd7ad9a25e2a97e0d77,f4c87b497a9369e080fac81dcfb80e901624a9f7,,10,132,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/02a69b7532750acef3099bd7ad9a25e2a97e0d77_f4c87b497a9369e080fac81dcfb80e901624a9f7_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/02a69b7532750acef3099bd7ad9a25e2a97e0d77_f4c87b497a9369e080fac81dcfb80e901624a9f7_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/02a69b7532750acef3099bd7ad9a25e2a97e0d77_f4c87b497a9369e080fac81dcfb80e901624a9f7_left_right.log'}",,,,,,False,False
15,refs/heads/master,4c04dd3f160a50b9c0ea2ce58b233bcfdfd512f4,29dbd1dc0c7f45e26554e7daf15eda0804222f0b,64f8b3f9006d42a0326dc7653bded161de155771,,7,99,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/29dbd1dc0c7f45e26554e7daf15eda0804222f0b_64f8b3f9006d42a0326dc7653bded161de155771_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/29dbd1dc0c7f45e26554e7daf15eda0804222f0b_64f8b3f9006d42a0326dc7653bded161de155771_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/29dbd1dc0c7f45e26554e7daf15eda0804222f0b_64f8b3f9006d42a0326dc7653bded161de155771_left_right.log'}",,,,,,False,False
16,refs/heads/master,29dbd1dc0c7f45e26554e7daf15eda0804222f0b,06746537784e872f58cc2f1fd7f161d64edad593,ef91b99a42bd55bfb7f867747702e8c65e8b2d3e,,4,16,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/06746537784e872f58cc2f1fd7f161d64edad593_ef91b99a42bd55bfb7f867747702e8c65e8b2d3e_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/06746537784e872f58cc2f1fd7f161d64edad593_ef91b99a42bd55bfb7f867747702e8c65e8b2d3e_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/06746537784e872f58cc2f1fd7f161d64edad593_ef91b99a42bd55bfb7f867747702e8c65e8b2d3e_left_right.log'}",,,,,,False,False
18,refs/heads/master,31bd6f83359d9dfb9b9e37ccdc397e7db3fda35d,05daabf2b00fe7252d6da43e5a42bb2ac357eedf,1a8c269e91506dd1f050b30a6fa6d16fecc3bd43,,22,547,True,True,True,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/05daabf2b00fe7252d6da43e5a42bb2ac357eedf_1a8c269e91506dd1f050b30a6fa6d16fecc3bd43_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/05daabf2b00fe7252d6da43e5a42bb2ac357eedf_1a8c269e91506dd1f050b30a6fa6d16fecc3bd43_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/05daabf2b00fe7252d6da43e5a42bb2ac357eedf_1a8c269e91506dd1f050b30a6fa6d16fecc3bd43_left_right.log'}",211efe71c6a879f7786af3d12a8e7dd9ecba17b3f12ee4f1e19b47583883ec64,Tests_passed,8f3e33ebf166441fb8ea3582e145c90dc6cfd3772247873157bf6cd6a57087fb,Tests_passed,True,True,True
19,refs/heads/master,05daabf2b00fe7252d6da43e5a42bb2ac357eedf,58c017c5ed6a2e50f15d13bbe1277e842238fbee,69d63e5cb303460016b49d6cb57d8be9c6284d82,,9,210,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/58c017c5ed6a2e50f15d13bbe1277e842238fbee_69d63e5cb303460016b49d6cb57d8be9c6284d82_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/58c017c5ed6a2e50f15d13bbe1277e842238fbee_69d63e5cb303460016b49d6cb57d8be9c6284d82_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/58c017c5ed6a2e50f15d13bbe1277e842238fbee_69d63e5cb303460016b49d6cb57d8be9c6284d82_left_right.log'}",,,,,,False,False
20,refs/heads/master,e826df70c8772e95f1327bac233ce0ca9d9fa46e,2fef8c416e54d353e9d0eca1de0c88fb49d8ec6a,703a299360ffa0a0dd3eb1fe5f9c09c7bd677863,,24,414,True,True,True,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/2fef8c416e54d353e9d0eca1de0c88fb49d8ec6a_703a299360ffa0a0dd3eb1fe5f9c09c7bd677863_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/2fef8c416e54d353e9d0eca1de0c88fb49d8ec6a_703a299360ffa0a0dd3eb1fe5f9c09c7bd677863_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/2fef8c416e54d353e9d0eca1de0c88fb49d8ec6a_703a299360ffa0a0dd3eb1fe5f9c09c7bd677863_left_right.log'}",e4f0286cee91db3fdf7968c079330c90a1c5a5e4a1ce0e8dd25bfaccd53a2651,Tests_passed,8653adea3c6acef2fe056b0aee097ee51c9dc87eab1a178f3565d1ad8b1794ee,Tests_passed,True,True,True
22,refs/heads/master,f6efe42bf1b29e52b72832b8c1754fc93cd3ec4b,f067ff717dd1ae97ff4c4bebc2f4415c33fa1df3,2fef8c416e54d353e9d0eca1de0c88fb49d8ec6a,,32,828,True,True,True,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/f067ff717dd1ae97ff4c4bebc2f4415c33fa1df3_2fef8c416e54d353e9d0eca1de0c88fb49d8ec6a_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/f067ff717dd1ae97ff4c4bebc2f4415c33fa1df3_2fef8c416e54d353e9d0eca1de0c88fb49d8ec6a_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/f067ff717dd1ae97ff4c4bebc2f4415c33fa1df3_2fef8c416e54d353e9d0eca1de0c88fb49d8ec6a_left_right.log'}",780417cb37382b2f8a2998af1f2c9d31b627a3a69c752dee4c0a159a957bad06,Tests_passed,e4f0286cee91db3fdf7968c079330c90a1c5a5e4a1ce0e8dd25bfaccd53a2651,Tests_passed,True,True,True
23,refs/heads/master,24a9051600c96faae367080d1895ee051e41ad67,5e98c5904c698330a5d97f4d112170f5733056a6,bc0a9bce64a917ce7554dd3e2ec6631de1f14c55,,23,353,True,True,True,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/5e98c5904c698330a5d97f4d112170f5733056a6_bc0a9bce64a917ce7554dd3e2ec6631de1f14c55_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/5e98c5904c698330a5d97f4d112170f5733056a6_bc0a9bce64a917ce7554dd3e2ec6631de1f14c55_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/5e98c5904c698330a5d97f4d112170f5733056a6_bc0a9bce64a917ce7554dd3e2ec6631de1f14c55_left_right.log'}",ff7dc548291b4e2877915d0971e72bc82b5b234ef8a7149fc6f6a129e33e2d62,Tests_passed,a8f7ff3ce71de5ade090fb92ddecf838ac7fc72e84f6f66946225053b1456918,Tests_passed,True,True,True
24,refs/heads/master,7f11b916bf62f92e12c3a6c098ed2df7c36ad9f4,4aef1b09925156d87b53d29bc42f0a51d4a3c5c5,b79cce10d867f71ef34d0f028712e91dc2d911e9,,13,234,True,True,True,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/4aef1b09925156d87b53d29bc42f0a51d4a3c5c5_b79cce10d867f71ef34d0f028712e91dc2d911e9_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/4aef1b09925156d87b53d29bc42f0a51d4a3c5c5_b79cce10d867f71ef34d0f028712e91dc2d911e9_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/4aef1b09925156d87b53d29bc42f0a51d4a3c5c5_b79cce10d867f71ef34d0f028712e91dc2d911e9_left_right.log'}",748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Tests_passed,eb1a5cf44aa8ae5e1107a505988977600939bbce3d81204d46a562569d93557c,Tests_passed,True,True,True
25,refs/heads/master,4aef1b09925156d87b53d29bc42f0a51d4a3c5c5,6aad51ffc15c26e788987b659c8a8655f4152455,970b8d7639d3edb71afb0d5c4838645a74f5b32a,,3,137,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/tumblr/jumblr/6aad51ffc15c26e788987b659c8a8655f4152455_970b8d7639d3edb71afb0d5c4838645a74f5b32a_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tumblr/jumblr/6aad51ffc15c26e788987b659c8a8655f4152455_970b8d7639d3edb71afb0d5c4838645a74f5b32a_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tumblr/jumblr/6aad51ffc15c26e788987b659c8a8655f4152455_970b8d7639d3edb71afb0d5c4838645a74f5b32a_left_right.log'}",,,,,,False,False
