idx,branch_name,merge,left,right,notes,diff contains java file,diff_logs,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
1,refs/heads/master,7fef2f6c56bfc69f19a7917a5e248cae1a63b5a8,e90b1e2feaf9e7d99df4ac5437964c57cba3cd6f,fbe2e050d7040a251678edc0d82de90f68f2ef02,,False,"{'base_left': 'cache/diff_analyzer/logs/tzaeschke/ode4j/e90b1e2feaf9e7d99df4ac5437964c57cba3cd6f_fbe2e050d7040a251678edc0d82de90f68f2ef02_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tzaeschke/ode4j/e90b1e2feaf9e7d99df4ac5437964c57cba3cd6f_fbe2e050d7040a251678edc0d82de90f68f2ef02_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tzaeschke/ode4j/e90b1e2feaf9e7d99df4ac5437964c57cba3cd6f_fbe2e050d7040a251678edc0d82de90f68f2ef02_left_right.log'}",True,True,26,69.0,False,,,,,,False
2,refs/heads/master,6540a3bd44473902a47556ab5d67a1181d2c2b59,b6993aa11cd63ddc5965530982079528dcb5e7a7,932105f3b31a0c9490e9ce275e9adb7d7a7b9711,,False,"{'base_left': 'cache/diff_analyzer/logs/tzaeschke/ode4j/b6993aa11cd63ddc5965530982079528dcb5e7a7_932105f3b31a0c9490e9ce275e9adb7d7a7b9711_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tzaeschke/ode4j/b6993aa11cd63ddc5965530982079528dcb5e7a7_932105f3b31a0c9490e9ce275e9adb7d7a7b9711_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tzaeschke/ode4j/b6993aa11cd63ddc5965530982079528dcb5e7a7_932105f3b31a0c9490e9ce275e9adb7d7a7b9711_left_right.log'}",False,True,14,16.0,False,,,,,,False
5,refs/heads/master,f5d4a608832cefc63e6ff23f6f7bbc59c6b2a8c7,361e570a3d187e62a2704841a637c4aeb9650239,fc8454b8716bd6635fc3b9b3563d8134bb2532d6,,False,"{'base_left': 'cache/diff_analyzer/logs/tzaeschke/ode4j/361e570a3d187e62a2704841a637c4aeb9650239_fc8454b8716bd6635fc3b9b3563d8134bb2532d6_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tzaeschke/ode4j/361e570a3d187e62a2704841a637c4aeb9650239_fc8454b8716bd6635fc3b9b3563d8134bb2532d6_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tzaeschke/ode4j/361e570a3d187e62a2704841a637c4aeb9650239_fc8454b8716bd6635fc3b9b3563d8134bb2532d6_left_right.log'}",True,True,5,31.0,False,,,,,,False
10,refs/heads/master,7a8a35ccb0ea6f00c087231750c2a10c8c500f21,1ae5a728d3f3c271755a2f5bc5d45bd5ff7b3eaf,5fe91e7b3506948ae9ec34bf33776d28fe3166a1,,False,"{'base_left': 'cache/diff_analyzer/logs/tzaeschke/ode4j/1ae5a728d3f3c271755a2f5bc5d45bd5ff7b3eaf_5fe91e7b3506948ae9ec34bf33776d28fe3166a1_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tzaeschke/ode4j/1ae5a728d3f3c271755a2f5bc5d45bd5ff7b3eaf_5fe91e7b3506948ae9ec34bf33776d28fe3166a1_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tzaeschke/ode4j/1ae5a728d3f3c271755a2f5bc5d45bd5ff7b3eaf_5fe91e7b3506948ae9ec34bf33776d28fe3166a1_left_right.log'}",True,True,3,444.0,False,,,,,,False
12,refs/heads/master,441ab4404c41dd195f9c26ebfdeaab16b07c31e3,c61bed60ff4e42404e65ba183da8c729af3b3ad1,a5f9e1ee1f214b91277e72f16ee1c801cba73bba,,False,"{'base_left': 'cache/diff_analyzer/logs/tzaeschke/ode4j/c61bed60ff4e42404e65ba183da8c729af3b3ad1_a5f9e1ee1f214b91277e72f16ee1c801cba73bba_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tzaeschke/ode4j/c61bed60ff4e42404e65ba183da8c729af3b3ad1_a5f9e1ee1f214b91277e72f16ee1c801cba73bba_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tzaeschke/ode4j/c61bed60ff4e42404e65ba183da8c729af3b3ad1_a5f9e1ee1f214b91277e72f16ee1c801cba73bba_left_right.log'}",True,True,4,347.0,False,,,,,,False
16,refs/heads/master,170876f4edbf362a53a0fb620e61bd7416303251,759b20cf4e6aea211aea9f7c6614ac2adc517aa5,1653a23b109aed5686a008d094a734d15a61cf7e,,False,"{'base_left': 'cache/diff_analyzer/logs/tzaeschke/ode4j/759b20cf4e6aea211aea9f7c6614ac2adc517aa5_1653a23b109aed5686a008d094a734d15a61cf7e_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tzaeschke/ode4j/759b20cf4e6aea211aea9f7c6614ac2adc517aa5_1653a23b109aed5686a008d094a734d15a61cf7e_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tzaeschke/ode4j/759b20cf4e6aea211aea9f7c6614ac2adc517aa5_1653a23b109aed5686a008d094a734d15a61cf7e_left_right.log'}",True,True,41,139.0,False,,,,,,False
18,refs/heads/master,a36d0905c8458d0179b155281968cc8027bfaa60,216b9945d056d1c0a141abf6e8cce7a29b7e1221,b9e622a6b080ebfaeb8955f43e4b7982f1a095c2,,False,"{'base_left': 'cache/diff_analyzer/logs/tzaeschke/ode4j/216b9945d056d1c0a141abf6e8cce7a29b7e1221_b9e622a6b080ebfaeb8955f43e4b7982f1a095c2_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tzaeschke/ode4j/216b9945d056d1c0a141abf6e8cce7a29b7e1221_b9e622a6b080ebfaeb8955f43e4b7982f1a095c2_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tzaeschke/ode4j/216b9945d056d1c0a141abf6e8cce7a29b7e1221_b9e622a6b080ebfaeb8955f43e4b7982f1a095c2_left_right.log'}",False,True,2,0.0,False,,,,,,False
21,refs/heads/master,aafbe7ad5da33788e158ec255a34430506ec1620,91bcc0134b815eef7211959e2aa6660af2ba3983,9f8fc068b6b601a96544a9a5dc0829324d9af648,,False,"{'base_left': 'cache/diff_analyzer/logs/tzaeschke/ode4j/91bcc0134b815eef7211959e2aa6660af2ba3983_9f8fc068b6b601a96544a9a5dc0829324d9af648_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tzaeschke/ode4j/91bcc0134b815eef7211959e2aa6660af2ba3983_9f8fc068b6b601a96544a9a5dc0829324d9af648_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tzaeschke/ode4j/91bcc0134b815eef7211959e2aa6660af2ba3983_9f8fc068b6b601a96544a9a5dc0829324d9af648_left_right.log'}",True,True,28,8.0,False,,,,,,False
23,refs/heads/master,b4d755c93c216317f28f7eb9011dd2038a037cef,804d516f810c6e9427ffd092e192f62904a40e88,09ad5f33398b630863a76321ecec40a630b5af9c,,True,"{'base_left': 'cache/diff_analyzer/logs/tzaeschke/ode4j/804d516f810c6e9427ffd092e192f62904a40e88_09ad5f33398b630863a76321ecec40a630b5af9c_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tzaeschke/ode4j/804d516f810c6e9427ffd092e192f62904a40e88_09ad5f33398b630863a76321ecec40a630b5af9c_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tzaeschke/ode4j/804d516f810c6e9427ffd092e192f62904a40e88_09ad5f33398b630863a76321ecec40a630b5af9c_left_right.log'}",True,True,6,83.0,False,e97d5c19b969c37a6839f089a3ce43f512e6d5da6fecd503a67ebddf53723af7,Tests_failed,7f9313c4ebd06724e949779a5ae9d769db33c5876d6748968dea50c0747fc82f,Tests_failed,False,False
26,refs/heads/master,bc83ba46884a744cfa2273035bf452db183aa06a,e3cbd947d60aadda9d4188b3561644900daaa822,21e24baf212dfcc7b1f84d8cf19b449833294b69,,False,"{'base_left': 'cache/diff_analyzer/logs/tzaeschke/ode4j/e3cbd947d60aadda9d4188b3561644900daaa822_21e24baf212dfcc7b1f84d8cf19b449833294b69_base_left.log', 'base_right': 'cache/diff_analyzer/logs/tzaeschke/ode4j/e3cbd947d60aadda9d4188b3561644900daaa822_21e24baf212dfcc7b1f84d8cf19b449833294b69_base_right.log', 'left_right': 'cache/diff_analyzer/logs/tzaeschke/ode4j/e3cbd947d60aadda9d4188b3561644900daaa822_21e24baf212dfcc7b1f84d8cf19b449833294b69_left_right.log'}",True,True,10,0.0,False,,,,,,False
