idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,test merge,union_diff_files,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
1,refs/heads/master,628b32ca441f9087e239b8fd95efdfb02aa9f582,8bdcc36f73d8350fa441e3a0230b70ac6e508fd2,fbebc32284ad9978fbe5e55e7fd7f7178581c9a5,,True,True,True,12,29,381,4,False,12,Tests_failed,e8250ecd0ec857b1e48e50c1ed602afa18a4167e56647d0cbecdbfb5008588fc,False,Tests_failed,4e6efb1f8bd753bd5924cb18c923df1e56cdedb82c1f12894faa875c0f0a17dd,False
2,refs/heads/master,2f95a0c02108616fcc8a9d177d2b73541bb7a80e,03914d4055ac09e59ecba7e0f01c38e8e73e0943,6db62f68ad61aa3d5e1aa1e3e76536ebfefad17c,,True,True,True,22,103,507,3,False,22,Tests_failed,6d5d7c2b187a2e75697d0dbb8e8c67ae014162dc216ca32e655fec8b588dd2b1,False,Tests_failed,f7c6e50a44c30d5032a9dd61c1bbd357815e8666e787167ddfd2e8dddf663415,False
3,refs/heads/master,03914d4055ac09e59ecba7e0f01c38e8e73e0943,432dfdd42dedb5ca2dd86b2111adeb7c213e1cc1,49924280e2a2160ef2c5b5948973c81e492ec305,,False,False,True,2,1,2,0,False,2,,,,,,False
11,refs/heads/master,307d2e9736bf104cc9623003ddd4bc2bf68a09f5,8109d64ad6791a94561fc19bf2ff4169872fc594,b48285f90473f39b110dbcbcf045f81c1d08dc23,,False,True,True,48,223,846,1,False,48,,,,,,False
12,refs/heads/master,0c651bbe89edb656556ddd49292a4acee892a592,4fa86c906340be35192aeeb898c199714df80cfb,5f9860beafb0116a0dd920fafca28d67da515ee1,,False,True,True,18,31,252,1,False,18,,,,,,False
14,refs/heads/master,4972d5cae07d3a07c6d03b67ff6f536fef7dd367,558e1711303fb7f99e60c3b3bf1a51e6a8e4f649,35175e6e7608ce81820b0ffe3df23453cd4560c3,,False,True,True,10,12,85,1,False,10,,,,,,False
15,refs/heads/master,4d042f51806bdd6967a95d59707df82bfa19e88c,f215b01e75bd8177d49f125bf8606e29bc6a0705,d6c3ab06ed34a162caa30cb581c869a0d69d17d4,,True,True,True,40,134,353,2,False,40,Tests_failed,80ab29dd996e2c07b084256747a70bfbabb4bd601912ad66d3196c57fdff959d,False,Tests_failed,30a577ba622d22056e089ca8d5a4c050890fe7dea22f98484304cf889c282f27,False
16,refs/heads/master,0c5bd697cb281010a9d357ba49bfb5b117bfc2b9,86e8109688d5ff0624a04f72f41a937f7af01c26,7652ce78366952754736688ab60def3153983327,,False,True,True,92,275,6347,0,False,92,,,,,,False
17,refs/heads/master,908fb66c71df13b5b042e864ee46bdd5fa7b2baa,ff1bcb8ba57a499caea431af318897eeac2ae21f,f4274f3060635936494eff2873fffe92cdd38530,,False,True,True,6,12,117,1,False,6,,,,,,False
19,refs/remotes/origin/3.6,585a34a0d934c14962f64a477768a5601328d332,8aae7088c3912c9e85c5aa56c2f0a82ad129ab3e,74cd3856c703ba27650ffefabad95333b22e6717,,False,False,True,2,1,2,0,False,2,,,,,,False
