idx,branch_name,merge,left,right,notes,num_diff_files,num_diff_lines,imports_involved,non_java_involved,diff contains java file,diff_logs,test merge,sampled for testing
3,refs/heads/master,5ccb88fe7a8060ddfd41a0850d02431fe004e233,9c61c78b74155f911a65c8b16a13e91567a68d1e,e8634e8341153c585519d0fa80e03bb9b057a7e4,,13,47,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/wso2/balana/9c61c78b74155f911a65c8b16a13e91567a68d1e_e8634e8341153c585519d0fa80e03bb9b057a7e4_base_left.log', 'base_right': 'cache/diff_analyzer/logs/wso2/balana/9c61c78b74155f911a65c8b16a13e91567a68d1e_e8634e8341153c585519d0fa80e03bb9b057a7e4_base_right.log', 'left_right': 'cache/diff_analyzer/logs/wso2/balana/9c61c78b74155f911a65c8b16a13e91567a68d1e_e8634e8341153c585519d0fa80e03bb9b057a7e4_left_right.log'}",False,False
4,refs/heads/master,d5e344c3a6aaf3375e6e97efba52fc3ea1fad594,23e2230dc2c3a74fb206115418995b6d4342d140,f693fd6f329122b6ede65f34e701fd62bb0af577,,13,45,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/wso2/balana/23e2230dc2c3a74fb206115418995b6d4342d140_f693fd6f329122b6ede65f34e701fd62bb0af577_base_left.log', 'base_right': 'cache/diff_analyzer/logs/wso2/balana/23e2230dc2c3a74fb206115418995b6d4342d140_f693fd6f329122b6ede65f34e701fd62bb0af577_base_right.log', 'left_right': 'cache/diff_analyzer/logs/wso2/balana/23e2230dc2c3a74fb206115418995b6d4342d140_f693fd6f329122b6ede65f34e701fd62bb0af577_left_right.log'}",False,False
7,refs/heads/master,06164f21980a189c9c96689ab6b8120365a4401f,6b788d9581f4165d0cd2160d149852a2314e4916,2194eafff9b6468693e5a059ec327cc960f26001,,14,30,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/wso2/balana/6b788d9581f4165d0cd2160d149852a2314e4916_2194eafff9b6468693e5a059ec327cc960f26001_base_left.log', 'base_right': 'cache/diff_analyzer/logs/wso2/balana/6b788d9581f4165d0cd2160d149852a2314e4916_2194eafff9b6468693e5a059ec327cc960f26001_base_right.log', 'left_right': 'cache/diff_analyzer/logs/wso2/balana/6b788d9581f4165d0cd2160d149852a2314e4916_2194eafff9b6468693e5a059ec327cc960f26001_left_right.log'}",False,False
8,refs/heads/master,9cd8c3814ac389b9c5c3ed1475e5353d1ed6c60d,acd3df7d35fcdc16a533f603dde248602978342e,4b8575a0c04899824fb0e9829408e4658f27bcae,,12,26,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/wso2/balana/acd3df7d35fcdc16a533f603dde248602978342e_4b8575a0c04899824fb0e9829408e4658f27bcae_base_left.log', 'base_right': 'cache/diff_analyzer/logs/wso2/balana/acd3df7d35fcdc16a533f603dde248602978342e_4b8575a0c04899824fb0e9829408e4658f27bcae_base_right.log', 'left_right': 'cache/diff_analyzer/logs/wso2/balana/acd3df7d35fcdc16a533f603dde248602978342e_4b8575a0c04899824fb0e9829408e4658f27bcae_left_right.log'}",False,False
12,refs/heads/master,68e92c8606a5209b51c0ba20f335db43fee25bdd,baddf8f66d70ec12251a766dccb16b2d8596e6aa,769b804bdfa9a63cfda69351ae3e48d1746896e9,,71,1528,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/wso2/balana/baddf8f66d70ec12251a766dccb16b2d8596e6aa_769b804bdfa9a63cfda69351ae3e48d1746896e9_base_left.log', 'base_right': 'cache/diff_analyzer/logs/wso2/balana/baddf8f66d70ec12251a766dccb16b2d8596e6aa_769b804bdfa9a63cfda69351ae3e48d1746896e9_base_right.log', 'left_right': 'cache/diff_analyzer/logs/wso2/balana/baddf8f66d70ec12251a766dccb16b2d8596e6aa_769b804bdfa9a63cfda69351ae3e48d1746896e9_left_right.log'}",False,False
23,refs/heads/master,842eb2975bdbe3326024b7c7cacbfbca84e153d2,67dab1c4307cadfc00c7b482a9b43d43c088c40c,87bdbb2ee544ce44d8e56522c0b6af26d7fde302,,2,6,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/wso2/balana/67dab1c4307cadfc00c7b482a9b43d43c088c40c_87bdbb2ee544ce44d8e56522c0b6af26d7fde302_base_left.log', 'base_right': 'cache/diff_analyzer/logs/wso2/balana/67dab1c4307cadfc00c7b482a9b43d43c088c40c_87bdbb2ee544ce44d8e56522c0b6af26d7fde302_base_right.log', 'left_right': 'cache/diff_analyzer/logs/wso2/balana/67dab1c4307cadfc00c7b482a9b43d43c088c40c_87bdbb2ee544ce44d8e56522c0b6af26d7fde302_left_right.log'}",False,False
24,refs/heads/master,67dab1c4307cadfc00c7b482a9b43d43c088c40c,0e15a233b5da789162b17589c16e433e9b52d93c,ee99c620843cfea769588cb4bd9d866a4e188b1a,,2,4,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/wso2/balana/0e15a233b5da789162b17589c16e433e9b52d93c_ee99c620843cfea769588cb4bd9d866a4e188b1a_base_left.log', 'base_right': 'cache/diff_analyzer/logs/wso2/balana/0e15a233b5da789162b17589c16e433e9b52d93c_ee99c620843cfea769588cb4bd9d866a4e188b1a_base_right.log', 'left_right': 'cache/diff_analyzer/logs/wso2/balana/0e15a233b5da789162b17589c16e433e9b52d93c_ee99c620843cfea769588cb4bd9d866a4e188b1a_left_right.log'}",False,False
29,refs/heads/master,043092d124c85ccbe682f1df465f73e2460014e1,6923a5e1ad65a02b4bfedc9b77475ab41d50a55b,dc6511cba9f4a31db872e8a3e277f5af93811d4f,,23,235,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/wso2/balana/6923a5e1ad65a02b4bfedc9b77475ab41d50a55b_dc6511cba9f4a31db872e8a3e277f5af93811d4f_base_left.log', 'base_right': 'cache/diff_analyzer/logs/wso2/balana/6923a5e1ad65a02b4bfedc9b77475ab41d50a55b_dc6511cba9f4a31db872e8a3e277f5af93811d4f_base_right.log', 'left_right': 'cache/diff_analyzer/logs/wso2/balana/6923a5e1ad65a02b4bfedc9b77475ab41d50a55b_dc6511cba9f4a31db872e8a3e277f5af93811d4f_left_right.log'}",False,False
30,refs/heads/master,5a4b8860c3b256b24eb18bfa0a8f5aedee4cef48,9aa6a855c8e89cff1a4a75193a181b896f9f0400,5204309525579586aa3a4784031d5790f826e175,,19,102,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/wso2/balana/9aa6a855c8e89cff1a4a75193a181b896f9f0400_5204309525579586aa3a4784031d5790f826e175_base_left.log', 'base_right': 'cache/diff_analyzer/logs/wso2/balana/9aa6a855c8e89cff1a4a75193a181b896f9f0400_5204309525579586aa3a4784031d5790f826e175_base_right.log', 'left_right': 'cache/diff_analyzer/logs/wso2/balana/9aa6a855c8e89cff1a4a75193a181b896f9f0400_5204309525579586aa3a4784031d5790f826e175_left_right.log'}",False,False
39,refs/heads/master,6784d52c88d74f3f063fa5e1ce3355bfd850922e,da916b398f513c05d0c45e423dc183052f0ddcda,53073cd0c1822aab78130d3cf27a112e8ac0bc1f,,9,358,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/wso2/balana/da916b398f513c05d0c45e423dc183052f0ddcda_53073cd0c1822aab78130d3cf27a112e8ac0bc1f_base_left.log', 'base_right': 'cache/diff_analyzer/logs/wso2/balana/da916b398f513c05d0c45e423dc183052f0ddcda_53073cd0c1822aab78130d3cf27a112e8ac0bc1f_base_right.log', 'left_right': 'cache/diff_analyzer/logs/wso2/balana/da916b398f513c05d0c45e423dc183052f0ddcda_53073cd0c1822aab78130d3cf27a112e8ac0bc1f_left_right.log'}",False,False
