idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
2,refs/heads/master,91118dcb356fca6eb1985043c2fff206031fc437,bd2108d25f19601aa4c32c0f9f082e6035bffa93,e43a737d94795714c5840eb0d1503d43df40f6c1,,False,False,,,,,,False
3,refs/heads/master,bd2108d25f19601aa4c32c0f9f082e6035bffa93,8538d877a49173e77a0e37d553cb910ae991cd32,df517ef1ecd3444eea2720eef5e6772885446feb,,False,False,,,,,,False
5,refs/heads/master,5cc0970ed6a269468c5552bbe0268c64012fae8b,665db36072c90d5084c5ab89453bf0d3be747121,98274b6e6b8835353b00ee93d2f0c174798a1035,,False,False,,,,,,False
7,refs/heads/master,895efb93cc473769bf85655e7968d69bc055c382,54685db867dca3f587bd40c8a9c25b85d5f1d4cb,49c99db090bf7a17eaa5d9b408d9fd7ba21c0c66,,False,True,,Git_checkout_failed,,Git_checkout_failed,False,False
9,refs/heads/master,d415f6d794ba20d3e5b117b88da13e58645e10fb,8f662661828ed48ff62caa5a93a5dcfee715cfa0,3cfb17b8bb42e11c99182f6658e9e243ee54a898,,False,False,,,,,,False
10,refs/heads/master,6167e7513070fa701931a86b493fe33ea2822d03,96eb6fb5373ec90eebf09bf210d1c8f72c2ed014,b25e988e394f00ebd745eb2fc2098b46dd746c17,,False,False,,,,,,False
12,refs/heads/master,fc6ad95fee25cf863bd6f377a99e6e6b86913f60,743645759f7322c49a00f71325065212080042df,e8b2ad791c3b2c470b74fe8d2721dd739811303d,,False,False,,,,,,False
16,refs/heads/master,fdb9efe03c6962209cf946440c084cb8280c37ef,2b7bc7dbf3fb871befc98c091dfedc09906a7526,15c88beade41221b7e0bccedff8a7a8fc2f8bf7e,,False,False,,,,,,False
17,refs/heads/master,15c88beade41221b7e0bccedff8a7a8fc2f8bf7e,21820745ecc7d7d2276f5cd379e1991d4abaf3ff,bfaa8baf69cdf34cee5c1f15f7cfed9ecfa92129,,False,False,,,,,,False
19,refs/heads/master,2b7bc7dbf3fb871befc98c091dfedc09906a7526,441c06836b246f6563fcc367d75eeb73c04d481e,a3bfdeacb2f43255af226a1019d4e060b9efeec4,,False,False,,,,,,False
21,refs/heads/master,3c4b2e08e90993652395893ec8bc090aa75e7b96,579141a47b6de18180459226dc154c70c733e9b6,52804f2968566f26f2e37c3770720ba7af079efb,,False,False,,,,,,False
24,refs/heads/master,a9db0c99bcfa420d0c41c30c1672554245d7ebe1,294be7044721b55fe9073d356cc977c81e693bfe,4fcfa2841c937c443f0b0140864f4d3dd32de75d,,False,False,,,,,,False
29,refs/heads/master,73a1acbf7239b8110892908bd787b546d4787c1a,dbf295c1e0b9bbcb5db2c83d64c2ba0a25d98dce,7051a9a23913c9ef3808467b1c647cab7ada82cf,,False,False,,,,,,False
30,refs/heads/master,63ca58a9340af0f1d15fbc12b151f7145b9ffe28,d9b49d53bcf2106f9151f4e98d0d9cce88af09e4,9739248eee0aae91169514df2edf662a1b151844,,False,False,,,,,,False
35,refs/heads/master,f8302272c07fb8fa91364db759e22363ce7dc245,1a69de9ebc3ab36ac0b555ebe9dcaa6f209ec469,e9af2663fdeaae27fb41b350f23509046f3dabf2,,False,False,,,,,,False
37,refs/heads/master,ee1ce8ecba62fd7f4ed47a3c503ed98a304114d2,feef5f2562867beea85c635823d7994e4b13cd8d,3b2e5e17f68653dca7834a78c8b94b3d0887a23c,,False,False,,,,,,False
38,refs/heads/master,feef5f2562867beea85c635823d7994e4b13cd8d,84f639edab484816cce95f2205cf3e31204cf1ab,f1964d1e0743570da47d1c46dafb17ffab5a067f,,False,False,,,,,,False
41,refs/heads/master,bb6e4a0c6f4c595a93bcd3b06c05d0c55df8e365,ba8ef98003e0d88ad03b458469c00820482cf3a9,faf4deeade71408fa33bc8030ace85bf7b791f16,,True,True,a178687b0494ce929058cea330860811825bc49d857294e4a2980421ec6f42a2,Tests_passed,7110f678829647334a2739db4aadf76582173dd04d5730a18d9ad874958e307f,Tests_passed,True,True
43,refs/heads/master,dd38b3b5fa9c369f1ae17ee4388a4a7675ecb5d0,8bdb854df109f5f0774c74a4426d6571b14c3557,a77557e4f64452ad64b24cf860ab8284b84d94bf,,False,False,,,,,,False
52,refs/remotes/origin/pull/40,e5068d4c5d64659327b10f1191fe494f90fa0a9c,41d32ca2c3db7f79c3e11eede43cbea0f8074632,441c06836b246f6563fcc367d75eeb73c04d481e,,False,False,,,,,,False
