idx,branch_name,merge,left,right,notes,num_diff_files,num_diff_lines,imports_involved,non_java_involved,diff contains java file,diff_logs,test merge,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
1,refs/heads/master,5bbbfa0c477deba90079a07299bca8d402bbc0fa,3d2de80f6409b3cbcbaa7e4aca209aed26fdd922,a061e1954065f0de7cade9f87b9f833e3ff9dff6,,3,6,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/yandex-qatools/ashot/3d2de80f6409b3cbcbaa7e4aca209aed26fdd922_a061e1954065f0de7cade9f87b9f833e3ff9dff6_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yandex-qatools/ashot/3d2de80f6409b3cbcbaa7e4aca209aed26fdd922_a061e1954065f0de7cade9f87b9f833e3ff9dff6_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yandex-qatools/ashot/3d2de80f6409b3cbcbaa7e4aca209aed26fdd922_a061e1954065f0de7cade9f87b9f833e3ff9dff6_left_right.log'}",False,,,,,,False
2,refs/heads/master,17b15d87cd079ad4c7055ad2cef9f42fe545e8da,1a6ba0cbacf0e997532a335ff10273a96cb8cd59,896bbdf6a46d4ce0c4a0b316f96c1ca7d1de6639,,2,4,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/yandex-qatools/ashot/1a6ba0cbacf0e997532a335ff10273a96cb8cd59_896bbdf6a46d4ce0c4a0b316f96c1ca7d1de6639_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yandex-qatools/ashot/1a6ba0cbacf0e997532a335ff10273a96cb8cd59_896bbdf6a46d4ce0c4a0b316f96c1ca7d1de6639_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yandex-qatools/ashot/1a6ba0cbacf0e997532a335ff10273a96cb8cd59_896bbdf6a46d4ce0c4a0b316f96c1ca7d1de6639_left_right.log'}",False,,,,,,False
3,refs/heads/master,0140fdde8b503084102b296a09463dbddcfe8085,512997c4b9da43129565eaad4fe329e79cd24637,b632e14099f3b431187d4b783a6ce27c33623207,,2,4,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/yandex-qatools/ashot/512997c4b9da43129565eaad4fe329e79cd24637_b632e14099f3b431187d4b783a6ce27c33623207_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yandex-qatools/ashot/512997c4b9da43129565eaad4fe329e79cd24637_b632e14099f3b431187d4b783a6ce27c33623207_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yandex-qatools/ashot/512997c4b9da43129565eaad4fe329e79cd24637_b632e14099f3b431187d4b783a6ce27c33623207_left_right.log'}",False,,,,,,False
4,refs/heads/master,5fd7ebc6cee16bef205aa77495eba03cf8f6c2f1,6d423b40264dbee6bb35c6958bb78873ba552f75,54183ab6ae61e90273f758422240fbc7e4bc5858,,2,4,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/yandex-qatools/ashot/6d423b40264dbee6bb35c6958bb78873ba552f75_54183ab6ae61e90273f758422240fbc7e4bc5858_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yandex-qatools/ashot/6d423b40264dbee6bb35c6958bb78873ba552f75_54183ab6ae61e90273f758422240fbc7e4bc5858_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yandex-qatools/ashot/6d423b40264dbee6bb35c6958bb78873ba552f75_54183ab6ae61e90273f758422240fbc7e4bc5858_left_right.log'}",False,,,,,,False
5,refs/heads/master,1322d3db967aca67a90746be243a1074f07f14d8,f60b39ca00d3344d87ab088177797c380fa5596c,2d462517cd00da63fe56437fa4e479d3c82f038b,,3,13,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/yandex-qatools/ashot/f60b39ca00d3344d87ab088177797c380fa5596c_2d462517cd00da63fe56437fa4e479d3c82f038b_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yandex-qatools/ashot/f60b39ca00d3344d87ab088177797c380fa5596c_2d462517cd00da63fe56437fa4e479d3c82f038b_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yandex-qatools/ashot/f60b39ca00d3344d87ab088177797c380fa5596c_2d462517cd00da63fe56437fa4e479d3c82f038b_left_right.log'}",False,,,,,,False
6,refs/heads/master,f09d3e591dc993ed5dd873623e93459a902bfcc1,f207589fb3ddd6af680bfced9ee87f557e287a05,6195ae12a11ca2c2490234a4eb375aedbd2a8845,,5,57,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/yandex-qatools/ashot/f207589fb3ddd6af680bfced9ee87f557e287a05_6195ae12a11ca2c2490234a4eb375aedbd2a8845_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yandex-qatools/ashot/f207589fb3ddd6af680bfced9ee87f557e287a05_6195ae12a11ca2c2490234a4eb375aedbd2a8845_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yandex-qatools/ashot/f207589fb3ddd6af680bfced9ee87f557e287a05_6195ae12a11ca2c2490234a4eb375aedbd2a8845_left_right.log'}",False,,,,,,False
14,refs/heads/master,ffe29281470cd0e43b4d09170d2319d5c521bd59,ebd102638cc4a28712fff199cdda3a3cfdf0578f,24155b3c0d6f0eeea584089122e9ea7c32d29135,,34,335,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/yandex-qatools/ashot/ebd102638cc4a28712fff199cdda3a3cfdf0578f_24155b3c0d6f0eeea584089122e9ea7c32d29135_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yandex-qatools/ashot/ebd102638cc4a28712fff199cdda3a3cfdf0578f_24155b3c0d6f0eeea584089122e9ea7c32d29135_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yandex-qatools/ashot/ebd102638cc4a28712fff199cdda3a3cfdf0578f_24155b3c0d6f0eeea584089122e9ea7c32d29135_left_right.log'}",False,,,,,,False
15,refs/heads/master,ebd102638cc4a28712fff199cdda3a3cfdf0578f,130798e44f10429bed6e393ffbd3bdec1dee462b,cb7dbdd69765ebcd86c43b096b5511c7903d952d,,34,333,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/yandex-qatools/ashot/130798e44f10429bed6e393ffbd3bdec1dee462b_cb7dbdd69765ebcd86c43b096b5511c7903d952d_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yandex-qatools/ashot/130798e44f10429bed6e393ffbd3bdec1dee462b_cb7dbdd69765ebcd86c43b096b5511c7903d952d_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yandex-qatools/ashot/130798e44f10429bed6e393ffbd3bdec1dee462b_cb7dbdd69765ebcd86c43b096b5511c7903d952d_left_right.log'}",False,,,,,,False
16,refs/heads/master,130798e44f10429bed6e393ffbd3bdec1dee462b,fc0fd190059f09a4ed42ed8505d27f97e7b6a83d,09cbd01abe14a79f92d6af64a99f97cae5093765,,27,233,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/yandex-qatools/ashot/fc0fd190059f09a4ed42ed8505d27f97e7b6a83d_09cbd01abe14a79f92d6af64a99f97cae5093765_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yandex-qatools/ashot/fc0fd190059f09a4ed42ed8505d27f97e7b6a83d_09cbd01abe14a79f92d6af64a99f97cae5093765_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yandex-qatools/ashot/fc0fd190059f09a4ed42ed8505d27f97e7b6a83d_09cbd01abe14a79f92d6af64a99f97cae5093765_left_right.log'}",False,,,,,,False
17,refs/heads/master,fc0fd190059f09a4ed42ed8505d27f97e7b6a83d,5bfbc823816b8f96ad91cf7bc6a6b43f29b490bb,a678c113d5f9191b93fbdaac2806b6af0f9a7a1d,,26,233,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/yandex-qatools/ashot/5bfbc823816b8f96ad91cf7bc6a6b43f29b490bb_a678c113d5f9191b93fbdaac2806b6af0f9a7a1d_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yandex-qatools/ashot/5bfbc823816b8f96ad91cf7bc6a6b43f29b490bb_a678c113d5f9191b93fbdaac2806b6af0f9a7a1d_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yandex-qatools/ashot/5bfbc823816b8f96ad91cf7bc6a6b43f29b490bb_a678c113d5f9191b93fbdaac2806b6af0f9a7a1d_left_right.log'}",False,,,,,,False
