idx,branch_name,merge,left,right,notes,diff contains java file,diff_logs,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
1,refs/heads/master,a30f24ca01c0620423ddde0dc6d569accba844ad,04b61f5ce3d663ae50092749c3c84d53b330290c,d4b93077bbce3daaf8a19ba76bc2733f5b16298c,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/04b61f5ce3d663ae50092749c3c84d53b330290c_d4b93077bbce3daaf8a19ba76bc2733f5b16298c_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/04b61f5ce3d663ae50092749c3c84d53b330290c_d4b93077bbce3daaf8a19ba76bc2733f5b16298c_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/04b61f5ce3d663ae50092749c3c84d53b330290c_d4b93077bbce3daaf8a19ba76bc2733f5b16298c_left_right.log'}",False,True,3,10,False,,,,,,False
2,refs/heads/master,a026692c8ead0e7ba2bec42266fa6db9688f56a2,b76ad11b6d2d90a86d348fa1f6204593ada4de8f,e1bad8d56b4e27149449e89bf5a9287570574596,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/b76ad11b6d2d90a86d348fa1f6204593ada4de8f_e1bad8d56b4e27149449e89bf5a9287570574596_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/b76ad11b6d2d90a86d348fa1f6204593ada4de8f_e1bad8d56b4e27149449e89bf5a9287570574596_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/b76ad11b6d2d90a86d348fa1f6204593ada4de8f_e1bad8d56b4e27149449e89bf5a9287570574596_left_right.log'}",False,True,3,10,False,,,,,,False
3,refs/heads/master,adc3870e2e9ce0de4b87cf163ba2ef461d936e54,8bbce2fd717e41296636857f5ecd2f75d5fa2b3d,53eb70368df8dc99c902f3210bf0b15675985456,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/8bbce2fd717e41296636857f5ecd2f75d5fa2b3d_53eb70368df8dc99c902f3210bf0b15675985456_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/8bbce2fd717e41296636857f5ecd2f75d5fa2b3d_53eb70368df8dc99c902f3210bf0b15675985456_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/8bbce2fd717e41296636857f5ecd2f75d5fa2b3d_53eb70368df8dc99c902f3210bf0b15675985456_left_right.log'}",False,True,3,10,False,,,,,,False
4,refs/heads/master,3578e9faaf5a99602d8384dd9fad5a9dfd5f708c,f1babfa8e2c314336ababc21c5a6ae9a55424d98,ca5021c80f67d69be04bf15b3d02d7dcde2a5ee6,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/f1babfa8e2c314336ababc21c5a6ae9a55424d98_ca5021c80f67d69be04bf15b3d02d7dcde2a5ee6_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/f1babfa8e2c314336ababc21c5a6ae9a55424d98_ca5021c80f67d69be04bf15b3d02d7dcde2a5ee6_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/f1babfa8e2c314336ababc21c5a6ae9a55424d98_ca5021c80f67d69be04bf15b3d02d7dcde2a5ee6_left_right.log'}",False,True,3,8,False,,,,,,False
5,refs/heads/master,5431278513855bb9ce7ce786f8b4ac5f2aba0d19,5e05f8f7429e97122064c73dfe88d05e2a357992,2720afc8d9f59fc09672bf02931d5624979cdfca,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/5e05f8f7429e97122064c73dfe88d05e2a357992_2720afc8d9f59fc09672bf02931d5624979cdfca_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/5e05f8f7429e97122064c73dfe88d05e2a357992_2720afc8d9f59fc09672bf02931d5624979cdfca_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/5e05f8f7429e97122064c73dfe88d05e2a357992_2720afc8d9f59fc09672bf02931d5624979cdfca_left_right.log'}",False,True,3,10,False,,,,,,False
6,refs/heads/master,9386d46ed869d5c4699495437b9a87aa716bf72c,a5b9bbc676b94961143a91893d4be955ad5220e2,b08a29851074a616c82c49af37d298a3c25e861a,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/a5b9bbc676b94961143a91893d4be955ad5220e2_b08a29851074a616c82c49af37d298a3c25e861a_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/a5b9bbc676b94961143a91893d4be955ad5220e2_b08a29851074a616c82c49af37d298a3c25e861a_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/a5b9bbc676b94961143a91893d4be955ad5220e2_b08a29851074a616c82c49af37d298a3c25e861a_left_right.log'}",False,True,3,6,False,,,,,,False
7,refs/heads/master,c7b73ae82f44195e1240f70da3bef1866e0e64af,215ce5f13f680cd038d38e1fa7482ad157e2e4e3,84d0382a33e5dbe7485676cf1c4586c1863b18f7,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/215ce5f13f680cd038d38e1fa7482ad157e2e4e3_84d0382a33e5dbe7485676cf1c4586c1863b18f7_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/215ce5f13f680cd038d38e1fa7482ad157e2e4e3_84d0382a33e5dbe7485676cf1c4586c1863b18f7_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/215ce5f13f680cd038d38e1fa7482ad157e2e4e3_84d0382a33e5dbe7485676cf1c4586c1863b18f7_left_right.log'}",False,True,3,10,False,,,,,,False
8,refs/heads/master,bf7e80146aaa58d365751bb3b55e362627d81ad7,9d567d56c5a0f26f459a8de1c7743ae6007672a5,5b69cd00b3b21c4b5c96b910cae7eb0926ee9870,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/9d567d56c5a0f26f459a8de1c7743ae6007672a5_5b69cd00b3b21c4b5c96b910cae7eb0926ee9870_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/9d567d56c5a0f26f459a8de1c7743ae6007672a5_5b69cd00b3b21c4b5c96b910cae7eb0926ee9870_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/9d567d56c5a0f26f459a8de1c7743ae6007672a5_5b69cd00b3b21c4b5c96b910cae7eb0926ee9870_left_right.log'}",False,True,3,10,False,,,,,,False
9,refs/heads/master,c66658e8aa2311e4afa2c9a1b3459c57a88cbee2,a9f3b16773f0a15b06e8f45e5ed5ec898685285d,b0ef685bd295402a4229fbcc62969f26eb4f6c9b,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/a9f3b16773f0a15b06e8f45e5ed5ec898685285d_b0ef685bd295402a4229fbcc62969f26eb4f6c9b_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/a9f3b16773f0a15b06e8f45e5ed5ec898685285d_b0ef685bd295402a4229fbcc62969f26eb4f6c9b_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/a9f3b16773f0a15b06e8f45e5ed5ec898685285d_b0ef685bd295402a4229fbcc62969f26eb4f6c9b_left_right.log'}",False,True,11,24,False,,,,,,False
10,refs/heads/master,a9f3b16773f0a15b06e8f45e5ed5ec898685285d,e55b865eb46b081f14d0d9db91f9ec673d3ca6ff,0d2abb81e0b07f5f5e256823c6ab59422b8ec97f,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/e55b865eb46b081f14d0d9db91f9ec673d3ca6ff_0d2abb81e0b07f5f5e256823c6ab59422b8ec97f_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/e55b865eb46b081f14d0d9db91f9ec673d3ca6ff_0d2abb81e0b07f5f5e256823c6ab59422b8ec97f_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/e55b865eb46b081f14d0d9db91f9ec673d3ca6ff_0d2abb81e0b07f5f5e256823c6ab59422b8ec97f_left_right.log'}",False,True,10,18,False,,,,,,False
