idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,parents pass,right parent test result,right_tree_fingerprint,test merge,union_diff_files,sampled for testing
1,refs/heads/master,ab8ec289f49b2def13e12a24fc4bc6a2bc19e942,4dff79177e16706bc28e31b8b87f0695ed361a13,2092de6cb56d31c4a7c082305e1cdecd007da788,,False,False,,,True,4,4,25,1,,,,False,4,False
3,refs/heads/master,c3e18a0c82c7bbb1c7fa220d3d7a1701e9e1721f,3d88137b7658c4ba86e4abb80b246b486e9b1620,5fcc4a7389571b9a064b47004e4644f5fcb4b395,,False,False,,,True,5,4,49,1,,,,False,5,False
4,refs/heads/master,996fd7a81eebf0bbab544359c0d63df9b07338c1,25baeb4fb23dffb86ffa531e5ad5f75663653a54,c94314245e72ae9648c3c23781f7ea0a4c63860b,,False,False,,,True,7,6,87,1,,,,False,7,False
7,refs/remotes/origin/ekarkoi,326c4bc96558585099a01e74897da40c784252bd,5990ac023a6b7491d91174042c302a754bed5921,e0d33d29986ddd3c013df9a26341dc9fe56ac88d,,False,True,,,True,6,8,164,1,,,,False,6,False
8,refs/remotes/origin/ekarkoi,9bcbbfb3a77a2c28ec5defe38063d7afbea343aa,ba300052901c5dc16bb25411397966417367da3b,c3e18a0c82c7bbb1c7fa220d3d7a1701e9e1721f,,False,True,,,True,14,12,292,1,,,,False,14,False
9,refs/remotes/origin/heikkij,58d4e488a007871a12550fa796d22a8f1a0182b7,2092de6cb56d31c4a7c082305e1cdecd007da788,742449559da24a8aabdea67b991a485b39481c61,,False,True,,,True,35,11,430,1,,,,False,35,False
10,refs/remotes/origin/heikkij,908be82a20bb82045861412089b7c7e409807de8,ae5e0ab1b02da13f7429822e9a1290bc065942bf,c3e18a0c82c7bbb1c7fa220d3d7a1701e9e1721f,,True,True,Tests_passed,e0d3707e4773af6228eddf33210cf51aa841f06a32579ddedcf43dc84357e72d,True,36,12,322,3,True,Tests_passed,7941519e8a53fd2f295b6a311a74cc0ada1997d9d148ca1929e59ea415e880a0,True,36,True
11,refs/remotes/origin/heikkij,a735ebd868839812bb550c8fe981c50870686a0a,5bdc7376f14bf9de7c1d88d2c74f699737958bfd,b6017391546347fd421ea58b9407901bab3d414d,,False,True,,,True,27,21,445,1,,,,False,27,False
12,refs/remotes/origin/pull/3,58bdc3439e6510e2bd6640f7479d4fafbaf4f01f,a4908193560c26fba5e65f9b536471ecb6508b0e,e0d33d29986ddd3c013df9a26341dc9fe56ac88d,,False,True,,,True,6,8,146,1,,,,False,6,False
13,refs/remotes/origin/pull/3,bc398be96ef6b2085de560b8796f965e84d46f58,5235d1c15618e1473b38cbcb28922c5ad742698a,ab8ec289f49b2def13e12a24fc4bc6a2bc19e942,,False,True,,,True,15,12,295,1,,,,False,15,False
14,refs/remotes/origin/pull/3,307d312a05e7ada7772c75be30d0ca6eea3fab92,002d51ae8787fd3680e752bceb7ebd24fa79d520,c94314245e72ae9648c3c23781f7ea0a4c63860b,,False,True,,,True,3,3,98,1,,,,False,3,False
15,refs/remotes/origin/pull/6,cf3ef4620d8725a119a9224c1d207051a075571f,230ab5017da77ebe1f701a28a0d7bb0e3838d3cc,e0d33d29986ddd3c013df9a26341dc9fe56ac88d,,False,True,,,True,6,13,207,1,,,,False,6,False
16,refs/remotes/origin/pull/6,1ed3df8bd7b397687b4b3c35381ee721a7545cc0,29920c2ad12c4d68e720fa11b2b38b93dc7a27bd,ab8ec289f49b2def13e12a24fc4bc6a2bc19e942,,False,True,,,True,6,9,127,1,,,,False,6,False
17,refs/remotes/origin/pull/6,c6fb8f89d4b5a8ce84e99b350df9d38526f0e2e9,6380d1e52d5a049703953036c9b0b5050cfb5ca5,c3e18a0c82c7bbb1c7fa220d3d7a1701e9e1721f,,False,True,,,True,13,12,257,1,,,,False,14,False
