idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/dev,7ae0e4d72ba338c68a57786b82ab56c317f1f2bd,6e0623335af1badc03cc2dde24a167a2e549d2ad,56d7f1be02032569231604b79661f77440b7b2dc,
4,refs/heads/dev,896d14e283924342dcc24c66dbbad8b4375ad473,5b6076d606ef4b63dbac77e2f07c3330405ac238,c7ea3f9ddb204bac590674526ca4259261e0c956,
5,refs/heads/dev,e749d006cf013ebde9589f8b764ddadea27b28b7,3837494949cd88dd1834dab27acbad9bb23ef587,d0bdac982790b9c96b84f3a976a0fc7267242bb8,
6,refs/heads/dev,527b5fcd8eb73530650bba6c45dc3f6d8e24bc2e,265f2c8218e6746e06a95ba17a39f4a56b858a0d,e3b75f5be20774473a909ede235063722150697a,
7,refs/heads/dev,d6c1ecbef6437fa9ca27892ab82993e3d6cb4cec,ff92c3b1cd6ee76e5a945de6b61d427980fe9a03,a52b1d70aa19f46da915bfe5182d627ee14a2794,
8,refs/heads/dev,2003b1717a8d587261c7b5b0518cc717cadcd612,7665f01e961dc8ca06ab68bbb2cec6cd841b0065,0ef4c254a257e36dd7ae7cb63097ff8058a1c96e,
9,refs/heads/dev,7665f01e961dc8ca06ab68bbb2cec6cd841b0065,ad408edbafe5b157511d9235a2d7a5d0b0b244bc,0873180c1575cf9c391abdecd3333eea648cfca9,
10,refs/heads/dev,0ef4c254a257e36dd7ae7cb63097ff8058a1c96e,00c8a57f0e86f338d732eeb28beab65bfd9c001b,bfc6543c8c1dd456965e0963f5ec7dd0697a43c6,
11,refs/heads/dev,ad408edbafe5b157511d9235a2d7a5d0b0b244bc,cb1ac6e57f1cd064a7dd063082821ba35445ec28,0e001a9f1598c25510e28572c213e6d665f3c1f6,
12,refs/heads/dev,bfc6543c8c1dd456965e0963f5ec7dd0697a43c6,0fe549ece1311d327f8b90e1b20c203859cd4094,cb1ac6e57f1cd064a7dd063082821ba35445ec28,
13,refs/heads/dev,265f2c8218e6746e06a95ba17a39f4a56b858a0d,e7803920ea101f1296e2b366b6dbe40f8a4df7c1,ead918068af28f6c0835147c217a3c815a8acddd,
