idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,811f2c22fb8c7ed96b9362ce6ffb3322f3ab0ee4,f75c0b9241403200ae37e9eaccd8749c35704d71,9ce943870f251bc84170f8fbb59f245e7b788805,
7,refs/heads/master,6c16f24d7c1e3f01e27ad72c0ee1a6ad25ef3ddb,1825c9f5257774882c27c7c459413fa9336529d2,3fc354625f7d360111bfee786423ab4b676825a4,
9,refs/heads/master,4e1fbf87168f4a03206f5e11776a1d2928ff13c2,0deac3478353183bb9d123674052c2f4b7f55eb3,46ea899cc75f72c4e53a345e4d573fa0af1e52c1,
12,refs/heads/master,378dfc68465739fb0ee24e0d0983b6a457be3748,10d84e869759998c35f666c5d1564a7be470718d,540075830f1f0654583a4fbc11b06924ba83c901,
13,refs/heads/master,10d84e869759998c35f666c5d1564a7be470718d,24e249ade0c73bb1753329b7181d44dbbdc68534,466ef636db413747abcbbdd97e7941a8e15bda72,
15,refs/heads/master,3fd678e1bc59f13ebe0befc202928c1233f107bb,ba64b84055c046ca3330504ccc75ff7526c555b5,f14cfa18c43ac8348bd5da1c53bfdfadbc2976ec,
16,refs/heads/master,f14cfa18c43ac8348bd5da1c53bfdfadbc2976ec,7b83f54a34924c80bb143fcd5106a96bd0b42349,31bfd27a7d4df37d68b6054e549385f03fe20153,
17,refs/heads/master,7b83f54a34924c80bb143fcd5106a96bd0b42349,fe28d755150fc202903d2f0f0f33faf07f108c7b,973deee6203c29c59260caa99e4a1e072e452ff8,
18,refs/heads/master,fe28d755150fc202903d2f0f0f33faf07f108c7b,e5b4a9556c55e8dcb40181d2634e83770ac047d9,77995535e575c484779747441c48c7b8c6274aa8,
37,refs/heads/master,551ab6f670c3ae6c4e7d53929c00f63cf2c4f56e,66df1bd81cd576b972e47fa1c6477885806cf15a,6cebd6985e5275d0e1e9bc91ad703f2f8c71a971,
45,refs/heads/master,5766a78a83d4c5cf48754c931229d73bd32d66ab,4760bc55e0c3e83d298fa97b4000f8bc7452fc61,e47fa05de09b41185d615e95f7a88572ca8b8339,
50,refs/heads/master,a440bf93c287c43a1657be1ad47a9c1259032ef1,4e9f3062664f5650b54ecfb3550e8e0bd2061afb,fe0d2cf678ad707a4c5fba2e22f406104f99b63c,
51,refs/heads/master,4e9f3062664f5650b54ecfb3550e8e0bd2061afb,2bdb4e488a4b6ee05ac268ea18c6eac7767e0c94,79e9846b17befa7e3506bb4deab854c110ca0c4a,
52,refs/heads/master,2bdb4e488a4b6ee05ac268ea18c6eac7767e0c94,44ac92c06f3e1362f08fd8818976c3c1d6e4abcf,79ac26559bab77e91ecc9032c472806f6508503c,
53,refs/heads/master,44ac92c06f3e1362f08fd8818976c3c1d6e4abcf,6f0566c64fad5aead6443118a2aa11ba187600a2,48a0f2b1be899446a065e8fbad75b6ced9fa65b0,
54,refs/heads/master,6f0566c64fad5aead6443118a2aa11ba187600a2,b176afac402af2d02c9275b435a9226ad7fbe949,bcfdc70c9a3ecaa9de21b5e7e91596a0b3b97c1a,
64,refs/heads/master,1f53e45cc184b29ac86cf51efcd13163a423a063,4d7dc9893c14f34f9a5b39444cc6b7c9f00f720f,39c004ebab8f2c55aab666b01a1769b4dbb5feb6,
68,refs/heads/master,67168d9b7ebda02924da5ac484e562ab6752abad,2c37d5aa277c8225e9d07e50dc05f90a14dd3ea9,f7ea1cf20c04ab8c2be715a60df2275a262e74fb,
