idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,cf5b9aa222407e00c3583bcbf651de803c35d850,7262286587a918d7e1e56f388dc9c347a7490883,f8c9144a7725aee939221e5a95e6d82104bc70e4,
2,refs/heads/master,f8c9144a7725aee939221e5a95e6d82104bc70e4,01bc4d5cdbfd2bed3410285df1e40764a6544b69,f94b4d6c0538608e79579ebc86a3088840dd7090,
4,refs/heads/master,c4ce9e87929c9d02cb3fd4496c1cd2335cc4760e,93cbf1d8bf0f1ba2ec1cf631511ac92e35b59f85,bb23059aaf0f11fcb8674af9f10d81f543e62560,
5,refs/heads/master,499418fcd998f1155c9242ebc2b1baa514f54ec1,e977f199cc1222cd5232582a03a3742324710b9a,6ca71ae2c1f99466f126ab3424ae22ed3dc8f198,
7,refs/heads/master,15b49d5d40377b24b54bee4a471f08c883e766d2,fbb3fbee150c17f024f199f5d9e2af4fa20703d4,3bada4e6c2bf4d0ebff48bfadd83af396b08696e,
11,refs/heads/master,cd6db04298f44c4d63cf91a1838ef3258a485243,e75c1e6e4397135bb5ac97e893a736bd3fb069a3,dae7f1f99afef0fea313b0ce1e43f0c3c3766e33,
16,refs/heads/master,f9221962aba10648576b9c595b15ce61f38f0d1c,2cdc2cb01b8df8a7d0561c043d02c8516ac53947,2669f7c0b910794d9bd086eab27e55750c4a5bb5,
18,refs/heads/master,184e5535f93973aa2ed597b5ed92058b988e0784,37f740ba567a6ce6bd3d75251fea37f4b0aaa104,091e9c47673cb3641b6b91a421e41b0de099eaa9,
19,refs/heads/master,177a9c74da8a6a4bdbeed38a312c80118f05e0b0,ca91d5441329c46bdfb66162788fb1ce256e7337,1149c852aea6ccd39e43b68bebb35f311d86710b,
20,refs/heads/master,51108f36347c04a832811e5944828179db3d4e7d,6ed3df5b80504020463b0553bbf02d798123617d,2b26e7878e8049e48631ba26d93c248992c00e1b,
21,refs/heads/master,94c17f5a75649f1377758d5b61761cf6e9871f10,30eb594f5a34a65b1bed6b11a46eaaef107d3416,cf8c7683248e1c8357c539ba094ccbc95e0b1baf,
22,refs/remotes/origin/pull/50,6c56e750a700a27464eabb3e8989bd812e002100,a43db5dc35405a1c78e326f2e3eb176be4aa0b43,e329dde43277bde5db972fbb4419faf82c23ab8a,
