idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
3,refs/heads/master,589137037749f47e451530cb13d43f497726d399,1f09a139f502474a87dc41a432a8f2f8ebd1c53f,b577ad7ed8578f40bfc37ac8ee3b455f36ca8396,,True,True,26b44d8548052cd3e2f56763bb7546c0c1dc3b413f270de1e0d40d6f00568db2,Tests_passed,aa635581aae1790110be6498ef088ae7f9bc22c62dd9c4afe13cfa3b5575c11f,Tests_passed,True,True,Tests_passed,abe33388b6d8d816b3a068e372df664f33a5682ba5075378373e1e690399214b,Tests_passed,abe33388b6d8d816b3a068e372df664f33a5682ba5075378373e1e690399214b,Tests_passed,abe33388b6d8d816b3a068e372df664f33a5682ba5075378373e1e690399214b,Tests_passed,abe33388b6d8d816b3a068e372df664f33a5682ba5075378373e1e690399214b,Tests_passed,abe33388b6d8d816b3a068e372df664f33a5682ba5075378373e1e690399214b,Tests_passed,abe33388b6d8d816b3a068e372df664f33a5682ba5075378373e1e690399214b,Tests_passed,abe33388b6d8d816b3a068e372df664f33a5682ba5075378373e1e690399214b,Tests_passed,abe33388b6d8d816b3a068e372df664f33a5682ba5075378373e1e690399214b,Tests_passed,abe33388b6d8d816b3a068e372df664f33a5682ba5075378373e1e690399214b,Tests_passed,abe33388b6d8d816b3a068e372df664f33a5682ba5075378373e1e690399214b,Tests_passed,abe33388b6d8d816b3a068e372df664f33a5682ba5075378373e1e690399214b,Tests_passed,abe33388b6d8d816b3a068e372df664f33a5682ba5075378373e1e690399214b,Tests_passed,bc42d2a462396a492d3cac8e9a0942658ff33ee05db8842516e5ce1c80a96088,Tests_passed,abe33388b6d8d816b3a068e372df664f33a5682ba5075378373e1e690399214b
4,refs/heads/master,b577ad7ed8578f40bfc37ac8ee3b455f36ca8396,fa1111336e72cc146977c4d0e71ed67508ad7200,b9320bbc7f6a3c9855069a5bbda3ece3dfd1a743,,True,True,cfcaf7be1781439a5eb1a74e18f134bbda3998d9e15246bc73933c7655f415b2,Tests_passed,e665918514edc4e102e73846dd16bbe0f0c6961fe6979b439ec9da508c94e694,Tests_passed,True,True,Merge_failed,a668b775f50cbab8f5c8eaffa86d4ea2797e8629b4c6ae044a0f4e58f1a3a55d,Merge_failed,a668b775f50cbab8f5c8eaffa86d4ea2797e8629b4c6ae044a0f4e58f1a3a55d,Merge_failed,a668b775f50cbab8f5c8eaffa86d4ea2797e8629b4c6ae044a0f4e58f1a3a55d,Merge_failed,a668b775f50cbab8f5c8eaffa86d4ea2797e8629b4c6ae044a0f4e58f1a3a55d,Merge_failed,a668b775f50cbab8f5c8eaffa86d4ea2797e8629b4c6ae044a0f4e58f1a3a55d,Merge_failed,a668b775f50cbab8f5c8eaffa86d4ea2797e8629b4c6ae044a0f4e58f1a3a55d,Merge_failed,a668b775f50cbab8f5c8eaffa86d4ea2797e8629b4c6ae044a0f4e58f1a3a55d,Merge_failed,ac93bc58c25ea075b0cef8088004bd6d0a1215946910482999d407b931d36d50,Tests_passed,aa635581aae1790110be6498ef088ae7f9bc22c62dd9c4afe13cfa3b5575c11f,Merge_failed,0426e25faf506a8c585f3fba96fe393715eb44934ffd1c56528984a4f8ca8f7e,Merge_failed,0426e25faf506a8c585f3fba96fe393715eb44934ffd1c56528984a4f8ca8f7e,Tests_passed,aa635581aae1790110be6498ef088ae7f9bc22c62dd9c4afe13cfa3b5575c11f,Tests_passed,afc12b05eaf1d40ed9ca0a3676e2d2558ce649c578c0f42a4245a3209e3c1d07,Merge_failed,0a1cc4ff54d7eba01a9715399c9691bade3b1e954e6e89f3670e3a450d878c53
5,refs/heads/master,fa1111336e72cc146977c4d0e71ed67508ad7200,cfdb8aa0dde21dc4c72930180df192c0b17e2da2,106f19aa80e07eadd00058408025097f9cf2a049,,True,True,c782e674844ca741d8cd025164a296c7bef12f2e6a380f003bb91835797651d3,Tests_passed,df305d0531c633179d0982aac824add0a5a02bfcd880f79ff1eea29a324e3fab,Tests_passed,True,True,Tests_passed,cfcaf7be1781439a5eb1a74e18f134bbda3998d9e15246bc73933c7655f415b2,Tests_passed,cfcaf7be1781439a5eb1a74e18f134bbda3998d9e15246bc73933c7655f415b2,Tests_passed,cfcaf7be1781439a5eb1a74e18f134bbda3998d9e15246bc73933c7655f415b2,Tests_passed,cfcaf7be1781439a5eb1a74e18f134bbda3998d9e15246bc73933c7655f415b2,Tests_passed,cfcaf7be1781439a5eb1a74e18f134bbda3998d9e15246bc73933c7655f415b2,Tests_passed,cfcaf7be1781439a5eb1a74e18f134bbda3998d9e15246bc73933c7655f415b2,Tests_passed,cfcaf7be1781439a5eb1a74e18f134bbda3998d9e15246bc73933c7655f415b2,Tests_passed,cfcaf7be1781439a5eb1a74e18f134bbda3998d9e15246bc73933c7655f415b2,Tests_passed,cfcaf7be1781439a5eb1a74e18f134bbda3998d9e15246bc73933c7655f415b2,Tests_passed,cfcaf7be1781439a5eb1a74e18f134bbda3998d9e15246bc73933c7655f415b2,Tests_passed,cfcaf7be1781439a5eb1a74e18f134bbda3998d9e15246bc73933c7655f415b2,Tests_passed,cfcaf7be1781439a5eb1a74e18f134bbda3998d9e15246bc73933c7655f415b2,Tests_passed,fbd9dbea85908fc3aa1f62aec9d709d1a76afd72e650d40b9f06c120f272c4aa,Tests_passed,cfcaf7be1781439a5eb1a74e18f134bbda3998d9e15246bc73933c7655f415b2
9,refs/heads/master,6a86fcb79d07ddc933e8adabd1d16a58298c8835,99b61e839f340f8094376f089cb13e0815092880,9e6ce7196f8fe36bd28ec96ba27d7d8ce7d4924c,,True,True,226c8595284181b4b16d4bad2902daf29e1e38a0db13dd4e2d5b591f6c36056f,Tests_passed,aace93588cc4e1336e095452faa17f6b485e5f1e3370f9c39a59174d54e91c1e,Tests_passed,True,True,Merge_failed,c3283226959ddc8a0093d32c83563e49ba17740b1d81cce4e805f814f826890a,Merge_failed,c3283226959ddc8a0093d32c83563e49ba17740b1d81cce4e805f814f826890a,Merge_failed,c3283226959ddc8a0093d32c83563e49ba17740b1d81cce4e805f814f826890a,Merge_failed,c3283226959ddc8a0093d32c83563e49ba17740b1d81cce4e805f814f826890a,Merge_failed,c3283226959ddc8a0093d32c83563e49ba17740b1d81cce4e805f814f826890a,Merge_failed,c3283226959ddc8a0093d32c83563e49ba17740b1d81cce4e805f814f826890a,Merge_failed,c3283226959ddc8a0093d32c83563e49ba17740b1d81cce4e805f814f826890a,Merge_failed,ad13cc915921d9806489f4618fc0ca3defd25b9c31521ecc16602764c2c76708,Tests_passed,76f6a25a634134618ec53ec898d8bfb02a5bb4ff90844773530008c21216f350,Merge_failed,ad541f506e1d24af0ecea0dc2002ebc298fade3c6418872332a490c58c03bfed,Merge_failed,ad541f506e1d24af0ecea0dc2002ebc298fade3c6418872332a490c58c03bfed,Tests_passed,76f6a25a634134618ec53ec898d8bfb02a5bb4ff90844773530008c21216f350,Tests_passed,f79c1a4bc276834b1ddb50cb5e138cd6c509c22e3d5f4f50dbc38a23d6415e7a,Merge_failed,ef671b7274bb14730da9328dcaade183d3d2722100160ea5a31cd67133f1a962
11,refs/heads/master,5985fb7361c4b21cf789a9f5d89276afaa49674a,b06bf14fb8ee64979b66548a330842812c45ba65,a2b382da0a7424c9861da2750b40f332543314eb,,True,True,35054f1bafd64cf7ff55002132d3c0ab5bfbf1620afa85716041b895943077b7,Tests_passed,f367c0abf89cf93befe207d1e2947b099ed3b50d289bca64b2ad14f21633cc5f,Tests_passed,True,True,Merge_failed,2c2a3cd7ff51c909b9998624bb4210e2d3ecf04f2d8c31535c4881f17adc0c0f,Merge_failed,951025d6b764b9b2458ccf874466049a57b1e7aabd25cfddaea4e11c8b80a99f,Merge_failed,2c2a3cd7ff51c909b9998624bb4210e2d3ecf04f2d8c31535c4881f17adc0c0f,Merge_failed,feaaef06aee173490d08735b548aca90291467894869655648fd4eea28fab98e,Merge_failed,04d584b7c76228e80b7fe0a7fdea39b2cf9a185487bc3ab1f19450f7b243c10f,Merge_failed,04d584b7c76228e80b7fe0a7fdea39b2cf9a185487bc3ab1f19450f7b243c10f,Merge_failed,2c2a3cd7ff51c909b9998624bb4210e2d3ecf04f2d8c31535c4881f17adc0c0f,Merge_failed,b8e4b48d5175f9366988ac10bb92ec8501f8179acdfb90007868a8d721544e49,Merge_failed,205948deec81d2d1ce6340a0c47991059b279147f5324c1a05b905b85c6077fc,Merge_failed,205948deec81d2d1ce6340a0c47991059b279147f5324c1a05b905b85c6077fc,Merge_failed,205948deec81d2d1ce6340a0c47991059b279147f5324c1a05b905b85c6077fc,Merge_failed,dcc50e4ea2dd629e5ecad570833507a8f021276481cd5b8bc2cd74e97c63cbf4,Tests_passed,6e917186631ad6e74183f8ef09c4235ec50e433cd0ae5eda2a53816757add9cf,Merge_failed,96de0b29e1649a343ab634115b4631464bdfabd04a2e26c7cd27e5f3a9d4c992
13,refs/heads/master,21c5ac9cfd807b5575685ea58ea31f243afeb018,83fb48d7c14e86b310a38ae7b59201678db9583a,63c9fea3fce9e42d6c1303ee4cd1e05ea53fe9ba,,True,True,272cf78fa4a833425a7668420e3a1393a4a21114b99b4b15b8641947d840e296,Tests_passed,05e66d8eeae44e91d5493390c40e15d5df73852c230dbbdd2d7a6b59f72eba1e,Tests_passed,True,True,Merge_failed,55959401ea2a338613b4d788d8c2343d9c79cfb089ce93e3451249ca0619845e,Merge_failed,efb52d48a397f7bc67edd1c1a64449a409d7c75ac321a581299e62b24fbcba31,Merge_failed,55959401ea2a338613b4d788d8c2343d9c79cfb089ce93e3451249ca0619845e,Merge_failed,f8011f3261e21fe035c7449dac46cd0fef389a7e7b1eea43c33229d8afe33c1c,Merge_failed,71a6118fa9009b8581aedbbee80f54ba3491ce422b1fc512d52d405faaee44b1,Merge_failed,71a6118fa9009b8581aedbbee80f54ba3491ce422b1fc512d52d405faaee44b1,Merge_failed,e9ff7611659e133b1730900363aff4d8335067e2096cc1410b822b1fabec200a,Merge_failed,a06c3af1448702c4f4c88b072cd3014d952b276cf62029d4715fc96216d869de,Merge_failed,08323a1e9c7cb32a2f167b4f57d8b6ff86c8f3e44b45618a26024c5a56bd8c22,Merge_failed,85c6007d783c4b71caf76e22e7cb94b84b46e69834b9dada237c3879dd2942d4,Merge_failed,85c6007d783c4b71caf76e22e7cb94b84b46e69834b9dada237c3879dd2942d4,Merge_failed,6c57d66728ef2eea131c2abf90e90c740dcac5c31ebc54b728387ebdb3d9041b,Tests_failed,886646bf8a6d0aa492a5c533919b4e5d75e9d8f016f389a38370e6ffe38b9828,Merge_failed,66aff4927abec456854ded97b6a517f572837b04bf6b258de05ac5e20ab240c9
17,refs/heads/master,ae74dd0e69af25d822b5f3f2b6d658aff07f6118,2194422e5c360d083a48b7529ee4ca04a5d990f7,dc44ea19eb9c326cfeba4f13b298b83016520547,,True,True,f6123d0e8396b0204eacbe4f6d7152c878295addf8cab5d4785496fe593a6a70,Tests_passed,ac9f8c1f3400d1176a1417195a595ded1c2d186f80f8ed3935435f7a942b918f,Tests_passed,True,True,Merge_failed,80026aec52724042909fd703a50a0e94bbcbf6035381bef7a1e082c48b2d6952,Tests_passed,3514b9f25e90d27ca200d8135f01063a68cb3aced0b19121c145986495042b27,Merge_failed,80026aec52724042909fd703a50a0e94bbcbf6035381bef7a1e082c48b2d6952,Tests_passed,6ef778f252429655cb96a7ada9f00ee4ba09b82673f414c7f9f6e1ff5e7f2687,Merge_failed,80026aec52724042909fd703a50a0e94bbcbf6035381bef7a1e082c48b2d6952,Merge_failed,80026aec52724042909fd703a50a0e94bbcbf6035381bef7a1e082c48b2d6952,Merge_failed,80026aec52724042909fd703a50a0e94bbcbf6035381bef7a1e082c48b2d6952,Merge_failed,124f693418edd5ca979e52ddbe9fffc47615ab7481d2fba3edb354ca2eb471ea,Merge_failed,3224e2e3d05f73b4c5244e75db4993503ee3653f76ef193da70838d41a0c19d2,Merge_failed,f70bd840996084f3ba1500c57b80574bbd7d0e6440e4bd5454b888ec69ff3f38,Merge_failed,f70bd840996084f3ba1500c57b80574bbd7d0e6440e4bd5454b888ec69ff3f38,Merge_failed,4b775f2c47a16c92135f5aac0141babaf207bb1d1d0060f3aae998872d5557aa,Tests_failed,d0cec5509085d33f1a3f58e5df425a8c2c99ae3d08a9876c8223ac545d52afd5,Merge_failed,57ec1aa5b5d50b534c641c5135dbca9036308cca86040d307e642e95ac3e9b9e
26,refs/heads/master,b13f15db62a158f207e70f30a244e7bae9a9d8f3,44480a2761baab13ba24899ebbb3bce30342a3fd,059635c4357281bf830975367ed040f36a9ca9bb,,True,True,ae4bb844129176132686752cc2bb58ed422ecb87edb25c56a4770a6a11aebace,Tests_passed,0f2409b3dd08506c05e98041ac9a451008e346c780a9065ea0318991983f95b1,Tests_passed,True,True,Merge_failed,1f6c2a6c9ef6f1621b72eb71f6049f46d2e6527af0a25934e52a09f5833932fd,Tests_passed,e9678f65aa3bbf6726d4d701223844b48e824ccb367001036a1e7d55474f3a7c,Merge_failed,1f6c2a6c9ef6f1621b72eb71f6049f46d2e6527af0a25934e52a09f5833932fd,Tests_passed,e9678f65aa3bbf6726d4d701223844b48e824ccb367001036a1e7d55474f3a7c,Merge_failed,bdfee9b7bfcd7cf3a9c27463da09b7264b78b35c224c818cfd9da0245bcc0d2a,Merge_failed,bdfee9b7bfcd7cf3a9c27463da09b7264b78b35c224c818cfd9da0245bcc0d2a,Merge_failed,bdfee9b7bfcd7cf3a9c27463da09b7264b78b35c224c818cfd9da0245bcc0d2a,Merge_failed,382de25cd74638c0adb8bf569989732fe5d58c99731a27c88337525a750d3c45,Merge_failed,558cb5ae660f90489567768cc67ce88a5dc084887a5f15f97d17f2a979261804,Merge_failed,558cb5ae660f90489567768cc67ce88a5dc084887a5f15f97d17f2a979261804,Merge_failed,358221bef35838d4820d7114db2181f2853ca438c593efa5ce8608bfb56ae304,Merge_failed,fb59a368cc5315881c59e7f171f11741cdb91236b21964b6955f22a837817759,Tests_passed,014c618c762b7ba4a1a2833c444b6e8aff556d32bb2d371266093fb470c0e869,Merge_failed,8300f898458287d3f2479fb4b6b17c1bc70b5dd338801aa8ed073cfc79a83fbd
35,refs/remotes/origin/pull/121,4d02cc61d008d4e79950a028aafa40ddcfa41e2d,a5cb49fc3fd9b34ec63fe73b573fd094fac1d640,106f19aa80e07eadd00058408025097f9cf2a049,,True,True,09fc3c9dae870b19c4306f077cbe16c9f290e7468e1b36e937ec91b8539cfbf5,Tests_passed,df305d0531c633179d0982aac824add0a5a02bfcd880f79ff1eea29a324e3fab,Tests_passed,True,True,Tests_passed,48d42bcdb79dbba3b5fae628f8ba48b815eebab696ded765d202a020d70f5249,Tests_passed,48d42bcdb79dbba3b5fae628f8ba48b815eebab696ded765d202a020d70f5249,Tests_passed,48d42bcdb79dbba3b5fae628f8ba48b815eebab696ded765d202a020d70f5249,Tests_passed,48d42bcdb79dbba3b5fae628f8ba48b815eebab696ded765d202a020d70f5249,Tests_passed,48d42bcdb79dbba3b5fae628f8ba48b815eebab696ded765d202a020d70f5249,Tests_passed,48d42bcdb79dbba3b5fae628f8ba48b815eebab696ded765d202a020d70f5249,Tests_passed,48d42bcdb79dbba3b5fae628f8ba48b815eebab696ded765d202a020d70f5249,Tests_passed,48d42bcdb79dbba3b5fae628f8ba48b815eebab696ded765d202a020d70f5249,Tests_passed,48d42bcdb79dbba3b5fae628f8ba48b815eebab696ded765d202a020d70f5249,Tests_passed,48d42bcdb79dbba3b5fae628f8ba48b815eebab696ded765d202a020d70f5249,Tests_passed,48d42bcdb79dbba3b5fae628f8ba48b815eebab696ded765d202a020d70f5249,Tests_passed,48d42bcdb79dbba3b5fae628f8ba48b815eebab696ded765d202a020d70f5249,Tests_passed,61de4378e28a3a28e7018b95cafd3c8273f6621cdc20d9afcef8f78aa16d8dc2,Tests_passed,48d42bcdb79dbba3b5fae628f8ba48b815eebab696ded765d202a020d70f5249
36,refs/remotes/origin/pull/124,141bb05be47c31841cad9e4cd04f0d7feaf684c6,97242191112e60cd811a2054627c96890ae77014,e7eff256186b33c9f3e49f264e84eb6120548c67,,True,True,116859c92dc4f3a0e8e0b1e87bf04717f4efb2ee99d6b4321dbaf831c506c676,Tests_passed,69ede41fd459c2924a722046ccb98b2841af9398abe88686875fde8f738df799,Tests_passed,True,True,Merge_failed,7af6ee793f322c93985e98d3d1318c563c01d9aa273f3875caff307b255ec20d,Merge_failed,4c4052f51696d541d815f78068eb7128d85cdc484cec6de791d5edde7049c969,Merge_failed,7af6ee793f322c93985e98d3d1318c563c01d9aa273f3875caff307b255ec20d,Merge_failed,4c4052f51696d541d815f78068eb7128d85cdc484cec6de791d5edde7049c969,Merge_failed,7af6ee793f322c93985e98d3d1318c563c01d9aa273f3875caff307b255ec20d,Merge_failed,7af6ee793f322c93985e98d3d1318c563c01d9aa273f3875caff307b255ec20d,Merge_failed,7af6ee793f322c93985e98d3d1318c563c01d9aa273f3875caff307b255ec20d,Merge_failed,02bbf4c613ef8777dfc6077828d9532257b2675cf0877d577231f760b0ce3e5b,Tests_passed,2b33fa70fa0657cf93930d45200fb001bf972be5ff5cc4750be0814eaac0a38d,Merge_failed,42475ac613ac9a75a44286fc70af4b662af49a447933edf8b4f7b2ce4aecac79,Merge_failed,42475ac613ac9a75a44286fc70af4b662af49a447933edf8b4f7b2ce4aecac79,Tests_passed,2b33fa70fa0657cf93930d45200fb001bf972be5ff5cc4750be0814eaac0a38d,Tests_passed,ebe5baf8d18196ba2b3552f43f8b8464ff9183ea174df6ff6e72ebd1020aaaf0,Merge_failed,b243c34ba77bfac437e2f03aa5fa825d43fd36cbdeec50d4d7a1fbc9560652d0
