,gitmerge_ort,gitmerge_ort_ignorespace,gitmerge_recursive_histogram,gitmerge_recursive_myers_ignorespace,gitmerge_recursive_minimal,gitmerge_recursive_myers,gitmerge_recursive_patience,gitmerge_resolve,git_hires_merge,spork,mergiraf,deepseekr1_merge,o3_mini_high_merge,intellimerge,adjacent,imports,version_numbers,ivn,ivn_ignorespace,gitmerge_ort_plus,gitmerge_ort_ignorespace_plus,gitmerge_recursive_histogram_plus,gitmerge_recursive_myers_ignorespace_plus,gitmerge_recursive_minimal_plus,gitmerge_recursive_myers_plus,gitmerge_recursive_patience_plus,gitmerge_resolve_plus,git_hires_merge_plus,spork_plus,mergiraf_plus,deepseekr1_merge_plus,o3_mini_high_merge_plus,intellimerge_plus,adjacent_plus,imports_plus,version_numbers_plus,ivn_plus,ivn_ignorespace_plus
gitmerge_ort,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gitmerge_ort_ignorespace,2,-,2,0,2,2,2,2,2,2,2,0,0,0,1,2,2,2,0,2,0,2,0,2,2,2,2,2,2,2,1,1,0,2,2,2,2,0
gitmerge_recursive_histogram,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gitmerge_recursive_myers_ignorespace,2,0,2,-,2,2,2,2,2,2,2,0,0,0,1,2,2,2,0,2,0,2,0,2,2,2,2,2,2,2,1,1,0,2,2,2,2,0
gitmerge_recursive_minimal,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gitmerge_recursive_myers,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gitmerge_recursive_patience,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gitmerge_resolve,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
git_hires_merge,1,1,1,1,1,1,1,1,-,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1
spork,3,3,3,3,3,3,3,3,2,-,2,2,0,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,0,2,2,2,2,2
mergiraf,1,1,1,1,1,1,1,1,1,0,-,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1
deepseekr1_merge,14,12,14,12,14,14,14,14,10,10,12,-,0,5,10,13,14,12,10,12,10,12,10,12,12,12,12,9,9,10,7,7,4,12,12,12,12,10
o3_mini_high_merge,14,13,14,13,14,14,14,14,11,9,11,2,-,3,10,13,14,13,12,13,12,13,12,13,13,13,13,10,8,9,8,7,3,13,13,13,13,12
intellimerge,13,11,13,11,13,13,13,13,11,7,9,3,0,-,9,11,13,11,9,11,9,11,9,11,11,11,11,9,6,7,6,5,0,11,11,11,11,9
adjacent,2,1,2,1,2,2,2,2,1,2,2,0,0,1,-,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1
