idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,986f960cb82085d2f666acd6c2682672d47f5bb0,e6374130f2bcad969e21405b8739b34a8bcc4635,1e29f532c1dcc9973c60e4d9711649e33066002a,
2,refs/heads/master,e6374130f2bcad969e21405b8739b34a8bcc4635,a3f08b49af9be3cb25bdb70705d33c43af550630,5e34726d6f7946cbbdf319bc2aafd0cc4ec5d502,a parent is the base
3,refs/heads/master,15780af5df74e337fa4f67d564585b1ad7a9b47e,9d441d476e74f055444817f6a9b08f180fdb5bec,2f8e56145c04006f9c62b8858da28d53eeeb6871,
4,refs/heads/master,9d441d476e74f055444817f6a9b08f180fdb5bec,8d24f48e69708d4a9da7b608b6ecc8e6ddb9a73f,38fc16168255e1e15e27b513ed711b9d4a7129a1,a parent is the base
5,refs/heads/master,86f55191f502c840183a7d804463c06c288fb84a,d4751c3b457775c3fe31fafb6ea79f7b6379c874,2306c3af437ba1aabe3c0550d7757ae90c972c5e,a parent is the base
6,refs/heads/master,33bd6f9e13aeac2e49a6a2fd2c5e8891670cba99,3578bcaf717fa66666e416f984c2176484360759,19ca6da074e0143176a6d3921f2bc1d5f538359c,a parent is the base
7,refs/heads/master,3578bcaf717fa66666e416f984c2176484360759,b039ea7a504bba0f76e6e86ce7d46e5f1a17691a,79738df07ded1ca59e55de7f1b5343e02cc0b994,a parent is the base
8,refs/heads/master,f3509a17db25ddfd4e0564c283c81e769a71b69a,eeffcd92e469b7693828a4764310d1c37662e325,580f84d9277f80882d20aff38d6f065ed7206bf8,a parent is the base
9,refs/heads/master,580f84d9277f80882d20aff38d6f065ed7206bf8,7066622eb72a8482465ededa6198688fd2a84717,eeffcd92e469b7693828a4764310d1c37662e325,
10,refs/heads/master,eeffcd92e469b7693828a4764310d1c37662e325,a3e2951a67196f55bf2e0fa1a889bfbf19192279,ecc55cdeb911067716fb64d84e9976de0f745394,a parent is the base
11,refs/heads/master,a3e2951a67196f55bf2e0fa1a889bfbf19192279,230dd09338810092b392e46d6cd2d239a72204ef,51829502c06da59b6d39746291ee8700e41b3a11,a parent is the base
12,refs/heads/master,230dd09338810092b392e46d6cd2d239a72204ef,45404b5166dc0f170d6dd755549448b839418a93,498560b5053def679ede1c37e0516435167981cf,
