idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,test merge,union_diff_files,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
2,refs/heads/master,d4415b36930d0d13221d1b74083d8152292138dd,fc563acf7b7a2f3859f7fecba88b44a28b9879b2,7ddd4fabb2f4ffd82ad61df6e3ec1132d20f9b35,,True,True,True,54,271,1166,4,True,54,Tests_passed,75e722134b9da983206e6087fbbde66ecb4d38690bc96cb9bb549a01ec485b4b,True,Tests_passed,c6ce8b3b2b99c41b4fcd43a4e32d5efbd503159adce296030c1b081ee1d39c63,True
6,refs/heads/master,392bf59d41f6d67ee229659fe971675c77759c2a,5451e129b028ca1da5f2e4ea8a7524fd57ff203c,78b84e59386f4e5c525673db4804d026b652a764,,False,False,True,3,6,21,1,False,3,,,,,,False
11,refs/heads/master,da3126875f6733c3e1beda21169f0b5696661620,ee158263469ae21e872b51bf313caa02de819f74,18c7f4ba51afeb4c02a9e4e47ca2920ee931d7e1,,False,True,True,29,70,323,1,False,29,,,,,,False
12,refs/heads/master,18c7f4ba51afeb4c02a9e4e47ca2920ee931d7e1,ea20a8a99caae3cdaaab5b56e98ad48d9c884c54,e2281c2b0494cffbcce0dc6d3ec9414caffe768c,,False,True,True,23,56,285,1,False,23,,,,,,False
13,refs/heads/master,ea20a8a99caae3cdaaab5b56e98ad48d9c884c54,5f0721c0800ce31b523a32c4436ec1fbb8db4ab6,4d54b758c3c9ad6dedafe3fbce8e88cd0cd404a3,,False,False,True,4,10,33,1,False,4,,,,,,False
15,refs/heads/master,732e884143210cffb68e5319b8b99581f249c8b5,efffdb54b387c74c1f9532c613b66420fdd6d96d,55164ef9aff43a835e7b43403b0bddf1eb720ccc,,False,True,True,60,574,4329,1,False,60,,,,,,False
17,refs/heads/master,70c13d8a65e13324a543fa5325334341fe379635,7ec7ae3da2b4c1bcb98720f6c1b207cf565f7cc1,8f7fa291b20dee45a0c56cb1abadc6c076168682,,False,True,True,19,43,322,1,False,19,,,,,,False
19,refs/heads/master,eb6c698603e67d6a9204280412473c19fe13ae5d,c053a2390b21d56ee5893df3df8fc68eab043be1,562db5443dc2618e94fa3a1f244ca339197d4da6,,True,True,True,72,169,1913,2,True,72,Tests_passed,c112742d418ac9579ee00e5c93a6d2341c2d355fdc18196394c7fb537fd98b9c,True,Tests_passed,dc6a47eed0fcecf846a6ec74c4f55447bf43a0afc74ef90812302cc3e3af4359,True
21,refs/heads/master,b5b04103d8bcda2b8ad8832f4578350bbdb56386,0fb4c16cf6c62d14489368298c53b98f9f1e319f,0302ffa9b5e42d509598125f23d6dd573a1db8f3,,False,False,True,3,3,205,1,False,3,,,,,,False
22,refs/heads/master,eef0329aa69f04d7c4e71538ea29bb1f350e9e54,2f8589097b35aa3d142dfeff40da50855d382870,be684f0f0079c6ce3e89f70b58084d3d0e1d1917,,False,True,True,10,20,256,0,False,10,,,,,,False
25,refs/heads/master,7c38c80c7bbc1c29e55060bbc546d109625b73f7,c1ffea3a7caac953d0bc931f0f033bfce3ccdcf8,63ed2dfa98601695ccdfc29a3b55c051bb5847d8,,False,False,True,9,20,93,0,False,9,,,,,,False
27,refs/heads/master,18dd19ba575a1be441bdd8ba51f9a7179555c4f9,315bba1a946bd18083084c04454bfb4ee9f32d7b,b556aa6d1a61e9ea4cdf5dbced1331d197a92d26,,False,True,True,24,98,943,2,False,24,,,,,,False
