idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
1,refs/heads/master,ad10d14830841849c085ef5582dbdd087bdc6ee1,f8944c38f1911636a027ded7cca957a4083d0bfe,5924fdad907025146fd6806aa7cb9a2a8f58a8ca,,False,True,True,4,419,False,,,,,,False
7,refs/heads/master,1ab106decd6e1d7ff22eba4b7bda8f702e0eaa57,a9958057d9e489d907235af95855b0ff17a2ccfa,58eeec118e2a62e8abbb353675d7c185b0777bc1,,False,True,True,14,915,False,,,,,,False
21,refs/heads/master,b784afe7700633ef09703ee343e796f6f8ddca76,9340f6e93a7b352bda7491a70244f98c98c03211,1d435558c04b686ae216e1f4ad97276ac45f1948,,True,True,True,5,187,True,a46fa2025faa61bf7c1b53dff6cc8f112df11c17ea096d1cebd7950ddb8ef6fe,Tests_passed,f2dfa551b6187625cb8e1fbd1be89dcb2dd0e7bda0d4e80d10eb3335c8e9aa1b,Tests_passed,True,True
26,refs/heads/master,9b2438da8f441bb944068f5b31d5d4557b106dc5,afee4ff361ee15a08bfdfb3f55967d7818933b5e,25b1d4830571edb7396a52d81cd973ff3d82b0f5,,True,True,True,8,141,True,cccda2b77b9df22401fd3465e83b3b47543805a8879dab3bc9c6be033ae99274,Tests_passed,270cc4a56361c1ac8f6feefd05950e1aadad12037973b0cd7ebe44e64760512b,Tests_passed,True,True
29,refs/heads/master,bda7e6f997cafae7abcf734b2f8da6285a5eac05,2229e7edfc13d07e95d97705e6825ac952febf9d,51b3eafc5285463ef868863ceafeb55c5be95be0,,False,True,True,11,242,False,,,,,,False
30,refs/heads/master,2229e7edfc13d07e95d97705e6825ac952febf9d,3398c05992a80184913059b19ce5569228dba857,aa1d827bb193b8d856517cecfd743301998bbcab,,False,False,True,4,93,False,,,,,,False
37,refs/heads/master,b0103265917351387d4d0de8ac8d2daf6bb5c80e,d574e0e307e6a29fc9a3813c7e6da50e7972faa7,019d7de5392f1de612bc87be8876faf3f4d0ec8f,,False,True,True,8,70,False,,,,,,False
38,refs/heads/master,d574e0e307e6a29fc9a3813c7e6da50e7972faa7,8dbb7b524d682a21555a5d3325b480cbe2e3a021,8de1a8e0b9aac8a396d32964f8baa25ec80b5f30,,False,True,True,3,26,False,,,,,,False
39,refs/heads/master,8dbb7b524d682a21555a5d3325b480cbe2e3a021,1d5581913611dd19a420e6e49b12a70bc5d78312,da90530227b8e48094093e25aac67d364e5ae9e4,,False,True,True,3,106,False,,,,,,False
40,refs/heads/master,1d5581913611dd19a420e6e49b12a70bc5d78312,216261767695c0c05c23b2810433e0c3e1c68b52,cf27215920875444b38a995f3b344cd0d7abf92c,,False,False,True,2,2,False,,,,,,False
41,refs/heads/master,216261767695c0c05c23b2810433e0c3e1c68b52,b572748d64a64bc6c2e9a8117ea1dd8c9d3dd3fa,99370bd828723d6bcf558e93de915e7c988ee8c5,,False,False,True,2,2,False,,,,,,False
42,refs/heads/master,b572748d64a64bc6c2e9a8117ea1dd8c9d3dd3fa,6cf300746f7a8baca115d0da13fa2717b1c31efa,7d57649ab1491e93de80f84f64afb28f989e6f7d,,False,False,True,3,10,False,,,,,,False
48,refs/heads/master,8dc881044c595d6afdadffaf7de60412fc0bfee2,636c854a4f67f1319505600785cd1d4668757d96,8cc020979b25077ebef340aa4743f7e4569ec3e2,,False,True,True,5,84,False,,,,,,False
54,refs/heads/master,ca24c863f617c606744bdd4d083aa647a6765e8a,4b52c21def5b90c13573c7ef9a21169a8e7b0fa2,731621ac217806eb375d83c4688dc1df3ee89bed,,False,False,True,3,31,False,,,,,,False
60,refs/heads/master,15b16288a0f65c4ca0a63edc005496aba8f5b4a6,ed4ff7c76677650c578551f5ce71ca37d28a62d3,e7f904893c33c63cee4246cbcfa05c551c194fd2,,True,True,True,19,769,True,33b2c85b761758f69151111f2cd74794c876490c7c7c5f217522515cd5e1e0eb,Tests_passed,4ff938d8f37dc7d614fed52c4ceaa48a383d884e2031cb034172e98a730527a2,Tests_passed,True,True
61,refs/heads/master,ed4ff7c76677650c578551f5ce71ca37d28a62d3,759db9bb2ff3e3ebc5d9627767d5586bfe418085,495948c3ca8c9d8a20bfdaea9f3d012c81136fd8,,False,True,True,11,695,False,,,,,,False
70,refs/heads/master,b608d3ddd522dc346cd4bfba9302fb5648b819b0,893d6789844fd62871db56e75789f628fdd5f0a3,e5749680df47a48f8bc1ec7546d1b0fb9cf7ad10,,False,True,True,8,268,False,,,,,,False
71,refs/heads/master,893d6789844fd62871db56e75789f628fdd5f0a3,d2121cf3293862b9ce8e5c6f85bb586ea21328d0,82ddf83657441e84c5bcb61fbab81788349b7a9a,,False,True,True,14,252,False,,,,,,False
