idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,135d6ac5f6308f86a487d252f20363783230c260,bf0f3d46516b53ce8e756053e0be3c285e0bf927,9626d5a4e2e7df9893da925b9f514ef0dad1ec63,a parent is the base
2,refs/heads/master,018905c5b6aee06d23cd7edad8fbd97d5523f1ca,0d911f4cd6781124a7cd99f0d3f30f9b0946465e,3afde20d8147596573826728922f2e4a93863396,a parent is the base
3,refs/heads/master,0d45be8cc58271d225df5381003a4e5688460abe,ab0c9b423d71cc9efa31424a089bd21176709efe,e76323eb340f94efff647b788f81034e28721b81,
4,refs/heads/master,7420f8cf754f4bc0986b135f2d4ab965c21846ec,8b1a8c66df3c757a128737c1e7293cf665c967b5,8aa145522aeafff9aef653b2e86e077b8d633bcd,
5,refs/heads/master,8b1a8c66df3c757a128737c1e7293cf665c967b5,9ce8b406507fe354a7ad7773574c2eb4aa550afa,6cdaebadac97f1c8338a870bb7b89e2d53ece33f,
6,refs/heads/master,9ce8b406507fe354a7ad7773574c2eb4aa550afa,bb2e366dfbe7418ceeff5892aa1c209044a24ed5,6f3231d3037172b9ae63e04beacb40967e942111,
7,refs/heads/master,9d7be8ae192cd0e03e8d085e0a670775e5103368,80837f9645b85c9700ca64de7f3c1b2e013db789,c8a5a85c1b48ea75dee2b7fe3ee63b53cbb625d8,
8,refs/heads/master,fedaa912d8652b381c9b1540a6eaeacc97fb2143,1e03e549d0ffcdb8e1884ef17c754ed73e41f03f,a0db6933a1085e2cfbced3c591e87228e84dc684,a parent is the base
9,refs/heads/master,df2e89dbed0597829177248cae249ce86e6398be,6ebbb242a5c5993170b43aeb797deffa2688916e,5d0c8df58618c1cdf0f56a0a0022bb4f3f3c3db5,a parent is the base
10,refs/heads/master,34c7b9651d2e717892f1138b76fc47859cd330fe,45c3de1a382db1f659121a231096cd56b63f576e,bb1691559348f83ffb7098c6de6323a68b1ee11e,
11,refs/heads/master,3983be561b8029d69528f46868a17336330b23b8,59395b9219d2b2d24b7354d49f1cf95930d2d1c9,a94185462ad5ffc2c2412100cd89e64c65456d94,two initial commits
12,refs/heads/master,59395b9219d2b2d24b7354d49f1cf95930d2d1c9,e0c3921ac09f32c4bdabe896e1320124633550a4,5180526814b746200966b716b23c33066f8562c1,two initial commits
13,refs/remotes/origin/mc-1.16,f8012ccf6b73790a62acc699fffb004ffba5c57b,9985415478005c358c9bc47211cb1dafd1cca2c9,b490d19fac6119bf0d53c454dfc93ca824b787e5,a parent is the base
14,refs/remotes/origin/mc-1.16,094facbeaf8a4fa1e360f9e1b1296ef452a762c3,135d6ac5f6308f86a487d252f20363783230c260,94e4e09d9328e3abaec55e7059d3c9e61bd62dfb,
