idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,b329e9ac2ee5b42d535fe37865eda47ffd89828f,3f8e04def3e55746abd7d11bda04cc7192b345f6,130931d028866fd64bdba75ceaab66bf038e7171,a parent is the base
2,refs/heads/master,15c2ddf4651d57d763d6872df933d109b2af4eb6,6ec1519c56fcbc88d394d2c76a3d89ed38181429,b3cd1343552fbf96f9982281b214223c0cedf164,a parent is the base
3,refs/heads/master,b3cd1343552fbf96f9982281b214223c0cedf164,e2e966882b69a6b825fd08347ecdf176b8aaed26,6ec1519c56fcbc88d394d2c76a3d89ed38181429,
4,refs/heads/master,6ec1519c56fcbc88d394d2c76a3d89ed38181429,4b93e5dd1d480c483d31465dc96e2e45a7bb0880,5ee476c89e1aa617b9e39c773805907bfffa486f,a parent is the base
5,refs/heads/master,4b93e5dd1d480c483d31465dc96e2e45a7bb0880,3de5729d268006ebeb59bf26e2bdfeb278355771,4b237c1843fe79137b330978ed4ce7c9774b8adb,a parent is the base
6,refs/heads/master,4b237c1843fe79137b330978ed4ce7c9774b8adb,4e657b8539aef5ceb7a6a2b9f12c4a0c7d3273ee,3de5729d268006ebeb59bf26e2bdfeb278355771,
7,refs/heads/master,3de5729d268006ebeb59bf26e2bdfeb278355771,b4339844f265ed6cf342cd50e8c615c08dd9b1e5,893da65610f057523ea2db48cce0e0c4ce119ec7,a parent is the base
8,refs/heads/master,893da65610f057523ea2db48cce0e0c4ce119ec7,c827b14b36b742a07abcd49c38fa200090f630ae,b4339844f265ed6cf342cd50e8c615c08dd9b1e5,
9,refs/heads/master,b4339844f265ed6cf342cd50e8c615c08dd9b1e5,688902d834537722db61b9b92afcd385d656e63e,fda9daa076a845b4172e6ef0caab569a3cc5b7fc,a parent is the base
10,refs/heads/master,a1d3930286b877205975d57ecd16dd0495df4b77,07992adcae1bc7d52253a5ad30a743f7b2d59aaa,688902d834537722db61b9b92afcd385d656e63e,
11,refs/heads/master,688902d834537722db61b9b92afcd385d656e63e,7794f33ba4d29e516fe279f972d9e83dd1d91771,b5e70178421bfee063d66a2e59b9fcc233647b5e,a parent is the base
12,refs/heads/master,7794f33ba4d29e516fe279f972d9e83dd1d91771,8e4d151e8ce830ca19b0585b4ee3ce9bc4020dec,69506da99d70d632baad6a2614d2f1927d65d082,a parent is the base
13,refs/heads/master,23988f76c33172c4d1ad5f2835162ab85f1168ed,245cfd7bb6b9b30fe041a8cdee155e602a059ef1,8e4d151e8ce830ca19b0585b4ee3ce9bc4020dec,
14,refs/heads/master,8e4d151e8ce830ca19b0585b4ee3ce9bc4020dec,968e5cab467b6df1eaa162690ee444ddffcab0fc,d873fb7cc748e28ce600cd7be2dcedc162528cc8,a parent is the base
15,refs/heads/master,968e5cab467b6df1eaa162690ee444ddffcab0fc,21fffad26d8d72057a2df88841683d4faddc7b44,ee43beb8a1ed39f78f8993c20d205f8f6c469265,a parent is the base
16,refs/heads/master,21fffad26d8d72057a2df88841683d4faddc7b44,e45fb14e7e230470cbc5cb1f78b6265037755e5b,9ef7011491cbfb8dfac7ee25a22a337e0f60927f,a parent is the base
17,refs/heads/master,1ff5713340f3500bcc1d6a761a8e407e8bf01586,0d5e71c83b35b6be4bc11e4e6fd87bea8d24d504,e45fb14e7e230470cbc5cb1f78b6265037755e5b,
18,refs/heads/master,e45fb14e7e230470cbc5cb1f78b6265037755e5b,497ce43b68b9e2de980db9184d4e03e2500dc3a1,570fd8d0f7aeeec1aa2f2cf7e01607cd58cd6e7d,a parent is the base
19,refs/heads/master,497ce43b68b9e2de980db9184d4e03e2500dc3a1,7ec7269911efd6019f648f7ad8d9a283f12689a7,b1aa1823def88b99f2874885f3079a1607b1c272,
