idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing
1,refs/heads/master,2de8f55e9564a907d3a58610e0bd59be90d06977,4a2aabc33d8a92e2097ce47918df725a3be59513,6da177d1845b91700b390e187f2c17d5cf77bc9d,,87a9d3795712d30768498f9a3c7a84d29731a62e9bd388feebe9e5126a8a7b80,Tests_passed,c8ebfac449430de68f4b4f3d0ec60f0fb740b30e835031475e346c06a2322662,Tests_passed,True,True,True,True
2,refs/heads/master,4a2aabc33d8a92e2097ce47918df725a3be59513,ada84648c8efa26f4b4cf030b7a2a8f51fd6b9d0,dfbcd4ece4146acbd18d4bcba929261de5d5a667,,,,,,,False,False,False
3,refs/heads/master,ada84648c8efa26f4b4cf030b7a2a8f51fd6b9d0,03e8f4bfc04bc9197b54d07a0ee01ffd3a2ee41e,35745456d400a24f71eb42e5d3b295566a8bd74f,,c30458f2c8dd864d068a85171e995692e8524cf42718e58cfb0508c64d7b0296,Tests_passed,d2e497c0605f9c52983c45b79987701c63bbc32ccf8bf64f57c6b387ded8cb0f,Tests_passed,True,True,True,True
4,refs/heads/master,03e8f4bfc04bc9197b54d07a0ee01ffd3a2ee41e,3ea2ed4fcd51f680ab9d7ad861f8d1f43645db3f,37e94284d03637654dc17e03db632292b1764577,,de0387dd46ded6ae1dcc77390d965c959b3404d2e3f14a6214c7f896b1218f6d,Tests_passed,c30458f2c8dd864d068a85171e995692e8524cf42718e58cfb0508c64d7b0296,Tests_passed,True,True,True,True
5,refs/heads/master,3ea2ed4fcd51f680ab9d7ad861f8d1f43645db3f,ffde7352494f188fd839dd3403bc11eeed546324,b159455367b11f695ba94eb299e5f23bd80e533d,,,,,,,False,False,False
8,refs/heads/master,f50bd90bdaf61734b3beda91f3110b8977c598d7,55dc933396cb434540b361fd4dbc30c3e2d4ec0a,b6a3da7fc944aa58016dcd147f822704818884da,,1b8ffc4e1f0a48fdf475021d3a18e3a39c85d55dce698505346c362c1319f152,Tests_passed,50efea981a2045c6cc539b507faec7f955365b373d6a0eaba0659bd9e0cccce8,Tests_passed,True,True,True,True
9,refs/heads/master,b6a3da7fc944aa58016dcd147f822704818884da,b53ee16a330b07ab9a9171da60c2919319542260,d7862b0355b749395f7e5a4a405357736347d0cf,,2b9f80aeff490dd0aba9103f23c5be1914eab72d338aa977739f57ec51c71cc5,Tests_passed,50efea981a2045c6cc539b507faec7f955365b373d6a0eaba0659bd9e0cccce8,Tests_passed,True,True,True,True
10,refs/heads/master,754462e890ac29f2155ef2f60aeba253ad15ce76,4962f53609eea0aeef8b98fa156f0d8d12ced109,b53ee16a330b07ab9a9171da60c2919319542260,,5b9435e155856cdcbee1c87c1a2a84b98957fc6e9ffdc5bcfc0d512ec6cad1e7,Tests_passed,2b9f80aeff490dd0aba9103f23c5be1914eab72d338aa977739f57ec51c71cc5,Tests_passed,True,True,True,True
11,refs/heads/master,b53ee16a330b07ab9a9171da60c2919319542260,36aa58a5c63af6c826d1e0415c66f8e3b52d853c,57a2b740239788beb170b9ec372d36caa48362b2,,8657dc3e045c10e3fcb11a5a7902e125bc136c87ec7c7877977b7e77f814530b,Tests_passed,2b9f80aeff490dd0aba9103f23c5be1914eab72d338aa977739f57ec51c71cc5,Tests_passed,True,True,True,True
12,refs/heads/master,36aa58a5c63af6c826d1e0415c66f8e3b52d853c,9039197d90823c11c75546733543bb946c2cb6b3,4e88be0eb4dfef437e4813ebeb87ab2603cf3a9a,,,,,,,False,False,False
13,refs/heads/master,46cb8662d65f97e848819dd823e6a161ddd5e68c,d5bc1a0e915c2161e73cf02d170e8539e4b1f6c3,a9aeae321faabba36478f0202e93210fb159520f,,9a2cf3f0a988c47f3fc8f1b7e0327e80b78cbd6939219a78cff4adf894ff46bc,Tests_passed,086ddd6677b369cdc5c0a0211ec216fdc455c76e4fc8af304926ad7f209ad942,Tests_passed,True,True,True,True
14,refs/heads/master,d9d9bb4eba9cf7892d3d37fe39daf2f1efa0e45a,edef77c3b038f6ba8f5f4b626e93a830636852e1,9039197d90823c11c75546733543bb946c2cb6b3,,04ab033452fd88e48b4e953b1d46f3c6f1d68e4c35a63974232682dd41780583,Tests_failed,1f065b351c1e1858a175aee5209827be671347bc2b70f70365498d38b0f3286f,Tests_passed,False,True,False,False
15,refs/heads/master,9039197d90823c11c75546733543bb946c2cb6b3,c635b5999390bb6d91a2596d579f9b5987e5a8c1,153ae86c998e78f05cb82e1a41efea3c20de67d0,,072472766971d54f18cd133ee4c1fa1b88a1f33cacc9bda4a06df4c5319cc942,Tests_passed,1f065b351c1e1858a175aee5209827be671347bc2b70f70365498d38b0f3286f,Tests_passed,True,True,True,True
16,refs/heads/master,c635b5999390bb6d91a2596d579f9b5987e5a8c1,27bb522b46ab27b19f2770835368893d98457530,4e2680dcc9add5aa1351477652b6afe8da3941f2,,594b9ff04aed0a7831fdddb7be4f366672fda5fac6d497dbe8d561f47650a588,Tests_passed,072472766971d54f18cd133ee4c1fa1b88a1f33cacc9bda4a06df4c5319cc942,Tests_passed,True,True,True,True
17,refs/heads/master,27bb522b46ab27b19f2770835368893d98457530,bd26978d385e297380c8d4439b96546149455136,1ca31986524aacb081eb2d5f6cc6fa9537b5c65a,,ada01be72ce6f4140cd325bd05feffa698b9b25425bf3b91bfa70ea9ed5602ec,Tests_passed,594b9ff04aed0a7831fdddb7be4f366672fda5fac6d497dbe8d561f47650a588,Tests_passed,True,True,True,True
18,refs/heads/master,bd26978d385e297380c8d4439b96546149455136,22f8c97fa0331e50b6fed332e371802aa88360ec,84a811040da5c641ee3cb5907a416a647053eb4e,,5f752b1dcca87791e317b13a2365c98b3ad108105b88e77fb50f08142650f6bd,Tests_failed,ada01be72ce6f4140cd325bd05feffa698b9b25425bf3b91bfa70ea9ed5602ec,Tests_passed,False,True,False,False
19,refs/heads/master,22f8c97fa0331e50b6fed332e371802aa88360ec,1bd4e6a4692d62e02a6e05062fee98c10f5ff33e,ec1a84fa507edeef8e47cd942a67ec1453da7a5f,,4185047f9ac0495766b7dfc2d080b8251f82242e82831a2bbb49ee41914296a9,Tests_passed,5f752b1dcca87791e317b13a2365c98b3ad108105b88e77fb50f08142650f6bd,Tests_failed,False,True,False,False
20,refs/heads/master,1bd4e6a4692d62e02a6e05062fee98c10f5ff33e,dcbe69d823f417f93e87bf31f829891d3d0c57ae,e4aad389908d86c915d6802e724cd8a1c26e71da,,1957bec78426fd1f12338bcce83cc5cfd7b9e1d3e103a5162564cddf937fdcec,Tests_failed,4185047f9ac0495766b7dfc2d080b8251f82242e82831a2bbb49ee41914296a9,Tests_passed,False,True,False,False
21,refs/heads/master,dcbe69d823f417f93e87bf31f829891d3d0c57ae,df2d7aa45493f0432db591d1161d5e2e271f0ca4,9ca94968b9e6fa45c937183b5ef5765f26886231,,3bcedf88793c86684e09f7adb8219614638c0417312ad0190f1e89403319cec1,Tests_failed,1957bec78426fd1f12338bcce83cc5cfd7b9e1d3e103a5162564cddf937fdcec,Tests_failed,False,True,False,False
22,refs/heads/master,df2d7aa45493f0432db591d1161d5e2e271f0ca4,9a6c1db4b094d49a7ce6599b1f0eac85d3249e53,7e1a6f8f88091d2d61736e903d2139a56db662d0,,503d364812e99f666867bdad9384f85c4a268f42beb267109f8d734266c14880,Tests_failed,3bcedf88793c86684e09f7adb8219614638c0417312ad0190f1e89403319cec1,Tests_failed,False,True,False,False
23,refs/heads/master,9a6c1db4b094d49a7ce6599b1f0eac85d3249e53,1a08900a46083cdf5e53de74de455fffd8961488,3855a31c3ba9ba5d4bb637497fb9de4b74a7f071,,c6d27ca2262f6e70c63a93a10b89b3e2e5d2cf2f40e275a38a10ef3433a7c254,Tests_failed,503d364812e99f666867bdad9384f85c4a268f42beb267109f8d734266c14880,Tests_failed,False,True,False,False
25,refs/heads/master,818571d5d9a02b70169db393e3e68e3112b6cd22,d8e119df769e3a771b31fe71d8f7e5dd592bc71a,b21c51588a39f585d86dd983df4d1434825189f7,,d6d146b9c82b0d5f1ed7ab650b6f7f0cd339ee6ad851bdaf715ccc50da742dc7,Tests_passed,995952b218f22bcbd67dceb54c92fcd89031d9d227d28420ea002f20b912c747,Tests_failed,False,True,False,False
27,refs/heads/master,882c620ca9d7a46c4fa425b8b631f29657ff6ad4,d22fed47e50439f6262fdc066229cff8487b85c3,ffbd4946e8488e3955c6561ad7cb486b929096f2,,17f72c07bea080f3fd873b5792f5734aad079444e3e8bdecd3d5963f24cc99ed,Tests_passed,0ec6193d759ea2fe5844e90d6a85fc9f942fde3cee1fea6c5ed7065a57f9ccdc,Tests_failed,False,True,False,False
29,refs/heads/master,203b4a08f9cd7a3580f060bfa0830e7d57cd76ae,9147606d51015ce2ff5b66d83e8c1c1f2f82490b,dffdc753f2fcade1c45438763f8f9d5080e16bbf,,,,,,,False,False,False
30,refs/heads/master,a770fba808cddcb65fb28dfdc2e191b7228e7e25,036ded63781abb62b5123283d81faca210634d83,911b0745d88dc175d0c1c2dec68650fb0f83a5cb,,,,,,,False,False,False
32,refs/heads/master,ba0285d60dcd856653c12ae98d2757394af0bb04,2f41f523064ab72be76c388f3b51ba01339f6b97,e0184ac19c4c32d0135fb9f2b67b01553ee1b39d,,d075a19b1a849ad0d18844f1d7f208ed7ea450a42be6d68ce98b78e87553d371,Tests_passed,fbca3db37c5aa2dc559e4030a518f98b8c746afdd210dd3214661eaac906940c,Tests_passed,True,True,True,True
34,refs/heads/master,7a99c2f7dffd05493fbde27ff5bf63c187ddc1fb,1e2dac2dd1047b511e025c71b329d23a9e8fcc51,8beba569bea62cd8cf3838f9b8269ee7b4090b0a,,576b33861671a8fdaf00c156d244445034f44555b2de16ee12c64a289c81570e,Tests_failed,714f8f124edef0fd148c85b5cc4b8233d53357f7d9f8c344daf1e356bcc2d7dd,Tests_passed,False,True,False,False
35,refs/heads/master,14e466c1a4c34f6ab1f230a4387f4f0d2c85b5ac,a95ffca4423a8dc0020bfc92f2944c2a6dd275d0,168b13686febdfd61c8c713417483df16b02086a,,e2fd38fe8e1925ef84429bdbe052ddf54ac7987f06f674148afc1e76e564332d,Tests_passed,89ebbb52485fe721471619dbe3b2c4fb3ff5a8a0cba39d026b4991a91a1fee3c,Tests_passed,True,True,True,True
36,refs/heads/master,2914165e59f4faa477e1bc96095669d16bce2650,e890c6ee08625f1318a0a2a6db59a5e9aa4c34b2,2f5d5b161f880069a688f2e1df0723c261b5ee0f,,57b1b7052b4519fc652ac65853ce66d0238c420a0531e6f492c7cc57020641e2,Tests_passed,128eb41beac498200bfa322a9fe19fca39642dadc669208f3f1ffcecd2f7fd28,Tests_passed,True,True,True,True
37,refs/heads/master,e890c6ee08625f1318a0a2a6db59a5e9aa4c34b2,a18dd0ec047f235ee89155eaa40538d154da744a,3fdd4abe725990375fa44f1083b7eb4b43a437f4,,2bada06760b676d7eccc9d3804ec2bb68e19e93ecee9511f9fc375761f9c00f9,Tests_passed,6bd244a070d61b2aec3e34f744a67f8b0c2160c5318cf9515838cb439c8c4d51,Tests_passed,True,True,True,True
38,refs/heads/master,a18dd0ec047f235ee89155eaa40538d154da744a,7b82dc64d19c84f144540a4985da05865fa9539f,597528dbd733978db941b0bc74a61df2dc92f0fd,,3d083ee8b73bb367e88172020c298f530e055b32597a9529a3abe531b2da7656,Tests_passed,3b118e3da31d403b0f5f936e2d415826b93b8a4766428cbf9b6266f3dbf17c06,Tests_passed,True,True,True,True
39,refs/heads/master,fde954818e8ec249a1b9888714b6b3d528e3db62,534cb7b1c61e80655b0862d3894d567c7400922d,4ba1f2366f030be0b6edde0065a401ed7197a2b8,,5d9ffcb139f3aadd15d0cd373799fabb7d3f18f95e9b20557ee138e6ccf46021,Tests_passed,d961cca7a62a72eb835cc7f7e098d38c65c844f2a3c8da4ab5e69d042aebdf3d,Tests_passed,True,True,True,True
40,refs/heads/master,87c76282ae4d0ac4287baf9c05836a86c0063574,b94b1c715464eb47c2b49025434686912c2d84f2,39b1ee70ac02af9152b51ce79694b3c3f7a5c2de,,,,,,,False,False,False
41,refs/heads/master,b94b1c715464eb47c2b49025434686912c2d84f2,0985ce1265b1a591df4024fe4a76b635bcd34220,d089fb66258cda4a0e4a039a771af105b45e4e01,,bb496e907066810f0c3c4eacd0955a8cc582cb9eb1553073ad14182c63b2e8f3,Tests_passed,1615fcfaad26434a2b74a84ea1abf58c7d3a6fd110be377bdeb9471c0a6558c0,Tests_passed,True,True,True,True
42,refs/heads/master,0985ce1265b1a591df4024fe4a76b635bcd34220,9f01fbbfe116f12b9e551d0b134be8c069db25ad,d5aa1b2c1234fb3f7494986776dc9c0516a35f6d,,1b6950cfb0d0eb2eeb0fb01e5b9846b3214a82ff918cd1b8d5af3961a32f032f,Tests_passed,bb496e907066810f0c3c4eacd0955a8cc582cb9eb1553073ad14182c63b2e8f3,Tests_passed,True,True,True,True
43,refs/heads/master,9f01fbbfe116f12b9e551d0b134be8c069db25ad,6434d64de2856fda9709001afcd5da73e953b993,805074481d9999af44aecdb084f8b52ffd1ed098,,014cf9787938a81219925536e172592273bdc80f56f1552933b02301886f12c1,Tests_passed,1b6950cfb0d0eb2eeb0fb01e5b9846b3214a82ff918cd1b8d5af3961a32f032f,Tests_passed,True,True,True,True
45,refs/heads/master,94383c40f00f3898daf5d765885a8db279cf1c6a,731f54911303469e931ec02427e3adbde0307b75,c947890e313416bfed6b0f1b5d20e048783e4a53,,,,,,,False,False,False
47,refs/heads/master,bccbd212b99387b3da0a4195f2a81ac7fcbaf30b,db7ac000b4f95a0fdee69e1b34efa0d76cdbd315,055acdecdb8c4c325c4c98c9a56b94c3ae7eaf92,,b12b1738830096336e3b6eea17e9bdbe385475e90f771f743aa668de0fb924a7,Tests_passed,5431ab2b3330e1f73df0ad25bf8e156e48b2988dca0256bff2bc498eb0e3f7ef,Tests_passed,True,True,True,True
48,refs/heads/master,44b7a2b3dbb6af1aa221a4a38b248e99629f8592,ee53d91c9f1d4dbb6def4312dd01063969dcdef4,9b1e992a94be4f9ac723bbf21b08f596ffae413d,,f8eb78a84c08b66e69dcdde10811d7c7cc52fcfa128c4dadc0be8e4f50a9aeba,Tests_passed,adb3940c366ab752965e0a621b157be520efb02a4fc754c6c916c5daa6ac02d7,Tests_passed,True,True,True,True
