idx,branch_name,merge,left,right,notes,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,diff_size,diff_contains_java_file,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass,test merge
3,refs/heads/master,33a098f4bac4cc22572cf9f30e697cb9a0e1c8af,6c9e6abc9f8571ae2b58fb69a239098f8aacffb5,e4e01ccb5577ed9e72c62d14e87812cc1f30d686,,False,,,15,False,,,,,,False
7,refs/heads/master,b3627652f2bd47855934ed9f094a26a6a6521b6d,b5216148d6774fae550c68f8a797227e7621ac30,4faf507ad9dedf7a998551ad8b004e48636e2b2d,,False,,,25,False,,,,,,False
8,refs/heads/master,0d7cd7890197dc0a798460b0c1bf87ad08280f75,e7f1a88e6eede1e5657156b66be11bb36e8eb3f6,0ff1f4724a4eb7f47f5c3827aee67cf1b259318f,,False,,,62,False,,,,,,False
10,refs/heads/master,0dcba749dc2ea11110c2bf72ed54540c31cebe47,32c6ab710a66878d8e78f98a8910d7436ece6ad2,00ac965d42d555746cfebc54e86d294a55b7fd3c,,False,d6c4e060e2e637ad56d0c5c14ab8154d16dcdfd2b7ebd48ad4c1b33536b8d4ad,9bbf0f6daaabe36a4a170faf9576d400a550e58022f8b48a9e4a104518ae714d,241,True,Tests_failed,0.0,Tests_failed,0.0,False,False
13,refs/heads/master,6341ad4c5a7f4375b6b3c8781fa66c9a935b312e,3b9af0ab859affd1f93e922c812d8e99663b7e1c,9b84e75eaa98b547e4cfe600aa9ebf81ee7da90c,,False,095f0ea611e0f1b268cb4237edb509ed8474873a69b837d123b35e7af91e1264,9d2e71ad1384b42e7c07acae8fef1bb2dd049b4af072f6649fd94e84d7cf73c5,422,True,Tests_failed,0.0,Tests_failed,0.0,False,False
16,refs/heads/master,4cb46c6e5cad9dcf10a56a76c418c6da2f7fef60,6decf860c97d9cbb8ad366aab55e98e0b26f405d,c1dfd0fb7b1cc20ffdb62ca11f3dd30678530332,,False,,,25,False,,,,,,False
18,refs/heads/master,edceaf072c9f549987ceed5294aeef90c025d347,d4f60e65c30723fe3af8d83efae2ebafa377402c,f935f93d98ffc6a54feba2a215266da10b7e1232,,False,,,12,False,,,,,,False
22,refs/heads/master,a3e1493ce16e03f1b5694680b8575a830b9f2873,f67ad024f5dd966a6b0c2e3fef6e2fbc22385690,9fb814003b7bf530373d9ea1d7a80056f92692d1,,False,c4eb3a5f29715a70fd89568d762d0b0804321a019eff7309d180a971b6158c14,d8033ab3195af508c85b0b8225ff3b18b4d0b70c1906097599d7cf9fa2ea3d1e,461,True,Tests_failed,0.0,Tests_failed,0.0,False,False
23,refs/heads/master,d5bf71b4b79e58fc7b29638b02ad937739aabb98,9e2eda672dd576e612a4a529842e0bb933036e53,6bb9a14cd1547684d0cdaa0d14089860d7c1da7c,two initial commits,False,,,38,False,,,,,,False
24,refs/heads/master,def2269b6e131695e504fc597cbc068c7dca3b0e,12bf653bbc4495ed6cd0933c0b47316ca07adbdc,cae71552cdabc4cd1ce3f9736d59de4caadac434,,False,,,26,False,,,,,,False
25,refs/remotes/origin/pull/1192,399d1bdb18550ceb27118c5e0e2a7261ae348b0c,4ac0bcc3e80fd04f5cb57ce1a5f7df8115e884a1,faf903469e963007d4adc0468e714bfb19e57962,,False,6696ab81a7f12d42ce61f161f42b88c0e6e3276f4e1a9f6a16cb2a06219aa247,1296d444ca223a8c811152c674d7a9a80ac445a84e4fb2a57f060341e3486dcc,2387,True,Tests_failed,0.0,Tests_failed,0.0,False,False
26,refs/remotes/origin/pull/1286,de72337fb8f2582e7bcb38eb60d55caced17fe46,de3ea3c1dcfae972b2c71d62b608edb1a542bb94,ee58a34f560084cb3ddab971fbc54e83d15d087a,,False,,,2,False,,,,,,False
31,refs/remotes/origin/pull/1286,30d5fd0f3176a41b1ead54b3e331a17fa2d983ce,c5b357d8605d89ed87c62adbd38973616a4a38b5,d131648762dac2e88a2e3015fe4e28dad8b6b55d,,False,,,15,False,,,,,,False
