idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
2,refs/heads/master,57cae0eb2d9be81f18f7e6f05cb69e68cd731c7d,a0478ba744b7beb5b2c71dea640a6cf6b26f5594,83e3f970c0a9563ba289bc1d35204dfbdfa624b9,,True,True,293ed24c2bdf911155197dcdcd4b66c5add192b0f3ce37628a1a917f45bdbd8e,Tests_passed,69a85ed3e02b92d8bdcb0fe8cd66a630995461d02088a6af88c4c53dfda957b0,Tests_passed,True,True
5,refs/heads/master,c8899988a8856f6c6de931c3df33756916b9275d,bf31ee1d7db724e003d3a7a3cadcaa038a542b82,f2e9e13d06514934c8633bc0c422b223734a93ed,,False,False,,,,,,False
6,refs/heads/master,e5fc90ed159be30eead397754752e0e9932bbe78,fae3a841898e065905fbfeb6f6177c5013c81d9e,72e4aae9e845863f576c41e04bd25e7bbe640553,,False,False,,,,,,False
11,refs/heads/master,c0ab0540a7e3aff3371820e24e088d08f1ce8b72,316c76e146d43452a320e5bf75ea2999c04ed8f6,1fe1777c73b2f83169315ce7d3c838006517967b,,False,False,,,,,,False
13,refs/heads/master,aebda9ec883d43ca7593369f06f94575406d9d9d,0bf158a15e55896649388c1c2f6a8d1a69509b97,bcee186a5eca6485bb70cac9d4e7a4ab86463f45,,False,False,,,,,,False
14,refs/heads/master,316c76e146d43452a320e5bf75ea2999c04ed8f6,a233345e28988f5f84c99d094bbe693094365f0d,bcee186a5eca6485bb70cac9d4e7a4ab86463f45,,False,False,,,,,,False
16,refs/heads/master,2b89699e23dc5e87efc15d2b422e2aec1e3c9591,0e65c992aa9158a52ff1b80e5e836f9a4b61fca0,35e1e6a644fc3b9f799232ac6f56396823189a0c,,False,False,,,,,,False
20,refs/heads/master,c3143da45afe4fb5fdef918c5aa5482c98e4a117,73bbe52d1ac7951bdae836779a37e34869d77aeb,0409e76b9525627730efa039d02c562ff4e7f8b4,,False,False,,,,,,False
22,refs/heads/master,db2424b3dceaa5f37f905a723a1b1d97a1a86b26,5b7e09d9046a144543d7ce39b8c5da735566db71,fcf4d2df9d283d0446d54b1c85e8e9ea7fcf237d,,False,False,,,,,,False
23,refs/heads/master,5b7e09d9046a144543d7ce39b8c5da735566db71,b193b3882da4d7cfd2b6fc7f80f2d0f084560ccd,018e6b8023dbc33b87cb59c6ddcacbff81f606db,,False,False,,,,,,False
24,refs/heads/master,b193b3882da4d7cfd2b6fc7f80f2d0f084560ccd,88b2b6d185b9ee93b2bd6772d2403777a5a97a33,03d3219a2c756d0b1846b17c0053b27b308c30c8,,False,False,,,,,,False
25,refs/heads/master,88b2b6d185b9ee93b2bd6772d2403777a5a97a33,c19a2ddd364f1f37713206e70ebb5a73c3c1a0e0,3dae827bc5bff44015d7a46077bd1f969c9c6b0c,,False,False,,,,,,False
26,refs/heads/master,03d3219a2c756d0b1846b17c0053b27b308c30c8,3dae827bc5bff44015d7a46077bd1f969c9c6b0c,402bdf9924e44437dfb23f710aa5464741df8025,,False,False,,,,,,False
27,refs/heads/master,c19a2ddd364f1f37713206e70ebb5a73c3c1a0e0,47bd83cb3e569a5091e70089dd7a6663f6c8d879,85c86abf05f042a01a9423662739a67beddebf4f,,False,False,,,,,,False
32,refs/heads/master,3b42bd401bab51832d7613aa2b9a630d92e7e083,5afaa9a6e87c9ec7c237478fefc247a98d91d254,536bfb46a0e9635f1fcdd1cd91c1759dce62ebbe,,False,False,,,,,,False
34,refs/heads/master,f4fe5c00c167c899cca5c510db55f989b1d64c8d,6d96abeb158f759c410d778bfb104746a126b37a,1c8430dde5e95fbe1937a67e7f5655e97f03692f,,False,False,,,,,,False
37,refs/heads/master,d873986f3ff5f80f684ef7ffc890a73626bd9642,16474a7329bd5d0e6be9ccf5a470e54d217f5de9,4f07ceeb581cf55ad549b2f73facbc3d22d44861,,False,False,,,,,,False
40,refs/heads/master,88c1e67e681a2103a3cdb546b9ae0fd5bc27aea3,e2b21e903dca787850cf8f02e731a8f434c004ee,7735c62340a465eff6bfe0c2341c5d91b9c17b71,,False,False,,,,,,False
42,refs/remotes/origin/category-ccc,2d1dafd4ae1f9129e3178ecce790b0a78aa4f9a2,ba1297412c6b66798f40b0be82f319443746c0b0,0a8d7a98c317a9a050eeeebcbddf5721d1f68dd1,,False,False,,,,,,False
43,refs/remotes/origin/category-ccc,ba1297412c6b66798f40b0be82f319443746c0b0,35003e1aed89aaea26869057d29e1da7298201d7,bea582d645ee3ce82609e4992671c11146ccc29e,,False,False,,,,,,False
46,refs/remotes/origin/pull/8,e70e66b510d7fb7688d4eb28e95cd849eb9c5d25,de41c93b7f42edab197f3d2340decadbed8cb169,406782a999f12f9de206a1e9779d2777be400fe9,,False,False,,,,,,False
47,refs/remotes/origin/pull/8,de41c93b7f42edab197f3d2340decadbed8cb169,076acc034e8a344495cdf861326148bd185f16f7,070b8f2106c58c45da2848ff9b1727063ff07dc4,,False,False,,,,,,False
