idx,branch_name,merge,left,right,notes,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,diff_size,diff_contains_java_file,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass,test merge
1,refs/heads/2.17,7cfe2d0a591ade8cf88b7dbfcafb376868905c4e,a30d096d5a8caae1d08538a8b6f86813b3dbe77e,524b426a9bb0b96e77954a9ffa978e6c7bd38b5c,,False,,,34,False,,,,,,False
2,refs/heads/2.17,8cf63ac48d4be867d7b367bba2e5114d7df9a0be,80b6a67728a81c147cbc8cd226a1209f139fbc5e,608b5e6ae75661a44b70b221ea5b1d571dea437c,,False,,,69,False,,,,,,False
4,refs/heads/2.17,25b9f09c4d22f7ed1fb896f7a17037de5f85d255,0a558a2b2dd67de8cfbd48af85ec9c411fc884c0,872c957e100c9bf3eb6896f63069642756592cb1,,False,,,18,False,,,,,,False
5,refs/heads/2.17,0a558a2b2dd67de8cfbd48af85ec9c411fc884c0,73dc94a62cc619101edce7a123c0ec815854612a,5e52872a32d1e2a2a9e15950295d276df372b4d0,,False,,,18,False,,,,,,False
6,refs/heads/2.17,73dc94a62cc619101edce7a123c0ec815854612a,5052026d356abddd6ac818c5653fa638980b9646,229745062918781554df7ae60c4b20255ca53104,,False,,,12,False,,,,,,False
7,refs/heads/2.17,229745062918781554df7ae60c4b20255ca53104,135860dd781f87120c38879ddcfb9597a4b7a9b6,26609412031858e037726fbd9147aa16dbc59735,,False,,,19,False,,,,,,False
8,refs/heads/2.17,5187bcf6b2d6d460056de7b98ac47de9d95cdefe,36fd54dfed22dcc17fb7adc0e968fd28aa545755,272a30a21b09a845da61c2b780a8293e7a714aae,,False,,,23,False,,,,,,False
10,refs/heads/2.17,36fd54dfed22dcc17fb7adc0e968fd28aa545755,5ef121f116339ad1614d222461389d93c37fa08a,105290164bb27348c9329f50348c5be141818818,,False,,,24,False,,,,,,False
11,refs/heads/2.17,105290164bb27348c9329f50348c5be141818818,ac90b05fb7ac1536a521132e800cadb3f01727c9,cfea01dba6a49680004a322c2ab48a7f48ffa138,,False,9f004532592169b502e7e7b6bbeff65b20382f3a8258c0b67db10cde31557b43,2093927b6983f188d0162f7ce873ed4c3dcf45d668a3522b4d152c28a9d22a24,50,True,Tests_failed,0.0,Tests_passed,0.0,False,False
12,refs/heads/2.17,cfea01dba6a49680004a322c2ab48a7f48ffa138,f8d4e5c38c8fd8d8de0e711f7330570e6842692d,93e538f1cfa1334ae434a48d47ee47ed22fbb75e,,False,528e6456456eee5457a814b93b9defa6347ef5a23be010c67bcc3f1b75e11043,1b569eb78e362dc356bee15593b63ed03bf4a88c7e3ea417b40a205f5ce0822d,481,True,Tests_failed,0.0,Tests_failed,0.0,False,False
13,refs/heads/2.17,5ef121f116339ad1614d222461389d93c37fa08a,df7a3f091df7fb52a897b69854eb0a7847b2f4f5,ac90b05fb7ac1536a521132e800cadb3f01727c9,,False,,,23,False,,,,,,False
14,refs/heads/2.17,df7a3f091df7fb52a897b69854eb0a7847b2f4f5,7c1eeab9274b56e568e6b2c346de05135c4db6d0,00b7e93dd0c7062955189a3883f23f57bf440de5,,False,,,18,False,,,,,,False
15,refs/heads/2.17,7c1eeab9274b56e568e6b2c346de05135c4db6d0,4e87d6d7dc14bc9960bae6e677de583cffecbcb1,81c5775083eaa14618af97086ee4202185ad30f6,,False,,,18,False,,,,,,False
16,refs/heads/2.17,400cc39a697052f946d7df9f687a90d17d77e9dd,422840483e5814101f3aeebcbfd166af1da80ad5,7ebf9c309d62cc977ff6910c616843ba8fad410e,,False,dd8a470f6a6d5e5574607c84d782a9d01fc851bb64c29fb40b7f603160ecf9ef,dbf24358aefca0accf97085d561d08481ccb9a7551e792bc94775e66827dd0e7,53,True,Tests_failed,0.0,Tests_failed,0.0,False,False
18,refs/heads/2.17,422840483e5814101f3aeebcbfd166af1da80ad5,c5297a911ae14cdef25c2b654711860dba849792,fb59f43198e6977d36258af61c7e53986ae407e0,,False,0ecc727ef63363fea9018f31df6b117ab720975f8c4a22e6b297259b1383e4e4,47f23325c37c2ce425723c0d35345e542691d961c766bccac1c1d27caa833ef6,44,True,Tests_failed,0.0,Tests_failed,0.0,False,False
20,refs/heads/2.17,037002f693245d692910bd4d9ebe0bc34b027a2c,554c9910a57b344a89a7a292e86d4ab07177e2ed,8b977af1c507ec99e5cc3a03155e424d8a22ba6d,,False,7f7bc95d4cfc00d2847db7bb944c64df5bacd11d0c401b789758107b0cf88d1b,50cfe5a80c4ef3e411a7f44c349b873faeee9814ef6afdde7d49001a36dcaa94,37,True,Tests_failed,0.0,Tests_failed,0.0,False,False
21,refs/heads/2.17,8b977af1c507ec99e5cc3a03155e424d8a22ba6d,e12bae79e41ded9379046b0f2f552007f537db28,5a39103dca57ab273f99244a130b5f796a288ca2,,False,5675ca32b41d723777678996fc82a2d846f60c161601182cf51d20bcd50dedfe,1fd97a89a42e7df6e576cf31e7806eceae061f51d0e5579fbfffe1e0b144f0c4,474,True,Tests_failed,0.0,Tests_failed,0.0,False,False
22,refs/heads/2.17,554c9910a57b344a89a7a292e86d4ab07177e2ed,6bba8152f66e132ba83da8771dac0975a3cf2330,e12bae79e41ded9379046b0f2f552007f537db28,,False,7f7bc95d4cfc00d2847db7bb944c64df5bacd11d0c401b789758107b0cf88d1b,5675ca32b41d723777678996fc82a2d846f60c161601182cf51d20bcd50dedfe,66,True,Tests_failed,0.0,Tests_failed,0.0,False,False
23,refs/heads/2.17,6bba8152f66e132ba83da8771dac0975a3cf2330,63adcece0014b64c9c90cb798cf3964502339e78,869927be5f5b9559966e06af2d9094a3382f9807,,False,ac4a775d2c2d76a57ee6916fefde5c22469f20f81ada91ccd4803728f70e3b7d,5675ca32b41d723777678996fc82a2d846f60c161601182cf51d20bcd50dedfe,34,True,Tests_failed,0.0,Tests_failed,0.0,False,False
24,refs/heads/2.17,7d7c0d368bb7c4d245a0dcfcafb97349a890f4c9,a24c9603c27e861c72fa3a583911b10d06b8233c,e29c87d5197506fc5ff6e4e73801ac67600d0f9b,,False,adb18f2693ebe65094b3e2cdb50bcbea6689a28e8b351d8e006181df55e63d69,22d3f584ee1eef97e16cd9bdb450ca95238cb5cb1bd234e49d924b437610cb95,17,True,Tests_failed,0.0,Tests_passed,0.0,False,False
26,refs/heads/2.17,cdb8e46c10fa3acf36b5de4c4a3587c0ca9ca90c,a8d6988bb1e461d4dd2656e88847627b88495d74,1c5de340a940c283976e07c24bfe25720aa16128,,False,,,18,False,,,,,,False
27,refs/heads/2.17,27d31539557edbbd5c2c78c749faaa3d80b510ab,331924dbc13c2ca0bd772fc466657f720b5c6e9c,d27b3a63909aef3262cc9ffb9e55ef66da07bcdd,,False,ed17652533500520a3cda0e2861e75c099c68f92d668854f58614af3e950bfa1,5479c0b7cce7aed2f980fdb286dc1a1da6cda5852c133e4098e916415d60bc54,474,True,Tests_failed,0.0,Tests_failed,0.0,False,False
28,refs/heads/2.17,a8d6988bb1e461d4dd2656e88847627b88495d74,de373c2d0940dd300da25eee25a9eea87912936b,331924dbc13c2ca0bd772fc466657f720b5c6e9c,,False,,,11,False,,,,,,False
