idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing
1,refs/heads/master,bbe4e76330dee1c03d9cda576b9c37becb1f23a8,3effffcd111f909f8e3bd65d1f4f475aabeb4ebc,92422b1514b161e5bc20cb7931a4bb13b1efd2b5,,c361708a117a1d697a638c47e73fe2ebb52ee263117168de0e5bc765889fcc19,Tests_passed,aba4787dda9dc8ec4f81374475a0082621e95b76cc76b1addc9560b8103ff825,Tests_passed,True,True,True,True
2,refs/heads/master,0f168c8f5d62be15cb14db5c76c9be476fed2059,662e90719eb2e708ef46f7783da5c5f62fc9ebfd,4cbd8c0c6297b6939b97342e01aaf309336d4816,,62e499a1d624011c43c86f9bd8b24d1661162f9b39f7cecac821fb047a908664,Tests_passed,e73cb40b288cd6e43f444c01ee71e162451d907e8c6e337d490ecdb872255c1f,Tests_passed,True,True,True,True
3,refs/heads/master,05cd5c83b4c0db1c1364b07e11159fe79eeba35e,8b9fa289c56a3688db4ccc56acc749eedef9e628,8da5b34880704c96eaa885491d538434c2966a32,,e529748c7857561f2a9dc8a227afa020afc039c2ba3188910725200b8cd3ac82,Tests_passed,46222d19dbc8902c39ce12e3f68f070cb3eae56b37357ba3e0cbdf9e0d70b32d,Tests_passed,True,True,True,True
5,refs/heads/master,cf754766cc0776745ea9bb9bd7fd5d18d58f67ce,bda2f9b194e7b5e0d1f001e1aaf951504f96f1c9,3f73cf73874dca6b827382c13078890bd0dd86c7,,2550d26473506dbecde5f79aff09f9a9d20b1391b6d9b7694137abca35877ea8,Tests_passed,cffbc0103e9800c62680ebd96f61171caeda23facbf7f4ad829dd781ad855458,Tests_passed,True,True,True,True
6,refs/heads/master,f58cdff8be59bd5463569d471f3dd7279cc6bc09,c00f3abdc0bc39b566a708c1c0d6608f210487da,82b6e5719a33da5bb380b51a7b3b7c956a4d5408,,,,,,,False,False,False
7,refs/heads/master,6d1811559afa966e508891b1152a56bff5f96286,3574249f710abf39c1f984b061f30ec4524c27fb,72ba67db5c7d4760e13e2672235bfcfed90cd5c6,,9290025e62817ce0100a57723eb258e67b2cadd522ab2d339d9741278e876e3f,Tests_failed,b74995126e88b8fcf93d86f983c07e1fe4434ea1d68f7f0217e10dfc00eccc37,Tests_passed,False,True,False,False
8,refs/heads/master,995682f9a5eb911a9686ac6117ce7d6f47d9d4d8,e6d837c193c3fa80dce92c79d6a6195c69e1d2e3,7a81b2ceb5efcb95f72fd37e503e2f608d3c7220,,aa49ff58944713acc8e6c2abe1287b36c282bc2450a57265540c8f4fbda8ddbf,Tests_failed,0b0080613aa7399ac704ed187fd7f59e17dfd3ec51bb1d10c57108fb9858337b,Tests_passed,False,True,False,False
9,refs/heads/master,5897cf1aeb50f332f807799f17be97dc7f19502d,9fc3cf4203452e9e670c6c7aa382547f869cb618,5f01e88f1aeda70c74e4c7e62b15fad62127ddea,,bee386999127296e7a4e2e83f591fc65dcbcfe9fd78c9eff14726f8bc1504708,Tests_failed,902ad8e46719e6fc124d7cc7abe7694b36a1d564782de822aeb2635d0b6d04f1,Tests_passed,False,True,False,False
11,refs/heads/master,2d489c48690d04365b85d4c562fe66fb4e3873da,96fd3932102ca0da331a9dae772c16d34b6d1d68,e7f0e22c2f8d6ac94ac79a566e57512e7210a627,,1c6ba7d839d73606bc803a39e6942f8c94f23bd887288e2c4ba3163f8e0093b1,Tests_failed,ce295e9fdf8e6f3dc89eea28d43c121bc651b170a829d2d946c526b90fc921fc,Tests_passed,False,True,False,False
13,refs/heads/master,24c2bced52ae14d14ea3a636cae5656d5a33be41,1d6ccbcee33686b4bfb5a9ef9ca67ccce09ed4b0,44e81ebb6a385d262272aa341a914119f5d68e82,,591fb67cf4f985d60e8e111f533f474faf563ef5c07e95e2a58983c43080c637,Tests_passed,a6ab27e5f94fed48a25b2a5d29b55b55962bce4d1bde5f2537db4c5a3bedb106,Tests_failed,False,True,False,False
