idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,sampled for testing,test merge
1,refs/heads/trunk,7f954514298f76afff8a75723bc25205bfe30d1b,66395c1c84f66ed613bfbe5768f80002625cf889,f81ffe2990f815b0eedbbe157412734671c53f06,,False,8,0,Tests_passed,746e5d119f83784ac64250c87b3080d68283f377424c1791dc90c0b99ce992a3,True,0,Tests_passed,88f9d557c99cef015bfbb87b762e0c9c8e845b19dc190c189edf3427f45aa04f,False,False
3,refs/heads/trunk,b6f64206cf58b0fba150a0707f2d62b07bfb3ad4,0ba3d4bb3b08e9ddfc535716cb9cf6ac5182258d,9e8db2578582148b6e4c8798c8fca8700e59ec1a,,False,1980,0,Tests_passed,defa5aa9a161eb36e02c9a9ffb7450b9c0c7cb72c0a5384a49700a6d46df527c,True,0,Tests_passed,601f31503267d917d06c5eb36a8b2b9328ac4a5dbf654060c363f0ef1f238633,False,False
4,refs/heads/trunk,7b9bd9989473878c09c282a9563a9f92fe088224,f3abc0719c485f31807ef315a69d5bd35aac1a44,a7935be879c88090888c6d809e17f6a7f8b9dfee,,False,9,0,Tests_passed,4b4cad9da87d203fd34a83b455778ff3a34625092bd04f68b6109e510c9151d8,True,0,Tests_passed,318e38f034878774428db57d22e6de6e3c8483ab2b2d9eca54086a6f884ce561,False,False
5,refs/heads/trunk,f3abc0719c485f31807ef315a69d5bd35aac1a44,555bb2affc4287fdddf94187ed32316681ef6873,09ffcf9e377e6b8d9563597181273f9bfb8d9355,,False,5,0,Tests_passed,90e6d948eebbb50288fac97eb224e0ad9f92bf7b37886dacb19ea0895eb9dff8,True,0,Tests_passed,21bb42509ff894d7e7e86a174a49f15955ea7171462f685bfad7fe2cac235ba1,False,False
6,refs/heads/trunk,97242682eae8013625be47c8c513432d99ed305b,3d692feb91e6438feed318bcfd0550f1cedad290,4f3f972165b6407adc775b763649ae1b7ddceb4b,,True,80,0,Tests_passed,600c3c40d5a655bc1d04abe0244a7d75ee41728152a9d319f59e9fcaa941f6e9,True,0,Tests_passed,b2d8f8478caeb7907d7b7843ad009c33d341e9646cc9b4b8b8f8c609795812e1,True,True
7,refs/heads/trunk,3d692feb91e6438feed318bcfd0550f1cedad290,6e0cfbe7cebe1fa1bc6246a05e1904114eee6710,ce5196f6fa75aac8db0d3f0e7cae60fdd4720ff0,,True,128,0,Tests_passed,f9eb43370a0f4c6c5d72203cb0012bcbfc143e1e0879943e5f19c1f619f07993,True,0,Tests_passed,7f4af6fa2acdda611b67b9a9ca0ff14e7129328b70ec0bdb87549ac1ff7435a1,True,True
11,refs/heads/trunk,d3bb3a12484f96c3ac85f76295af9d3ec0533a77,6f3a89c358cdf7ce00ee6695bc1a7093801fc665,d952b7fa5f0ac69ca7586ba75087f462bef54a70,,False,14,0,Tests_failed,06b47da733595e6efbeb2e465aa34704108457d5154f3282c68f232e3f04dc1b,False,0,Tests_passed,96449654fc13c0484e7310738ae175d0a2c8a3a4e897d1e924ebbbadd480eb9e,False,False
12,refs/heads/trunk,6f3a89c358cdf7ce00ee6695bc1a7093801fc665,35a59077930474881816d2efe5ea9a873cd857bf,aaf392eb4c3ccb68bd870883f8f4ec540d1252a8,,False,3,0,Tests_failed,90e3b1e2eebd1b435df5385b4c9037da9ab5ae3eeb834c07c9c91a5af4c42e55,False,0,Tests_failed,06b47da733595e6efbeb2e465aa34704108457d5154f3282c68f232e3f04dc1b,False,False
15,refs/heads/trunk,4e452fdc0e37db5cf1e7f48b2d885781c955354c,a862db4d3fb552cfbfef5c3521220f6de8616530,971b1b715509bdbbb3bb7b52a6ea06fb6c152e1d,,False,11,0,Tests_passed,5bee84460981563d731eb012b491e9cc203bb8c3102448c6b2ad9fc5aae24640,True,0,Tests_passed,c5dfec434173020da2a1f79f88c5d22b5c51f0ff9d95baee04d0684fb447d9f7,False,False
18,refs/heads/trunk,ac1dccba4aa865a2de36b841c2087609ff15794e,38f0b8839049d7d413a2de2b94c1b279bebe383f,28eb0f10afbeb1ffbc169856b578762f23ad0057,,False,409,0,Tests_passed,3c9c5b3e022243f28126c3b14050ce37021bc35b352e00a92c29fcfc3a92c9d6,True,0,Tests_passed,aec93f1686aaf256015b984dd2c62d616812869c18315f6bf6bf4f3d682eaccc,False,False
