idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,test merge
2,refs/heads/main,242ef4da2098cfc434756c71a41e1b0df8ec925e,db2e094778e85d97f0eebf9a40875387fee41006,34d42fafccd7f6251bc6f9d8304f55265e7d75db,,True,1765,0,Tests_failed,769d8a3567233b22c0364c887bedda692dee2718a620c13dcd0f5176775b5bc9,False,0,Tests_failed,1951c240511fdbd0a0d89caf69f2566ef5b9e1ae3b4760e4444543d89e84c148,False
6,refs/heads/main,26a4d14df9b552e9dc365a72af8dd2e353de5a0b,bba37cb4b80bd2ff7dd8baae53fc96f6cd4a3e43,b62d8924058b9df8d247e01c548aa2caea1b6e71,,True,256,0,Tests_timedout,c0504de7d97d27293b3300d9e3a2505b93b9c977b6b61b16e5146770d8a46528,False,0,Tests_failed,91b0fbd10987cc2a38594d03cd59f6dc4c516f23e9c13df337b7e470aa18ccde,False
9,refs/heads/main,6344b0f60e7e1d8c4a578dfcc2e8d608b9de7b76,5974af5c379c34af4f98263fafd2d67f310b5910,70567d1f5368c31b1b8258a23fa60a7e9fb01327,,True,1255,0,Tests_timedout,7fe11b6b950a4d9132c6f050c153e7a27995f8128516b94dd6c45f7169cf55eb,False,0,Tests_failed,1951c240511fdbd0a0d89caf69f2566ef5b9e1ae3b4760e4444543d89e84c148,False
11,refs/heads/main,8f84d60ebe59251545ee5f5906d92694a92a13e1,5f7c9dc6c25d3ef2330c291f4209e0607f1dd8c2,a74fd10b9f91d657e19d7742f63705fad3660033,,False,185,0,Tests_passed,0d6ee425712879559f84eb217dea961c7bcb320c5948dd4b9eedc743e50c4d92,False,0,Tests_failed,637294a7867fa3bdfb4ab445c1c204dc1729d6425f0798c5f6b960d75ab7f19e,False
13,refs/heads/main,9586304fb748d14a8651c90e5c9eb88314905729,2545fade78d721a3ddb35f73d9f999523aaf08ef,216c2f8667a822780a7f9f5a2e71691d58ec9446,,False,263,0,Tests_failed,73e7376eb0e3f3ef8390f2893f6bd422df91187cd407ebfb2e8837f046dac66c,False,0,Tests_failed,b304456dd2660b43be8e84cf14554801eea42f2cc0b1f1cfe78352d97f26e0a9,False
15,refs/heads/main,5ef6ae934109e97ae349bdf9cee69d2fcaf86d6d,13d18001fd48bbf1deb544792e431fdcba442ead,2ff09533e356ddd58a17d540ca062d62cd4127df,,False,11,0,Tests_failed,0bb9d605598851a2471b4f8385d7861c45be68dde898cd4de6642d6354ee34cc,False,0,Tests_failed,0817abff6b49b248d1a7c5c15d4ff6705dd0f6a11d4dc7aa833a8f2e42892063,False
16,refs/heads/main,5974af5c379c34af4f98263fafd2d67f310b5910,ac7bc66cd687ac88a96fc7bc8493cd440bcc6c08,2ff09533e356ddd58a17d540ca062d62cd4127df,,False,54,0,Tests_failed,261feeb0ba0aca6420889f05aae6a24f4869041cce98bd4c9edb1ea18cbe2391,False,0,Tests_failed,0817abff6b49b248d1a7c5c15d4ff6705dd0f6a11d4dc7aa833a8f2e42892063,False
17,refs/heads/main,04e54735424ba1634ccf719b3e5d65dc71e13cfd,4c8de6e2c3d9f1c922fe965f0098f2dc85474bbe,2ff09533e356ddd58a17d540ca062d62cd4127df,,False,161,0,Tests_timedout,24a46fbd4d2d8d9fbe2049102203e353528a719de56bf87b9386130d89ccec97,False,0,Tests_failed,0817abff6b49b248d1a7c5c15d4ff6705dd0f6a11d4dc7aa833a8f2e42892063,False
32,refs/heads/main,8ba413176f45159066ac5e494b4dfc9614589d7d,ae325a0e772188e94f235fa1223863ebf8fd89f6,3b735478bd8f02ea2af6cef7314ed45623176252,,False,72,0,Tests_failed,5146194bffe01c27461dede9d9aaaad13193ced1b70f81eb642830e1600c03f0,False,0,Tests_failed,10c543b9918fbae8cd952fc7e0899d0c43f3b72c608cc5a2a2fe009337a89c82,False
37,refs/heads/main,94158107b756c4e8c817f96611ac69f730be0056,dd7ed979b71537ab8eb44a95c8c38b3919a6d52f,007225657d5983dc9abd5c6672ffcd9ffc866ba8,,False,7,0,Tests_failed,28a95826a6572203ca1669271001f97d86be499ee5853efafe62f46c5264090f,False,0,Tests_failed,14798be86b95f04b5cbadf17f64b87131cfe9c052cd5dff555d485bbed53cc5e,False
40,refs/heads/main,a48987be8117156f7e59393a3a2faaa01dc7f523,511f739d1279c7579dbe6d49f17b5bea71f5331c,59007888b1f84f6b9387574e078021b8a2dd3f79,,True,239,0,Tests_failed,fdbf6ef1ac70ca6c0d28f73648d90f71bb18ec03734505f85927f4112c21ecfa,False,0,Tests_passed,3c0329dbbe456f540ac694441899b1413c26a36b63e7adc8a2d9b595a844a530,False
43,refs/heads/main,da8c315f0de4e754b89cad6f712a3f7525e27be5,2e5abccee796d3f3cdfd28f99b1351351f5ea879,535c1c63e1b22b7408f874274a2dfe07e0899461,,False,365,0,Tests_timedout,1e07390e50de908754eeb70291902cb8b214d0c7a8220329676ce0875aa2822d,False,0,Tests_timedout,a39a44e1eec7fe0634d5ac90085ff00b12c5407e2e72f1e7cdab5518c8eac7bf,False
46,refs/heads/main,99f1e44940208249f0f5db292e91ca4949a42639,bcc05c79ebd861bdc8b0b2f5bfe7d74090981fe4,ae9b9f7b7055d5763ea6e63774f03e97ec73a37c,,True,399,0,Tests_failed,b2fbddc47c6f49475eb69ad4fd7552c366ec05bbe1b0f748a19d47a84dca8f1e,False,0,Tests_passed,9e82002903d14542445abc34f0c0c792dc0cafe11e6a09688dc884af4a7b1630,False
48,refs/heads/main,0565488f68b9766ff44683fe4642d4608a275d5a,0682f24b30167d68226603111a1024e46dc13a2d,36e43d9b6bb3892bb61ea16647aeeef29fad79cc,,True,247,0,Tests_passed,2e8e904fcae277b98444a00e6af9ed8156030f1e6b58bce7d7ce566198d38afa,True,0,Tests_passed,47ef8e1a9b1f08dfaabc672ff948ed94f2212fda18dc617b7d9b2f3d41b627a6,True
53,refs/heads/main,71309ea062124e8d7678c914bec6df8ee17dba3d,6698bd4a1f76485a611645e1c711dc7a90f5daa6,0a98090805feb22fc325fc92a356a2d85c2925b7,,True,553,0,Tests_timedout,16b620e45218bea345153421ea0742022936c6cd3cbbe4d1c5c2348027e4ac18,False,0,Tests_timedout,7dfc4475157593260496a1262513c49d27902ad7533358fb5fd7b1466f13faaa,False
55,refs/heads/main,eeb87a06b6622a9fcca6a665262c9677f633f511,072d52d8f30de2acf9a480d8f402f86ec5d86e48,78bb496abdeac3c9ec21e3e2539c9674bf3bd5f0,,False,60,0,Tests_timedout,8656401772721ef839aaa655dcf118aa7de568b12be82d0248fda501dc57a9a5,False,0,Tests_timedout,ad72d71bf1abb0045c850aaeeec17e8eb8df4385d585c43a4d2b503523b805a6,False
60,refs/heads/main,4661f06a3d93a165495b23e1d0af679ab637eef9,29a34498557c4458a605a13665893ba45b825ace,f1d3ab164bfd753bbabbd9ab39ffef4f8c481cc4,,True,327,0,Tests_failed,99cc670f10eecc9379109884917d85bbed6c9ff34d7a54da66faf6d3f8296b3c,False,0,Tests_failed,f7eb18e3d08842f083c9c4529d8a3135997fe54861d42713cba547d92651139d,False
62,refs/heads/main,7b1350399958d100438d40771d9f5aa626fcaf13,2da28707bf24a3a39b8c4dd2ce6a1c8ba3af9d60,50a7e46b8f32c8c4e832a303e5db0b8d9dd646b0,,False,2,0,Tests_failed,6240381c562e875b096dca6fba16d993e76d3933b6e55d6c7a8debb54c9566d8,False,0,Tests_failed,6240381c562e875b096dca6fba16d993e76d3933b6e55d6c7a8debb54c9566d8,False
63,refs/heads/main,2da28707bf24a3a39b8c4dd2ce6a1c8ba3af9d60,52f011e2679d698cdbcf739f831c0556dfc51d95,366ca65c3ec6da65b325967a7c0e4e07c5393183,,True,69,0,Tests_failed,b1a965ad341db491c44667f1436226b88bad6f1833775f155c2ddd32303b3e27,False,0,Tests_failed,c69ca8b04d9e316ab53d738fbf24f437563cb2b6d739e7c2deff4617bcfe425b,False
64,refs/heads/main,50a7e46b8f32c8c4e832a303e5db0b8d9dd646b0,52f011e2679d698cdbcf739f831c0556dfc51d95,366ca65c3ec6da65b325967a7c0e4e07c5393183,,True,69,0,Tests_failed,b1a965ad341db491c44667f1436226b88bad6f1833775f155c2ddd32303b3e27,False,0,Tests_failed,c69ca8b04d9e316ab53d738fbf24f437563cb2b6d739e7c2deff4617bcfe425b,False
