idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing
1,refs/heads/master,a25894db367bc8b2535e76fb4e7a89701bcaddb2,b2b218a3f9a0be144df67205e13d605bfdd5a209,c9a16bd6ce9a19a0f161b3c9e3b71ee13411e841,,,,,,,False,False,False
3,refs/heads/master,88940f87d2f3a9038677bec2901407a62ac6a1cd,0e9dda80e7c90429a6c7eb37bd478a7ddc904e7e,7cd4df3b704e17f231487857b330f3003e0357af,,,,,,,False,False,False
4,refs/heads/master,0e9dda80e7c90429a6c7eb37bd478a7ddc904e7e,ca23e5738057f5d3f7679f6be76b448b3ab5fe0b,6e618774fd642132ccbb4ec2b645ebff9dc9a1ab,,2b05625f5c1480717210ce0e0bd9d5c8cada59055340e576a16a9c38e5eb83f8,Tests_failed,b261e3374a9daf6b41ac0a0c0429701f0de582000b7c51c1219b5bdcd43b542a,Tests_failed,False,True,False,False
7,refs/heads/master,37d3b1dbd2cac8c9e6ece19e82345d61a2af721c,e0e50b245eb3edfb7ff618c4e1f55087f03884cc,d334f2faed91c662b1dd1735cb9671faf834a691,,bc76ed69f983e99a8ec946bedc7caf244d5dbebe491bca93142575db462885e3,Tests_passed,475b5c8725c70ac29fcb8c4dd6b4880e7df1afb4e872afc64453b6ead86a665e,Tests_passed,True,True,True,True
8,refs/heads/master,e0e50b245eb3edfb7ff618c4e1f55087f03884cc,8bcd67e3a9bcd6c35b34fcdeccf9674419d6a106,40210b906f46f4b548dfc22a8878f57d8c193ebd,,e971bebec005f71db145a255c992e77b1b0cd20783a2387808f5fef60a67eaa9,Tests_passed,bc76ed69f983e99a8ec946bedc7caf244d5dbebe491bca93142575db462885e3,Tests_passed,True,True,True,True
10,refs/heads/master,f9e908c1bb0aeee99c390de2f0a47ae11fe83b7a,1bef15d9c1f7353f5b0a9468f7f40f5677cfafc7,0d6aa1e1d8826e2033771b88b4ef12bfbd61efbb,,721d3d7c4c19d15641d337c22f1ec433386c8c65692c15ca3817ec804ef42d66,Tests_passed,51f5185da67ce77be9c9902f3fea5dc9b86ef4bf909c83de0305a443b361ab44,Tests_passed,True,True,True,True
18,refs/heads/master,143fbc91db93fa38c442809de8d9e708ab9cec15,4381af6344a34eb9d80cfd6bd240bd705378bb49,03b1c8b0b5d754dec8045de19914bbbdbb2c72d6,,41014b43cd20791300aef5e28d331d037839d86cd3779617a172c06bd5121495,Tests_passed,d6ecb107a68eebf0b7b1f8bdd4408ed50d4d15163546ed28524785c22441be59,Tests_passed,True,True,True,True
19,refs/heads/master,53b1dbd0dfb378916253ef97a4948ace9191932e,746b38b237f7ad3a71ada28b3e65f670eeb5e320,15cf055833de83d484e5b9fada04cc2a2b7446c7,two initial commits,063afffb70bd7bc7dcc5222ffbd99062c5e3a820aaef6998a497e789775410d1,Tests_failed,6f3fc4cdca86433994c71c037eaa82eca99d1dadb75a084a75a7c8610a19e5c5,Tests_passed,False,True,False,False
20,refs/heads/master,746b38b237f7ad3a71ada28b3e65f670eeb5e320,5153a998cb74a75d5a37174c4ff4d14c73afe325,724f9dd6c10e83e20dbf337ebcf1492b2de47a1c,two initial commits,3380f7028f9d27aaee3e23b24aae5a391ba19f0ef7f0d40b01b0985cf526fcbb,Tests_passed,6e91b540f5d61599393e56a770fb3f84c6b06dbbb715cf169ac58b8cfd9350c9,Tests_failed,False,True,False,False
22,refs/heads/master,af451fac2e1dc616ebe28af928b05b96de30eb3f,8d5925e50f21b08d74d08f9d419f7913cf306968,bf426731f369dd338e44501ddb1628a4fed3ba3f,,1df6a4d120260c3f641f27e27e6fdecb554bcf580fb26e694dcfaf4090c81efe,Tests_passed,b6b825a8661e6ca2f4f87b1135ffde3f04267d3ce82ea6f7464e27fab0011844,Tests_passed,True,True,True,True
23,refs/heads/master,3999072ba8ae7e5c51a5620baacf1611c27f6a0b,866a8fc0179f55821dfb9dd4569e3bf863c541e0,be7273680c415e0ea68d6dbf223ad29174951fb0,,a4fca68c7a0cf9cd028c4d748032cc239c20d5e481d607937a2b8271b7cca10c,Tests_passed,f43766fddce793bc6d1dcbd1435253c8d361b9dac10bdb3c8b7113d4bb31ef58,Tests_passed,True,True,True,True
24,refs/heads/master,55b5e34fcfd0d558f1f80c066e7f6c65dec829de,e958b18239f365882df619407d31f05c8d48f411,8752dad01640e17b66f63453c4c78c416f9550a9,,a8f47550d903d296e76d44f0bf0789c34ca243c0e4055f621c17550696b653e4,Tests_failed,0311eae21e5bfa6747e0a89aee19b14f187d23661b9894363dbbd5b7ab359fbc,Tests_passed,False,True,False,False
25,refs/heads/master,e958b18239f365882df619407d31f05c8d48f411,253e4129bd32ab709b30b4e8c1ebabf1f28f6452,5d60788f4f761eba8ab2f4cc33e713ffab3037ad,,66a659a1eaf2174f01082dcd09a7edc80abff8af266a38f2eb07dde0a1ada141,Tests_failed,6275db5282c8ff1ebbe2af2c20e58b82c5055c51d0669b51a4f5f0238492954f,Tests_passed,False,True,False,False
26,refs/heads/master,253e4129bd32ab709b30b4e8c1ebabf1f28f6452,cef25fe5a18aa80fcd7825e43927d95136ca8fc1,30da2d991a8b98fe01b60946d0702c442e151e76,,15eaa15823191dc69383980dc6267dde1d106a03ec8d2a72ab849ef6da6ec867,Tests_passed,c45f834a615dc116cd784127efdcd4de080a89c7e6a2e0d4f93de94a967e0eee,Tests_failed,False,True,False,False
27,refs/heads/master,cef25fe5a18aa80fcd7825e43927d95136ca8fc1,e4cc3d8380d3b665929ad095626591eb819d172a,f98dc56c4b836bf79eb80cc950b6a25c3fabe4cc,,97b21d07a7694a5807806ad26f81f8bcf2985ade114c3b4df7c068c461b83fdc,Tests_passed,6fe31cf04d56352c8c61d4c2bc7382e45b2279cc92eabc6d2e49f96591328c20,Tests_passed,True,True,True,True
