idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,left parent test coverage,right_tree_fingerprint,right parent test result,right parent test coverage,parents pass,diff contains java file,test merge,sampled for testing
4,refs/heads/master,66475e4f52de2c30b8104ed46b63232d0737355f,f915bbe75154dbd7dc2b414878933ca2986aac97,6bdc32ef014fe9477fd2bfa47467af625ea68777,,,,,,,,,False,False,False
6,refs/heads/master,d82c5ac12f7310d48ed61f0a17dac4d20c44f43e,51f2830a41a698468238d43048d76392fc66b270,94dfce96f7f4f2eeefad895779ef505ad3cbee67,,f23c3937a9209b928883a89265e1374caaa1b5987b19c7636a400fbd2a000fcf,Tests_failed,0.0,1bc4adef95b914a2014ef0b381edd512cdd27c90de0e0ad9f5c35d88f1cad70d,Tests_failed,0.0,False,True,False,False
7,refs/heads/master,94dfce96f7f4f2eeefad895779ef505ad3cbee67,a99148398fc84c9ac882ffc9e875566c19830551,8965e7d39daf6cf95c4c890ee49ca29940880faa,,ff3eda531e4e5ec0e5dd5087bb47d0aaa525bf6c9b4a6edba2f123bdc984f103,Tests_failed,0.0,1bc4adef95b914a2014ef0b381edd512cdd27c90de0e0ad9f5c35d88f1cad70d,Tests_failed,0.0,False,True,False,False
9,refs/heads/master,5f64039f83bdb573d69075e98a9f1d35af8aa7f2,4aac7dc649243660022ad3880dc19a45f3dae322,e265fc2cf8299cce78446a67c8437fee7302b26f,,ff3eda531e4e5ec0e5dd5087bb47d0aaa525bf6c9b4a6edba2f123bdc984f103,Tests_failed,0.0,480a000ec23dd5784df92531ac127809e508228c59b21501cbb64909e512a296,Tests_failed,0.0,False,True,False,False
14,refs/heads/master,2acceff7627b518e65e2707c00cf444583429be4,448bddcd59c406eefccd1ca3e0e005fc0a9e3f03,0e0be87800d4ddedb23f0777fbb59482bdfe0277,,f42fc051033c73e679463e21712bcf84d283b0b61f3e5bd0f9c60109089f1d59,Tests_failed,0.0,522bc9f3f9cf8e057b418e1f388351734f366465aed22bb8cf5275353378b0f3,Tests_failed,0.0,False,True,False,False
15,refs/heads/master,0e0be87800d4ddedb23f0777fbb59482bdfe0277,75daccca8c4ccb1c640490e862ff9922ea0d1373,641847faf1c5066e15df817c9a954302e1e81859,,cf358469d93238d40e24c2c5ce51168214945cbae3f81e042527f4bec3c0937e,Tests_failed,0.0,04fbdca1f439e99e9b0b4eba428c0d7efe486b7274c5ef809f5942a84936b589,Tests_failed,0.0,False,True,False,False
16,refs/heads/master,75daccca8c4ccb1c640490e862ff9922ea0d1373,868d17ca02b75839808a4a036f0eeadd374c78af,09133949e5b37744dce36457f2da0d584fb1aef6,,b2ec74dda9fa284baeb4538d3e9201a6923210b3116805b8d1b0e5389644a2b4,Tests_failed,0.0,c3182f104c5edca1336da41e850f862675979361f3f73e6da1b330f789201a4f,Tests_failed,0.0,False,True,False,False
18,refs/heads/master,3e9554aa1617e5193ca960653851d0df8982e720,f5443dc2d84db7c3eb587342f99fa805fefa8533,29607390c2fca2d2a069438779f86acaa94c22c6,,932a6ca1cff5edde1abb2e9d8387dcde3993d1fdf49c6078490a3a229b115b97,Tests_passed,0.0,4ed5d8feb0941e97d83692988dd3767fe75c3e0fa9eaa93b05991d9bc46125f3,Tests_passed,0.0,True,True,True,True
21,refs/heads/master,493411d7ab6e0582ef3d0686e2e1c5e3718fb985,0f74f84d36b385afe23210d0e2874b94744e99c9,52f23a6fa1ec5023df6749fe1fad7508f911c41c,,,,,,,,,False,False,False
22,refs/heads/master,52f23a6fa1ec5023df6749fe1fad7508f911c41c,741f52f64ffa431ff34202e5ade6b8967b693d8f,05773a3a07e708458c6306d28c954926f8fd3d2f,,1fd7a0c7ab0f258c79d399ef584105df91d38b1b805e7be0c771d704dfbcf4bb,Tests_failed,0.0,2348a7600321abb3ae20410b03ef065f455a8accc3ca379f3d35ff1061fba347,Tests_failed,0.0,False,True,False,False
27,refs/heads/master,21e8830eb09e7db7f863348f26556a9a9c13ec24,cbe3c48ac6d5029b3abebccd055020049feaf929,0ac1f8b19763723dac9db17c31d8aafdd8a6a626,,dcdd2abfcffaf8e7408a4664357a853af08e9479491bd3ec485daf4f258f524c,Tests_failed,0.0,edb6027e0c40339534aed000f28ed0714106f2d962de995ce6f349f302792e58,Tests_failed,0.0,False,True,False,False
31,refs/heads/master,96ecc4182f1366084240ad32fe1bde71c68f76de,e63761993183c0ca7df9f275e230e4b891d35af5,2d4a5f8cdadf75900c76be27228cccb2d3f33990,,e4ed0e9208d33eb6a9624e9ace38b18d3c9450946fa9d7a94eb27d7918aa8392,Tests_passed,0.0,037e0b327d8153327082fbdf2906701e0a76ffbe4347b0b8ecb221977754559a,Tests_failed,0.0,False,True,False,False
32,refs/heads/master,e63761993183c0ca7df9f275e230e4b891d35af5,2e51847456b46b993f1803209af7ec49ebf63835,1434ef3889d44e7995da2a4df1f57452cd8c0875,,f3ec7b716de0615eab43eeda0e8c323cef39e654cfb85cc93add616cea3cc05a,Tests_passed,0.0,fb8cbb51abc87e0edef8dc7c1e85539bcc42efb62be0e0a3683d4466b126383b,Tests_failed,0.0,False,True,False,False
34,refs/heads/master,9ffd19f88f56204d534e3b72b3fee82b1dc77e45,190cb95d2c8eb69e19b3abb64b4a3a665184229b,49107ce6e299712585fd9b5c2fc4d0b8911e417e,,027035c90281ec845088e2535fb5e657d3af0b738f28e1dd499ba80efc26173f,Tests_failed,0.0,1c619c5c83f9d03caeb3b253787cadfde5313b1fc7f215f5707e56e3fcdab726,Tests_failed,0.0,False,True,False,False
35,refs/heads/master,190cb95d2c8eb69e19b3abb64b4a3a665184229b,69ea72eff750a4b5676b59f761e73448334da982,be6acd2249d9025fc32b70c1763403e8bcc03b06,,390ab6e9879db85912eef488dc292fae60a7cf46d8a92f27ba2cc8b46b8411d5,Tests_failed,0.0,735f905be220defd4047dbf0d2fbc55c7cb6c957e74c75ad98350aedc8217bca,Tests_failed,0.0,False,True,False,False
36,refs/heads/master,69ea72eff750a4b5676b59f761e73448334da982,3edb49b9b7fb54e318a1676d3493f118ef051139,f5c87b2799f3db39042f6015e2a55311e4524e21,,cd2679062f0e31af0a41d2013471cb46ed96d8669f0d98b756a0d40a0e979898,Tests_failed,0.0,47c9ccface0980b50aa7b19d72c9bf65bdaef9865f568f0d9f7c3bf909282398,Tests_failed,0.0,False,True,False,False
40,refs/heads/master,0c5838518f7cb7f13a73587de4ac3b8d031c156f,a3f7feed542d0c39ad5c4b9db00e35c97d6cd2ce,73b474c7dd8b58a00b83839dea5fe656f6b41ff5,,,,,,,,,False,False,False
42,refs/heads/master,c13af2f858fcea602b525263aa9dc68f399b0121,16b767512e73ab52c0d8badf12f2df8f42377e6a,ffd397121b5d7dc9ae55c62eab5c6251d0351edf,,6bcb7f01607c72ba51e429732573af1661ccc335a941e4726900b1be359d11e9,Tests_failed,0.0,f0c920f1c2e8783afae627aeae925486719bde6b14d1f389ee88581630ee7fc6,Tests_failed,0.0,False,True,False,False
46,refs/heads/master,6117384ca6f28cc83369a888a89f977d99e09147,19431cee4d23ab945c808d3fa5c7adafb266dda1,43cd72b8193d69f0d1b0cb2afe25a112a69dd4f6,,32973d5e4bb64c123e2690255d8b16fc19859a9e9fd1af02e0ef46fdcab8e6d2,Tests_failed,0.0,13ddd7504bdab0cb1e722f1693834ad8743e151696970b12aa1ea1ad05e810ca,Tests_failed,0.0,False,True,False,False
48,refs/heads/master,2a9638ab4c1195d9e0c1c9ef3c6f6a815fde1766,baed62827da00460caad8c3b146b67af0be3d7df,28e37d57379eb4deac4d91cfc823476c06e421c8,,c1ba7f5b199a3a1f6d4ebea5a89b3e1cc31a903731f298a3006c360c669a293f,Tests_failed,0.0,a90e0eabe1dcc995ad6e4f061195a04eec95b3a4c2720ea3a4099447966e2a2e,Tests_failed,0.0,False,True,False,False
50,refs/heads/master,dda4ab8606ccaa103190ae6f41df89dff3ab49ae,38177a8f29ed6f90abdf1ee6aaa801b2bbf910c7,620a6f4908f01d658e572fc05ca59e054b3c7a83,,34b52ba09b84bebbbd6760592cacdf4b83829361b6cc548fab570c2c0821aa98,Tests_failed,0.0,5623e53a96c115aef429829f0906997a407d408a5ef8cf1ee17b283a7b653801,Tests_failed,0.0,False,True,False,False
52,refs/heads/master,0d6709d70d61a673689118a260bb8ad0f250d9ce,80c4bc5b808ed6790be66131fb29c5d069c599c6,222c52d1519df64d13946a54bc1452af0479ddf9,,d36a0d0c15e794e7ee9ba91f55fc82960d0bdd7a7a61b8bee05e8ca5d4792f68,Tests_failed,0.0,d1f67e0e5c33598d6f4b00b304b2eb5a28b52626aa4d4abc5aef48a9cae6da98,Tests_failed,0.0,False,True,False,False
54,refs/heads/master,08407669a70810e8ed8b0e4f4b0f6f5103364523,9d5b578c7b4915d026bbb00d4ccd37ed5883f819,6eb5a6c293d057efb208cbaa39f11639e9a5759b,,48ba0188a4deef45c7b6af34520e65d1999408479418cfdba4297a53c543e857,Tests_failed,0.0,115a49b97b83e47bb9af2edafc6b34c07e0a19a09cc49dbe902d1f3890c6a05d,Tests_failed,0.0,False,True,False,False
56,refs/heads/master,0b683788285de27f5b8469388c1e93b6395d5a94,b115572ebec096a4131667176c947f50df73f5dc,0a4393fd4eac4520d90bb0e7d003d5d494415b6d,,,,,,,,,False,False,False
58,refs/heads/master,cf6b38398164a7a067dc49a050577557b63f88ec,4d5251c1c7452f4c5648990d7a02d2d450dba4d4,66837990896ef4ea8e9b2453e7fb5a2dd9c03d5c,,dfa07efadde5837e05121dd89e0f50b200f2a57ea3a7dd7457e10167ea821e40,Tests_failed,0.0,103eb58efb574f5d643c47eee54f79ff287a17ba0ffd6eabef4ab36cc3d72404,Tests_failed,0.0,False,True,False,False
62,refs/heads/master,b9a8a3d95e69bae14ee16e5d831a21065c4b3612,4766a3426ee8b460bc37c0e1bd15328db1eef507,1d7f543dfd678ad8482db09bc3f0a462aa8209c1,,537ea8a6aaf3a69e3b3c67d2352f625398e72b65f5fe97ebeae86231830208f2,Tests_failed,0.0,761674c4ac512a3b5d4960227a53fd0ffab14530d87bf256ac993b98c01c3442,Tests_failed,0.0,False,True,False,False
63,refs/heads/master,4766a3426ee8b460bc37c0e1bd15328db1eef507,fa16e2860962629849cad41d166fa32c8bf9f82e,e47a2407c5791454c4e28659906a4266554be701,,,,,,,,,False,False,False
64,refs/heads/master,fa16e2860962629849cad41d166fa32c8bf9f82e,e26e46a8be8652a37de97fac8e953e6f155f705a,2105e3a66f50e295c0a344ab2515ff3369421f0d,,,,,,,,,False,False,False
66,refs/heads/master,2f647b58160a4538ff9c371ce3935a58d4f7cc3f,0ef4f6c226071524bda07e05ad5b147765b3f283,4774f734ff78d8c31c99cc1b47882a40961226c9,,cde6a0e71f082d66489fa3653d47ed9ac4fe9d761246cc97e4a9bd89d2dc7451,Tests_failed,0.0,9a1482763ad8cb1018508ba3aa4c8b7b590d9a64f2f9e092b092fafcb8450cb4,Tests_failed,0.0,False,True,False,False
68,refs/heads/master,940f85fd0443fda7b44e4e92f269e8cbd1e5c2f3,c5f9f62d0d37c6bee29fde738952108dad5b83db,c49ce24fd9f10c07e16adb40e59411fbaf3af2cf,,480cbcb7c982ba6c8ff44a5037b5c1a4d0fb445defa78257c91625f521a9e80f,Tests_failed,0.0,9d375a95fe1315126e67941050c9d20f4b46bde334a51630583fbebe635aafaf,Tests_failed,0.0,False,True,False,False
69,refs/heads/master,c5f9f62d0d37c6bee29fde738952108dad5b83db,495eea1a1b653c70502b79da95e7ece1315a1adc,265a0e72377527762097cc2299a46e3d1cb5ac21,,97b36f76d2476ae3b72914d11c5ff0e2964a293b0b5a00b4e89fcde8f22d4be1,Tests_failed,0.0,649db674562408063b20f36b3baf30c49d6986cf983c88c2f1eebbeff3f57303,Tests_failed,0.0,False,True,False,False
70,refs/heads/master,495eea1a1b653c70502b79da95e7ece1315a1adc,52b03baba40b987deca48582412fd7cde3f998d1,bc5195750411d31da1ea94d1f0db8c769fa940d8,,6f64fd9849d5400feb1eff25857f303855c9deabb42b9214f08f55b9bf144be5,Tests_failed,0.0,623b14acbf485cfa953e800797d5b4a5e6752bcfa9ee067d6a889049f06ebc69,Tests_failed,0.0,False,True,False,False
71,refs/heads/master,52b03baba40b987deca48582412fd7cde3f998d1,2434070c7b4614f7648d7dd945d526e0543d0985,f7df1175a9369398a07139213c40f5fc614a48d3,,,,,,,,,False,False,False
72,refs/heads/master,2434070c7b4614f7648d7dd945d526e0543d0985,5b9848adf980a748f51292d44bf76ff8d9f0ddc1,77901a01936281e67339e976af235168cd53138e,,a69fe391ef54186a496ee16b1df21c5dde7cab6bdd9a506d153fc48875df925f,Tests_failed,0.0,763ea474e637dad4033654f3e02413b3b2dbdab4dbc1f1acdb545683d29f6885,Tests_failed,0.0,False,True,False,False
74,refs/heads/master,30733bd9dcf7630efde1c58608437a38f0e7308f,9a4f998e60d7183ae7cdb31a3e076e478bcf882d,6b8bc5f769aa45915db378135117ca03b814dd8e,,9c50d1cfc34206940d460d77497bd67fd7945eded6bb46bc0ab3e7a531ca753a,Tests_failed,0.0,a1bdc16c8ce1437d3c8cd18f1c8a91c3e27d897b0723056f2cb42189830feaa3,Tests_failed,0.0,False,True,False,False
75,refs/heads/master,6b8bc5f769aa45915db378135117ca03b814dd8e,211a72ed499c0a866f5743ed3b8b82deaf9ef2f9,d258690ae050a134f819e76c6b91462b08a35d23,,be25065e9c63c1fdbcaf74ca9de267cab4364f3b3b44624b857342d425c912fb,Tests_failed,0.0,b64a5d7351b5db0a55b015210c8a25287bf6fbbe5d589407e735b13501bcfb4a,Tests_failed,0.0,False,True,False,False
85,refs/heads/master,5bd152dd969036f26771024ae7cc29631ccec2f9,7e7326b5a2b6fbbca2edbc600e26c49fd843ef30,2f561fd818f93f65299a5ee03f460901f5a6ae8b,,ef762fca8a27ce8c005d6d8e10831062152bf6a70a29bb70f54edbda3c25f62d,Tests_failed,0.0,64091c36152f0596f0ea265f232c8ef011ddffd6e90831478f0b74f0ed1eb675,Tests_failed,0.0,False,True,False,False
93,refs/heads/master,0bd32c44541d17a0f37cc23f342a40dcca4496f6,75d8fd8d0e6d26ed6e7ed510e94b2171bade3822,4551e5c3e0d4028b8770fa261c2d0ea1e575ceef,,9b67fff2675682400aa2cdf0bdfa6adb7796b7ed7500b509e8ec48c3798834e3,Tests_failed,0.0,a613d6a6b8b81b19c04dc515fb821ba6025c055e783e5ef17b696f92d3c4e53f,Tests_failed,0.0,False,True,False,False
99,refs/heads/master,e0e0d7a5cd18b8c41d348827608dafa1a6155ee0,9f5861c4af241756423d80f560634a2f4fcbe46c,836cf5e8f97d0db43ba81559c739b42dbdc108e3,,2a5147cb89e2dd2389d45f776fcdb705de04418468834f4e210259f73ec29a61,Tests_failed,0.0,2bbdacd3876f90560f821441cb622f5ed4324f9f7a6fc6b1ede61b4f39bbdf07,Tests_failed,0.0,False,True,False,False
104,refs/heads/master,14bc9f874105e7578f2bdb7e9995502073fed038,614cab4f2a1a9d399fa8f7c262217ae29f7de0f1,302d14c3b59c3cd494542220ab1b6ee4ce15aa70,,2a029c18b1c17bf5bf13d9c782818dde67a9ed5d899d9f8c8883987a33146d73,Tests_failed,0.0,cc4db779d80fbbbec4ed17f68537ed38019ea86afc31b6428f4ecc8cd27184ea,Tests_failed,0.0,False,True,False,False
107,refs/heads/master,841f4ad7cd8a531a47e45beeebb1e7e79e0d4549,9273bf719d177e13f1908c71fb77d684a49aa273,ecccee4e8db7f8ffe6ab0ae19e465b83f5ae9521,,867a5c309ea1f07ec2c2b434d40a494760af41f902d5d86afb15617190c48252,Tests_failed,0.0,7352c570319b37a0c51456f9fa02600e1aa3b5f4e4e555bf2d72c39f5300d986,Tests_failed,0.0,False,True,False,False
112,refs/heads/master,fe180e4ec1bdb47bd07bf697e36886061f160ee7,f975afdd917a138f4637cf6e40fc209fe0034186,4f4bd1fa48b004ca02323f9f5076190ff09060ff,,fbf3785e2143679d0d5c825e83f052f358269a829ac5ec248e3b0a93c9d02cd8,Tests_failed,0.0,26d84e9810078190d381e1c200db1cc0e3854139dd18774af37ed2b2e8368817,Tests_failed,0.0,False,True,False,False
115,refs/heads/master,4994b6ee855139e29df4803550112dbc67c5b306,9a7c761f160cccffef0761e5bcd4533280da244c,af7143ca859c08fbe22efb11ff692014bf4a0d86,,35d6f68fbe173de5af69d4582f48487db61de8cdde549491ee5151eee5d238c3,Tests_failed,0.0,d6a05ca2d73ddf0f3effbb8d914b8c6850b538f2c269f4e692d6282fd8b9e090,Tests_failed,0.0,False,True,False,False
116,refs/remotes/origin/pull/100,85fa8e3a34c618ed5e2a71b8a1feb3521495a69b,0d595c4ab70829a8c53ffe5ab7ad2513293396fb,39e309973a81a1d221da0a1e5669f64d18201d19,,71d25e7987d059cce56f4b81669a86b4f92871f5b850287a542ea6b91b87822e,Tests_failed,0.0,f06953aed1070f122a7e27d763e31e8b559eb0add550a53ccec4b7a1fa2b4cc2,Tests_failed,0.0,False,True,False,False
117,refs/remotes/origin/pull/100,0d595c4ab70829a8c53ffe5ab7ad2513293396fb,3973728ed9603db067b92aa724e5c8bf3678cf57,d6097d1779d0cc80a6088225b9699955a9ddebf9,,,,,,,,,False,False,False
118,refs/remotes/origin/pull/198,6b621e4f727c81a8f81ed7a29b0e807815de25ce,419a33ff18706c51397fcd2f607ff7594b1cac9c,4c61304935bdcf1895769b8e1380b43d490f6346,,,,,,,,,False,False,False
119,refs/remotes/origin/pull/206,24468bf983484a8cc0c808cf350e1aeabd1b27b9,f32ec6315a88fc25fdec751592e16fe2da5f2da4,8fb20e4dc849e94706c7e955698f8f3bae657d3b,,2e146a6a13899d749cdc2c92266304b700d338baf9497e0ee32061f31e1899e4,Tests_failed,0.0,a7d6e86bf57ed5a520de1132a2a55c8009848c8fba5875169d9118c39150c56a,Tests_failed,0.0,False,True,False,False
121,refs/remotes/origin/pull/206,7ba1e1d03dff1838d968bb8a2f208c585f80f158,06be6d67e758d19a1ab89a550f47f0f32a472a0e,0c5838518f7cb7f13a73587de4ac3b8d031c156f,,2c39cfd2d9c36f13102aa0b30ebb05a9c73df270b1efa760fac0be7e531afaae,Tests_failed,0.0,dc8259246f45b5c4c9d2848745c2b0f7f365716459ae2a36c95a9eed524d1129,Tests_failed,0.0,False,True,False,False
122,refs/remotes/origin/pull/250,4c4216393bcb85c1a4a7fe6f332d73b5141a312b,bedcf3fad21bf86e15e4df31e6f7955e205f0c6c,067f87a3f23d4bdc2548e0aee27e71c392638d8f,,d7b0bba2de85d9071daaaa46785682a2062500a8e34348e45c99f0136435a7ce,Tests_passed,0.0,b22dbda1da0eea3115c7677aefcb76ff2524ec999b0cab2a9f92f3901422f6db,Tests_passed,0.0,True,True,True,True
123,refs/remotes/origin/pull/294,89f588fb33482687c35f6877f179f91d3ef14b13,a5e4c5600c14a6a1d9275ba26495a3a5e31096ec,779690d267e65fe96fa6e4958085e918d8e4c60d,,,,,,,,,False,False,False
